Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,3.56229715e-18,4.89105734e-18,7.02765025e-15,8.92656386e-01
7.99999982e-02,3.32114286e-16,4.60331596e-16,2.88036001e-12,2.96821117e+00
1.19999997e-01,1.48777458e-14,2.07305300e-14,7.55205135e-11,7.69656849e+00
1.59999996e-01,5.02924904e-13,7.04164374e-13,5.38148415e-10,1.60024223e+01
2.00000003e-01,6.27558595e-12,8.95330424e-12,4.43015722e-08,1.94468670e+01
2.39999995e-01,6.12676854e-11,8.88843443e-11,2.43861109e-06,3.01557407e+01
2.80000001e-01,9.49800238e-10,1.37413347e-09,4.73446607e-06,3.80586700e+01
3.19999993e-01,6.20905727e-09,9.55331458e-09,6.56345674e-06,4.60539246e+01
3.60000014e-01,4.46666171e-08,6.92312199e-08,5.79520201e-06,5.24158440e+01
4.00000006e-01,1.93279206e-07,3.23318574e-07,3.96098494e-06,6.15892830e+01
4.39999998e-01,7.28181533e-07,1.25942188e-06,9.52113623e-06,6.70075836e+01
4.79999989e-01,1.92088942e-06,3.54799067e-06,8.09645462e-06,7.67299347e+01
5.19999981e-01,4.40203303e-06,8.32961086e-06,6.97984797e-06,8.51937714e+01
5.60000002e-01,9.30814713e-06,1.66147565e-05,5.31422666e-06,9.50253448e+01
6.00000024e-01,1.69215527e-05,2.93979374e-05,7.68211794e-06,1.01356323e+02
6.41029537e-01,3.14634963e-05,5.31903279e-05,6.40924463e-06,1.18696770e+02
6.83115125e-01,4.99130001e-05,8.08058976e-05,8.09549692e-06,1.27393173e+02
7.26283848e-01,8.00614071e-05,1.21966164e-04,1.12343178e-05,1.35283905e+02
7.70563781e-01,1.18365017e-04,1.72593165e-04,1.08617569e-05,1.46722351e+02
8.15983355e-01,1.79773706e-04,2.50766374e-04,1.27969579e-05,1.61745087e+02
8.62571895e-01,2.22332106e-04,2.98663304e-04,1.21150297e-05,1.71887207e+02
9.10359621e-01,2.95877893e-04,3.89171008e-04,1.39935455e-05,1.86295334e+02
9.59377348e-01,3.31454037e-04,4.27036954e-04,1.51173672e-05,2.11286484e+02
1.00965667e+00,3.96415999e-04,5.06215845e-04,1.68296810e-05,2.27398682e+02
1.06123006e+00,4.46575054e-04,5.65816008e-04,1.56989663e-05,2.57666168e+02
1.11413085e+00,4.75900888e-04,6.01962791e-04,1.59005504e-05,2.87950256e+02
1.16839325e+00,4.93466214e-04,6.28586160e-04,1.77438451e-05,3.28006744e+02
1.22405231e+00,5.11288526e-04,6.64900756e-04,1.74141551e-05,3.75023346e+02
1.28114390e+00,6.12489064e-04,8.26813979e-04,1.88015438e-05,4.18144196e+02
1.33970511e+00,7.41958793e-04,1.02584867e-03,2.09227419e-05,4.87514526e+02
1.39977336e+00,2.06511953e+04,2.89118086e+04,1.93308047e+04,1.74130383e+03
1.46138775e+00,2.52852188e+04,3.53582734e+04,2.12889766e+04,1.98606934e+03
1.52458799e+00,1.49680615e+04,2.09267480e+04,1.27311953e+04,1.75790906e+03
1.58941495e+00,1.40901797e+04,1.97111523e+04,1.24991074e+04,1.94610889e+03
1.65591037e+00,1.38049863e+04,1.93165547e+04,1.24397539e+04,2.01373755e+03
1.72411728e+00,1.32822969e+04,1.85865566e+04,1.20270498e+04,2.01249817e+03
1.79407966e+00,1.24008652e+04,1.73536016e+04,1.12484561e+04,1.97898413e+03
1.86584306e+00,1.14432031e+04,1.60144043e+04,1.04217705e+04,1.94517334e+03
1.93945324e+00,1.07821904e+04,1.50911465e+04,9.89999316e+03,1.95459741e+03
