Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.99999982e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.19999997e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.59999996e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000003e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.39999995e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.80000001e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.19999993e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.60000014e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.00000006e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.39999998e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.79999989e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.68488786e-39
5.19999981e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.37522915e-37
5.60000002e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.68090044e-36
6.00000024e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.43256657e-35
6.41029537e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.09864589e-30
6.83115125e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.66939993e-28
7.26283848e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.20119781e-26
7.70563781e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.45401753e-24
8.15983355e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.28887839e-20
8.62571895e-01,5.60519386e-42,7.00649232e-42,0.00000000e+00,6.55418461e-18
9.10359621e-01,4.92976800e-39,6.43616385e-39,9.59889448e-40,5.23355241e-16
9.59377348e-01,8.98092186e-39,1.23370317e-38,5.24225756e-39,3.24261255e-14
1.00965667e+00,1.79618437e-38,2.50776373e-38,1.26817511e-38,1.87278383e-12
1.06123006e+00,2.31397828e-37,3.08131519e-37,3.28156074e-38,1.20882498e-10
1.11413085e+00,2.87894024e-32,3.78323394e-32,2.63573338e-34,1.84789926e-08
1.16839325e+00,2.00442363e-28,2.64515283e-28,6.98935174e-30,2.48406195e-06
1.22405231e+00,6.67498907e-26,8.94179136e-26,1.63425294e-26,6.12537042e-05
1.28114390e+00,1.42282771e-23,1.95262843e-23,6.79523522e-24,5.12314262e-04
1.33970511e+00,2.45815278e-21,3.37232408e-21,1.45599994e-21,2.85591185e-03
1.39977336e+00,2.01954141e+04,2.82902480e+04,2.00311133e+04,2.08388086e+03
1.46138775e+00,2.58160664e+04,3.61433438e+04,2.42939160e+04,2.01895288e+03
1.52458799e+00,1.56828896e+04,2.19542695e+04,1.47979785e+04,1.34945813e+03
1.58941495e+00,1.48476904e+04,2.07918965e+04,1.43448828e+04,1.52756177e+03
1.65591037e+00,1.47249834e+04,2.06231758e+04,1.43842363e+04,1.64094641e+03
1.72411728e+00,1.47538125e+04,2.06653945e+04,1.45071309e+04,1.72484082e+03
1.79407966e+00,1.48205605e+04,2.07601172e+04,1.46373438e+04,1.79121716e+03
1.86584306e+00,1.49123164e+04,2.08895488e+04,1.47754375e+04,1.84763574e+03
1.93945324e+00,1.50248271e+04,2.10478633e+04,1.49240166e+04,1.89857288e+03
2.01495814e+00,1.51506211e+04,2.12246328e+04,1.50775859e+04,1.94352466e+03
2.09240627e+00,1.52694307e+04,2.13914766e+04,1.52175273e+04,1.98176379e+03
2.17184782e+00,1.53780225e+04,2.15439141e+04,1.53421758e+04,2.01388794e+03
2.25333428e+00,1.54612939e+04,2.16607852e+04,1.54369844e+04,2.03862561e+03
2.33691788e+00,1.55221387e+04,2.17461758e+04,1.55063594e+04,2.05792285e+03
2.42265272e+00,1.55524551e+04,2.17887520e+04,1.55427715e+04,2.07078174e+03
2.51059437e+00,1.55459688e+04,2.17797148e+04,1.55399258e+04,2.07662305e+03
2.60079956e+00,1.55058184e+04,2.17235078e+04,1.55025010e+04,2.07753320e+03
2.69332647e+00,1.54507637e+04,2.16464219e+04,1.54501221e+04,2.07641113e+03
2.78823495e+00,1.53839111e+04,2.15528008e+04,1.53856602e+04,2.07398145e+03
2.88558602e+00,1.53032734e+04,2.14398750e+04,1.53077109e+04,2.07227539e+03
2.98544264e+00,1.52270166e+04,2.13330957e+04,1.52349307e+04,2.06686230e+03
3.08786964e+00,1.51468145e+04,2.12208125e+04,1.51590420e+04,2.06695898e+03
3.19293284e+00,1.50857441e+04,2.11353613e+04,1.51036094e+04,2.06670679e+03
3.30070019e+00,1.50783760e+04,2.11251641e+04,1.51031230e+04,2.07933447e+03
3.41124129e+00,1.51329365e+04,2.12017598e+04,1.51663174e+04,2.09991284e+03
3.52462745e+00,1.52524746e+04,2.13694004e+04,1.52952051e+04,2.13526953e+03
3.64093208e+00,1.54291055e+04,2.16169961e+04,1.54801191e+04,2.17550024e+03
3.76023054e+00,1.56687676e+04,2.19528789e+04,1.57279033e+04,2.23098804e+03
3.88259912e+00,1.59064463e+04,2.22859062e+04,1.59699609e+04,2.28126416e+03
4.00811720e+00,1.60880928e+04,2.25403398e+04,1.61513193e+04,2.32350024e+03
4.13686609e+00,1.62443613e+04,2.27592070e+04,1.63066162e+04,2.38060767e+03
4.26892853e+00,1.63472158e+04,2.29031758e+04,1.64049238e+04,2.42673218e+03
4.40439081e+00,1.63149746e+04,2.28578164e+04,1.63637402e+04,2.40465283e+03
4.54333878e+00,1.62122646e+04,2.27137598e+04,1.62530547e+04,2.47201318e+03
4.68586397e+00,1.61148389e+04,2.25771445e+04,1.61488760e+04,2.44887207e+03
4.83205652e+00,1.59642129e+04,2.23659922e+04,1.59908721e+04,2.51992969e+03
4.98201227e+00,1.57807080e+04,2.21087773e+04,1.57997129e+04,2.49967480e+03
5.13582754e+00,1.56269102e+04,2.18932754e+04,1.56430078e+04,2.55443481e+03
5.29360199e+00,1.55044844e+04,2.17217500e+04,1.55189609e+04,2.59318970e+03
5.45543718e+00,1.53678545e+04,2.15303086e+04,1.53799414e+04,2.65128735e+03
5.62143755e+00,1.52400312e+04,2.13513047e+04,1.52549746e+04,2.71568701e+03
5.79171038e+00,1.51946572e+04,2.12878125e+04,1.52130244e+04,2.79877710e+03
5.96636629e+00,1.52117686e+04,2.13118555e+04,1.52337930e+04,2.90097290e+03
6.14551687e+00,1.52683164e+04,2.13911953e+04,1.52970254e+04,3.00186499e+03
6.32927942e+00,1.53706611e+04,2.15346699e+04,1.54052432e+04,3.10674609e+03
6.51777077e+00,1.55363105e+04,2.17668496e+04,1.55785205e+04,3.21650537e+03
6.71111441e+00,1.57598262e+04,2.20801094e+04,1.58100020e+04,3.32702710e+03
6.90943432e+00,1.60138047e+04,2.24360000e+04,1.60702070e+04,3.41329370e+03
7.11285782e+00,1.62923496e+04,2.28262656e+04,1.63530234e+04,3.48931519e+03
7.32151794e+00,1.65581309e+04,2.31985312e+04,1.66170605e+04,3.51612866e+03
7.53554821e+00,1.67523984e+04,2.34706035e+04,1.68090820e+04,3.50799268e+03
7.75508738e+00,1.69755488e+04,2.37831348e+04,1.70289355e+04,3.49724658e+03
7.98027754e+00,1.70457324e+04,2.38812383e+04,1.70881348e+04,3.43020312e+03
8.21126270e+00,1.70189355e+04,2.38436289e+04,1.70574219e+04,3.37515796e+03
8.44819450e+00,1.71321465e+04,2.40020996e+04,1.71624805e+04,3.35389526e+03
8.69122219e+00,1.69981758e+04,2.38143086e+04,1.70208047e+04,3.32745850e+03
8.94050789e+00,1.71248184e+04,2.39918164e+04,1.71496328e+04,3.35913745e+03
9.19620800e+00,1.72729727e+04,2.41993398e+04,1.72938652e+04,3.41854810e+03
9.45849037e+00,1.72997227e+04,2.42369863e+04,1.73279648e+04,3.47784668e+03
9.72752285e+00,1.74347383e+04,2.44258555e+04,1.74494023e+04,3.52642236e+03
1.00034800e+01,1.70668379e+04,2.39106035e+04,1.70882656e+04,3.52352881e+03
1.02865391e+01,1.76856621e+04,2.47780234e+04,1.77325215e+04,3.67145654e+03
1.05768833e+01,1.85593867e+04,2.60014453e+04,1.85786992e+04,3.84386499e+03
1.08747025e+01,1.69080898e+04,2.36885625e+04,1.69524180e+04,3.76402344e+03
1.11801853e+01,1.83108203e+04,2.56540078e+04,1.83729980e+04,4.14763818e+03
1.14935322e+01,1.90711602e+04,2.67191836e+04,1.91377871e+04,4.52052490e+03
1.18149433e+01,1.99139102e+04,2.79009805e+04,2.00425430e+04,4.97639600e+03
1.21446266e+01,2.12377305e+04,2.97533047e+04,2.12594570e+04,5.31840625e+03
1.24827967e+01,1.90116543e+04,2.66340020e+04,1.90097227e+04,5.20585156e+03
1.28296700e+01,1.92106406e+04,2.69144414e+04,1.93000742e+04,5.39596973e+03
1.31854706e+01,2.16784160e+04,3.03709805e+04,2.17384023e+04,5.72176270e+03
1.35504293e+01,2.22761172e+04,3.12078066e+04,2.23296484e+04,5.74158008e+03
1.39247818e+01,2.33072773e+04,3.26519180e+04,2.33744531e+04,5.89124658e+03
1.43087692e+01,2.08678594e+04,2.92331191e+04,2.08974297e+04,5.62895801e+03
1.47026405e+01,1.52185605e+04,2.13211621e+04,1.54332363e+04,5.04191309e+03
1.51066484e+01,1.77566328e+04,2.48779766e+04,1.81325273e+04,5.48018066e+03
1.55210552e+01,1.94873047e+04,2.73038359e+04,2.00727422e+04,5.76240918e+03
1.59461288e+01,1.92568164e+04,2.69840664e+04,2.04679727e+04,5.80512061e+03
1.63821430e+01,2.34884258e+04,3.29121719e+04,2.55388047e+04,6.25341699e+03
1.68293781e+01,2.47927109e+04,3.47407695e+04,2.79220449e+04,6.37064014e+03
1.72881241e+01,2.44361992e+04,3.42489062e+04,2.88189727e+04,6.38674609e+03
1.77586803e+01,2.58166289e+04,3.61927227e+04,3.15389766e+04,6.57164746e+03
1.82413464e+01,2.48957246e+04,3.49273945e+04,3.29494375e+04,6.71673340e+03
1.87364349e+01,2.58266934e+04,3.62712539e+04,3.62253789e+04,6.87452344e+03
1.92442665e+01,2.76043828e+04,3.87980859e+04,3.89691172e+04,6.92397656e+03
1.97651691e+01,2.82002852e+04,3.96644062e+04,3.95326953e+04,6.71620703e+03
2.02994785e+01,3.18030977e+04,4.47293555e+04,4.28061484e+04,6.65598438e+03
2.08475418e+01,3.82748984e+04,5.38152617e+04,4.86696445e+04,6.62884961e+03
2.14097099e+01,4.54380391e+04,6.38452812e+04,5.26322344e+04,6.42782227e+03
2.19863453e+01,5.16645391e+04,7.25080781e+04,5.44184141e+04,6.18751172e+03
2.25778236e+01,5.41423984e+04,7.59146953e+04,5.35386719e+04,5.76532373e+03
2.31845264e+01,5.61207109e+04,7.86220156e+04,5.29499688e+04,5.43817090e+03
2.38068466e+01,6.09833906e+04,8.53601250e+04,5.45525430e+04,5.83852832e+03
2.44451809e+01,6.51795938e+04,9.11876719e+04,5.73308047e+04,6.19412500e+03
2.50999470e+01,6.32991445e+04,8.85080156e+04,5.39626758e+04,5.79289844e+03
2.57715645e+01,5.83700000e+04,8.15818828e+04,4.94188125e+04,5.66967383e+03
2.64604683e+01,5.42309766e+04,7.57433281e+04,4.36367266e+04,4.70307324e+03
2.71671047e+01,5.20915664e+04,7.27826562e+04,4.30214922e+04,5.07799561e+03
2.78919277e+01,5.48498984e+04,7.66467969e+04,4.58549219e+04,5.07123291e+03
