Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.88057739e-16,5.18322066e-16,1.33636836e-02,1.12720566e+01
7.99999982e-02,5.60086306e-15,1.52260305e-14,3.88605222e-02,1.26188412e+01
1.19999997e-01,4.15098931e-14,1.16108837e-13,5.95412999e-02,1.33561392e+01
1.59999996e-01,1.59873525e-13,4.57329107e-13,7.07098395e-02,1.41661205e+01
2.00000003e-01,8.25425936e-13,2.23991702e-12,7.48920590e-02,1.50863256e+01
2.39999995e-01,2.64530672e-12,7.43959061e-12,8.05651993e-02,1.61523819e+01
2.80000001e-01,1.30608944e-11,3.43433094e-11,8.51500779e-02,1.69522381e+01
3.19999993e-01,3.94461026e-11,1.07666244e-10,8.68105218e-02,1.78044014e+01
3.60000014e-01,1.81794108e-10,4.69030925e-10,8.77528712e-02,1.85640011e+01
4.00000006e-01,7.17385262e-10,1.88305638e-09,8.56584236e-02,1.95078945e+01
4.39999998e-01,2.23722840e-09,5.98085359e-09,8.24032277e-02,2.02138309e+01
4.79999989e-01,1.26921815e-08,3.23126486e-08,7.92817771e-02,2.15864353e+01
5.19999981e-01,3.53760896e-08,9.42214626e-08,7.80465975e-02,2.24762135e+01
5.60000002e-01,1.27181281e-07,3.20468075e-07,9.05232877e-02,2.34704647e+01
6.00000024e-01,2.89355285e-07,7.66795438e-07,1.19644351e-01,2.43736382e+01
6.41029537e-01,7.59325076e-07,2.00260592e-06,1.01841696e-01,2.51568069e+01
6.83115125e-01,1.69149257e-06,4.71979456e-06,1.13064460e-01,2.58580437e+01
7.26283848e-01,3.97999156e-06,1.16696792e-05,1.08536012e-01,2.77088375e+01
7.70563781e-01,9.70523888e-06,2.92908699e-05,1.08681738e-01,2.98247185e+01
8.15983355e-01,2.10360613e-05,6.32861993e-05,1.11776732e-01,3.41030846e+01
8.62571895e-01,3.73651528e-05,1.10630630e-04,1.17961206e-01,3.66483688e+01
9.10359621e-01,5.56747254e-05,1.57964008e-04,1.22072361e-01,4.19014816e+01
9.59377348e-01,7.03903206e-05,1.89002545e-04,1.46579102e-01,4.04057274e+01
1.00965667e+00,7.63302669e-05,1.92369625e-04,1.41629174e-01,4.39462967e+01
1.06123006e+00,8.36212712e-05,1.89435974e-04,1.62557378e-01,4.70284767e+01
1.11413085e+00,1.04109393e-04,2.05460325e-04,1.65851578e-01,5.23402634e+01
1.16839325e+00,1.34115427e-04,2.39073852e-04,1.74297780e-01,5.01210670e+01
1.22405231e+00,1.68609302e-04,2.80289940e-04,1.79076806e-01,5.05547562e+01
1.28114390e+00,2.10082231e-04,3.30726529e-04,2.00630441e-01,6.21270599e+01
1.33970511e+00,2.30651320e-04,3.41284554e-04,2.08964422e-01,6.47147903e+01
1.39977336e+00,2.06696523e+04,2.89379102e+04,1.93586934e+04,1.24136011e+03
1.46138775e+00,2.56015703e+04,3.58013633e+04,2.15764062e+04,1.30179602e+03
1.52458799e+00,1.54155352e+04,2.15527031e+04,1.31199629e+04,9.53269775e+02
1.58941495e+00,1.46539062e+04,2.04981445e+04,1.28983379e+04,1.03773669e+03
1.65591037e+00,1.36208359e+04,1.90546113e+04,1.20559785e+04,1.02026868e+03
1.72411728e+00,1.21312080e+04,1.69714688e+04,1.07723477e+04,9.44780701e+02
1.79407966e+00,1.09038730e+04,1.52564141e+04,9.77459668e+03,9.43973755e+02
1.86584306e+00,1.02781699e+04,1.43840586e+04,9.36109180e+03,9.73194092e+02
1.93945324e+00,1.03295654e+04,1.44598203e+04,9.58990234e+03,1.11327820e+03
2.01495814e+00,1.10254316e+04,1.54384980e+04,1.04666113e+04,1.32053174e+03
2.09240627e+00,1.24884355e+04,1.74922441e+04,1.21382422e+04,1.66999243e+03
2.17184782e+00,1.45351465e+04,2.03628516e+04,1.43548320e+04,2.03214429e+03
2.25333428e+00,1.65518789e+04,2.31899219e+04,1.64749277e+04,2.35565137e+03
2.33691788e+00,1.81522305e+04,2.54325977e+04,1.81290098e+04,2.54256348e+03
2.42265272e+00,1.91110781e+04,2.67748984e+04,1.90341953e+04,2.57898145e+03
2.51059437e+00,1.93291328e+04,2.70775898e+04,1.90862461e+04,2.44168066e+03
2.60079956e+00,1.92381016e+04,2.69467617e+04,1.87982363e+04,2.30366846e+03
2.69332647e+00,1.89574727e+04,2.65504062e+04,1.83252422e+04,2.14786768e+03
2.78823495e+00,1.83227188e+04,2.56581758e+04,1.75156758e+04,1.97918372e+03
2.88558602e+00,1.75120410e+04,2.45200664e+04,1.65683145e+04,1.82913000e+03
2.98544264e+00,1.67514141e+04,2.34526367e+04,1.57067559e+04,1.71834924e+03
3.08786964e+00,1.58016914e+04,2.21210605e+04,1.47051348e+04,1.60500586e+03
3.19293284e+00,1.46742275e+04,2.05414238e+04,1.35830352e+04,1.51755396e+03
3.30070019e+00,1.35402930e+04,1.89536562e+04,1.25015977e+04,1.44040161e+03
3.41124129e+00,1.24797715e+04,1.74693594e+04,1.15236289e+04,1.38042712e+03
3.52462745e+00,1.16083848e+04,1.62504766e+04,1.07525879e+04,1.36003076e+03
3.64093208e+00,1.09775039e+04,1.53686406e+04,1.02255039e+04,1.36332422e+03
3.76023054e+00,1.06403516e+04,1.48984844e+04,9.99802734e+03,1.38936597e+03
3.88259912e+00,1.07543730e+04,1.50602627e+04,1.02093184e+04,1.49587354e+03
4.00811720e+00,1.12332354e+04,1.57326416e+04,1.07588359e+04,1.60149780e+03
4.13686609e+00,1.18424844e+04,1.65874023e+04,1.14305244e+04,1.76279150e+03
4.26892853e+00,1.25532852e+04,1.75842852e+04,1.21995654e+04,1.88909082e+03
4.40439081e+00,1.33491943e+04,1.86999043e+04,1.30333037e+04,2.03694788e+03
4.54333878e+00,1.39903496e+04,1.95985449e+04,1.37129951e+04,2.15410010e+03
4.68586397e+00,1.45506143e+04,2.03845156e+04,1.43481445e+04,2.28612402e+03
4.83205652e+00,1.53883262e+04,2.15590527e+04,1.52529609e+04,2.43438818e+03
4.98201227e+00,1.58390713e+04,2.21911758e+04,1.57595527e+04,2.51652637e+03
5.13582754e+00,1.62248730e+04,2.27321172e+04,1.61784492e+04,2.55292334e+03
5.29360199e+00,1.73640156e+04,2.43268789e+04,1.72613438e+04,2.63148730e+03
5.45543718e+00,1.79435273e+04,2.51372070e+04,1.77640840e+04,2.62689258e+03
5.62143755e+00,1.86525820e+04,2.61307930e+04,1.84426211e+04,2.64753271e+03
5.79171038e+00,2.16502832e+04,3.03272148e+04,2.11849473e+04,2.83625781e+03
5.96636629e+00,2.17506680e+04,3.04622383e+04,2.09953047e+04,2.70064648e+03
6.14551687e+00,2.11723027e+04,2.96497754e+04,2.02879336e+04,2.56956152e+03
6.32927942e+00,2.11237500e+04,2.95767324e+04,1.99680996e+04,2.46726660e+03
6.51777077e+00,1.90149492e+04,2.66197598e+04,1.77403555e+04,2.20636841e+03
6.71111441e+00,1.54892314e+04,2.16825527e+04,1.43679902e+04,1.92699316e+03
6.90943432e+00,1.35321035e+04,1.89443418e+04,1.26092783e+04,1.86955957e+03
7.11285782e+00,1.33355283e+04,1.86694258e+04,1.24562988e+04,1.97559009e+03
7.32151794e+00,1.26126260e+04,1.76602598e+04,1.19414961e+04,2.11125732e+03
7.53554821e+00,1.36635605e+04,1.91360820e+04,1.31437051e+04,2.45178809e+03
7.75508738e+00,1.45801523e+04,2.04198086e+04,1.40481104e+04,2.69629907e+03
