Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,5.36522502e-03,8.49458203e-03,2.04171427e-02,3.75202894e+00
7.99999982e-02,8.74023791e-03,1.36867277e-02,2.44168676e-02,4.08799553e+00
1.19999997e-01,1.30271101e-02,2.01145392e-02,2.67364550e-02,4.16737270e+00
1.59999996e-01,1.80755947e-02,2.75381003e-02,2.78815608e-02,4.42007542e+00
2.00000003e-01,2.46805307e-02,3.69818993e-02,2.93714404e-02,4.58356428e+00
2.39999995e-01,3.23744044e-02,4.76815775e-02,3.07973325e-02,4.86186600e+00
2.80000001e-01,3.84316370e-02,5.58940805e-02,3.29786055e-02,5.52595901e+00
3.19999993e-01,4.40757871e-02,6.34566545e-02,3.54008898e-02,5.30902338e+00
3.60000014e-01,5.01349531e-02,7.15377852e-02,3.87976691e-02,5.50055027e+00
4.00000006e-01,5.56970537e-02,7.88833648e-02,4.09603417e-02,5.91411972e+00
4.39999998e-01,6.20098934e-02,8.73619094e-02,4.57774997e-02,7.63959503e+00
4.79999989e-01,6.81558847e-02,9.55750346e-02,4.92398590e-02,7.37317514e+00
5.19999981e-01,7.45858401e-02,1.04262508e-01,5.34408614e-02,9.63591194e+00
5.60000002e-01,7.97954276e-02,1.11274943e-01,5.73066026e-02,1.07678375e+01
6.00000024e-01,8.84389952e-02,1.23059630e-01,6.25049770e-02,1.36246738e+01
6.41029537e-01,9.82700884e-02,1.36607856e-01,7.08746240e-02,1.22309160e+01
6.83115125e-01,1.06448360e-01,1.47820234e-01,7.66129270e-02,1.22743406e+01
7.26283848e-01,1.20848097e-01,1.67661414e-01,8.56264010e-02,1.18614597e+01
7.70563781e-01,1.33116350e-01,1.84657216e-01,9.63757709e-02,1.43568087e+01
8.15983355e-01,1.53291479e-01,2.12467238e-01,1.08206362e-01,1.56283302e+01
8.62571895e-01,1.72349125e-01,2.38815710e-01,1.23670429e-01,1.50755844e+01
9.10359621e-01,2.02114731e-01,2.79821932e-01,1.41089588e-01,1.55272865e+01
9.59377348e-01,2.24105626e-01,3.10271770e-01,1.60640150e-01,1.67998581e+01
1.00965667e+00,2.56371409e-01,3.54911834e-01,1.82674065e-01,1.70332508e+01
1.06123006e+00,3.03625524e-01,4.20561403e-01,2.21920446e-01,1.67748184e+01
1.11413085e+00,3.64301652e-01,5.05040407e-01,2.75008529e-01,1.75219879e+01
1.16839325e+00,4.28555340e-01,5.94937146e-01,3.39640498e-01,1.86359234e+01
1.22405231e+00,4.92872536e-01,6.85329497e-01,4.10273850e-01,1.93765182e+01
1.28114390e+00,6.13632262e-01,8.55652690e-01,5.46953678e-01,2.14888210e+01
1.33970511e+00,7.70596564e-01,1.07776606e+00,7.50332117e-01,2.25574741e+01
1.39977336e+00,1.95309453e+04,2.73579883e+04,1.92804180e+04,2.00415967e+03
1.46138775e+00,2.23675703e+04,3.13181582e+04,2.12774570e+04,1.88974561e+03
1.52458799e+00,1.77123984e+04,2.47996309e+04,1.68848867e+04,1.62795471e+03
1.58941495e+00,1.68992031e+04,2.36666055e+04,1.63904805e+04,1.81593066e+03
1.65591037e+00,1.67551172e+04,2.34677500e+04,1.64049219e+04,1.93682422e+03
1.72411728e+00,1.66067051e+04,2.32614453e+04,1.63433945e+04,1.99972778e+03
1.79407966e+00,1.64472656e+04,2.30391406e+04,1.62410410e+04,2.03656958e+03
1.86584306e+00,1.63788203e+04,2.29441016e+04,1.62167305e+04,2.07535620e+03
1.93945324e+00,1.64339980e+04,2.30219961e+04,1.63036660e+04,2.11709229e+03
2.01495814e+00,1.65117656e+04,2.31312227e+04,1.63973926e+04,2.14880737e+03
2.09240627e+00,1.65126855e+04,2.31325195e+04,1.64010977e+04,2.15737061e+03
2.17184782e+00,1.63294189e+04,2.28755977e+04,1.62120762e+04,2.13695581e+03
2.25333428e+00,1.57966387e+04,2.21290371e+04,1.56755664e+04,2.07203149e+03
2.33691788e+00,1.50006387e+04,2.10140176e+04,1.48896973e+04,1.98497095e+03
2.42265272e+00,1.42899355e+04,2.00187441e+04,1.41993643e+04,1.91628223e+03
2.51059437e+00,1.39577441e+04,1.95538477e+04,1.38886553e+04,1.89701355e+03
2.60079956e+00,1.41599199e+04,1.98375469e+04,1.41096680e+04,1.94648584e+03
2.69332647e+00,1.48466738e+04,2.07999316e+04,1.48083467e+04,2.05557666e+03
2.78823495e+00,1.57032500e+04,2.19999062e+04,1.56666445e+04,2.17994580e+03
2.88558602e+00,1.65005332e+04,2.31165645e+04,1.64568809e+04,2.28914282e+03
2.98544264e+00,1.67523555e+04,2.34689688e+04,1.66984082e+04,2.31983496e+03
3.08786964e+00,1.61177168e+04,2.25798828e+04,1.60690146e+04,2.25245215e+03
3.19293284e+00,1.50583545e+04,2.10960371e+04,1.50234951e+04,2.11763672e+03
3.30070019e+00,1.41155234e+04,1.97753379e+04,1.40883047e+04,2.00638831e+03
3.41124129e+00,1.35237314e+04,1.89462520e+04,1.34950801e+04,1.92081213e+03
3.52462745e+00,1.35223447e+04,1.89441758e+04,1.34829814e+04,1.91783142e+03
3.64093208e+00,1.40754619e+04,1.97186680e+04,1.40154609e+04,1.97971240e+03
3.76023054e+00,1.47051045e+04,2.06003516e+04,1.46270547e+04,2.05829004e+03
3.88259912e+00,1.51309102e+04,2.11967227e+04,1.50484033e+04,2.12751831e+03
4.00811720e+00,1.50460332e+04,2.10779062e+04,1.49719561e+04,2.13834277e+03
4.13686609e+00,1.43901035e+04,2.01594824e+04,1.43406172e+04,2.08365479e+03
4.26892853e+00,1.37152393e+04,1.92148379e+04,1.37005361e+04,2.03054041e+03
4.40439081e+00,1.30663652e+04,1.83060273e+04,1.30598477e+04,1.94778918e+03
4.54333878e+00,1.25935195e+04,1.76435957e+04,1.25788926e+04,1.87137830e+03
4.68586397e+00,1.31428418e+04,1.84130078e+04,1.31130156e+04,1.93307690e+03
4.83205652e+00,1.44958037e+04,2.03082676e+04,1.44538721e+04,2.11040186e+03
4.98201227e+00,1.61220283e+04,2.25858477e+04,1.60452412e+04,2.30356299e+03
5.13582754e+00,1.62207979e+04,2.27232344e+04,1.61075410e+04,2.30344556e+03
5.29360199e+00,1.58340645e+04,2.21817598e+04,1.57426738e+04,2.29586230e+03
5.45543718e+00,1.51766084e+04,2.12611504e+04,1.51121025e+04,2.24397388e+03
5.62143755e+00,1.36466211e+04,1.91183145e+04,1.36113301e+04,2.06604517e+03
5.79171038e+00,1.27842480e+04,1.79107266e+04,1.27709131e+04,1.96125879e+03
5.96636629e+00,1.24493877e+04,1.74408828e+04,1.24072256e+04,1.87605811e+03
6.14551687e+00,1.20325977e+04,1.68571484e+04,1.19975566e+04,1.81800671e+03
6.32927942e+00,1.33394814e+04,1.86885859e+04,1.33225752e+04,2.00133679e+03
6.51777077e+00,1.47593232e+04,2.06771445e+04,1.47182178e+04,2.17104199e+03
6.71111441e+00,1.44470840e+04,2.02391836e+04,1.43923281e+04,2.13017114e+03
6.90943432e+00,1.32419707e+04,1.85509082e+04,1.32014785e+04,1.99205884e+03
7.11285782e+00,1.16684404e+04,1.63469131e+04,1.16518809e+04,1.80361182e+03
7.32151794e+00,1.05974941e+04,1.48480303e+04,1.06323740e+04,1.69887231e+03
7.53554821e+00,1.16802744e+04,1.63649893e+04,1.17052754e+04,1.82602502e+03
7.75508738e+00,1.33434043e+04,1.86937266e+04,1.33196934e+04,2.01396924e+03
