Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,7.19694346e-02,1.06993273e-01,2.92788088e-01,4.55081940e+01
7.99999982e-02,8.18509907e-02,1.19736150e-01,2.84404457e-01,5.47416611e+01
1.19999997e-01,9.06637013e-02,1.31124929e-01,2.78853834e-01,6.07158928e+01
1.59999996e-01,9.97935608e-02,1.43335491e-01,2.73373425e-01,6.52670898e+01
2.00000003e-01,1.03953511e-01,1.48337364e-01,2.72219270e-01,6.73439789e+01
2.39999995e-01,1.13370039e-01,1.61178693e-01,2.67253011e-01,6.98894730e+01
2.80000001e-01,1.18313394e-01,1.67407304e-01,2.78460383e-01,7.17195663e+01
3.19999993e-01,1.26513362e-01,1.78655922e-01,2.76765108e-01,7.32888412e+01
3.60000014e-01,1.29498377e-01,1.82122141e-01,2.90379345e-01,7.48036041e+01
4.00000006e-01,1.34746999e-01,1.88779652e-01,2.86940873e-01,7.61024780e+01
4.39999998e-01,1.33241042e-01,1.85908318e-01,2.92794526e-01,7.72187271e+01
4.79999989e-01,1.35582834e-01,1.88271254e-01,2.89991975e-01,7.82936859e+01
5.19999981e-01,1.30160853e-01,1.79882288e-01,2.93550074e-01,7.93131332e+01
5.60000002e-01,1.28697783e-01,1.76840201e-01,2.95125455e-01,8.03494949e+01
6.00000024e-01,1.19374707e-01,1.63173243e-01,2.99028516e-01,8.14713745e+01
6.41029537e-01,1.17263384e-01,1.59967244e-01,3.08024824e-01,8.27768478e+01
6.83115125e-01,1.07258931e-01,1.46112859e-01,3.11107635e-01,8.39242935e+01
7.26283848e-01,1.04483843e-01,1.42574191e-01,3.27550530e-01,8.53109970e+01
7.70563781e-01,1.01655841e-01,1.38906926e-01,3.30639273e-01,8.67923965e+01
8.15983355e-01,1.05331086e-01,1.44129366e-01,3.48787636e-01,8.81315918e+01
8.62571895e-01,1.00926697e-01,1.38272643e-01,3.54974747e-01,8.97993011e+01
9.10359621e-01,1.06496409e-01,1.45899802e-01,3.73837471e-01,9.13483047e+01
9.59377348e-01,1.05985954e-01,1.45445675e-01,3.90176684e-01,9.29848328e+01
1.00965667e+00,1.11965530e-01,1.53906763e-01,4.07097518e-01,9.48853302e+01
1.06123006e+00,1.22173466e-01,1.68271899e-01,4.38105762e-01,9.68833160e+01
1.11413085e+00,1.33121148e-01,1.83676511e-01,4.75879133e-01,9.94857635e+01
1.16839325e+00,1.45821586e-01,2.01712176e-01,5.23842096e-01,1.01880844e+02
1.22405231e+00,1.60412997e-01,2.22597510e-01,5.82709372e-01,1.04300789e+02
1.28114390e+00,1.84859484e-01,2.57668465e-01,6.78669155e-01,1.06942368e+02
1.33970511e+00,2.14799762e-01,3.00897926e-01,7.89562345e-01,1.10299286e+02
1.39977336e+00,2.05577695e+04,2.87811094e+04,1.92641562e+04,1.30494031e+03
1.46138775e+00,2.50537324e+04,3.50345195e+04,2.12070703e+04,1.37097998e+03
1.52458799e+00,1.56365498e+04,2.18633438e+04,1.33544180e+04,1.01698169e+03
1.58941495e+00,1.44510879e+04,2.02172305e+04,1.28688926e+04,1.18545825e+03
1.65591037e+00,1.42050820e+04,1.98788984e+04,1.29198574e+04,1.29520972e+03
1.72411728e+00,1.41899004e+04,1.98612051e+04,1.30766006e+04,1.38517346e+03
1.79407966e+00,1.42934688e+04,2.00088047e+04,1.32967559e+04,1.46501562e+03
1.86584306e+00,1.45109062e+04,2.03153008e+04,1.35985234e+04,1.54794312e+03
1.93945324e+00,1.48393848e+04,2.07769609e+04,1.39895117e+04,1.63016626e+03
2.01495814e+00,1.52738271e+04,2.13866348e+04,1.44646758e+04,1.71854932e+03
2.09240627e+00,1.57484941e+04,2.20522070e+04,1.49597129e+04,1.79767468e+03
2.17184782e+00,1.61829863e+04,2.26609414e+04,1.53902803e+04,1.85852319e+03
2.25333428e+00,1.62788662e+04,2.27948105e+04,1.54644043e+04,1.86781506e+03
2.33691788e+00,1.58555371e+04,2.22016816e+04,1.50434844e+04,1.82516772e+03
2.42265272e+00,1.51550449e+04,2.12209062e+04,1.43693818e+04,1.75961670e+03
2.51059437e+00,1.44618857e+04,2.02507832e+04,1.37157988e+04,1.70248035e+03
2.60079956e+00,1.43204805e+04,2.00543730e+04,1.36392607e+04,1.73656580e+03
2.69332647e+00,1.51407041e+04,2.12046016e+04,1.44851055e+04,1.86525146e+03
2.78823495e+00,1.61578633e+04,2.26289609e+04,1.54619180e+04,1.99256335e+03
2.88558602e+00,1.71378965e+04,2.40014453e+04,1.64295137e+04,2.13093652e+03
2.98544264e+00,1.81992539e+04,2.54868789e+04,1.74299668e+04,2.25059521e+03
3.08786964e+00,1.77697832e+04,2.48836582e+04,1.69634141e+04,2.19709253e+03
