Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,6.08266433e-08,8.44464623e-08,6.27302234e-06,1.96690121e+01
7.99999982e-02,1.31468511e-07,1.85624032e-07,3.40825136e-05,2.38243523e+01
1.19999997e-01,2.11519875e-07,2.99273665e-07,5.69706463e-05,2.60135803e+01
1.59999996e-01,3.33953722e-07,4.73430845e-07,9.02955217e-05,2.86585350e+01
2.00000003e-01,5.37986580e-07,7.65171080e-07,1.35873954e-04,2.97030964e+01
2.39999995e-01,7.39558345e-07,1.05625270e-06,1.89088008e-04,3.15661545e+01
2.80000001e-01,1.00871046e-06,1.44912201e-06,2.61604175e-04,3.27786179e+01
3.19999993e-01,1.26525174e-06,1.83129600e-06,3.48785019e-04,3.40525208e+01
3.60000014e-01,1.53010444e-06,2.23436882e-06,4.59522387e-04,3.51382523e+01
4.00000006e-01,1.83446662e-06,2.70604778e-06,5.99527732e-04,3.62118950e+01
4.39999998e-01,2.20961647e-06,3.27539260e-06,7.76604749e-04,3.70980492e+01
4.79999989e-01,2.66079087e-06,3.94767994e-06,9.94629227e-04,3.80614281e+01
5.19999981e-01,3.18248317e-06,4.73343698e-06,1.25775952e-03,3.88279266e+01
5.60000002e-01,3.76664434e-06,5.62556852e-06,1.56740402e-03,3.96737900e+01
6.00000024e-01,4.43994122e-06,6.65378639e-06,1.92660640e-03,4.03510475e+01
6.41029537e-01,5.23945255e-06,7.87055251e-06,2.34483206e-03,4.11030655e+01
6.83115125e-01,6.16694160e-06,9.26385110e-06,2.82827066e-03,4.17259560e+01
7.26283848e-01,7.20694879e-06,1.08480726e-05,3.38099338e-03,4.24445877e+01
7.70563781e-01,8.38056803e-06,1.26969298e-05,4.00882913e-03,4.30785599e+01
8.15983355e-01,9.71526151e-06,1.48259369e-05,4.70568193e-03,4.37510529e+01
8.62571895e-01,1.12689377e-05,1.72809523e-05,5.47412457e-03,4.44000778e+01
9.10359621e-01,1.30366980e-05,2.00868872e-05,6.32615853e-03,4.50447540e+01
9.59377348e-01,1.50598726e-05,2.33316368e-05,7.26198405e-03,4.57031212e+01
1.00965667e+00,1.73870758e-05,2.71047975e-05,8.28027539e-03,4.63592453e+01
1.06123006e+00,2.00823324e-05,3.15020079e-05,9.39142331e-03,4.70201874e+01
1.11413085e+00,2.32243656e-05,3.66713430e-05,1.06001236e-02,4.76977005e+01
1.16839325e+00,2.69471093e-05,4.28317217e-05,1.19114462e-02,4.83745880e+01
1.22405231e+00,3.13911878e-05,5.01973227e-05,1.33381654e-02,4.90608521e+01
1.28114390e+00,3.67249668e-05,5.90782001e-05,1.48911616e-02,4.97564926e+01
1.33970511e+00,4.31291810e-05,6.97318537e-05,1.65793952e-02,5.04349937e+01
1.39977336e+00,2.02188281e+04,2.83237461e+04,2.01039102e+04,2.22705664e+03
1.46138775e+00,2.63319766e+04,3.68664922e+04,2.48411582e+04,2.17848511e+03
1.52458799e+00,1.64341855e+04,2.30068672e+04,1.55581133e+04,1.50901611e+03
1.58941495e+00,1.56326543e+04,2.18918574e+04,1.51472520e+04,1.70160938e+03
1.65591037e+00,1.55430342e+04,2.17695938e+04,1.52227129e+04,1.82218677e+03
1.72411728e+00,1.56176846e+04,2.18760508e+04,1.53936777e+04,1.91449609e+03
1.79407966e+00,1.57507607e+04,2.20636953e+04,1.55891436e+04,1.98881909e+03
1.86584306e+00,1.58586650e+04,2.22156641e+04,1.57388789e+04,2.04305493e+03
1.93945324e+00,1.59309004e+04,2.23174277e+04,1.58404932e+04,2.08311450e+03
2.01495814e+00,1.59883223e+04,2.23983203e+04,1.59209902e+04,2.11645215e+03
2.09240627e+00,1.60590723e+04,2.24977930e+04,1.60104707e+04,2.14781006e+03
2.17184782e+00,1.61261660e+04,2.25920625e+04,1.60923164e+04,2.17525146e+03
2.25333428e+00,1.61712070e+04,2.26553711e+04,1.61488008e+04,2.19646777e+03
2.33691788e+00,1.61683145e+04,2.26514551e+04,1.61538994e+04,2.20787769e+03
2.42265272e+00,1.61114160e+04,2.25718438e+04,1.61029727e+04,2.21024634e+03
2.51059437e+00,1.60265820e+04,2.24530996e+04,1.60241543e+04,2.20897168e+03
2.60079956e+00,1.59668867e+04,2.23696133e+04,1.59717461e+04,2.21214795e+03
