Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.27077715e-02,3.64643522e-02,1.94421351e-01,5.78306007e+00
7.99999982e-02,3.11335623e-02,4.95561026e-02,2.25416362e-01,5.82411957e+00
1.19999997e-01,3.86355259e-02,6.08018674e-02,2.48175025e-01,5.84599590e+00
1.59999996e-01,4.65800799e-02,7.26862699e-02,2.70868212e-01,5.87687111e+00
2.00000003e-01,5.26324585e-02,8.13830271e-02,2.78905571e-01,5.90241909e+00
2.39999995e-01,5.87490760e-02,9.03236195e-02,2.91747987e-01,5.93056107e+00
2.80000001e-01,6.25904128e-02,9.57792550e-02,2.99519539e-01,5.95793581e+00
3.19999993e-01,6.57974184e-02,1.00418292e-01,3.05483997e-01,5.98884678e+00
3.60000014e-01,6.73545823e-02,1.02434844e-01,3.11234176e-01,6.01681805e+00
4.00000006e-01,6.93700612e-02,1.05482012e-01,3.16192448e-01,6.04556131e+00
4.39999998e-01,7.01085106e-02,1.06327675e-01,3.21967959e-01,6.07767344e+00
4.79999989e-01,7.21969903e-02,1.09505042e-01,3.28425229e-01,6.10785627e+00
5.19999981e-01,7.33999461e-02,1.11082226e-01,3.36936384e-01,6.13757658e+00
5.60000002e-01,7.59293213e-02,1.14686199e-01,3.46558034e-01,6.16652536e+00
6.00000024e-01,7.78133720e-02,1.17081150e-01,3.58563244e-01,6.19988966e+00
6.41029537e-01,8.03410262e-02,1.20365582e-01,3.72356653e-01,6.22995853e+00
6.83115125e-01,8.17472786e-02,1.21844493e-01,3.88804138e-01,6.26506996e+00
7.26283848e-01,8.30984861e-02,1.23192206e-01,4.08891946e-01,6.29927349e+00
7.70563781e-01,8.33677053e-02,1.22987591e-01,4.33098793e-01,6.33486748e+00
8.15983355e-01,8.30782726e-02,1.22012004e-01,4.61848617e-01,6.37267351e+00
8.62571895e-01,8.21541622e-02,1.20146953e-01,4.95125771e-01,6.41435003e+00
9.10359621e-01,8.02605078e-02,1.16969109e-01,5.32691121e-01,6.46120930e+00
9.59377348e-01,7.78304487e-02,1.13057934e-01,5.78701615e-01,6.50955534e+00
1.00965667e+00,7.47875571e-02,1.08329415e-01,6.34371638e-01,6.57436466e+00
1.06123006e+00,7.13082179e-02,1.03036121e-01,7.02267408e-01,6.64072895e+00
1.11413085e+00,6.77476302e-02,9.76315811e-02,7.85824001e-01,6.73035192e+00
1.16839325e+00,6.42172769e-02,9.23395604e-02,8.86244655e-01,6.81208086e+00
1.22405231e+00,6.08088560e-02,8.73519704e-02,1.00614357e+00,6.92234516e+00
1.28114390e+00,5.96136004e-02,8.56247321e-02,1.15539694e+00,7.05120993e+00
1.33970511e+00,6.04821071e-02,8.72686207e-02,1.33920050e+00,7.24178076e+00
1.39977336e+00,1.72984160e+04,2.42119902e+04,1.58808916e+04,8.33430237e+02
1.46138775e+00,1.65006055e+04,2.30829512e+04,1.46095059e+04,9.61478394e+02
1.52458799e+00,2.30618184e+04,3.22784629e+04,2.12628281e+04,1.82100757e+03
1.58941495e+00,2.33314355e+04,3.26604883e+04,2.16854980e+04,1.91893347e+03
1.65591037e+00,2.28769219e+04,3.20203887e+04,2.10406211e+04,1.79766394e+03
1.72411728e+00,2.14339941e+04,2.99953223e+04,1.94313203e+04,1.60864771e+03
1.79407966e+00,1.93998145e+04,2.71437441e+04,1.73625957e+04,1.41200354e+03
1.86584306e+00,1.71562734e+04,2.40012793e+04,1.52259365e+04,1.23633130e+03
1.93945324e+00,1.49890928e+04,2.09677305e+04,1.32550234e+04,1.08926770e+03
2.01495814e+00,1.30688535e+04,1.82810684e+04,1.15580830e+04,9.68494995e+02
2.09240627e+00,1.14265801e+04,1.59838477e+04,1.01256846e+04,8.66718628e+02
2.17184782e+00,1.00207646e+04,1.40175322e+04,8.90453027e+03,7.77726929e+02
2.25333428e+00,8.81292578e+03,1.23282109e+04,7.85560742e+03,6.99450256e+02
2.33691788e+00,7.77891846e+03,1.08820078e+04,6.95428906e+03,6.30468201e+02
2.42265272e+00,6.86111914e+03,9.59824512e+03,6.15114941e+03,5.67123962e+02
2.51059437e+00,6.03801221e+03,8.44699121e+03,5.43054883e+03,5.09762329e+02
2.60079956e+00,5.31329346e+03,7.43329199e+03,4.79560596e+03,4.59306763e+02
2.69332647e+00,4.67993652e+03,6.54747949e+03,4.24066992e+03,4.13458160e+02
2.78823495e+00,4.14486768e+03,5.79909814e+03,3.77032178e+03,3.75042328e+02
2.88558602e+00,3.68000195e+03,5.14887988e+03,3.36004639e+03,3.38862335e+02
2.98544264e+00,3.27171997e+03,4.57775195e+03,2.99737061e+03,3.07700531e+02
3.08786964e+00,2.90829883e+03,4.06941870e+03,2.67353149e+03,2.77710999e+02
3.19293284e+00,2.58544897e+03,3.61785229e+03,2.38681006e+03,2.51931702e+02
3.30070019e+00,2.29820850e+03,3.21605322e+03,2.13068677e+03,2.27846741e+02
3.41124129e+00,2.05770703e+03,2.87962012e+03,1.91474377e+03,2.08523300e+02
3.52462745e+00,1.86104602e+03,2.60450488e+03,1.73781946e+03,1.91009720e+02
3.64093208e+00,1.69053467e+03,2.36603979e+03,1.58644141e+03,1.77632019e+02
3.76023054e+00,1.53805774e+03,2.15279614e+03,1.44993079e+03,1.63862793e+02
3.88259912e+00,1.40156641e+03,1.96192651e+03,1.32808679e+03,1.52197998e+02
4.00811720e+00,1.27176331e+03,1.78046387e+03,1.21306494e+03,1.40474442e+02
4.13686609e+00,1.16555872e+03,1.63193408e+03,1.11717310e+03,1.30788162e+02
4.26892853e+00,1.07311902e+03,1.50266833e+03,1.03485486e+03,1.21767548e+02
4.40439081e+00,9.95666077e+02,1.39432751e+03,9.65158020e+02,1.15048271e+02
4.54333878e+00,9.25919495e+02,1.29683203e+03,9.03666992e+02,1.08173927e+02
4.68586397e+00,8.58205994e+02,1.20215698e+03,8.44556641e+02,1.01633919e+02
4.83205652e+00,7.98179016e+02,1.11823767e+03,7.93164673e+02,9.62571487e+01
4.98201227e+00,7.44300232e+02,1.04292432e+03,7.48150879e+02,9.07123260e+01
5.13582754e+00,7.00903076e+02,9.82278992e+02,7.14261902e+02,8.70554428e+01
5.29360199e+00,6.62751648e+02,9.28990784e+02,6.86271484e+02,8.29652634e+01
5.45543718e+00,6.29901123e+02,8.83092102e+02,6.65263855e+02,8.01966171e+01
5.62143755e+00,6.02308899e+02,8.44540588e+02,6.49977539e+02,7.70727386e+01
5.79171038e+00,5.77808289e+02,8.10333496e+02,6.39995422e+02,7.49219208e+01
5.96636629e+00,5.59888672e+02,7.85300415e+02,6.36567322e+02,7.22272034e+01
6.14551687e+00,5.41965637e+02,7.60224304e+02,6.34426025e+02,6.98686676e+01
6.32927942e+00,5.24353210e+02,7.35610046e+02,6.33945251e+02,6.71103287e+01
6.51777077e+00,5.11583588e+02,7.17749268e+02,6.37333618e+02,6.46976929e+01
6.71111441e+00,5.01516418e+02,7.03698486e+02,6.42084045e+02,6.23068390e+01
