Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.77391685e-05,2.77221952e-05,4.33898764e-03,2.97160721e+01
7.99999982e-02,2.55399755e-05,4.14603674e-05,6.55759871e-03,3.16692543e+01
1.19999997e-01,4.21908917e-05,6.75883712e-05,9.15553048e-03,3.22442398e+01
1.59999996e-01,1.09228073e-04,1.62882396e-04,1.18524879e-02,3.40216637e+01
2.00000003e-01,2.30556761e-04,3.29704868e-04,1.52812554e-02,3.50857391e+01
2.39999995e-01,3.46392801e-04,4.85656376e-04,1.63033940e-02,3.68092880e+01
2.80000001e-01,4.22791112e-04,5.99483494e-04,1.75359007e-02,3.82086182e+01
3.19999993e-01,4.99343674e-04,7.26870378e-04,1.79217085e-02,4.00722351e+01
3.60000014e-01,6.49155234e-04,9.66275460e-04,1.87496208e-02,4.17765465e+01
4.00000006e-01,9.33082425e-04,1.41307607e-03,1.91989373e-02,4.38456993e+01
4.39999998e-01,1.37841853e-03,2.09430838e-03,2.04193089e-02,4.75960922e+01
4.79999989e-01,2.07766914e-03,3.18947202e-03,2.18592398e-02,5.37594452e+01
5.19999981e-01,2.92319059e-03,4.47384315e-03,2.48074997e-02,5.70832520e+01
5.60000002e-01,4.07369155e-03,6.28646137e-03,2.80036312e-02,5.83010597e+01
6.00000024e-01,5.22980094e-03,7.99673703e-03,3.28896903e-02,5.70123520e+01
6.41029537e-01,6.70211343e-03,1.02504250e-02,3.80380340e-02,6.17397995e+01
6.83115125e-01,8.07857141e-03,1.22358026e-02,4.33876291e-02,6.29829178e+01
7.26283848e-01,9.97384638e-03,1.50431804e-02,5.11758514e-02,6.72122269e+01
7.70563781e-01,1.25577059e-02,1.89280286e-02,5.71429655e-02,6.92248840e+01
8.15983355e-01,1.61896404e-02,2.44200509e-02,6.78404570e-02,7.86725388e+01
8.62571895e-01,2.01894678e-02,3.02103534e-02,7.57934675e-02,7.86401215e+01
9.10359621e-01,2.50323117e-02,3.73346247e-02,8.94287229e-02,8.24392548e+01
9.59377348e-01,3.00806183e-02,4.45874669e-02,1.03000462e-01,8.75441208e+01
1.00965667e+00,3.66036743e-02,5.41004799e-02,1.24417678e-01,9.24967804e+01
1.06123006e+00,4.67454121e-02,6.90033734e-02,1.51296720e-01,9.61508789e+01
1.11413085e+00,6.09024875e-02,8.94274637e-02,1.86622411e-01,1.04491318e+02
1.16839325e+00,7.71493316e-02,1.12597547e-01,2.26643533e-01,1.06726028e+02
1.22405231e+00,9.40085799e-02,1.36670068e-01,2.66662091e-01,1.09058029e+02
1.28114390e+00,1.11643828e-01,1.62008166e-01,3.10843378e-01,1.14269463e+02
1.33970511e+00,1.27744973e-01,1.85149416e-01,3.65061492e-01,1.20890335e+02
1.39977336e+00,1.87002500e+04,2.61936426e+04,1.84184551e+04,1.95237366e+03
1.46138775e+00,2.06296582e+04,2.88852734e+04,1.96715488e+04,1.87597742e+03
1.52458799e+00,1.86164570e+04,2.60669414e+04,1.78308184e+04,1.84243506e+03
1.58941495e+00,1.77799902e+04,2.49003555e+04,1.72616543e+04,1.96981079e+03
1.65591037e+00,1.77247090e+04,2.48250742e+04,1.73261953e+04,2.07093921e+03
1.72411728e+00,1.77917910e+04,2.49203594e+04,1.74529219e+04,2.13871094e+03
1.79407966e+00,1.77597402e+04,2.48760293e+04,1.74500938e+04,2.17640918e+03
1.86584306e+00,1.75667305e+04,2.46058418e+04,1.72695020e+04,2.17939844e+03
1.93945324e+00,1.71968008e+04,2.40876602e+04,1.69066426e+04,2.14043750e+03
2.01495814e+00,1.66887051e+04,2.33757539e+04,1.63987305e+04,2.08300830e+03
2.09240627e+00,1.60537568e+04,2.24862051e+04,1.57678027e+04,2.00439648e+03
2.17184782e+00,1.53845000e+04,2.15485879e+04,1.51034160e+04,1.93074585e+03
2.25333428e+00,1.46847598e+04,2.05683145e+04,1.44114316e+04,1.84428906e+03
2.33691788e+00,1.40131504e+04,1.96274668e+04,1.37481455e+04,1.78355115e+03
2.42265272e+00,1.33693115e+04,1.87255215e+04,1.31125420e+04,1.69892480e+03
2.51059437e+00,1.26277920e+04,1.76868203e+04,1.23840049e+04,1.62184851e+03
2.60079956e+00,1.18259600e+04,1.65637402e+04,1.16007422e+04,1.52144385e+03
2.69332647e+00,1.10381504e+04,1.54603916e+04,1.08341748e+04,1.44302185e+03
2.78823495e+00,1.02992373e+04,1.44255928e+04,1.01175713e+04,1.35878992e+03
2.88558602e+00,9.60186328e+03,1.34490254e+04,9.44239844e+03,1.28582520e+03
2.98544264e+00,8.93937012e+03,1.25213838e+04,8.80336816e+03,1.21593005e+03
3.08786964e+00,8.30725195e+03,1.16362959e+04,8.19400879e+03,1.14378040e+03
3.19293284e+00,7.78211035e+03,1.09009600e+04,7.68639404e+03,1.09325891e+03
3.30070019e+00,7.34025635e+03,1.02822188e+04,7.25819775e+03,1.03902612e+03
3.41124129e+00,6.99847070e+03,9.80349707e+03,6.92402197e+03,1.00380658e+03
3.52462745e+00,6.63944873e+03,9.30066309e+03,6.57376270e+03,9.58683655e+02
3.64093208e+00,6.14092383e+03,8.60250000e+03,6.08972510e+03,9.01613647e+02
3.76023054e+00,5.51986426e+03,7.73279492e+03,5.48987598e+03,8.31086182e+02
3.88259912e+00,4.98577490e+03,6.98503418e+03,4.97668164e+03,7.73190918e+02
4.00811720e+00,4.68357422e+03,6.56193018e+03,4.68708984e+03,7.37660645e+02
4.13686609e+00,4.55286475e+03,6.37889697e+03,4.56152002e+03,7.19274658e+02
4.26892853e+00,4.36200928e+03,6.11162158e+03,4.37642773e+03,6.90194092e+02
4.40439081e+00,3.98483838e+03,5.58342432e+03,4.01142554e+03,6.41197632e+02
4.54333878e+00,3.54355518e+03,4.96549170e+03,3.58685718e+03,5.87074768e+02
4.68586397e+00,3.21430298e+03,4.50459131e+03,3.27584937e+03,5.43554993e+02
4.83205652e+00,3.02292944e+03,4.23679297e+03,3.10161523e+03,5.19853271e+02
4.98201227e+00,2.82735205e+03,3.96331787e+03,2.92979565e+03,4.89070068e+02
5.13582754e+00,2.57517041e+03,3.61088892e+03,2.71241797e+03,4.66882385e+02
5.29360199e+00,2.45129785e+03,3.43836230e+03,2.62082129e+03,4.44234344e+02
5.45543718e+00,2.40289673e+03,3.37146021e+03,2.60249780e+03,4.29647766e+02
5.62143755e+00,2.22450317e+03,3.12346680e+03,2.47756299e+03,4.03849548e+02
5.79171038e+00,2.13186572e+03,2.99633301e+03,2.44431787e+03,3.78449280e+02
5.96636629e+00,2.23939966e+03,3.14808228e+03,2.55236621e+03,3.61357574e+02
6.14551687e+00,2.21098145e+03,3.10978564e+03,2.53141699e+03,3.37366821e+02
6.32927942e+00,2.23353027e+03,3.14283301e+03,2.54385498e+03,3.12806152e+02
6.51777077e+00,2.44437842e+03,3.43541357e+03,2.62647266e+03,2.85869354e+02
6.71111441e+00,2.48071143e+03,3.48096460e+03,2.50980347e+03,2.53068100e+02
6.90943432e+00,2.35977100e+03,3.30748193e+03,2.28810376e+03,2.25167786e+02
7.11285782e+00,2.22611133e+03,3.11735498e+03,2.08973804e+03,1.99824265e+02
7.32151794e+00,2.07934644e+03,2.90761060e+03,1.90769934e+03,1.80627441e+02
7.53554821e+00,1.90475134e+03,2.65932397e+03,1.76617896e+03,1.64765396e+02
7.75508738e+00,1.75314258e+03,2.44717993e+03,1.69513208e+03,1.51670242e+02
7.98027754e+00,1.66455432e+03,2.32689355e+03,1.69680005e+03,1.38660400e+02
8.21126270e+00,1.65494446e+03,2.31798486e+03,1.74083350e+03,1.26417801e+02
8.44819450e+00,1.70024097e+03,2.38434888e+03,1.77393018e+03,1.13960472e+02
8.69122219e+00,1.76123877e+03,2.47028613e+03,1.74979810e+03,1.00810966e+02
8.94050789e+00,1.80653821e+03,2.53174805e+03,1.69620117e+03,8.90069962e+01
9.19620800e+00,1.82634485e+03,2.55608154e+03,1.66279395e+03,7.57492371e+01
9.45849037e+00,1.84763147e+03,2.58388330e+03,1.68474060e+03,6.57185135e+01
9.72752285e+00,1.90396082e+03,2.66240430e+03,1.76660754e+03,5.60471649e+01
1.00034800e+01,1.96538318e+03,2.74743872e+03,1.84469373e+03,4.81444473e+01
1.02865391e+01,1.98349121e+03,2.77188184e+03,1.86032361e+03,4.06503181e+01
1.05768833e+01,1.92421106e+03,2.68972363e+03,1.78563660e+03,3.39629936e+01
1.08747025e+01,1.83209229e+03,2.56080469e+03,1.66579614e+03,2.75498085e+01
1.11801853e+01,1.71783228e+03,2.40111841e+03,1.53609814e+03,2.13091812e+01
1.14935322e+01,1.61161304e+03,2.25215820e+03,1.37998730e+03,1.53233414e+01
1.18149433e+01,1.48805896e+03,2.07751538e+03,1.18412305e+03,9.84654331e+00
1.21446266e+01,1.33293481e+03,1.85902026e+03,9.67067261e+02,5.35342598e+00
1.24827967e+01,1.15654297e+03,1.61140747e+03,7.23499756e+02,2.25171280e+00
1.28296700e+01,9.87039734e+02,1.37153137e+03,4.78392395e+02,6.14009857e-01
1.31854706e+01,7.64102051e+02,1.05568042e+03,2.64045532e+02,7.25008696e-02
1.35504293e+01,5.00390137e+02,6.86894958e+02,1.20092163e+02,4.19451098e-04
1.39247818e+01,2.79011749e+02,3.80445465e+02,4.77812195e+01,9.33190604e-05
1.43087692e+01,1.38287582e+02,1.87875061e+02,1.91594696e+01,6.48650894e-05
1.47026405e+01,7.27937698e+01,9.87750931e+01,8.65589714e+00,4.94625456e-05
1.51066484e+01,4.14998970e+01,5.62323799e+01,4.39881992e+00,1.61309272e-05
1.55210552e+01,2.68008080e+01,3.62718277e+01,2.47592163e+00,2.41815160e-05
1.59461288e+01,1.58911991e+01,2.14140034e+01,1.22201705e+00,1.18866901e-05
1.63821430e+01,8.57462215e+00,1.15113440e+01,7.06521094e-01,2.87581247e-06
1.68293781e+01,4.43716192e+00,5.94439793e+00,3.51870328e-01,6.36483537e-06
1.72881241e+01,2.13538408e+00,2.85864472e+00,1.47982791e-01,1.30695548e-06
1.77586803e+01,9.23281431e-01,1.23463213e+00,5.08566014e-02,1.70475039e-06
1.82413464e+01,3.86983663e-01,5.15517771e-01,1.40677523e-02,7.73267232e-07
