Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.01180086e-10,4.62324262e-10,9.12002027e-02,8.74696159e+00
7.99999982e-02,7.43198125e-09,1.94023659e-08,1.13079771e-01,8.82363033e+00
1.19999997e-01,3.30157874e-08,8.89877185e-08,1.22634225e-01,8.87251186e+00
1.59999996e-01,1.14841363e-07,3.13670142e-07,1.33299872e-01,8.95061016e+00
2.00000003e-01,3.20921004e-07,8.90387582e-07,1.41328126e-01,9.03875542e+00
2.39999995e-01,8.39202698e-07,2.30178512e-06,1.48819223e-01,9.11779594e+00
2.80000001e-01,1.81751534e-06,4.82551513e-06,1.54305279e-01,9.23069668e+00
3.19999993e-01,3.44532259e-06,9.04944682e-06,1.58360586e-01,9.33079720e+00
3.60000014e-01,6.82239033e-06,1.72201144e-05,1.62478447e-01,9.44175434e+00
4.00000006e-01,1.26341902e-05,3.05757821e-05,1.65507302e-01,9.52210999e+00
4.39999998e-01,2.39300352e-05,5.44849863e-05,1.70436412e-01,9.61502361e+00
4.79999989e-01,3.57594181e-05,8.05080417e-05,1.74116969e-01,9.72532654e+00
5.19999981e-01,5.67109601e-05,1.28247339e-04,1.80947348e-01,9.80681324e+00
5.60000002e-01,1.03266051e-04,2.26912627e-04,1.85185730e-01,9.91344357e+00
6.00000024e-01,1.47255632e-04,3.22386506e-04,1.92362577e-01,1.00512295e+01
6.41029537e-01,2.73291720e-04,5.95416117e-04,1.98738411e-01,1.01688519e+01
6.83115125e-01,3.95541545e-04,8.67863302e-04,2.05331296e-01,1.02747040e+01
7.26283848e-01,7.20494078e-04,1.50718831e-03,2.21474916e-01,1.04155006e+01
7.70563781e-01,1.08617183e-03,2.27160123e-03,2.35245958e-01,1.05445547e+01
8.15983355e-01,1.89253013e-03,3.88205983e-03,2.58994222e-01,1.06608639e+01
