Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.93017229e-08
7.99999982e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.84474151e-05
1.19999997e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.37347500e-04
1.59999996e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.51952811e-04
2.00000003e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.86304788e-03
2.39999995e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.60838948e-03
2.80000001e-01,2.52233724e-41,0.00000000e+00,0.00000000e+00,1.33737111e-02
3.19999993e-01,6.16571324e-41,0.00000000e+00,0.00000000e+00,3.13954502e-02
3.60000014e-01,1.20091278e-39,1.68155816e-40,2.10194770e-41,5.46928160e-02
4.00000006e-01,3.99229932e-39,1.46996209e-39,4.49816807e-40,1.00334108e-01
4.39999998e-01,1.15733240e-38,2.25679118e-38,4.64670571e-39,1.73979908e-01
4.79999989e-01,3.18763160e-37,3.37679299e-37,1.37024569e-37,2.56209224e-01
5.19999981e-01,1.25703207e-36,4.84577170e-36,2.52299443e-36,3.62751395e-01
5.60000002e-01,4.58901056e-35,7.37695140e-35,1.77687565e-35,4.85531360e-01
6.00000024e-01,2.24784619e-34,8.44635303e-34,5.31326844e-34,6.14580035e-01
6.41029537e-01,9.96334171e-33,1.66937757e-32,9.43821753e-33,7.40962803e-01
6.83115125e-01,4.25281513e-32,8.70545255e-32,3.90920697e-32,8.66327524e-01
7.26283848e-01,1.39109356e-30,3.25163968e-30,3.48696124e-30,9.88448381e-01
7.70563781e-01,3.86317413e-29,5.09155451e-29,3.16019345e-29,1.12382960e+00
8.15983355e-01,8.80890408e-28,1.32596849e-27,1.94447713e-28,1.28188002e+00
8.62571895e-01,7.22287978e-27,1.39624790e-26,9.85179496e-27,1.55846441e+00
9.10359621e-01,2.59952624e-24,2.58190841e-24,3.03514973e-25,1.92260277e+00
9.59377348e-01,5.74603759e-23,5.34355508e-23,6.78344963e-24,1.99791205e+00
1.00965667e+00,2.94130360e-21,3.56183406e-21,4.85668414e-22,2.19625688e+00
1.06123006e+00,2.37217822e-19,2.50591161e-19,3.31373949e-20,2.45769358e+00
1.11413085e+00,2.46081004e-17,2.94029091e-17,2.72863309e-18,2.80680346e+00
1.16839325e+00,5.38552336e-16,6.59449190e-16,1.14140959e-16,3.09680557e+00
1.22405231e+00,3.98779283e-14,4.42149708e-14,3.60502559e-15,3.71860743e+00
1.28114390e+00,7.02004915e-13,7.60571510e-13,8.40872375e-14,4.01024294e+00
1.33970511e+00,7.04334941e-12,6.98340778e-12,7.09709418e-13,4.50356436e+00
1.39977336e+00,2.01271406e+04,2.81941758e+04,1.99331230e+04,2.06958105e+03
1.46138775e+00,2.45447344e+04,3.43632891e+04,2.30824258e+04,1.88119238e+03
1.52458799e+00,1.45263750e+04,2.03339355e+04,1.36302812e+04,1.19093530e+03
1.58941495e+00,1.26633838e+04,1.77309102e+04,1.21143750e+04,1.20963208e+03
1.65591037e+00,1.17536504e+04,1.64598770e+04,1.13872168e+04,1.25438818e+03
1.72411728e+00,1.17702363e+04,1.64859609e+04,1.15496172e+04,1.39781177e+03
1.79407966e+00,1.27011992e+04,1.77928887e+04,1.26188613e+04,1.65787183e+03
1.86584306e+00,1.43337285e+04,2.00824629e+04,1.43827266e+04,1.99548047e+03
1.93945324e+00,1.63164082e+04,2.28620391e+04,1.64717871e+04,2.34853491e+03
2.01495814e+00,1.82456289e+04,2.55657266e+04,1.84547129e+04,2.62878735e+03
2.09240627e+00,1.96588594e+04,2.75449941e+04,1.98402441e+04,2.74564502e+03
2.17184782e+00,2.00997188e+04,2.81605820e+04,2.01730859e+04,2.67340039e+03
2.25333428e+00,1.94958574e+04,2.73118242e+04,1.94184570e+04,2.44290894e+03
2.33691788e+00,1.80726797e+04,2.53154160e+04,1.78513867e+04,2.13316943e+03
2.42265272e+00,1.61949219e+04,2.26829688e+04,1.58743281e+04,1.83000439e+03
2.51059437e+00,1.42220762e+04,1.99183203e+04,1.38579404e+04,1.56013965e+03
2.60079956e+00,1.23903252e+04,1.73521895e+04,1.20286055e+04,1.35484595e+03
2.69332647e+00,1.08329658e+04,1.51710596e+04,1.05038496e+04,1.19667017e+03
2.78823495e+00,9.59750977e+03,1.34412109e+04,9.31635645e+03,1.09933569e+03
2.88558602e+00,8.69715430e+03,1.21809600e+04,8.47004883e+03,1.03773218e+03
2.98544264e+00,8.13684180e+03,1.13971504e+04,7.96564795e+03,1.03227087e+03
3.08786964e+00,7.91182910e+03,1.10830967e+04,7.79781641e+03,1.06733313e+03
3.19293284e+00,8.04430078e+03,1.12699482e+04,7.99164453e+03,1.16011609e+03
3.30070019e+00,8.58721289e+03,1.20319199e+04,8.60273633e+03,1.31540527e+03
3.41124129e+00,9.61528613e+03,1.34737334e+04,9.70855762e+03,1.55047485e+03
3.52462745e+00,1.11886309e+04,1.56795938e+04,1.13716738e+04,1.86691724e+03
3.64093208e+00,1.33446924e+04,1.87019531e+04,1.36318867e+04,2.29071582e+03
3.76023054e+00,1.60731484e+04,2.25262500e+04,1.64783438e+04,2.80005908e+03
3.88259912e+00,1.92249062e+04,2.69433555e+04,1.97522988e+04,3.38036914e+03
4.00811720e+00,2.23437754e+04,3.13136602e+04,2.29675762e+04,3.91053418e+03
4.13686609e+00,2.46900039e+04,3.46001641e+04,2.53332773e+04,4.23485938e+03
4.26892853e+00,2.56091230e+04,3.58856094e+04,2.61531074e+04,4.21848926e+03
4.40439081e+00,2.49418516e+04,3.49472500e+04,2.52828965e+04,3.90251855e+03
4.54333878e+00,2.30966230e+04,3.23583789e+04,2.32031914e+04,3.42792773e+03
4.68586397e+00,2.07256094e+04,2.90336387e+04,2.06347031e+04,2.95859131e+03
4.83205652e+00,1.83403242e+04,2.56900410e+04,1.81191289e+04,2.58233447e+03
4.98201227e+00,1.62360449e+04,2.27411777e+04,1.59503066e+04,2.31538110e+03
5.13582754e+00,1.45250283e+04,2.03440234e+04,1.42228125e+04,2.14985938e+03
5.29360199e+00,1.31806973e+04,1.84610898e+04,1.28942686e+04,2.06642407e+03
5.45543718e+00,1.21851562e+04,1.70671055e+04,1.19344932e+04,2.04848950e+03
5.62143755e+00,1.14935957e+04,1.60991641e+04,1.12898848e+04,2.08124365e+03
5.79171038e+00,1.10831523e+04,1.55251123e+04,1.09308809e+04,2.15773462e+03
5.96636629e+00,1.09067871e+04,1.52789902e+04,1.08075615e+04,2.26291479e+03
6.14551687e+00,1.09518740e+04,1.53431445e+04,1.09075928e+04,2.39910303e+03
6.32927942e+00,1.12248086e+04,1.57264258e+04,1.12321855e+04,2.55482178e+03
6.51777077e+00,1.16413730e+04,1.63109219e+04,1.17010547e+04,2.71437695e+03
6.71111441e+00,1.22891699e+04,1.72193223e+04,1.23992637e+04,2.89082446e+03
6.90943432e+00,1.31388086e+04,1.84103516e+04,1.32929854e+04,3.07205371e+03
7.11285782e+00,1.40715723e+04,1.97177871e+04,1.42684131e+04,3.25167310e+03
7.32151794e+00,1.52224033e+04,2.13305078e+04,1.54520947e+04,3.44804053e+03
7.53554821e+00,1.64356816e+04,2.30304883e+04,1.66918379e+04,3.64502734e+03
7.75508738e+00,1.75958047e+04,2.46560098e+04,1.78809805e+04,3.83596191e+03
7.98027754e+00,1.89623047e+04,2.65702969e+04,1.92563145e+04,4.02949634e+03
8.21126270e+00,2.00271289e+04,2.80613047e+04,2.02946992e+04,4.15183789e+03
8.44819450e+00,2.04164766e+04,2.86058008e+04,2.06382695e+04,4.17028906e+03
8.69122219e+00,2.06267520e+04,2.88992383e+04,2.07762500e+04,4.14522852e+03
8.94050789e+00,2.04271738e+04,2.86178730e+04,2.04609258e+04,4.05347314e+03
9.19620800e+00,1.97928086e+04,2.77274453e+04,1.97139160e+04,3.95301050e+03
9.45849037e+00,1.84356055e+04,2.58250586e+04,1.82842793e+04,3.81930029e+03
9.72752285e+00,1.77031836e+04,2.47981016e+04,1.74946992e+04,3.79182544e+03
1.00034800e+01,1.68868457e+04,2.36539961e+04,1.66574238e+04,3.79799292e+03
1.02865391e+01,1.51693887e+04,2.12498105e+04,1.50459043e+04,3.77029102e+03
1.05768833e+01,1.59812510e+04,2.23889453e+04,1.59513438e+04,4.02764990e+03
1.08747025e+01,1.58489697e+04,2.22030859e+04,1.58130205e+04,4.04807520e+03
1.11801853e+01,1.44586758e+04,2.02573496e+04,1.45469834e+04,4.00326978e+03
1.14935322e+01,1.61314707e+04,2.26032344e+04,1.63632617e+04,4.36948633e+03
1.18149433e+01,1.90419258e+04,2.66823867e+04,1.93997266e+04,4.87591016e+03
1.21446266e+01,2.00307812e+04,2.80669336e+04,2.04070938e+04,4.99535791e+03
1.24827967e+01,1.84657773e+04,2.58740234e+04,1.89013906e+04,4.75954297e+03
1.28296700e+01,1.88743301e+04,2.64459707e+04,1.94506465e+04,4.77852148e+03
