Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,0.00000000e+00,0.00000000e+00,1.69789957e-35,8.02401960e-01
7.99999982e-02,3.50324616e-41,5.46506401e-41,3.35303122e-32,2.36382866e+00
1.19999997e-01,2.65868358e-38,4.23037993e-38,3.16504017e-29,4.21201611e+00
1.59999996e-01,1.36436582e-35,2.25540833e-35,1.98033947e-26,6.92715359e+00
2.00000003e-01,3.15835349e-33,5.35332323e-33,4.82970938e-24,8.46407223e+00
2.39999995e-01,4.20984870e-31,7.28318338e-31,6.41160294e-22,1.11483288e+01
2.80000001e-01,3.34864599e-29,5.86817192e-29,4.51082461e-20,1.44271431e+01
3.19999993e-01,3.24615145e-27,5.78734360e-27,2.94659477e-18,1.74178047e+01
3.60000014e-01,1.94465984e-25,3.49362632e-25,1.41749256e-16,2.09497452e+01
4.00000006e-01,1.24212744e-23,2.25858482e-23,5.00882642e-15,2.50576477e+01
4.39999998e-01,5.05199196e-22,9.26549420e-22,1.51773193e-13,2.76369438e+01
4.79999989e-01,1.94870343e-20,3.59744629e-20,3.23841084e-12,3.14527054e+01
5.19999981e-01,3.28221700e-19,6.13147474e-19,4.21660172e-11,3.87197800e+01
5.60000002e-01,4.94495932e-18,9.26478682e-18,3.59980573e-10,4.06838264e+01
6.00000024e-01,5.87697532e-17,1.10722241e-16,2.40886266e-09,5.38975105e+01
6.41029537e-01,7.20225392e-16,1.36282551e-15,1.47359351e-08,5.36849899e+01
6.83115125e-01,6.33372444e-15,1.20969552e-14,7.13017982e-08,6.58881912e+01
7.26283848e-01,5.29475755e-14,1.01377172e-13,3.05507115e-07,6.73912659e+01
7.70563781e-01,4.56515847e-13,8.77135278e-13,1.24653093e-06,7.66440125e+01
8.15983355e-01,3.30927386e-12,6.40844712e-12,2.21200980e-06,8.33362122e+01
8.62571895e-01,2.30865899e-11,4.48892243e-11,3.02108492e-06,9.37544708e+01
9.10359621e-01,1.47738544e-10,2.90057978e-10,6.72468150e-06,1.05022194e+02
9.59377348e-01,7.10058567e-10,1.41601553e-09,1.12052985e-05,1.12832405e+02
1.00965667e+00,3.12018145e-09,6.29863184e-09,2.25194308e-05,1.30316147e+02
1.06123006e+00,1.13077370e-08,2.32907666e-08,4.72469619e-05,1.42006241e+02
