Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.09747230e-17,2.04153833e-17,1.26188201e-11,6.54084563e-01
7.99999982e-02,3.46756109e-12,6.62684317e-12,9.08302081e-06,9.53891814e-01
1.19999997e-01,1.56255755e-08,3.08501953e-08,8.75491358e-04,1.09114909e+00
1.59999996e-01,3.14423255e-06,6.41651377e-06,7.67448917e-03,1.19266248e+00
2.00000003e-01,3.80835030e-04,6.50985050e-04,2.75822524e-02,1.24442506e+00
2.39999995e-01,2.32294202e-03,3.76465335e-03,4.38011661e-02,1.29217541e+00
2.80000001e-01,7.12664705e-03,1.12347305e-02,5.15515655e-02,1.35274053e+00
3.19999993e-01,1.29424585e-02,1.98379047e-02,5.15683927e-02,1.40357828e+00
3.60000014e-01,1.99465305e-02,2.98835654e-02,4.76248711e-02,1.48461175e+00
4.00000006e-01,2.47875340e-02,3.64740565e-02,4.57025319e-02,1.51776671e+00
4.39999998e-01,2.66005006e-02,3.85595597e-02,4.23744358e-02,1.70983839e+00
4.79999989e-01,2.69268155e-02,3.86903360e-02,4.15211394e-02,1.59132648e+00
5.19999981e-01,2.44732611e-02,3.50097790e-02,4.06237990e-02,1.91096866e+00
5.60000002e-01,2.35584788e-02,3.35740149e-02,3.99681292e-02,1.70980191e+00
6.00000024e-01,2.00668331e-02,2.85973921e-02,3.90425771e-02,1.95638347e+00
6.41029537e-01,1.91499405e-02,2.72311568e-02,3.77202705e-02,1.79859889e+00
6.83115125e-01,1.59193072e-02,2.27000788e-02,3.60525884e-02,2.14816999e+00
7.26283848e-01,1.44902952e-02,2.06708647e-02,3.47730219e-02,1.94903040e+00
7.70563781e-01,1.31132379e-02,1.86762176e-02,3.34269889e-02,2.18367124e+00
8.15983355e-01,1.18254200e-02,1.68334004e-02,3.24274153e-02,2.14841294e+00
8.62571895e-01,1.02509335e-02,1.46355545e-02,3.13384384e-02,2.22299027e+00
9.10359621e-01,9.23116598e-03,1.31870881e-02,3.03917639e-02,2.51937246e+00
9.59377348e-01,8.22395459e-03,1.17761837e-02,2.95308419e-02,2.31624889e+00
1.00965667e+00,7.43107125e-03,1.06762238e-02,2.88548656e-02,2.61045122e+00
1.06123006e+00,6.81675831e-03,9.80938412e-03,2.85201352e-02,2.84433985e+00
1.11413085e+00,6.30523078e-03,9.08243656e-03,2.84600332e-02,2.71502829e+00
1.16839325e+00,5.86039107e-03,8.44920427e-03,2.86015794e-02,2.87331414e+00
1.22405231e+00,5.48824947e-03,7.91872106e-03,2.89508346e-02,2.85243773e+00
1.28114390e+00,5.18507464e-03,7.49002211e-03,2.95121688e-02,2.94039989e+00
1.33970511e+00,4.95775091e-03,7.17231492e-03,3.02431863e-02,3.49297953e+00
1.39977336e+00,2.01963359e+04,2.82914785e+04,2.00281406e+04,2.06648511e+03
1.46138775e+00,2.56010098e+04,3.58425312e+04,2.40931445e+04,1.99208130e+03
1.52458799e+00,1.54282695e+04,2.15977246e+04,1.45470088e+04,1.31537769e+03
1.58941495e+00,1.44927910e+04,2.02945195e+04,1.39816016e+04,1.47165723e+03
1.65591037e+00,1.42971621e+04,2.00235723e+04,1.39455938e+04,1.57331152e+03
1.72411728e+00,1.43039082e+04,2.00348516e+04,1.40466641e+04,1.65598096e+03
1.79407966e+00,1.43672002e+04,2.01247305e+04,1.41720420e+04,1.71994897e+03
1.86584306e+00,1.44464541e+04,2.02366367e+04,1.42963457e+04,1.77474426e+03
1.93945324e+00,1.45225684e+04,2.03439199e+04,1.44060625e+04,1.81749670e+03
2.01495814e+00,1.45935859e+04,2.04439219e+04,1.45033799e+04,1.85545947e+03
2.09240627e+00,1.46630068e+04,2.05415938e+04,1.45942168e+04,1.88775989e+03
2.17184782e+00,1.47316191e+04,2.06380586e+04,1.46808369e+04,1.91806372e+03
2.25333428e+00,1.48068262e+04,2.07437188e+04,1.47719062e+04,1.94621973e+03
2.33691788e+00,1.48909785e+04,2.08618730e+04,1.48699199e+04,1.97430286e+03
2.42265272e+00,1.49823643e+04,2.09901133e+04,1.49731787e+04,2.00046069e+03
2.51059437e+00,1.50735547e+04,2.11180469e+04,1.50743691e+04,2.02498657e+03
2.60079956e+00,1.51551611e+04,2.12325078e+04,1.51638945e+04,2.04594165e+03
2.69332647e+00,1.52255449e+04,2.13312129e+04,1.52403203e+04,2.06346045e+03
2.78823495e+00,1.52748545e+04,2.14003555e+04,1.52938184e+04,2.07625195e+03
2.88558602e+00,1.53039395e+04,2.14411367e+04,1.53255840e+04,2.08499927e+03
2.98544264e+00,1.53132207e+04,2.14541582e+04,1.53366113e+04,2.09028613e+03
3.08786964e+00,1.53071797e+04,2.14456992e+04,1.53315449e+04,2.09291553e+03
3.19293284e+00,1.52876123e+04,2.14182891e+04,1.53126211e+04,2.09365527e+03
3.30070019e+00,1.52569541e+04,2.13753555e+04,1.52829795e+04,2.09322046e+03
3.41124129e+00,1.52304697e+04,2.13382695e+04,1.52578057e+04,2.09373706e+03
3.52462745e+00,1.52172168e+04,2.13197266e+04,1.52460156e+04,2.09640259e+03
3.64093208e+00,1.52271953e+04,2.13337363e+04,1.52579160e+04,2.10270801e+03
3.76023054e+00,1.52567139e+04,2.13751133e+04,1.52892861e+04,2.11154248e+03
3.88259912e+00,1.52988516e+04,2.14341758e+04,1.53333477e+04,2.12237744e+03
4.00811720e+00,1.53360645e+04,2.14863184e+04,1.53718281e+04,2.13185449e+03
4.13686609e+00,1.53648135e+04,2.15265938e+04,1.54011523e+04,2.13975586e+03
4.26892853e+00,1.53837129e+04,2.15530703e+04,1.54207402e+04,2.14685059e+03
4.40439081e+00,1.53851543e+04,2.15550586e+04,1.54213535e+04,2.14982520e+03
4.54333878e+00,1.53907188e+04,2.15628320e+04,1.54264199e+04,2.15474365e+03
4.68586397e+00,1.54074160e+04,2.15862188e+04,1.54435078e+04,2.16195215e+03
4.83205652e+00,1.54365488e+04,2.16269805e+04,1.54704590e+04,2.16968896e+03
4.98201227e+00,1.55281738e+04,2.17553594e+04,1.55635039e+04,2.18962646e+03
5.13582754e+00,1.57025537e+04,2.19996621e+04,1.57384551e+04,2.21976758e+03
5.29360199e+00,1.58291855e+04,2.21769375e+04,1.58598652e+04,2.23667334e+03
5.45543718e+00,1.59817676e+04,2.23907227e+04,1.60149941e+04,2.26753564e+03
5.62143755e+00,1.62258086e+04,2.27325039e+04,1.62541953e+04,2.29768018e+03
5.79171038e+00,1.61216074e+04,2.25863066e+04,1.61401631e+04,2.28908618e+03
5.96636629e+00,1.60088848e+04,2.24284883e+04,1.60318965e+04,2.29316895e+03
6.14551687e+00,1.59862266e+04,2.23966094e+04,1.60015068e+04,2.27366357e+03
6.32927942e+00,1.54673115e+04,2.16696543e+04,1.54825840e+04,2.22836865e+03
6.51777077e+00,1.52040586e+04,2.13010664e+04,1.52273613e+04,2.19488672e+03
6.71111441e+00,1.52857783e+04,2.14157168e+04,1.53160908e+04,2.23431787e+03
6.90943432e+00,1.54862021e+04,2.16964883e+04,1.55165498e+04,2.26498730e+03
7.11285782e+00,1.51847324e+04,2.12742617e+04,1.52238906e+04,2.25749268e+03
7.32151794e+00,1.64809805e+04,2.30917070e+04,1.65860215e+04,2.50470557e+03
7.53554821e+00,1.88515801e+04,2.64118613e+04,1.89089492e+04,2.79487109e+03
7.75508738e+00,1.72390781e+04,2.41523301e+04,1.72829551e+04,2.58539551e+03
7.98027754e+00,1.90262461e+04,2.66563613e+04,1.90881211e+04,2.85740137e+03
8.21126270e+00,2.04172168e+04,2.86036562e+04,2.04161602e+04,3.00805933e+03
8.44819450e+00,1.86471680e+04,2.61232285e+04,1.86134004e+04,2.75412256e+03
8.69122219e+00,1.58495381e+04,2.22033047e+04,1.57870645e+04,2.35326611e+03
8.94050789e+00,1.23964971e+04,1.73658633e+04,1.23398027e+04,1.90504016e+03
9.19620800e+00,1.18265156e+04,1.65690547e+04,1.18445791e+04,1.89297644e+03
9.45849037e+00,1.36819727e+04,1.91685469e+04,1.37015527e+04,2.13719507e+03
9.72752285e+00,1.41796797e+04,1.98649707e+04,1.41647363e+04,2.17231543e+03
1.00034800e+01,1.36842520e+04,1.91715625e+04,1.37065137e+04,2.13991309e+03
1.02865391e+01,1.51545635e+04,2.12318418e+04,1.51975293e+04,2.35383545e+03
1.05768833e+01,1.52876641e+04,2.14169590e+04,1.52686885e+04,2.33169482e+03
1.08747025e+01,1.31818379e+04,1.84676055e+04,1.32055596e+04,2.12259741e+03
1.11801853e+01,1.45817881e+04,2.04299922e+04,1.46582266e+04,2.39652075e+03
1.14935322e+01,1.65897383e+04,2.32426133e+04,1.66444980e+04,2.69521167e+03
1.18149433e+01,1.64222637e+04,2.30080391e+04,1.64854941e+04,2.73458813e+03
1.21446266e+01,1.69594785e+04,2.37615898e+04,1.70706094e+04,2.89584082e+03
1.24827967e+01,1.91848594e+04,2.68791348e+04,1.92860840e+04,3.21223730e+03
1.28296700e+01,1.86898594e+04,2.61858770e+04,1.88122480e+04,3.16766992e+03
1.31854706e+01,1.94752988e+04,2.72875781e+04,1.97103457e+04,3.35260645e+03
1.35504293e+01,2.42591094e+04,3.39894180e+04,2.45503828e+04,4.02266797e+03
1.39247818e+01,2.75942500e+04,3.86597539e+04,2.78384199e+04,4.39394141e+03
