Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.59627605e-15,5.79262031e-15,3.20321321e-03,6.82460022e+00
7.99999982e-02,3.45414073e-14,8.35832190e-14,6.22052886e-03,7.22977304e+00
1.19999997e-01,7.10872387e-13,1.85199794e-12,8.91664904e-03,7.24442530e+00
1.59999996e-01,2.40993822e-11,5.70216409e-11,1.24157071e-02,7.30370617e+00
2.00000003e-01,9.24976831e-11,2.36354492e-10,1.71387997e-02,7.24410963e+00
2.39999995e-01,1.31030964e-09,3.79398202e-09,2.26273630e-02,7.26381922e+00
2.80000001e-01,5.37617018e-09,1.64388609e-08,2.98830792e-02,7.26098824e+00
3.19999993e-01,2.71262373e-08,8.83411602e-08,3.73298712e-02,7.35537577e+00
3.60000014e-01,1.03895466e-07,3.49956167e-07,4.85057011e-02,7.26791620e+00
4.00000006e-01,3.70966745e-07,1.37432380e-06,5.86687662e-02,7.44479036e+00
4.39999998e-01,9.18581463e-07,3.65199367e-06,7.08796978e-02,7.31303883e+00
4.79999989e-01,1.76535843e-06,7.42299062e-06,8.22745711e-02,7.53407288e+00
5.19999981e-01,4.50575226e-06,1.79042036e-05,9.68785435e-02,7.39241076e+00
5.60000002e-01,8.22211859e-06,3.39131693e-05,1.10788330e-01,7.85414076e+00
6.00000024e-01,1.71116844e-05,6.51309820e-05,1.28975913e-01,7.79364061e+00
6.41029537e-01,4.04502789e-05,1.57133923e-04,1.54757142e-01,8.47092628e+00
6.83115125e-01,6.53741226e-05,2.39358909e-04,1.83951810e-01,8.33851814e+00
7.26283848e-01,1.55111920e-04,4.96428460e-04,2.24261120e-01,8.84468651e+00
7.70563781e-01,2.18499772e-04,7.08066626e-04,2.75134325e-01,8.93310928e+00
8.15983355e-01,4.87048383e-04,1.46247132e-03,3.39174449e-01,9.90363121e+00
8.62571895e-01,8.33924336e-04,2.27429508e-03,4.21650231e-01,9.84684181e+00
9.10359621e-01,1.58704375e-03,3.92573979e-03,5.19825697e-01,1.05887051e+01
9.59377348e-01,2.36426643e-03,5.45264268e-03,6.36721373e-01,1.05308418e+01
1.00965667e+00,3.60732409e-03,7.81729911e-03,7.71820366e-01,1.09818592e+01
1.06123006e+00,5.57859801e-03,1.10507393e-02,9.26255107e-01,1.16261263e+01
1.11413085e+00,8.85476544e-03,1.58447940e-02,1.09376597e+00,1.19573078e+01
1.16839325e+00,1.41342664e-02,2.40685083e-02,1.27214098e+00,1.26571560e+01
1.22405231e+00,2.04158593e-02,3.41748819e-02,1.45183492e+00,1.33537378e+01
1.28114390e+00,2.85681151e-02,4.78115156e-02,1.63479853e+00,1.37316332e+01
1.33970511e+00,3.58023494e-02,5.86141273e-02,1.81404114e+00,1.44930573e+01
1.39977336e+00,2.05761953e+04,2.88068418e+04,1.92865391e+04,1.22244006e+03
1.46138775e+00,2.52119492e+04,3.52574453e+04,2.13812969e+04,1.29470093e+03
1.52458799e+00,1.55073516e+04,2.16840195e+04,1.33409258e+04,9.39891479e+02
1.58941495e+00,1.52711172e+04,2.13675254e+04,1.37504688e+04,1.17554785e+03
1.65591037e+00,1.57338916e+04,2.20190527e+04,1.43389883e+04,1.24875867e+03
1.72411728e+00,1.52978887e+04,2.14067891e+04,1.38205684e+04,1.16334900e+03
1.79407966e+00,1.34106699e+04,1.87634414e+04,1.19895605e+04,9.99225708e+02
1.86584306e+00,1.13509785e+04,1.58820576e+04,1.01630566e+04,8.99670288e+02
1.93945324e+00,1.02753047e+04,1.43803135e+04,9.33712500e+03,9.16477051e+02
2.01495814e+00,1.04095137e+04,1.45731836e+04,9.68707227e+03,1.07499780e+03
2.09240627e+00,1.17365430e+04,1.64369121e+04,1.12235371e+04,1.39082983e+03
2.17184782e+00,1.41779551e+04,1.98615430e+04,1.38822139e+04,1.88439783e+03
2.25333428e+00,1.73337520e+04,2.42864805e+04,1.72717090e+04,2.47140015e+03
2.33691788e+00,2.01803945e+04,2.82761230e+04,2.02577695e+04,2.89233789e+03
2.42265272e+00,2.17167910e+04,3.04267910e+04,2.17350410e+04,2.96829443e+03
2.51059437e+00,2.18092852e+04,3.05525898e+04,2.16273457e+04,2.77213770e+03
2.60079956e+00,2.09012930e+04,2.92759824e+04,2.04569297e+04,2.44449341e+03
2.69332647e+00,1.93389062e+04,2.70831133e+04,1.86637910e+04,2.08957617e+03
2.78823495e+00,1.75607207e+04,2.45896367e+04,1.67465664e+04,1.77970178e+03
2.88558602e+00,1.60390264e+04,2.24566445e+04,1.51435312e+04,1.55163733e+03
2.98544264e+00,1.47952998e+04,2.07139766e+04,1.38721172e+04,1.40237390e+03
3.08786964e+00,1.39929355e+04,1.95904863e+04,1.30885742e+04,1.33661340e+03
3.19293284e+00,1.37134355e+04,1.91996562e+04,1.28335693e+04,1.34052478e+03
3.30070019e+00,1.36099531e+04,1.90555645e+04,1.27660801e+04,1.37110999e+03
3.41124129e+00,1.35565762e+04,1.89814629e+04,1.27444561e+04,1.40473523e+03
3.52462745e+00,1.33762480e+04,1.87292070e+04,1.25889688e+04,1.41518665e+03
3.64093208e+00,1.29627471e+04,1.81506914e+04,1.22267207e+04,1.40740979e+03
3.76023054e+00,1.25433877e+04,1.75643145e+04,1.18740293e+04,1.40401367e+03
3.88259912e+00,1.22389346e+04,1.71391367e+04,1.16463242e+04,1.42182190e+03
4.00811720e+00,1.21439785e+04,1.70074570e+04,1.16287148e+04,1.46200012e+03
4.13686609e+00,1.24078398e+04,1.73782363e+04,1.19554736e+04,1.54120740e+03
4.26892853e+00,1.29785039e+04,1.81786152e+04,1.25800420e+04,1.64658508e+03
