Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.22863622e-15,1.61009084e-15,5.94858962e-09,1.97996211e+00
7.99999982e-02,8.38632074e-14,1.07380982e-13,3.56009623e-05,2.27690959e+00
1.19999997e-01,4.71424711e-13,6.03241740e-13,1.13301670e-04,2.22267199e+00
1.59999996e-01,2.17311369e-12,2.74684854e-12,3.21926374e-04,2.35163689e+00
2.00000003e-01,7.06906018e-12,9.09296336e-12,8.21981695e-04,2.41765761e+00
2.39999995e-01,1.67568130e-11,2.26319137e-11,1.93785166e-03,2.58535194e+00
2.80000001e-01,1.19114885e-10,1.71993295e-10,3.67880589e-03,2.67094874e+00
3.19999993e-01,9.76003056e-10,1.50755264e-09,6.31055934e-03,2.75876665e+00
3.60000014e-01,6.91305146e-09,1.11640466e-08,9.45586525e-03,2.90864229e+00
4.00000006e-01,2.54235637e-08,4.26052935e-08,1.20638283e-02,3.10525274e+00
4.39999998e-01,5.34036246e-08,9.29503372e-08,1.37341153e-02,3.08891702e+00
4.79999989e-01,1.20681790e-07,2.12190230e-07,1.52135994e-02,3.37581182e+00
5.19999981e-01,3.57364115e-07,6.43784915e-07,1.50778694e-02,3.65663910e+00
5.60000002e-01,8.95007645e-07,1.64760331e-06,1.55172851e-02,3.78042889e+00
6.00000024e-01,2.32279581e-06,4.42247210e-06,1.62609648e-02,3.75001240e+00
6.41029537e-01,6.87797728e-06,1.29164573e-05,1.74412020e-02,4.26738167e+00
6.83115125e-01,1.75606383e-05,3.28414244e-05,1.87221989e-02,4.49571228e+00
7.26283848e-01,4.93457665e-05,8.90150986e-05,2.17023641e-02,5.01072216e+00
7.70563781e-01,1.57981791e-04,2.70859979e-04,2.60220487e-02,4.71447134e+00
8.15983355e-01,4.73158783e-04,7.77190027e-04,3.08243819e-02,6.23683739e+00
8.62571895e-01,1.28955813e-03,2.03996198e-03,3.64577025e-02,5.26863480e+00
9.10359621e-01,2.89634801e-03,4.42759972e-03,4.53429520e-02,6.95608616e+00
9.59377348e-01,5.04572457e-03,7.55864009e-03,5.42867221e-02,6.07014942e+00
1.00965667e+00,7.94391427e-03,1.19532859e-02,6.51462972e-02,7.28097868e+00
1.06123006e+00,1.27875097e-02,1.96734387e-02,7.94233978e-02,6.85403728e+00
1.11413085e+00,1.96552854e-02,3.00208703e-02,8.92181396e-02,7.81805754e+00
1.16839325e+00,2.72614956e-02,4.05722111e-02,9.26213562e-02,8.13377762e+00
1.22405231e+00,3.47100161e-02,5.02215549e-02,9.84862298e-02,8.02335835e+00
1.28114390e+00,4.06232625e-02,5.76936677e-02,1.07282057e-01,9.25963974e+00
