Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.72803460e-08,2.63431410e-08,1.22787625e-07,6.55931592e-01
7.99999982e-02,3.36621113e-08,5.60315456e-08,8.73059150e-07,2.62992716e+00
1.19999997e-01,5.77547929e-08,9.73856089e-08,1.48717459e-06,6.46481800e+00
1.59999996e-01,9.03474557e-08,1.53537940e-07,3.40393126e-06,1.23868208e+01
2.00000003e-01,1.18855972e-07,2.06892963e-07,7.51652897e-06,1.63679161e+01
2.39999995e-01,1.74425594e-07,3.05860283e-07,1.51793884e-05,2.31640625e+01
2.80000001e-01,2.48739411e-07,4.45445039e-07,2.40297704e-05,2.81674213e+01
3.19999993e-01,3.81769098e-07,6.98998292e-07,3.98797383e-05,3.61639252e+01
3.60000014e-01,5.86973272e-07,1.11170016e-06,6.44703177e-05,4.13443680e+01
4.00000006e-01,9.49079663e-07,1.86246643e-06,9.74707873e-05,5.19257355e+01
4.39999998e-01,1.59077808e-06,3.24118128e-06,1.58787443e-04,5.70088501e+01
4.79999989e-01,2.78316247e-06,5.73410534e-06,2.36319815e-04,6.82025833e+01
5.19999981e-01,6.22864809e-06,1.26328669e-05,3.45754903e-04,7.31526337e+01
5.60000002e-01,1.59783085e-05,3.04245514e-05,4.77957277e-04,8.46860504e+01
6.00000024e-01,6.73738687e-05,1.18358206e-04,6.17747311e-04,8.97949677e+01
6.41029537e-01,1.52034758e-04,2.60708388e-04,7.96381151e-04,1.03128693e+02
6.83115125e-01,2.75616767e-04,4.59223753e-04,8.72909790e-04,1.07902496e+02
7.26283848e-01,4.98388428e-04,8.17189692e-04,1.02405786e-03,1.17737686e+02
7.70563781e-01,7.34278699e-04,1.17996894e-03,1.09294895e-03,1.27452805e+02
8.15983355e-01,1.02314516e-03,1.62888935e-03,1.22057903e-03,1.42389832e+02
8.62571895e-01,1.27173925e-03,1.99749111e-03,1.21615035e-03,1.49488800e+02
9.10359621e-01,1.51314796e-03,2.36281566e-03,1.23270787e-03,1.64334442e+02
9.59377348e-01,1.62582390e-03,2.51505454e-03,1.28047238e-03,1.74559982e+02
1.00965667e+00,1.71579816e-03,2.64660735e-03,1.43083162e-03,1.88917709e+02
1.06123006e+00,1.76621811e-03,2.72157649e-03,1.74455252e-03,2.12653809e+02
1.11413085e+00,1.76595594e-03,2.71126372e-03,1.78355153e-03,2.25061340e+02
1.16839325e+00,1.73138850e-03,2.63745151e-03,1.74630759e-03,2.54460663e+02
1.22405231e+00,1.66494120e-03,2.50768242e-03,1.73961534e-03,2.66691254e+02
1.28114390e+00,1.63937290e-03,2.42857961e-03,1.77745067e-03,3.03641785e+02
1.33970511e+00,1.62974768e-03,2.37308210e-03,1.83875824e-03,3.45345032e+02
1.39977336e+00,2.07052930e+04,2.89891914e+04,1.94885469e+04,1.64835779e+03
1.46138775e+00,2.62587227e+04,3.67208242e+04,2.21782754e+04,1.82524292e+03
1.52458799e+00,1.60070332e+04,2.23796562e+04,1.36728887e+04,1.55354199e+03
1.58941495e+00,1.49597227e+04,2.09289180e+04,1.33713184e+04,1.77982336e+03
1.65591037e+00,1.46901328e+04,2.05579219e+04,1.34108145e+04,1.87918481e+03
1.72411728e+00,1.46203848e+04,2.04640273e+04,1.35194219e+04,1.97709644e+03
1.79407966e+00,1.46185068e+04,2.04639023e+04,1.36352930e+04,2.06650049e+03
1.86584306e+00,1.46518350e+04,2.05123945e+04,1.37534902e+04,2.10602075e+03
1.93945324e+00,1.47178301e+04,2.06062539e+04,1.38850059e+04,2.16744751e+03
2.01495814e+00,1.47969941e+04,2.07182578e+04,1.40154619e+04,2.22045264e+03
2.09240627e+00,1.48776475e+04,2.08321543e+04,1.41386680e+04,2.27666309e+03
2.17184782e+00,1.49891416e+04,2.09891406e+04,1.42860508e+04,2.33312720e+03
2.25333428e+00,1.51549668e+04,2.12221230e+04,1.44819033e+04,2.39544409e+03
2.33691788e+00,1.53637412e+04,2.15151133e+04,1.47129355e+04,2.45838721e+03
2.42265272e+00,1.55767432e+04,2.18138008e+04,1.49383633e+04,2.51499121e+03
2.51059437e+00,1.57496846e+04,2.20561914e+04,1.51170508e+04,2.56572070e+03
2.60079956e+00,1.58355449e+04,2.21764590e+04,1.52028789e+04,2.60100537e+03
2.69332647e+00,1.57810957e+04,2.21000176e+04,1.51419473e+04,2.61130713e+03
2.78823495e+00,1.55843369e+04,2.18242578e+04,1.49423955e+04,2.60513867e+03
2.88558602e+00,1.53188281e+04,2.14523750e+04,1.46811602e+04,2.58895850e+03
2.98544264e+00,1.50407676e+04,2.10630137e+04,1.44107969e+04,2.56915674e+03
3.08786964e+00,1.48946074e+04,2.08587070e+04,1.42834863e+04,2.56846411e+03
3.19293284e+00,1.50702559e+04,2.11053047e+04,1.44777090e+04,2.60139990e+03
3.30070019e+00,1.54111572e+04,2.15831113e+04,1.48241953e+04,2.64762695e+03
3.41124129e+00,1.57855508e+04,2.21076094e+04,1.51971445e+04,2.69203320e+03
3.52462745e+00,1.61511035e+04,2.26195215e+04,1.55545850e+04,2.73028076e+03
3.64093208e+00,1.62802910e+04,2.28001445e+04,1.56705938e+04,2.74073901e+03
3.76023054e+00,1.60845645e+04,2.25257695e+04,1.54731250e+04,2.72361279e+03
3.88259912e+00,1.58089326e+04,2.21398848e+04,1.52139287e+04,2.70697900e+03
4.00811720e+00,1.55896963e+04,2.18328887e+04,1.50014609e+04,2.70355371e+03
4.13686609e+00,1.53582207e+04,2.15088574e+04,1.47828555e+04,2.70057739e+03
4.26892853e+00,1.55345000e+04,2.17563516e+04,1.49801963e+04,2.75531934e+03
4.40439081e+00,1.60816748e+04,2.25230098e+04,1.55243525e+04,2.86097070e+03
4.54333878e+00,1.65941289e+04,2.32406465e+04,1.60206211e+04,2.95664233e+03
4.68586397e+00,1.69894883e+04,2.37937070e+04,1.63778418e+04,3.02982471e+03
4.83205652e+00,1.69888047e+04,2.37917598e+04,1.63357510e+04,3.03782373e+03
4.98201227e+00,1.65569082e+04,2.31862734e+04,1.58905859e+04,3.00559131e+03
5.13582754e+00,1.60266328e+04,2.24435293e+04,1.53680586e+04,2.95724463e+03
5.29360199e+00,1.54999062e+04,2.17056445e+04,1.48431982e+04,2.90715845e+03
5.45543718e+00,1.50301416e+04,2.10479121e+04,1.43925449e+04,2.87276855e+03
5.62143755e+00,1.51633145e+04,2.12350332e+04,1.45442402e+04,2.92262402e+03
5.79171038e+00,1.56580137e+04,2.19281836e+04,1.50364570e+04,3.00236523e+03
5.96636629e+00,1.60752314e+04,2.25124004e+04,1.54386465e+04,3.06022607e+03
6.14551687e+00,1.62566562e+04,2.27658672e+04,1.55916113e+04,3.06735107e+03
6.32927942e+00,1.61042900e+04,2.25519121e+04,1.54267539e+04,3.05170972e+03
6.51777077e+00,1.57828545e+04,2.21017598e+04,1.51230625e+04,3.02226221e+03
6.71111441e+00,1.54981289e+04,2.17032285e+04,1.48604980e+04,3.00014282e+03
6.90943432e+00,1.51318848e+04,2.11904004e+04,1.45099727e+04,2.96398486e+03
7.11285782e+00,1.49276953e+04,2.09046816e+04,1.43229365e+04,2.95967969e+03
7.32151794e+00,1.51726367e+04,2.12483516e+04,1.45913291e+04,3.01331396e+03
7.53554821e+00,1.59038809e+04,2.22733438e+04,1.53382998e+04,3.10018677e+03
7.75508738e+00,1.66688848e+04,2.33439219e+04,1.60438809e+04,3.14802148e+03
7.98027754e+00,1.67885859e+04,2.35102344e+04,1.61181035e+04,3.10827100e+03
8.21126270e+00,1.65858594e+04,2.32263281e+04,1.59441797e+04,3.06461523e+03
8.44819450e+00,1.66571992e+04,2.33261504e+04,1.60288760e+04,3.03997266e+03
8.69122219e+00,1.67237168e+04,2.34181934e+04,1.60727656e+04,3.00449365e+03
8.94050789e+00,1.58024717e+04,2.21279277e+04,1.52271279e+04,2.89044287e+03
9.19620800e+00,1.55387607e+04,2.17593594e+04,1.50511875e+04,2.89049902e+03
9.45849037e+00,1.60340723e+04,2.24535039e+04,1.55930186e+04,2.99306201e+03
9.72752285e+00,1.67961309e+04,2.35210703e+04,1.63806582e+04,3.15783301e+03
1.00034800e+01,1.70921152e+04,2.39357617e+04,1.67102129e+04,3.26550635e+03
1.02865391e+01,1.63701855e+04,2.29261484e+04,1.61277773e+04,3.30684351e+03
1.05768833e+01,1.57016738e+04,2.19898750e+04,1.55708525e+04,3.29496729e+03
1.08747025e+01,1.43387979e+04,2.00818867e+04,1.44465996e+04,3.21950757e+03
1.11801853e+01,1.44319189e+04,2.02173672e+04,1.49975918e+04,3.37956592e+03
1.14935322e+01,1.71991094e+04,2.40936992e+04,1.80618555e+04,3.74735742e+03
1.18149433e+01,1.82476406e+04,2.55603477e+04,1.94868555e+04,3.88077759e+03
1.21446266e+01,1.79544277e+04,2.51533828e+04,2.00982461e+04,3.97607812e+03
