Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,5.65784723e-02,7.94230253e-02,6.44584969e-02,3.20481928e-03
7.99999982e-02,6.49221316e-02,9.05184820e-02,6.38929009e-02,6.29255082e-03
1.19999997e-01,7.32389316e-02,1.01629183e-01,6.51844442e-02,1.16677694e-02
1.59999996e-01,7.96571746e-02,1.10177696e-01,6.42695799e-02,2.34974548e-02
2.00000003e-01,7.83639848e-02,1.08142182e-01,5.92518859e-02,3.06074601e-02
2.39999995e-01,8.25431794e-02,1.13991491e-01,5.64782806e-02,4.99659069e-02
2.80000001e-01,8.32244530e-02,1.14907712e-01,5.28600141e-02,7.17267022e-02
3.19999993e-01,8.50118026e-02,1.17532656e-01,4.87378314e-02,1.08189821e-01
3.60000014e-01,8.50191712e-02,1.17257588e-01,4.51002829e-02,1.45260900e-01
4.00000006e-01,8.68561342e-02,1.19499080e-01,4.05106060e-02,2.23752767e-01
4.39999998e-01,8.26977342e-02,1.13067500e-01,3.71745750e-02,2.64928877e-01
4.79999989e-01,8.15577656e-02,1.11064442e-01,3.32026742e-02,4.15119231e-01
5.19999981e-01,7.24212676e-02,9.80815366e-02,3.11178956e-02,4.77575630e-01
5.60000002e-01,6.94595426e-02,9.43311229e-02,3.02822776e-02,7.40108013e-01
6.00000024e-01,6.13228939e-02,8.32739174e-02,3.10162865e-02,8.60181391e-01
6.41029537e-01,6.17015213e-02,8.46075192e-02,3.65335047e-02,1.31899536e+00
6.83115125e-01,5.74571863e-02,7.87706822e-02,4.03991528e-02,1.50436890e+00
7.26283848e-01,6.05778806e-02,8.33088011e-02,5.23047224e-02,2.05807948e+00
7.70563781e-01,6.18424453e-02,8.54833201e-02,5.85133769e-02,2.56816173e+00
8.15983355e-01,7.12680966e-02,9.94408429e-02,7.55931884e-02,3.40139341e+00
8.62571895e-01,7.39488453e-02,1.03161365e-01,8.38625729e-02,4.00102091e+00
9.10359621e-01,8.85985345e-02,1.24147013e-01,1.01429984e-01,4.72082710e+00
9.59377348e-01,9.44345593e-02,1.32120803e-01,1.09268233e-01,5.24839497e+00
1.00965667e+00,1.10246539e-01,1.54129669e-01,1.22802027e-01,5.81240845e+00
1.06123006e+00,1.29254282e-01,1.80451065e-01,1.36835918e-01,6.49278879e+00
1.11413085e+00,1.47984207e-01,2.06288785e-01,1.49198905e-01,7.36524439e+00
1.16839325e+00,1.67175591e-01,2.32695803e-01,1.60940021e-01,8.42082977e+00
1.22405231e+00,1.85847402e-01,2.58360982e-01,1.72627747e-01,9.69383812e+00
1.28114390e+00,2.19477251e-01,3.04956257e-01,2.02146441e-01,1.13551836e+01
1.33970511e+00,2.52455026e-01,3.50426227e-01,2.34489903e-01,1.33824406e+01
1.39977336e+00,2.01255195e+04,2.81917695e+04,1.99289023e+04,2.08342065e+03
1.46138775e+00,2.47598867e+04,3.46647812e+04,2.33564590e+04,1.98305518e+03
1.52458799e+00,1.56177822e+04,2.18642656e+04,1.47665078e+04,1.36334814e+03
1.58941495e+00,1.46777637e+04,2.05539922e+04,1.41629160e+04,1.49916797e+03
1.65591037e+00,1.43680762e+04,2.01227402e+04,1.39906133e+04,1.57412476e+03
1.72411728e+00,1.41466250e+04,1.98140547e+04,1.38520762e+04,1.62540259e+03
1.79407966e+00,1.40199922e+04,1.96378535e+04,1.37888438e+04,1.67691089e+03
1.86584306e+00,1.40351367e+04,1.96601816e+04,1.38603633e+04,1.74408264e+03
1.93945324e+00,1.42813203e+04,2.00062656e+04,1.41649541e+04,1.84296826e+03
2.01495814e+00,1.49052695e+04,2.08815957e+04,1.48443770e+04,1.98837280e+03
2.09240627e+00,1.59284531e+04,2.23160820e+04,1.59185156e+04,2.18633496e+03
2.17184782e+00,1.73287402e+04,2.42787422e+04,1.73725078e+04,2.43037817e+03
2.25333428e+00,1.85102402e+04,2.59338457e+04,1.85557188e+04,2.58773779e+03
2.33691788e+00,1.83758184e+04,2.57443945e+04,1.83705762e+04,2.53507031e+03
2.42265272e+00,1.72447129e+04,2.41594805e+04,1.72247344e+04,2.38635156e+03
2.51059437e+00,1.61352314e+04,2.26050566e+04,1.60972354e+04,2.22979028e+03
2.60079956e+00,1.49049912e+04,2.08811855e+04,1.48375215e+04,2.05864746e+03
2.69332647e+00,1.43687041e+04,2.01307246e+04,1.43349570e+04,2.04060425e+03
2.78823495e+00,1.56880723e+04,2.19805508e+04,1.57090547e+04,2.28844629e+03
2.88558602e+00,1.77443633e+04,2.48619609e+04,1.77841016e+04,2.58848364e+03
2.98544264e+00,1.83880039e+04,2.57624453e+04,1.83819375e+04,2.65961548e+03
3.08786964e+00,1.89882695e+04,2.66033867e+04,1.89986738e+04,2.78107202e+03
3.19293284e+00,1.96232676e+04,2.74926602e+04,1.96241406e+04,2.87968408e+03
3.30070019e+00,1.89094316e+04,2.64914863e+04,1.88656055e+04,2.76822656e+03
3.41124129e+00,1.64700059e+04,2.30733203e+04,1.64104219e+04,2.45713037e+03
3.52462745e+00,1.46883047e+04,2.05791465e+04,1.47125820e+04,2.30575244e+03
3.64093208e+00,1.47217188e+04,2.06261562e+04,1.47428359e+04,2.30742017e+03
3.76023054e+00,1.37936270e+04,1.93255742e+04,1.38059102e+04,2.19802148e+03
3.88259912e+00,1.37764160e+04,1.93036270e+04,1.38887744e+04,2.31089551e+03
4.00811720e+00,1.65095547e+04,2.31351797e+04,1.67177285e+04,2.78135791e+03
4.13686609e+00,2.04764004e+04,2.86926445e+04,2.06651055e+04,3.27872412e+03
4.26892853e+00,2.10615117e+04,2.95090977e+04,2.11241523e+04,3.28681787e+03
4.40439081e+00,2.04860625e+04,2.87023848e+04,2.05410020e+04,3.24667896e+03
4.54333878e+00,2.05190156e+04,2.87478086e+04,2.05416172e+04,3.24633984e+03
4.68586397e+00,1.93699414e+04,2.71360352e+04,1.93085215e+04,3.02268018e+03
4.83205652e+00,1.68585605e+04,2.36155234e+04,1.67095684e+04,2.62369409e+03
4.98201227e+00,1.39875361e+04,1.95926523e+04,1.38157910e+04,2.24679590e+03
5.13582754e+00,1.20170303e+04,1.68335547e+04,1.19103848e+04,2.06861963e+03
5.29360199e+00,1.17659785e+04,1.64833574e+04,1.17201250e+04,2.10198389e+03
5.45543718e+00,1.22594072e+04,1.71747715e+04,1.22212100e+04,2.19725586e+03
5.62143755e+00,1.22960068e+04,1.72269434e+04,1.23029805e+04,2.27955811e+03
5.79171038e+00,1.27314883e+04,1.78391484e+04,1.28255762e+04,2.43351123e+03
5.96636629e+00,1.40596270e+04,1.97008359e+04,1.41874082e+04,2.65259863e+03
6.14551687e+00,1.52528262e+04,2.13720117e+04,1.53575254e+04,2.81635352e+03
6.32927942e+00,1.57047158e+04,2.20045156e+04,1.57894805e+04,2.90033496e+03
6.51777077e+00,1.59766289e+04,2.23851113e+04,1.60527461e+04,2.97574121e+03
6.71111441e+00,1.61798301e+04,2.26690176e+04,1.62271611e+04,3.01432446e+03
6.90943432e+00,1.59390137e+04,2.23303027e+04,1.59324414e+04,2.97625830e+03
7.11285782e+00,1.51498555e+04,2.12235859e+04,1.50988301e+04,2.88262891e+03
7.32151794e+00,1.42810029e+04,2.00061406e+04,1.42232783e+04,2.83775610e+03
7.53554821e+00,1.38425664e+04,1.93919082e+04,1.37858936e+04,2.86527197e+03
7.75508738e+00,1.36129102e+04,1.90698516e+04,1.35446611e+04,2.93481836e+03
7.98027754e+00,1.32245605e+04,1.85257578e+04,1.31585088e+04,3.00177515e+03
8.21126270e+00,1.27981660e+04,1.79289453e+04,1.27569766e+04,3.06701025e+03
8.44819450e+00,1.24611318e+04,1.74574844e+04,1.24490820e+04,3.12161719e+03
8.69122219e+00,1.23010752e+04,1.72338672e+04,1.23135898e+04,3.16510352e+03
8.94050789e+00,1.24486211e+04,1.74407480e+04,1.24692910e+04,3.20608887e+03
9.19620800e+00,1.25028740e+04,1.75169277e+04,1.25350615e+04,3.21231445e+03
9.45849037e+00,1.22747812e+04,1.71976699e+04,1.23230566e+04,3.15672314e+03
9.72752285e+00,1.21165332e+04,1.69762285e+04,1.21821270e+04,3.09046729e+03
1.00034800e+01,1.19477676e+04,1.67400977e+04,1.20337764e+04,3.02977832e+03
1.02865391e+01,1.19378594e+04,1.67267695e+04,1.20574785e+04,3.02869189e+03
1.05768833e+01,1.27881152e+04,1.79183223e+04,1.29344736e+04,3.17778955e+03
1.08747025e+01,1.39601602e+04,1.95603516e+04,1.41255723e+04,3.38094922e+03
1.11801853e+01,1.46232744e+04,2.04894082e+04,1.48497373e+04,3.53974976e+03
1.14935322e+01,1.52005801e+04,2.12981406e+04,1.55138281e+04,3.69859766e+03
1.18149433e+01,1.62478281e+04,2.27649199e+04,1.66410977e+04,3.87279053e+03
1.21446266e+01,1.69041465e+04,2.36838789e+04,1.73890410e+04,4.01272705e+03
1.24827967e+01,1.63316533e+04,2.28825586e+04,1.71840332e+04,4.01804761e+03
1.28296700e+01,1.51325088e+04,2.12084121e+04,1.66057168e+04,3.95107910e+03
1.31854706e+01,1.43724102e+04,2.01541055e+04,1.64822324e+04,3.91939087e+03
1.35504293e+01,1.40571445e+04,1.97241094e+04,1.65784375e+04,3.91316479e+03
1.39247818e+01,1.36721084e+04,1.91942031e+04,1.64156152e+04,3.91842114e+03
1.43087692e+01,1.34757188e+04,1.89253789e+04,1.65822266e+04,3.97005396e+03
1.47026405e+01,1.41015918e+04,1.98085703e+04,1.73964590e+04,4.08843604e+03
1.51066484e+01,1.52213340e+04,2.13672891e+04,1.85788125e+04,4.27218066e+03
1.55210552e+01,1.63751357e+04,2.29841914e+04,2.06629414e+04,4.40961328e+03
1.59461288e+01,1.78134727e+04,2.50187754e+04,2.34105820e+04,4.50769238e+03
1.63821430e+01,2.07135742e+04,2.91179805e+04,2.71297305e+04,4.65311133e+03
1.68293781e+01,2.51051934e+04,3.52973281e+04,3.10904082e+04,4.86088281e+03
1.72881241e+01,2.71122305e+04,3.81005469e+04,3.26731699e+04,4.75608008e+03
1.77586803e+01,2.69240117e+04,3.78104688e+04,3.26106562e+04,4.56968262e+03
1.82413464e+01,2.84492344e+04,3.99536172e+04,3.46088516e+04,4.69301562e+03
1.87364349e+01,3.26844375e+04,4.58854805e+04,3.93483672e+04,5.00829639e+03
1.92442665e+01,3.89476328e+04,5.46709805e+04,4.41463008e+04,5.23649805e+03
1.97651691e+01,4.38426094e+04,6.15166797e+04,4.62163984e+04,5.17901660e+03
2.02994785e+01,4.62262500e+04,6.48289961e+04,4.61245352e+04,4.85445703e+03
2.08475418e+01,4.73237344e+04,6.63335469e+04,4.38428672e+04,4.38824072e+03
2.14097099e+01,4.76824062e+04,6.67399297e+04,4.33290703e+04,4.29892188e+03
2.19863453e+01,4.81301367e+04,6.73291016e+04,4.39832422e+04,4.38556348e+03
2.25778236e+01,5.15585000e+04,7.21321562e+04,4.63031133e+04,4.55425391e+03
2.31845264e+01,5.36634297e+04,7.50659297e+04,4.71181094e+04,4.98230371e+03
2.38068466e+01,5.35099297e+04,7.48301406e+04,4.63006172e+04,5.25877588e+03
2.44451809e+01,5.41153164e+04,7.56499531e+04,4.61976094e+04,5.11646875e+03
