Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,7.37763841e-08,1.65102080e-07,1.96379772e-03,8.91489315e+00
7.99999982e-02,1.93845585e-06,4.58606064e-06,1.24964397e-02,1.71067982e+01
1.19999997e-01,2.10650524e-05,4.78806542e-05,4.29636389e-02,2.43297291e+01
1.59999996e-01,1.20535631e-04,2.60616711e-04,8.69785324e-02,3.13479691e+01
2.00000003e-01,5.30555146e-04,1.06755469e-03,1.10281773e-01,3.55262222e+01
2.39999995e-01,1.56165159e-03,2.94152508e-03,1.18937589e-01,4.19954567e+01
2.80000001e-01,3.53041920e-03,6.38681557e-03,1.24108575e-01,4.79495468e+01
3.19999993e-01,6.26092032e-03,1.08179022e-02,1.18461475e-01,5.49590454e+01
3.60000014e-01,9.21391323e-03,1.53130088e-02,1.16634808e-01,6.09667435e+01
4.00000006e-01,1.16973659e-02,1.87899750e-02,1.17942445e-01,6.87329483e+01
4.39999998e-01,1.27401883e-02,1.97714530e-02,1.18870415e-01,7.30217896e+01
4.79999989e-01,1.35545749e-02,2.04001591e-02,1.24197431e-01,8.17030945e+01
5.19999981e-01,1.19956471e-02,1.77190267e-02,1.19818516e-01,8.49461365e+01
5.60000002e-01,1.26197208e-02,1.83778182e-02,1.24180868e-01,9.45508347e+01
6.00000024e-01,1.09100640e-02,1.59534421e-02,1.20775536e-01,9.73098297e+01
6.41029537e-01,1.24572022e-02,1.78964082e-02,1.24962330e-01,1.06936272e+02
6.83115125e-01,1.06762378e-02,1.54914185e-02,1.23258278e-01,1.08554779e+02
7.26283848e-01,1.07542500e-02,1.54400440e-02,1.29407808e-01,1.14491699e+02
7.70563781e-01,1.06319403e-02,1.50354747e-02,1.29209638e-01,1.19362595e+02
8.15983355e-01,1.04302494e-02,1.45077799e-02,1.32991597e-01,1.26818619e+02
8.62571895e-01,9.09601245e-03,1.28940921e-02,1.30553290e-01,1.29390060e+02
9.10359621e-01,8.87343846e-03,1.25081539e-02,1.28384680e-01,1.35754089e+02
9.59377348e-01,8.16484727e-03,1.15762986e-02,1.27060115e-01,1.39710388e+02
1.00965667e+00,7.80143822e-03,1.10516883e-02,1.26390964e-01,1.45747208e+02
1.06123006e+00,7.01797334e-03,1.00838766e-02,1.25991434e-01,1.53058731e+02
1.11413085e+00,6.56118337e-03,9.52198077e-03,1.26719922e-01,1.60912827e+02
1.16839325e+00,6.27532229e-03,9.16341878e-03,1.27333969e-01,1.70020676e+02
1.22405231e+00,6.04618108e-03,8.89171660e-03,1.28584087e-01,1.81014206e+02
1.28114390e+00,5.98847447e-03,8.82484019e-03,1.30499274e-01,1.96719498e+02
1.33970511e+00,5.94290206e-03,8.78065731e-03,1.32943109e-01,2.17423080e+02
1.39977336e+00,2.07023516e+04,2.89851250e+04,1.94876055e+04,1.49468567e+03
1.46138775e+00,2.63420039e+04,3.68366094e+04,2.22013672e+04,1.60366064e+03
1.52458799e+00,1.58060605e+04,2.20981680e+04,1.34871289e+04,1.24491895e+03
1.58941495e+00,1.47407510e+04,2.06222578e+04,1.31658828e+04,1.44378638e+03
1.65591037e+00,1.44889648e+04,2.02762539e+04,1.32232109e+04,1.55615942e+03
1.72411728e+00,1.44451113e+04,2.02186445e+04,1.33566074e+04,1.63932568e+03
1.79407966e+00,1.44773037e+04,2.02662383e+04,1.35041768e+04,1.71475415e+03
1.86584306e+00,1.45322383e+04,2.03449609e+04,1.36412871e+04,1.76954736e+03
1.93945324e+00,1.45911016e+04,2.04287656e+04,1.37621553e+04,1.82886023e+03
2.01495814e+00,1.46539609e+04,2.05178652e+04,1.38728789e+04,1.86661987e+03
2.09240627e+00,1.47126523e+04,2.06009004e+04,1.39695410e+04,1.91146960e+03
2.17184782e+00,1.47688955e+04,2.06803750e+04,1.40575645e+04,1.94413306e+03
2.25333428e+00,1.48236582e+04,2.07576719e+04,1.41388223e+04,1.97620679e+03
2.33691788e+00,1.48789863e+04,2.08356484e+04,1.42161250e+04,2.00552710e+03
2.42265272e+00,1.49300684e+04,2.09075859e+04,1.42856074e+04,2.03527905e+03
2.51059437e+00,1.49820371e+04,2.09807285e+04,1.43538369e+04,2.05587573e+03
2.60079956e+00,1.50335195e+04,2.10531289e+04,1.44187031e+04,2.08319409e+03
2.69332647e+00,1.50685303e+04,2.11023672e+04,1.44639082e+04,2.10331567e+03
2.78823495e+00,1.50930889e+04,2.11369648e+04,1.44981738e+04,2.12697510e+03
2.88558602e+00,1.51351230e+04,2.11960371e+04,1.45486797e+04,2.15232349e+03
2.98544264e+00,1.51966738e+04,2.12823613e+04,1.46150723e+04,2.18293579e+03
3.08786964e+00,1.52661475e+04,2.13797578e+04,1.46882598e+04,2.21325342e+03
3.19293284e+00,1.53385762e+04,2.14812539e+04,1.47627217e+04,2.24286328e+03
3.30070019e+00,1.54049551e+04,2.15742246e+04,1.48285430e+04,2.27412402e+03
3.41124129e+00,1.54458594e+04,2.16314492e+04,1.48671992e+04,2.30276929e+03
3.52462745e+00,1.54553047e+04,2.16445996e+04,1.48743906e+04,2.32258398e+03
3.64093208e+00,1.54386270e+04,2.16211855e+04,1.48571113e+04,2.35373901e+03
3.76023054e+00,1.53860801e+04,2.15475195e+04,1.48038203e+04,2.36924854e+03
3.88259912e+00,1.53043008e+04,2.14329141e+04,1.47226631e+04,2.39063721e+03
4.00811720e+00,1.52251465e+04,2.13220820e+04,1.46485410e+04,2.42009668e+03
4.13686609e+00,1.51574961e+04,2.12273672e+04,1.45849502e+04,2.45120703e+03
4.26892853e+00,1.51148379e+04,2.11676895e+04,1.45477012e+04,2.47299390e+03
4.40439081e+00,1.51729014e+04,2.12492012e+04,1.46139609e+04,2.54878369e+03
4.54333878e+00,1.52906348e+04,2.14141484e+04,1.47307168e+04,2.58477344e+03
4.68586397e+00,1.53872402e+04,2.15494902e+04,1.48284883e+04,2.64144189e+03
4.83205652e+00,1.55550293e+04,2.17846074e+04,1.49978799e+04,2.68771802e+03
4.98201227e+00,1.56324395e+04,2.18927891e+04,1.50625527e+04,2.72654150e+03
5.13582754e+00,1.55820127e+04,2.18222344e+04,1.50185449e+04,2.73406104e+03
5.29360199e+00,1.56783477e+04,2.19572051e+04,1.51124785e+04,2.77803662e+03
5.45543718e+00,1.55053105e+04,2.17145156e+04,1.49277227e+04,2.75179419e+03
5.62143755e+00,1.52607207e+04,2.13723457e+04,1.47069180e+04,2.74923291e+03
5.79171038e+00,1.53618965e+04,2.15139961e+04,1.48003809e+04,2.75553564e+03
5.96636629e+00,1.52478447e+04,2.13544180e+04,1.47006562e+04,2.75780444e+03
6.14551687e+00,1.53764219e+04,2.15347363e+04,1.48350215e+04,2.77313281e+03
6.32927942e+00,1.54658057e+04,2.16596230e+04,1.49120234e+04,2.78977490e+03
6.51777077e+00,1.62211543e+04,2.27196875e+04,1.57402314e+04,2.94480518e+03
6.71111441e+00,1.74366504e+04,2.44201387e+04,1.68227656e+04,3.03562817e+03
6.90943432e+00,1.70935605e+04,2.39391367e+04,1.64859062e+04,3.00362964e+03
7.11285782e+00,1.85045703e+04,2.59155703e+04,1.78711016e+04,3.16567163e+03
7.32151794e+00,1.97815625e+04,2.77012852e+04,1.89858828e+04,3.25500391e+03
7.53554821e+00,1.88545039e+04,2.64007227e+04,1.79888086e+04,3.07387622e+03
7.75508738e+00,1.63818438e+04,2.29372227e+04,1.55744385e+04,2.76458203e+03
7.98027754e+00,1.40012285e+04,1.96035195e+04,1.32893906e+04,2.47474976e+03
8.21126270e+00,1.21876445e+04,1.70647988e+04,1.15898164e+04,2.30662085e+03
8.44819450e+00,1.19350635e+04,1.67126055e+04,1.14125176e+04,2.33349219e+03
8.69122219e+00,1.27649277e+04,1.78752910e+04,1.22391748e+04,2.49981641e+03
8.94050789e+00,1.35757715e+04,1.90111914e+04,1.30558301e+04,2.67976855e+03
9.19620800e+00,1.42664678e+04,1.99785898e+04,1.37610205e+04,2.82999658e+03
