Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.28115120e-20,3.91523357e-20,8.16683492e-16,2.05135453e-12
7.99999982e-02,2.79976897e-18,4.90992326e-18,8.49071993e-14,4.50470770e-06
1.19999997e-01,8.45218179e-17,1.50386875e-16,2.38736656e-12,2.07989971e-04
1.59999996e-01,9.75916845e-16,1.75094098e-15,2.49648861e-11,1.01805711e-03
2.00000003e-01,1.62399950e-14,2.92633654e-14,3.27912753e-10,4.70857741e-03
2.39999995e-01,1.78330048e-13,3.23889353e-13,4.28430358e-09,9.62368026e-03
2.80000001e-01,1.80636333e-12,3.29269966e-12,5.11513960e-08,1.82463937e-02
3.19999993e-01,2.00341375e-11,3.65859773e-11,9.11833808e-07,2.90399864e-02
3.60000014e-01,2.14367621e-10,3.92702870e-10,9.05424986e-06,4.69159186e-02
4.00000006e-01,1.99524375e-09,3.67131725e-09,2.95737846e-05,7.20367208e-02
4.39999998e-01,1.81031830e-08,3.34976740e-08,7.25797581e-05,1.22055516e-01
4.79999989e-01,1.14667870e-07,2.13831257e-07,1.42423189e-04,2.80899167e-01
5.19999981e-01,5.70271482e-07,1.07359540e-06,2.71837402e-04,4.57185835e-01
5.60000002e-01,2.14965485e-06,4.01351508e-06,3.52788251e-04,8.66807580e-01
6.00000024e-01,7.31161572e-06,1.32572914e-05,4.70074010e-04,1.22974515e+00
6.41029537e-01,2.01301373e-05,3.52481147e-05,4.59597388e-04,1.97377896e+00
6.83115125e-01,4.33084570e-05,7.32646877e-05,4.33085312e-04,2.54869413e+00
7.26283848e-01,7.59294562e-05,1.24298967e-04,4.00641817e-04,3.42070818e+00
7.70563781e-01,1.14176859e-04,1.81024880e-04,3.44757165e-04,5.25354004e+00
8.15983355e-01,1.40936318e-04,2.17036009e-04,3.10473959e-04,6.19852161e+00
8.62571895e-01,1.59901436e-04,2.40678273e-04,2.71608907e-04,7.77987480e+00
9.10359621e-01,1.55597998e-04,2.31135578e-04,2.44387251e-04,1.00554695e+01
9.59377348e-01,1.48244522e-04,2.20554211e-04,2.23424766e-04,1.25808620e+01
1.00965667e+00,1.35690905e-04,2.01160437e-04,2.08901343e-04,1.54296169e+01
1.06123006e+00,1.22667858e-04,1.82409509e-04,2.01149000e-04,1.89552326e+01
1.11413085e+00,1.20531477e-04,1.79606839e-04,1.93265529e-04,2.25448303e+01
1.16839325e+00,1.13204143e-04,1.67823702e-04,1.84160992e-04,2.65779419e+01
1.22405231e+00,9.82513375e-05,1.45133556e-04,1.75716341e-04,3.01614227e+01
1.28114390e+00,8.68938441e-05,1.28133062e-04,1.66465892e-04,3.34858322e+01
1.33970511e+00,7.80409391e-05,1.15180170e-04,1.59307034e-04,3.69928627e+01
1.39977336e+00,1.48484980e+04,2.07721797e+04,1.45766953e+04,1.54433826e+03
1.46138775e+00,1.22854414e+04,1.71813301e+04,1.17588281e+04,1.14767871e+03
1.52458799e+00,7.28070215e+03,1.01821758e+04,6.98603223e+03,7.20918945e+02
