Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.18049587e-37,1.71565175e-37,2.58290113e-37,7.84727140e-41
7.99999982e-02,1.08244821e-31,1.73012691e-31,4.09484068e-31,1.43449697e-34
1.19999997e-01,7.73920003e-26,1.13044914e-25,2.35491374e-25,5.53774915e-29
1.59999996e-01,4.44351792e-22,6.48959238e-22,1.29149420e-21,2.54155749e-25
2.00000003e-01,1.87713358e-18,2.72957360e-18,5.12776665e-18,5.18105415e-22
2.39999995e-01,2.63869842e-15,3.82936015e-15,7.69630822e-15,6.42243397e-19
2.80000001e-01,1.42337520e-12,2.07439209e-12,4.37373141e-12,1.97631911e-16
3.19999993e-01,4.62087063e-10,6.75640766e-10,1.75582815e-09,4.57924544e-14
3.60000014e-01,3.47948145e-07,5.20187427e-07,3.21687048e-06,1.56382841e-11
4.00000006e-01,1.02239726e-04,1.50947904e-04,3.17982631e-04,2.51130583e-09
4.39999998e-01,6.51222328e-03,9.20800027e-03,7.25349551e-03,8.03162195e-08
4.79999989e-01,5.74755780e-02,8.00137669e-02,4.17606905e-02,4.16359597e-07
5.19999981e-01,2.25927472e-01,3.11367750e-01,1.23523116e-01,6.91822493e-07
5.60000002e-01,4.40022767e-01,6.02923632e-01,2.05732286e-01,9.36167567e-07
6.00000024e-01,7.31548011e-01,1.00130463e+00,3.16106677e-01,2.68066742e-06
6.41029537e-01,1.00421524e+00,1.37073576e+00,3.92256886e-01,8.51328605e-06
6.83115125e-01,1.31517351e+00,1.78981161e+00,4.66841131e-01,4.49103645e-05
7.26283848e-01,1.64801574e+00,2.23711300e+00,5.36608160e-01,2.14855827e-04
7.70563781e-01,1.93745291e+00,2.62563205e+00,5.96876860e-01,5.99948864e-04
8.15983355e-01,2.17746019e+00,2.94628096e+00,6.70156538e-01,1.11338426e-03
8.62571895e-01,2.69945860e+00,3.65606070e+00,8.90780270e-01,1.38706272e-03
9.10359621e-01,3.05628490e+00,4.14033699e+00,1.05133247e+00,1.32957264e-03
9.59377348e-01,3.90970683e+00,5.30217743e+00,1.41003203e+00,2.83640809e-03
1.00965667e+00,4.67106962e+00,6.34089756e+00,1.86956823e+00,5.25355712e-03
1.06123006e+00,5.47092867e+00,7.44823694e+00,2.54571772e+00,1.61766168e-02
1.11413085e+00,1.01580067e+01,1.39963789e+01,6.90535831e+00,8.21863487e-02
1.16839325e+00,1.38329067e+01,1.91592922e+01,1.08692169e+01,4.47060645e-01
1.22405231e+00,1.97488441e+01,2.74947128e+01,1.80813961e+01,5.37440062e+00
1.28114390e+00,5.86145325e+02,8.23841248e+02,6.98631409e+02,7.42174377e+01
1.33970511e+00,1.20530801e+04,1.69176914e+04,1.34613447e+04,8.05652954e+02
1.39977336e+00,9.85961094e+04,1.38185125e+05,1.01253789e+05,1.12780586e+04
1.46138775e+00,1.97953500e+05,2.77382125e+05,1.99770953e+05,1.78614570e+04
1.52458799e+00,3.75401250e+05,5.25892250e+05,3.71643875e+05,3.68512578e+04
1.58941495e+00,3.69470312e+05,5.17311625e+05,3.50010125e+05,3.30128281e+04
1.65591037e+00,3.45999125e+05,4.84417688e+05,3.27191844e+05,3.62807109e+04
1.72411728e+00,3.24362688e+05,4.54175062e+05,3.09764312e+05,3.64819102e+04
1.79407966e+00,3.08321125e+05,4.31769812e+05,2.97555156e+05,3.76629375e+04
1.86584306e+00,2.94718562e+05,4.12757219e+05,2.86639938e+05,3.87027148e+04
1.93945324e+00,2.81699531e+05,3.94560906e+05,2.76523000e+05,4.01345781e+04
2.01495814e+00,2.70811469e+05,3.79348188e+05,2.68391156e+05,4.17547734e+04
2.09240627e+00,2.63854750e+05,3.69637281e+05,2.63738250e+05,4.34035859e+04
2.17184782e+00,2.60957109e+05,3.65606000e+05,2.62638938e+05,4.49489531e+04
2.25333428e+00,2.61850812e+05,3.66878938e+05,2.64819406e+05,4.63809609e+04
2.33691788e+00,2.66111312e+05,3.72864562e+05,2.70061625e+05,4.79567852e+04
2.42265272e+00,2.75332750e+05,3.85789875e+05,2.79580500e+05,4.96231875e+04
2.51059437e+00,2.87366312e+05,4.02644938e+05,2.91415625e+05,5.16263516e+04
2.60079956e+00,3.00448562e+05,4.20949062e+05,3.03010375e+05,5.04686836e+04
2.69332647e+00,3.18262125e+05,4.45837219e+05,3.16581688e+05,4.67221250e+04
2.78823495e+00,3.36771906e+05,4.71612375e+05,3.25567969e+05,3.62511641e+04
2.88558602e+00,3.46991906e+05,4.85622125e+05,3.18715062e+05,3.09258379e+04
2.98544264e+00,3.45473562e+05,4.83405438e+05,3.15129062e+05,3.52931562e+04
3.08786964e+00,3.39062438e+05,4.74737375e+05,3.24447688e+05,3.85948203e+04
3.19293284e+00,3.26991062e+05,4.57885312e+05,3.14881281e+05,3.94166172e+04
3.30070019e+00,2.99986844e+05,4.20111188e+05,2.90648250e+05,3.68000469e+04
