Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,5.70386445e-18,2.02451446e-17,6.04661720e-12,2.05798931e+01
7.99999982e-02,6.07656354e-16,2.12411744e-15,1.52298965e-10,3.02454052e+01
1.19999997e-01,2.16781210e-14,7.53112443e-14,1.55742641e-09,3.83885574e+01
1.59999996e-01,3.55087379e-13,1.23073752e-12,8.29032665e-09,4.75777702e+01
2.00000003e-01,5.90523897e-12,2.02483377e-11,2.89175937e-08,5.08913651e+01
2.39999995e-01,7.43802658e-11,2.55641786e-10,8.24487429e-08,5.95332184e+01
2.80000001e-01,7.72633457e-10,2.66796651e-09,1.79671488e-07,6.43470306e+01
3.19999993e-01,9.03583341e-09,3.17586846e-08,3.64152186e-07,7.22704544e+01
3.60000014e-01,9.87808519e-08,3.60653246e-07,5.20612275e-06,7.71647186e+01
4.00000006e-01,7.07012305e-07,2.64582468e-06,2.58277742e-05,8.67620010e+01
4.39999998e-01,5.59933414e-06,1.78749488e-05,2.93734101e-05,9.05788879e+01
4.79999989e-01,2.53396647e-05,6.98219592e-05,1.04409650e-04,1.01839325e+02
5.19999981e-01,8.48376367e-05,2.03059637e-04,1.00713689e-04,1.05804657e+02
5.60000002e-01,2.02109994e-04,4.27378167e-04,4.15324932e-04,1.19126839e+02
6.00000024e-01,4.36365866e-04,8.17345746e-04,4.34221729e-04,1.23098732e+02
6.41029537e-01,7.03824626e-04,1.16562762e-03,1.70061644e-03,1.37644714e+02
6.83115125e-01,9.38499288e-04,1.41934364e-03,1.83233642e-03,1.41063217e+02
7.26283848e-01,1.08713331e-03,1.55261101e-03,4.47728205e-03,1.51538620e+02
7.70563781e-01,1.19799282e-03,1.67486467e-03,6.56441087e-03,1.60181961e+02
8.15983355e-01,1.20879884e-03,1.71295402e-03,1.91685278e-02,1.73610886e+02
8.62571895e-01,1.26155082e-03,1.79253414e-03,2.12035514e-02,1.79358231e+02
9.10359621e-01,1.14493712e-03,1.64619985e-03,5.96007183e-02,1.93188324e+02
9.59377348e-01,1.06036942e-03,1.53473811e-03,9.20377225e-02,2.02179535e+02
1.00965667e+00,8.66607646e-04,1.22564961e-03,2.07145244e-01,2.15550873e+02
1.06123006e+00,6.52252580e-04,9.11582727e-04,5.07432163e-01,2.30670532e+02
1.11413085e+00,4.71223553e-04,6.57801167e-04,1.07520628e+00,2.44134384e+02
1.16839325e+00,3.83657578e-04,5.42015478e-04,2.08233881e+00,2.58506012e+02
1.22405231e+00,3.36013327e-04,4.73328168e-04,3.51321650e+00,2.72265320e+02
1.28114390e+00,3.05448222e-04,4.28064639e-04,5.41841221e+00,2.91619812e+02
1.33970511e+00,2.60002882e-04,3.62822320e-04,6.65559578e+00,3.11249298e+02
1.39977336e+00,2.12527773e+04,2.97352285e+04,1.85592617e+04,8.28137756e+02
1.46138775e+00,2.63486523e+04,3.67946562e+04,1.94053008e+04,1.05267053e+03
1.52458799e+00,1.57215195e+04,2.19446719e+04,1.18519277e+04,1.04338843e+03
1.58941495e+00,1.44674268e+04,2.02151484e+04,1.17258564e+04,1.24690894e+03
