Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,4.92081862e-20,8.67429218e-20,9.52078373e-16,1.20604202e-14
7.99999982e-02,6.91779873e-18,1.22328556e-17,9.75050119e-14,1.16782452e-12
1.19999997e-01,2.60857878e-16,4.62525835e-16,2.98005999e-12,1.74537320e-07
1.59999996e-01,3.48196419e-15,6.19420287e-15,3.35839100e-11,6.29226561e-05
2.00000003e-01,5.93352881e-14,1.05321994e-13,4.10098067e-10,2.31174243e-04
2.39999995e-01,7.24460856e-13,1.28820056e-12,4.98820940e-09,1.88066624e-03
2.80000001e-01,7.54155245e-12,1.34015299e-11,5.15260545e-08,4.67429124e-03
3.19999993e-01,8.89504581e-11,1.57713051e-10,7.78545655e-07,7.28960242e-03
3.60000014e-01,1.01449782e-09,1.79932547e-09,7.65745335e-06,1.54761653e-02
4.00000006e-01,9.29747657e-09,1.65241829e-08,2.11904753e-05,4.67121899e-02
4.39999998e-01,9.12235691e-08,1.63108496e-07,4.35362635e-05,7.15124533e-02
4.79999989e-01,5.82655559e-07,1.04817730e-06,6.84070983e-05,1.73380107e-01
5.19999981e-01,2.88768479e-06,5.12406132e-06,1.07394066e-04,2.20186979e-01
5.60000002e-01,1.02990207e-05,1.76252615e-05,1.09179309e-04,4.24471229e-01
6.00000024e-01,3.41366613e-05,5.62817950e-05,1.17759424e-04,5.46660662e-01
6.41029537e-01,8.34442035e-05,1.31676512e-04,1.05214072e-04,9.22739267e-01
6.83115125e-01,1.57749339e-04,2.39365079e-04,9.01456806e-05,1.16991615e+00
7.26283848e-01,2.41675705e-04,3.54695367e-04,8.88910145e-05,1.83411515e+00
7.70563781e-01,3.23284883e-04,4.60991927e-04,7.27207371e-05,2.29023409e+00
8.15983355e-01,3.78438970e-04,5.33769256e-04,7.09411033e-05,3.87122297e+00
8.62571895e-01,4.37558308e-04,6.12415839e-04,5.83733563e-05,4.18325138e+00
9.10359621e-01,4.50657681e-04,6.33069314e-04,5.22886694e-05,5.88991642e+00
9.59377348e-01,4.95817396e-04,6.97755837e-04,4.12474546e-05,6.74956131e+00
1.00965667e+00,4.66188649e-04,6.53934665e-04,3.30419498e-05,8.23007202e+00
1.06123006e+00,4.65184858e-04,6.57089753e-04,2.75016173e-05,9.75661469e+00
1.11413085e+00,4.51845233e-04,6.37276738e-04,2.41476773e-05,1.11816959e+01
1.16839325e+00,3.85739200e-04,5.39719302e-04,2.06729164e-05,1.28226147e+01
1.22405231e+00,2.93461868e-04,4.07089683e-04,1.73210410e-05,1.51172581e+01
1.28114390e+00,2.37852699e-04,3.27401416e-04,1.40650063e-05,1.70396843e+01
1.33970511e+00,1.97841786e-04,2.72440811e-04,1.21047115e-05,1.92229824e+01
1.39977336e+00,1.99442500e+04,2.79361055e+04,1.96617812e+04,1.56295361e+03
1.46138775e+00,2.18876797e+04,3.06422656e+04,2.05664160e+04,1.35352026e+03
