Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.99999982e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.19999997e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.59999996e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000003e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.39999995e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.80000001e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.19999993e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.60000014e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.00000006e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.39999998e-01,9.80908925e-42,1.40129846e-41,1.54142831e-41,0.00000000e+00
4.79999989e-01,5.26888223e-40,8.08549214e-40,7.70714155e-40,1.12103877e-41
5.19999981e-01,5.68759021e-38,8.40050403e-38,9.33306816e-38,1.52181013e-39
5.60000002e-01,1.84447576e-35,2.74308294e-35,2.49899653e-35,1.01581527e-37
6.00000024e-01,4.72050705e-34,7.38681017e-34,9.10325141e-34,1.48943873e-35
6.41029537e-01,6.36337711e-30,9.02354753e-30,1.39288324e-29,1.40100718e-31
6.83115125e-01,1.28978120e-28,1.85264398e-28,3.82662154e-28,8.54077181e-30
7.26283848e-01,7.83199990e-25,1.14241890e-24,2.37642632e-24,3.38846420e-26
7.70563781e-01,1.43918048e-23,2.10951188e-23,4.84052656e-23,1.13049635e-24
8.15983355e-01,1.68427576e-20,2.45030688e-20,4.43937560e-20,5.75145132e-22
8.62571895e-01,7.28480698e-19,1.06200199e-18,2.15979257e-18,6.13283791e-20
9.10359621e-01,5.32797700e-16,7.70952077e-16,1.27920303e-15,1.65112993e-17
9.59377348e-01,3.13807465e-13,4.52917489e-13,6.98822348e-13,8.15669774e-15
1.00965667e+00,6.62295479e-12,9.52868947e-12,1.31848057e-11,2.00227530e-13
1.06123006e+00,2.40211351e-10,3.46134316e-10,1.29198829e-09,6.92988202e-12
1.11413085e+00,6.54130474e-07,9.70971428e-07,3.99276269e-06,6.38972475e-09
1.16839325e+00,4.24419813e-05,6.25220055e-05,1.18915123e-04,2.29327341e-07
1.22405231e+00,7.22084753e-03,1.02380216e-02,5.18427137e-03,1.69521718e-06
1.28114390e+00,1.32869034e+01,1.85327930e+01,4.94112587e+00,1.80770847e-04
1.33970511e+00,1.02974866e+03,1.43218970e+03,4.01308228e+02,1.47353522e-02
1.39977336e+00,6.28864609e+04,8.74662734e+04,3.82696992e+04,3.99901318e+03
1.46138775e+00,2.66317938e+05,3.71099594e+05,1.73824406e+05,6.27905762e+03
1.52458799e+00,5.89566000e+05,8.21713875e+05,4.08909188e+05,9.84408496e+03
1.58941495e+00,5.76041375e+05,7.99140125e+05,2.61885688e+05,3.24506641e+03
1.65591037e+00,4.94476562e+05,6.85024562e+05,2.06326297e+05,6.28315796e+02
1.72411728e+00,3.87538188e+05,5.36602250e+05,1.53145734e+05,5.12206764e+01
1.79407966e+00,2.95984562e+05,4.09873438e+05,1.17396453e+05,4.98709297e+01
1.86584306e+00,2.34082469e+05,3.24165375e+05,9.29648516e+04,3.17893162e+01
1.93945324e+00,1.93816781e+05,2.68404094e+05,7.70655938e+04,2.57269440e+01
2.01495814e+00,1.67927156e+05,2.32557312e+05,6.70132656e+04,2.19805832e+01
2.09240627e+00,1.50464578e+05,2.08381250e+05,6.02975312e+04,1.93764877e+01
2.17184782e+00,1.36478656e+05,1.89011781e+05,5.47515625e+04,1.70261078e+01
2.25333428e+00,1.23616969e+05,1.71192438e+05,4.94520703e+04,1.48950024e+01
2.33691788e+00,1.12961711e+05,1.56432031e+05,4.50819336e+04,1.33590279e+01
2.42265272e+00,1.05315438e+05,1.45844625e+05,4.20563398e+04,1.24227304e+01
2.51059437e+00,1.00000180e+05,1.38488281e+05,4.00366641e+04,1.18586559e+01
2.60079956e+00,9.62436172e+04,1.33290859e+05,3.86503672e+04,1.14939270e+01
2.69332647e+00,9.31836016e+04,1.29057844e+05,3.75363516e+04,1.12145061e+01
2.78823495e+00,9.06320703e+04,1.25527750e+05,3.65940508e+04,1.09656382e+01
2.88558602e+00,8.83264531e+04,1.22335047e+05,3.56879727e+04,1.06946735e+01
2.98544264e+00,8.56953672e+04,1.18691016e+05,3.46377578e+04,1.03943377e+01
3.08786964e+00,8.34895938e+04,1.15635602e+05,3.37353008e+04,1.01101141e+01
3.19293284e+00,8.15297656e+04,1.12918461e+05,3.28864922e+04,9.80025005e+00
3.30070019e+00,7.93940625e+04,1.09960367e+05,3.20168633e+04,9.51774979e+00
3.41124129e+00,7.87861875e+04,1.09119516e+05,3.17720879e+04,9.37611103e+00
3.52462745e+00,7.87116797e+04,1.09015016e+05,3.17155430e+04,9.24894714e+00
3.64093208e+00,7.79827109e+04,1.08005047e+05,3.14467500e+04,9.06801987e+00
3.76023054e+00,7.68177656e+04,1.06388969e+05,3.09597891e+04,8.74042797e+00
3.88259912e+00,7.41480000e+04,1.02687266e+05,2.98152441e+04,8.22648335e+00
4.00811720e+00,7.14383750e+04,9.89291094e+04,2.86011699e+04,7.65630817e+00
4.13686609e+00,6.78547031e+04,9.39545312e+04,2.69132246e+04,6.91057491e+00
4.26892853e+00,6.18406211e+04,8.56169688e+04,2.43200469e+04,6.13806248e+00
4.40439081e+00,5.77368164e+04,7.99284453e+04,2.25800938e+04,5.64613342e+00
4.54333878e+00,5.33527070e+04,7.38500938e+04,2.07154766e+04,5.08469582e+00
4.68586397e+00,4.65935195e+04,6.44925859e+04,1.80976914e+04,4.58635092e+00
4.83205652e+00,4.53519023e+04,6.27801562e+04,1.77586250e+04,4.65697193e+00
4.98201227e+00,4.47842461e+04,6.19932344e+04,1.75358730e+04,4.53186989e+00
5.13582754e+00,3.92222109e+04,5.42975195e+04,1.54624688e+04,4.16890335e+00
5.29360199e+00,4.18593047e+04,5.79587109e+04,1.67080215e+04,4.65183306e+00
5.45543718e+00,4.51191484e+04,6.24681211e+04,1.79111465e+04,4.73235321e+00
5.62143755e+00,3.88558828e+04,5.38008008e+04,1.55277119e+04,4.25787354e+00
5.79171038e+00,4.51291562e+04,6.24992148e+04,1.82631602e+04,5.21105146e+00
5.96636629e+00,5.45080430e+04,7.54771250e+04,2.17959727e+04,5.74036646e+00
6.14551687e+00,4.64986992e+04,6.43887500e+04,1.86388047e+04,4.95992279e+00
6.32927942e+00,5.42589141e+04,7.51454062e+04,2.19633438e+04,6.17315769e+00
6.51777077e+00,7.12732344e+04,9.86906250e+04,2.84836035e+04,7.60682392e+00
6.71111441e+00,6.11060039e+04,8.46094375e+04,2.44070820e+04,6.66031551e+00
6.90943432e+00,6.56145156e+04,9.08738906e+04,2.66011738e+04,7.72377968e+00
7.11285782e+00,8.52062812e+04,1.18010039e+05,3.45186719e+04,9.78280449e+00
7.32151794e+00,7.25673750e+04,1.00482984e+05,2.89713164e+04,7.54169178e+00
7.53554821e+00,4.63973555e+04,6.42300508e+04,1.82643945e+04,4.31281710e+00
7.75508738e+00,2.82827793e+04,3.91472266e+04,1.10788408e+04,2.50848055e+00
7.98027754e+00,1.70346934e+04,2.35833906e+04,6.81483984e+03,1.69337654e+00
8.21126270e+00,1.30870918e+04,1.81266523e+04,5.41531006e+03,1.53131115e+00
8.44819450e+00,1.28038359e+04,1.77398848e+04,5.40725635e+03,1.64544034e+00
8.69122219e+00,1.40253184e+04,1.94346973e+04,5.97089404e+03,1.87903094e+00
8.94050789e+00,1.55270557e+04,2.15164551e+04,6.62883350e+03,2.12973928e+00
9.19620800e+00,1.68180273e+04,2.33060215e+04,7.19604199e+03,2.39234686e+00
9.45849037e+00,1.80387871e+04,2.49986836e+04,7.74654297e+03,2.72016644e+00
9.72752285e+00,1.91611250e+04,2.65558789e+04,8.27864160e+03,3.14935613e+00
1.00034800e+01,1.99784238e+04,2.76920977e+04,8.71881055e+03,3.68106890e+00
1.02865391e+01,2.15862793e+04,2.99250410e+04,9.53575586e+03,4.46345997e+00
1.05768833e+01,2.25724316e+04,3.12982461e+04,1.01410977e+04,5.30905247e+00
1.08747025e+01,2.30630527e+04,3.19875312e+04,1.05800137e+04,6.01186657e+00
1.11801853e+01,2.74644629e+04,3.80884688e+04,1.25113906e+04,6.73597908e+00
1.14935322e+01,2.82857188e+04,3.92268359e+04,1.28835801e+04,7.09298134e+00
1.18149433e+01,2.96666094e+04,4.11467578e+04,1.36043535e+04,7.53231716e+00
1.21446266e+01,3.50727656e+04,4.86410352e+04,1.59530332e+04,8.05259991e+00
1.24827967e+01,4.14933086e+04,5.75296172e+04,1.84806875e+04,8.52359009e+00
1.28296700e+01,3.86185000e+04,5.35507891e+04,1.74057148e+04,8.74729156e+00
1.31854706e+01,3.61802266e+04,5.01797305e+04,1.65678516e+04,8.84134865e+00
1.35504293e+01,3.91572852e+04,5.43037344e+04,1.78451641e+04,1.00083027e+01
1.39247818e+01,4.65394766e+04,6.45599766e+04,2.16518320e+04,1.27636127e+01
1.43087692e+01,6.48040352e+04,8.98892188e+04,2.98672871e+04,1.55100021e+01
1.47026405e+01,7.15354688e+04,9.91881094e+04,3.20496152e+04,1.62134972e+01
1.51066484e+01,5.32066328e+04,7.37771875e+04,2.40559922e+04,1.59455843e+01
1.55210552e+01,4.54491445e+04,6.30381367e+04,2.10707578e+04,1.51833553e+01
1.59461288e+01,4.12712617e+04,5.72443906e+04,1.92216895e+04,1.38085423e+01
1.63821430e+01,3.09270508e+04,4.28997148e+04,1.45740918e+04,1.22631207e+01
1.68293781e+01,2.11450938e+04,2.93485312e+04,1.04678555e+04,1.09962234e+01
1.72881241e+01,2.01325430e+04,2.79527832e+04,1.02286797e+04,1.11886196e+01
1.77586803e+01,2.39278086e+04,3.32246797e+04,1.22216895e+04,1.26458702e+01
1.82413464e+01,2.83094180e+04,3.93072969e+04,1.44335938e+04,1.40776043e+01
1.87364349e+01,2.90213711e+04,4.03008828e+04,1.49702949e+04,1.53338270e+01
1.92442665e+01,2.92936152e+04,4.06868281e+04,1.53460713e+04,1.67500420e+01
1.97651691e+01,3.28413789e+04,4.56106719e+04,1.71051465e+04,1.83103867e+01
2.02994785e+01,3.54201445e+04,4.91937344e+04,1.85150801e+04,2.03080368e+01
2.08475418e+01,3.61175938e+04,5.01703750e+04,1.91730820e+04,2.35822773e+01
2.14097099e+01,3.93920625e+04,5.47133203e+04,2.07957891e+04,2.60932236e+01
2.19863453e+01,4.37652188e+04,6.07813711e+04,2.29366758e+04,2.84190235e+01
2.25778236e+01,4.89053047e+04,6.79203125e+04,2.56007109e+04,3.05764141e+01
2.31845264e+01,5.46126641e+04,7.58330547e+04,2.81066875e+04,3.10903664e+01
2.38068466e+01,5.82798203e+04,8.09219688e+04,2.98394980e+04,3.12769165e+01
2.44451809e+01,6.15760586e+04,8.55065938e+04,3.16535000e+04,3.04225693e+01
2.50999470e+01,7.19544766e+04,9.99104219e+04,3.66472969e+04,3.27625504e+01
2.57715645e+01,8.28259062e+04,1.14996188e+05,4.19156641e+04,3.54400406e+01
2.64604683e+01,8.34163281e+04,1.15802953e+05,4.18379570e+04,3.24922104e+01
2.71671047e+01,9.21752422e+04,1.27928711e+05,4.51676016e+04,3.04771881e+01
2.78919277e+01,1.02044922e+05,1.41586188e+05,4.88766406e+04,2.91794777e+01
