Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.69690332e-16,3.17646487e-16,2.61446316e-11,1.07665387e-11
7.99999982e-02,2.21714804e-14,4.14409650e-14,4.73541784e-09,3.42995021e-10
1.19999997e-01,8.97091700e-13,1.67871370e-12,4.39615377e-07,3.33058594e-08
1.59999996e-01,1.76898877e-11,3.31787479e-11,6.68031498e-06,1.06942907e-05
2.00000003e-01,2.54898880e-10,4.79195128e-10,3.28884089e-05,1.01713078e-04
2.39999995e-01,3.97770439e-09,7.47608908e-09,1.34750051e-04,2.72491015e-04
2.80000001e-01,3.88950809e-08,7.37126413e-08,3.38834710e-04,6.37295831e-04
3.19999993e-01,5.97637154e-07,1.13842952e-06,1.00941898e-03,1.45280489e-03
3.60000014e-01,6.55204258e-06,1.21409521e-05,2.05532135e-03,2.56568417e-02
4.00000006e-01,5.35724757e-05,9.38004523e-05,3.40180565e-03,6.28467873e-02
4.39999998e-01,2.66114861e-04,4.44510079e-04,4.15263558e-03,1.33075267e-01
4.79999989e-01,7.27319100e-04,1.17134955e-03,4.06950107e-03,4.24005777e-01
5.19999981e-01,1.52780861e-03,2.39808019e-03,4.61596437e-03,7.26024151e-01
5.60000002e-01,2.23578326e-03,3.42062442e-03,4.63838642e-03,1.45903122e+00
6.00000024e-01,3.11792060e-03,4.68808971e-03,5.13923820e-03,2.24800348e+00
6.41029537e-01,3.36767896e-03,5.00078220e-03,6.05506543e-03,3.79752684e+00
6.83115125e-01,3.36313341e-03,4.96035302e-03,6.15230016e-03,5.23814678e+00
7.26283848e-01,3.21055530e-03,4.75371582e-03,6.43119588e-03,7.69083595e+00
7.70563781e-01,2.89203832e-03,4.29108227e-03,5.92650007e-03,1.06910343e+01
8.15983355e-01,2.60929670e-03,3.88759421e-03,5.26121538e-03,1.59686203e+01
8.62571895e-01,2.32702331e-03,3.47472727e-03,4.46374016e-03,2.01593342e+01
9.10359621e-01,2.13563256e-03,3.19588836e-03,3.62228765e-03,2.76992111e+01
9.59377348e-01,1.98367750e-03,2.96545099e-03,3.00257863e-03,3.46103592e+01
1.00965667e+00,1.86019880e-03,2.77249515e-03,2.54277652e-03,4.55681419e+01
1.06123006e+00,1.76048919e-03,2.61536846e-03,2.18654308e-03,5.64844933e+01
1.11413085e+00,1.68177614e-03,2.49154959e-03,1.92904170e-03,6.86544037e+01
1.16839325e+00,1.61644630e-03,2.38703517e-03,1.73472997e-03,7.93404465e+01
1.22405231e+00,1.56020513e-03,2.29717814e-03,1.53048162e-03,8.86737213e+01
1.28114390e+00,1.51077739e-03,2.21949886e-03,1.34556624e-03,9.71706696e+01
1.33970511e+00,1.47394731e-03,2.16282858e-03,1.14868023e-03,1.04554260e+02
1.39977336e+00,2.03218320e+04,2.84696406e+04,2.02668047e+04,2.74262207e+03
1.46138775e+00,2.89630332e+04,4.05547578e+04,2.76415234e+04,3.14172656e+03
1.52458799e+00,2.15293457e+04,3.01460508e+04,2.06895547e+04,2.59910620e+03
1.58941495e+00,2.18767852e+04,3.06443047e+04,2.15822070e+04,3.15577441e+03
1.65591037e+00,2.26001348e+04,3.16625078e+04,2.25332422e+04,3.44331592e+03
1.72411728e+00,2.34109082e+04,3.28011328e+04,2.34793789e+04,3.67742773e+03
1.79407966e+00,2.41920898e+04,3.38973984e+04,2.43544922e+04,3.87630615e+03
1.86584306e+00,2.49729629e+04,3.49927734e+04,2.52063281e+04,4.05344824e+03
1.93945324e+00,2.57639805e+04,3.61018594e+04,2.60429258e+04,4.21023975e+03
2.01495814e+00,2.63519766e+04,3.69258984e+04,2.66492109e+04,4.31237891e+03
2.09240627e+00,2.66074160e+04,3.72835312e+04,2.69014844e+04,4.34866309e+03
2.17184782e+00,2.64796914e+04,3.71038164e+04,2.67437617e+04,4.29737305e+03
2.25333428e+00,2.58076016e+04,3.61612188e+04,2.60232852e+04,4.17324609e+03
2.33691788e+00,2.51858594e+04,3.52904883e+04,2.54154883e+04,4.14963965e+03
2.42265272e+00,2.57564297e+04,3.60927734e+04,2.61255156e+04,4.41853174e+03
2.51059437e+00,2.79995117e+04,3.92397734e+04,2.85771113e+04,5.01757471e+03
2.60079956e+00,3.15670371e+04,4.42429570e+04,3.24070664e+04,5.85681934e+03
2.69332647e+00,3.58638047e+04,5.02681094e+04,3.69935781e+04,6.75720312e+03
2.78823495e+00,3.97505312e+04,5.57153477e+04,4.09717305e+04,7.30632031e+03
2.88558602e+00,4.08497734e+04,5.72505312e+04,4.18280234e+04,7.11604883e+03
2.98544264e+00,3.84373359e+04,5.38621758e+04,3.90018633e+04,6.30824414e+03
3.08786964e+00,3.38512656e+04,4.74293203e+04,3.40378047e+04,5.29952441e+03
3.19293284e+00,2.87300449e+04,4.02490156e+04,2.86629492e+04,4.36138037e+03
3.30070019e+00,2.43250000e+04,3.40745664e+04,2.40979434e+04,3.69728442e+03
3.41124129e+00,2.14491621e+04,3.00461172e+04,2.12037930e+04,3.44821045e+03
3.52462745e+00,2.09649297e+04,2.93721367e+04,2.09151562e+04,3.76876367e+03
3.64093208e+00,2.49778945e+04,3.50032812e+04,2.53996875e+04,4.94762793e+03
3.76023054e+00,3.27156133e+04,4.58548828e+04,3.36789453e+04,6.58743408e+03
3.88259912e+00,4.03584961e+04,5.65673516e+04,4.15105547e+04,7.86159863e+03
4.00811720e+00,4.58176680e+04,6.42153125e+04,4.69356367e+04,8.60923633e+03
4.13686609e+00,4.76847188e+04,6.68249531e+04,4.85400742e+04,8.61814941e+03
4.26892853e+00,4.38862266e+04,6.14936875e+04,4.43476094e+04,7.80614600e+03
4.40439081e+00,3.69178047e+04,5.17261953e+04,3.71841953e+04,6.72455566e+03
4.54333878e+00,3.16090039e+04,4.42858750e+04,3.17350000e+04,5.93540137e+03
4.68586397e+00,2.78873555e+04,3.90680352e+04,2.78302695e+04,5.40748242e+03
4.83205652e+00,2.36175195e+04,3.30873359e+04,2.36313555e+04,5.04848340e+03
4.98201227e+00,2.24097402e+04,3.14018945e+04,2.27151406e+04,5.24597168e+03
5.13582754e+00,2.58068477e+04,3.61635781e+04,2.61778320e+04,5.85213086e+03
5.29360199e+00,2.62384277e+04,3.67652578e+04,2.64710039e+04,5.96609375e+03
5.45543718e+00,2.54044922e+04,3.56001953e+04,2.57935820e+04,6.14154443e+03
5.62143755e+00,2.90251250e+04,4.06733281e+04,2.94301836e+04,6.70950195e+03
5.79171038e+00,3.19138574e+04,4.47174297e+04,3.21771660e+04,6.99679736e+03
5.96636629e+00,3.18757910e+04,4.46606836e+04,3.19885742e+04,6.79205811e+03
6.14551687e+00,2.99844688e+04,4.20058555e+04,2.98737520e+04,6.28192725e+03
6.32927942e+00,2.67931914e+04,3.75298281e+04,2.64674102e+04,5.70833887e+03
6.51777077e+00,2.34939180e+04,3.29091719e+04,2.32620078e+04,5.38631543e+03
6.71111441e+00,2.28346016e+04,3.19899668e+04,2.28152695e+04,5.42182617e+03
6.90943432e+00,2.43647090e+04,3.41336211e+04,2.43480820e+04,5.59599512e+03
7.11285782e+00,2.47614004e+04,3.46881797e+04,2.46873984e+04,5.63304980e+03
7.32151794e+00,2.40000723e+04,3.36237461e+04,2.40177598e+04,5.63977979e+03
7.53554821e+00,2.40222949e+04,3.36563555e+04,2.41096035e+04,5.72032617e+03
7.75508738e+00,2.47065508e+04,3.46155781e+04,2.48183164e+04,5.84402832e+03
7.98027754e+00,2.56382305e+04,3.59200938e+04,2.57171211e+04,5.91906006e+03
8.21126270e+00,2.50241484e+04,3.50591172e+04,2.50959746e+04,5.77935645e+03
8.44819450e+00,2.42731055e+04,3.40098359e+04,2.44907520e+04,5.73877246e+03
8.69122219e+00,2.59556914e+04,3.63679883e+04,2.62236875e+04,5.91811914e+03
8.94050789e+00,2.61709082e+04,3.66676875e+04,2.63635273e+04,5.76157764e+03
9.19620800e+00,2.59604746e+04,3.63716250e+04,2.61136797e+04,5.59660791e+03
9.45849037e+00,2.66750312e+04,3.73709453e+04,2.67907930e+04,5.56101514e+03
9.72752285e+00,2.49140000e+04,3.49030039e+04,2.50525371e+04,5.25446143e+03
