Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.04423709e-18,4.94967921e-18,1.95357602e-11,6.10894012e+00
7.99999982e-02,2.68639146e-16,6.45533815e-16,6.51277421e-10,1.24764872e+01
1.19999997e-01,9.95454973e-15,2.38721159e-14,8.03807865e-09,1.90251846e+01
1.59999996e-01,1.41252095e-13,3.39459119e-13,4.23652153e-08,2.78619041e+01
2.00000003e-01,2.35823188e-12,5.62722828e-12,1.46295150e-07,3.21776352e+01
2.39999995e-01,2.90740331e-11,6.95215413e-11,6.00622116e-07,4.21709824e+01
2.80000001e-01,3.01282443e-10,7.20574767e-10,2.10826488e-06,4.90469666e+01
3.19999993e-01,3.50478779e-09,8.39940473e-09,3.43385636e-06,5.98179970e+01
3.60000014e-01,3.85753900e-08,9.41187324e-08,4.52079894e-06,6.59728317e+01
4.00000006e-01,3.08156103e-07,7.63737944e-07,5.67624147e-06,7.76815567e+01
4.39999998e-01,2.59032777e-06,6.26626024e-06,7.29798603e-06,8.15319672e+01
4.79999989e-01,1.32364557e-05,2.93757330e-05,9.97446296e-06,9.49970474e+01
5.19999981e-01,5.06172037e-05,1.03136539e-04,1.45262456e-05,9.84969940e+01
5.60000002e-01,1.35587543e-04,2.54998420e-04,1.89815873e-05,1.13388184e+02
6.00000024e-01,3.31363321e-04,5.78110281e-04,3.94704621e-05,1.17939003e+02
6.41029537e-01,5.82667999e-04,9.37198347e-04,7.42054472e-05,1.32434036e+02
6.83115125e-01,8.30950914e-04,1.25319557e-03,1.50515742e-04,1.35648911e+02
7.26283848e-01,1.01535372e-03,1.46661373e-03,3.05861846e-04,1.45781250e+02
7.70563781e-01,1.13557617e-03,1.60026527e-03,6.87216234e-04,1.53255707e+02
8.15983355e-01,1.18179515e-03,1.68345263e-03,1.25948712e-03,1.67828323e+02
8.62571895e-01,1.21414859e-03,1.72720081e-03,2.54032109e-03,1.73811508e+02
