Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,9.92481698e-19,1.78421142e-18,2.10930042e-14,1.48104402e-13
7.99999982e-02,1.48616735e-16,2.66512644e-16,2.48463901e-12,6.31763371e-08
1.19999997e-01,5.70505616e-15,1.02281278e-14,8.89137028e-11,9.43525520e-05
1.59999996e-01,7.43107019e-14,1.33517194e-13,1.04222475e-09,4.91721672e-04
2.00000003e-01,1.26670159e-12,2.26773049e-12,1.69762693e-08,1.47329620e-03
2.39999995e-01,1.55198961e-11,2.78194846e-11,4.96569157e-07,2.04848796e-02
2.80000001e-01,1.60723795e-10,2.88005397e-10,5.07492359e-06,3.53501439e-02
3.19999993e-01,1.88561433e-09,3.37654993e-09,1.98659072e-05,9.34400186e-02
3.60000014e-01,2.09896651e-08,3.77932601e-08,4.87625402e-05,1.27437308e-01
4.00000006e-01,1.84999067e-07,3.35400671e-07,1.29293476e-04,2.98792690e-01
4.39999998e-01,1.60292575e-06,2.91910783e-06,2.49144592e-04,4.34889674e-01
4.79999989e-01,8.68180359e-06,1.52922366e-05,3.49133130e-04,1.11325717e+00
5.19999981e-01,3.60996273e-05,6.11740761e-05,5.02289273e-04,1.32062936e+00
5.60000002e-01,1.03166196e-04,1.68235070e-04,4.80282994e-04,2.53481841e+00
6.00000024e-01,2.73047190e-04,4.29804088e-04,4.90697683e-04,2.90422726e+00
6.41029537e-01,5.06412238e-04,7.66696699e-04,4.87048703e-04,4.67648411e+00
6.83115125e-01,7.53728324e-04,1.10466592e-03,4.34790476e-04,5.42330265e+00
7.26283848e-01,9.57148324e-04,1.37214561e-03,4.60476615e-04,6.38687420e+00
7.70563781e-01,1.07648887e-03,1.51919120e-03,3.89309251e-04,8.75992203e+00
8.15983355e-01,1.14383397e-03,1.62189396e-03,3.85436288e-04,9.78792477e+00
8.62571895e-01,1.15852698e-03,1.64089771e-03,3.16145306e-04,1.14331341e+01
9.10359621e-01,1.09135127e-03,1.56019384e-03,2.85679707e-04,1.34150810e+01
9.59377348e-01,1.04681216e-03,1.50137825e-03,2.28145451e-04,1.53710365e+01
1.00965667e+00,8.78496445e-04,1.25921564e-03,1.92936161e-04,1.73398705e+01
1.06123006e+00,7.51044834e-04,1.08062872e-03,1.64826124e-04,2.02053280e+01
1.11413085e+00,6.19624683e-04,8.91476462e-04,1.45713144e-04,2.28635445e+01
1.16839325e+00,5.02759998e-04,7.20046461e-04,1.31820532e-04,2.61464062e+01
1.22405231e+00,4.07658779e-04,5.80936961e-04,1.18929071e-04,2.95148087e+01
1.28114390e+00,3.40943050e-04,4.84790769e-04,1.07667758e-04,3.40753136e+01
1.33970511e+00,2.85508897e-04,4.06405568e-04,9.77841046e-05,3.95808105e+01
1.39977336e+00,2.01667129e+04,2.82502070e+04,2.00137617e+04,2.16123242e+03
1.46138775e+00,2.55804375e+04,3.58135391e+04,2.40725781e+04,2.05432080e+03
1.52458799e+00,1.53008047e+04,2.14193047e+04,1.44317285e+04,1.36235913e+03
1.58941495e+00,1.42376738e+04,1.99370547e+04,1.37239922e+04,1.49249121e+03
1.65591037e+00,1.39609043e+04,1.95523730e+04,1.36022041e+04,1.58593384e+03
1.72411728e+00,1.39198545e+04,1.94966602e+04,1.36532285e+04,1.66417310e+03
1.79407966e+00,1.39666982e+04,1.95634727e+04,1.37610518e+04,1.73141846e+03
1.86584306e+00,1.40416230e+04,1.96692812e+04,1.38798008e+04,1.78869238e+03
1.93945324e+00,1.41132900e+04,1.97703125e+04,1.39843613e+04,1.83744580e+03
2.01495814e+00,1.41840391e+04,1.98699238e+04,1.40808018e+04,1.88163745e+03
2.09240627e+00,1.42534619e+04,1.99675762e+04,1.41706191e+04,1.92267029e+03
2.17184782e+00,1.43100664e+04,2.00471797e+04,1.42434238e+04,1.95754053e+03
2.25333428e+00,1.43470537e+04,2.00992500e+04,1.42937236e+04,1.98717114e+03
2.33691788e+00,1.43786504e+04,2.01437266e+04,1.43367559e+04,2.01395764e+03
2.42265272e+00,1.44067363e+04,2.01832656e+04,1.43749160e+04,2.03967676e+03
2.51059437e+00,1.44265586e+04,2.02111797e+04,1.44032090e+04,2.06289648e+03
2.60079956e+00,1.44454746e+04,2.02378145e+04,1.44299688e+04,2.08444727e+03
2.69332647e+00,1.44665820e+04,2.02675059e+04,1.44581533e+04,2.10225684e+03
2.78823495e+00,1.44872793e+04,2.02966113e+04,1.44852461e+04,2.11929028e+03
2.88558602e+00,1.45195527e+04,2.03419219e+04,1.45233232e+04,2.13918896e+03
2.98544264e+00,1.45564648e+04,2.03937148e+04,1.45653008e+04,2.16061353e+03
3.08786964e+00,1.45940303e+04,2.04464062e+04,1.46071113e+04,2.18422534e+03
3.19293284e+00,1.46399219e+04,2.05107598e+04,1.46568262e+04,2.20389209e+03
3.30070019e+00,1.46903496e+04,2.05814453e+04,1.47103623e+04,2.22374658e+03
3.41124129e+00,1.47448594e+04,2.06578477e+04,1.47674551e+04,2.24496777e+03
3.52462745e+00,1.47944229e+04,2.07272969e+04,1.48188174e+04,2.26635693e+03
3.64093208e+00,1.48193535e+04,2.07622148e+04,1.48446289e+04,2.28561328e+03
3.76023054e+00,1.48282891e+04,2.07747305e+04,1.48542109e+04,2.30164551e+03
3.88259912e+00,1.48261426e+04,2.07717109e+04,1.48522559e+04,2.31985352e+03
4.00811720e+00,1.48182227e+04,2.07606133e+04,1.48445986e+04,2.34272900e+03
4.13686609e+00,1.48111484e+04,2.07506914e+04,1.48373975e+04,2.36506201e+03
4.26892853e+00,1.48194922e+04,2.07623711e+04,1.48457793e+04,2.39287622e+03
4.40439081e+00,1.48630586e+04,2.08233887e+04,1.48892656e+04,2.42681738e+03
4.54333878e+00,1.49247646e+04,2.09098027e+04,1.49501523e+04,2.46543457e+03
4.68586397e+00,1.49731211e+04,2.09775078e+04,1.49974346e+04,2.50297852e+03
4.83205652e+00,1.50227803e+04,2.10470352e+04,1.50454238e+04,2.53998682e+03
4.98201227e+00,1.50508555e+04,2.10863086e+04,1.50711719e+04,2.57479834e+03
