Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.23534934e-03,2.27028923e-03,8.64181519e-02,1.11165190e+01
7.99999982e-02,2.16569612e-03,3.99811845e-03,1.17637724e-01,1.21702652e+01
1.19999997e-01,3.26920464e-03,6.01663161e-03,1.35919571e-01,1.25047922e+01
1.59999996e-01,5.88908000e-03,1.05526773e-02,1.57776073e-01,1.33636456e+01
2.00000003e-01,8.65062885e-03,1.53113632e-02,1.78256750e-01,1.38621397e+01
2.39999995e-01,1.21230213e-02,2.09206063e-02,1.96505025e-01,1.46010590e+01
2.80000001e-01,1.57832168e-02,2.67178789e-02,2.12646604e-01,1.51826868e+01
3.19999993e-01,1.98316444e-02,3.30596939e-02,2.27993235e-01,1.58912363e+01
3.60000014e-01,2.41187066e-02,3.97138968e-02,2.42850810e-01,1.65957890e+01
4.00000006e-01,2.93874815e-02,4.75660861e-02,2.57550478e-01,1.73816395e+01
4.39999998e-01,3.37090306e-02,5.39861582e-02,2.73355246e-01,1.84737244e+01
4.79999989e-01,3.94998193e-02,6.27645627e-02,2.90809572e-01,1.90119209e+01
5.19999981e-01,4.76908684e-02,7.46509582e-02,3.11387539e-01,2.02566490e+01
5.60000002e-01,5.65681756e-02,8.71521086e-02,3.35080743e-01,2.10487289e+01
6.00000024e-01,6.62299842e-02,1.00571036e-01,3.64075661e-01,2.29244843e+01
6.41029537e-01,7.58171156e-02,1.13390908e-01,3.97692651e-01,2.35212440e+01
6.83115125e-01,8.50377828e-02,1.25242189e-01,4.37874019e-01,2.45718384e+01
7.26283848e-01,9.29130018e-02,1.34515464e-01,4.74744707e-01,2.55716362e+01
7.70563781e-01,9.90157127e-02,1.40870124e-01,5.15842795e-01,2.69659805e+01
8.15983355e-01,1.02751777e-01,1.43654123e-01,5.49686253e-01,2.90060291e+01
8.62571895e-01,1.04226187e-01,1.43401504e-01,5.73786378e-01,2.98815403e+01
9.10359621e-01,1.03840031e-01,1.41067237e-01,5.82238734e-01,3.16772995e+01
9.59377348e-01,1.03818163e-01,1.39625981e-01,5.73764503e-01,3.25322952e+01
1.00965667e+00,1.03337914e-01,1.38034627e-01,5.49305141e-01,3.54951668e+01
1.06123006e+00,1.02477454e-01,1.36700302e-01,5.13695598e-01,3.67097702e+01
1.11413085e+00,1.05289556e-01,1.41298220e-01,4.76413250e-01,3.97925148e+01
1.16839325e+00,1.13583438e-01,1.54534057e-01,4.46951628e-01,4.68312836e+01
1.22405231e+00,1.29850432e-01,1.79801121e-01,4.31381226e-01,4.92054787e+01
1.28114390e+00,1.55668706e-01,2.19044045e-01,4.35433775e-01,5.53740082e+01
1.33970511e+00,2.00857162e-01,2.86221415e-01,4.63277936e-01,5.74967232e+01
1.39977336e+00,2.05277676e+04,2.87392852e+04,1.92420586e+04,1.24518103e+03
1.46138775e+00,2.49084844e+04,3.48344180e+04,2.12509531e+04,1.36938416e+03
1.52458799e+00,1.64686484e+04,2.30280781e+04,1.41103291e+04,1.06393994e+03
1.58941495e+00,1.53100479e+04,2.14199531e+04,1.36741338e+04,1.26613269e+03
1.65591037e+00,1.47992949e+04,2.07115430e+04,1.35110996e+04,1.38340320e+03
1.72411728e+00,1.47007637e+04,2.05792910e+04,1.36951855e+04,1.53937024e+03
1.79407966e+00,1.55282676e+04,2.17440234e+04,1.47780488e+04,1.79980420e+03
1.86584306e+00,1.72884766e+04,2.42138867e+04,1.67157207e+04,2.12396924e+03
1.93945324e+00,1.94058984e+04,2.71821250e+04,1.89226289e+04,2.41278247e+03
2.01495814e+00,2.08851445e+04,2.92524668e+04,2.03004023e+04,2.46044043e+03
2.09240627e+00,2.05193418e+04,2.87347070e+04,1.96681348e+04,2.24843970e+03
2.17184782e+00,1.87340508e+04,2.62302305e+04,1.77118477e+04,1.93851074e+03
2.25333428e+00,1.67387227e+04,2.34344023e+04,1.56906514e+04,1.70362854e+03
2.33691788e+00,1.51399551e+04,2.11955566e+04,1.41336719e+04,1.54606885e+03
2.42265272e+00,1.40571289e+04,1.96798574e+04,1.31107031e+04,1.47610217e+03
2.51059437e+00,1.34354521e+04,1.88110820e+04,1.25940449e+04,1.48197546e+03
2.60079956e+00,1.34574365e+04,1.88444707e+04,1.27351777e+04,1.56442834e+03
2.69332647e+00,1.40032168e+04,1.96112109e+04,1.33754941e+04,1.71804456e+03
2.78823495e+00,1.47288486e+04,2.06295586e+04,1.41856250e+04,1.87427649e+03
2.88558602e+00,1.55243945e+04,2.17449883e+04,1.50295918e+04,2.01673035e+03
2.98544264e+00,1.61242373e+04,2.25857324e+04,1.56662021e+04,2.13935449e+03
3.08786964e+00,1.66236289e+04,2.32861895e+04,1.62290381e+04,2.26548413e+03
3.19293284e+00,1.70816758e+04,2.39287891e+04,1.67504336e+04,2.35863086e+03
3.30070019e+00,1.73687734e+04,2.43314082e+04,1.70746914e+04,2.43009326e+03
3.41124129e+00,1.77594570e+04,2.48787070e+04,1.74759492e+04,2.46185938e+03
3.52462745e+00,1.82502734e+04,2.55659570e+04,1.79538535e+04,2.50362988e+03
3.64093208e+00,1.86149551e+04,2.60760156e+04,1.82769805e+04,2.49969531e+03
3.76023054e+00,1.89246094e+04,2.65087988e+04,1.85317793e+04,2.48525903e+03
3.88259912e+00,1.93212344e+04,2.70629863e+04,1.88436797e+04,2.47653027e+03
4.00811720e+00,1.94759727e+04,2.72776836e+04,1.88839160e+04,2.40799243e+03
4.13686609e+00,1.90306973e+04,2.66522305e+04,1.83531016e+04,2.30490723e+03
4.26892853e+00,1.82968125e+04,2.56230586e+04,1.75628750e+04,2.16870850e+03
4.40439081e+00,1.73641270e+04,2.43158984e+04,1.66008496e+04,2.04931421e+03
4.54333878e+00,1.63548037e+04,2.29021484e+04,1.56010898e+04,1.92183740e+03
4.68586397e+00,1.55121611e+04,2.17224883e+04,1.47946162e+04,1.83455334e+03
4.83205652e+00,1.49350117e+04,2.09150156e+04,1.42651055e+04,1.79218237e+03
4.98201227e+00,1.47867715e+04,2.07080566e+04,1.41467344e+04,1.79147705e+03
5.13582754e+00,1.48507959e+04,2.07980488e+04,1.42226113e+04,1.81305640e+03
5.29360199e+00,1.48645908e+04,2.08175938e+04,1.42517324e+04,1.82284155e+03
5.45543718e+00,1.50649795e+04,2.10984062e+04,1.44585957e+04,1.86578540e+03
5.62143755e+00,1.53156455e+04,2.14494180e+04,1.47069619e+04,1.89978723e+03
5.79171038e+00,1.53622354e+04,2.15148887e+04,1.47735488e+04,1.93058911e+03
5.96636629e+00,1.53620312e+04,2.15152051e+04,1.48109375e+04,1.95848181e+03
