Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.77282054e-05,3.15088146e-05,8.21065530e-03,5.07677257e-01
7.99999982e-02,3.07858172e-05,5.45414296e-05,9.74739250e-03,5.83175957e-01
1.19999997e-01,4.61925301e-05,8.18008266e-05,1.10590877e-02,6.05469763e-01
1.59999996e-01,6.79077639e-05,1.19365912e-04,1.23176463e-02,6.77978277e-01
2.00000003e-01,9.68365639e-05,1.68104030e-04,1.30653335e-02,6.83665752e-01
2.39999995e-01,1.34547008e-04,2.31321479e-04,1.36964694e-02,7.45285809e-01
2.80000001e-01,1.91164232e-04,3.21776315e-04,1.40714832e-02,7.42561042e-01
3.19999993e-01,2.54159910e-04,4.22373734e-04,1.46246897e-02,7.78243303e-01
3.60000014e-01,3.43196414e-04,5.63869195e-04,1.54067390e-02,8.01779985e-01
4.00000006e-01,4.56110400e-04,7.40547315e-04,1.66313238e-02,8.33187759e-01
4.39999998e-01,5.73650061e-04,9.29613656e-04,1.83686353e-02,8.65528286e-01
4.79999989e-01,7.60306721e-04,1.22353528e-03,2.01990288e-02,9.05131102e-01
5.19999981e-01,1.05612061e-03,1.68516603e-03,2.35053934e-02,9.48086262e-01
5.60000002e-01,1.43484992e-03,2.26907339e-03,2.68610287e-02,1.00050986e+00
6.00000024e-01,2.21297913e-03,3.45358485e-03,3.10899708e-02,1.04973853e+00
6.41029537e-01,3.24061117e-03,5.04110986e-03,3.71228941e-02,1.11065388e+00
6.83115125e-01,4.98632388e-03,7.62493815e-03,4.31256592e-02,1.17009938e+00
7.26283848e-01,7.41774030e-03,1.12360660e-02,5.14666736e-02,1.23491526e+00
7.70563781e-01,1.04104234e-02,1.55987833e-02,5.95287308e-02,1.30056238e+00
8.15983355e-01,1.45881716e-02,2.16466766e-02,7.08519295e-02,1.36952686e+00
8.62571895e-01,1.89914200e-02,2.78035700e-02,7.91101009e-02,1.45231009e+00
9.10359621e-01,2.42170449e-02,3.50454226e-02,8.89209658e-02,1.53121507e+00
9.59377348e-01,2.84649190e-02,4.07193787e-02,9.15270746e-02,1.63042748e+00
1.00965667e+00,3.30907963e-02,4.70025986e-02,9.07450095e-02,1.75848138e+00
1.06123006e+00,3.81965153e-02,5.41753508e-02,8.08864459e-02,1.93104780e+00
1.11413085e+00,4.39470150e-02,6.26130626e-02,6.61178380e-02,2.15748930e+00
1.16839325e+00,5.00436649e-02,7.16213211e-02,5.39489761e-02,2.37328458e+00
1.22405231e+00,5.42632267e-02,7.77220577e-02,4.77554090e-02,3.41457224e+00
1.28114390e+00,5.70347756e-02,8.15144256e-02,4.73533422e-02,3.36864686e+00
1.33970511e+00,5.97474277e-02,8.49457458e-02,5.54951951e-02,4.71337080e+00
1.39977336e+00,1.44350303e+04,2.01942832e+04,1.42062578e+04,1.49696863e+03
1.46138775e+00,1.25358691e+04,1.75313086e+04,1.19889023e+04,1.13970959e+03
1.52458799e+00,7.53714355e+03,1.05407949e+04,7.23182275e+03,7.14346313e+02
1.58941495e+00,6.46560254e+03,9.04341016e+03,6.25969385e+03,6.73870911e+02
1.65591037e+00,6.09832520e+03,8.53052344e+03,5.94410352e+03,6.79599854e+02
1.72411728e+00,5.99673438e+03,8.38903516e+03,5.87569531e+03,7.02491333e+02
1.79407966e+00,5.96719238e+03,8.34811914e+03,5.86820605e+03,7.22325928e+02
1.86584306e+00,5.91464844e+03,8.27486914e+03,5.83096973e+03,7.37035217e+02
1.93945324e+00,5.81922998e+03,8.14158594e+03,5.74804102e+03,7.39267639e+02
2.01495814e+00,5.71465332e+03,7.99547998e+03,5.65505469e+03,7.44947021e+02
2.09240627e+00,5.65894922e+03,7.91777344e+03,5.61076953e+03,7.49985596e+02
2.17184782e+00,5.67507861e+03,7.94055859e+03,5.63736963e+03,7.69879150e+02
2.25333428e+00,5.75132178e+03,8.04741699e+03,5.72251562e+03,7.93303345e+02
2.33691788e+00,5.85323438e+03,8.19013623e+03,5.83120703e+03,8.17084045e+02
2.42265272e+00,5.93717188e+03,8.30764941e+03,5.91976855e+03,8.39724731e+02
2.51059437e+00,5.96335010e+03,8.34430566e+03,5.94914355e+03,8.52920837e+02
2.60079956e+00,5.91641650e+03,8.27865918e+03,5.90520557e+03,8.53115967e+02
2.69332647e+00,5.82763965e+03,8.15450195e+03,5.82028125e+03,8.49771973e+02
2.78823495e+00,5.74915723e+03,8.04477148e+03,5.74619482e+03,8.47565735e+02
2.88558602e+00,5.71859229e+03,8.00211035e+03,5.72064648e+03,8.53247375e+02
2.98544264e+00,5.75100098e+03,8.04755859e+03,5.75790137e+03,8.66166809e+02
3.08786964e+00,5.84591553e+03,8.18044922e+03,5.85698145e+03,8.88134705e+02
3.19293284e+00,5.95670801e+03,8.33551172e+03,5.97035791e+03,9.12789001e+02
3.30070019e+00,6.04710059e+03,8.46199512e+03,6.06207812e+03,9.28515991e+02
3.41124129e+00,6.09391211e+03,8.52747852e+03,6.10909375e+03,9.35618286e+02
