Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.64888840e+01,3.34720573e+01,4.47439253e-01,9.68764663e-01
7.99999982e-02,2.77855263e+01,3.49218559e+01,6.99798584e-01,1.15769446e+00
1.19999997e-01,2.66039677e+01,3.33997688e+01,9.92218494e-01,1.22912776e+00
1.59999996e-01,2.53263474e+01,3.18667755e+01,1.34791875e+00,1.35164809e+00
2.00000003e-01,2.32391891e+01,2.93307629e+01,1.52436948e+00,1.42739141e+00
2.39999995e-01,2.26395378e+01,2.87980824e+01,1.77553296e+00,1.51937044e+00
2.80000001e-01,2.17139435e+01,2.78249207e+01,1.90233421e+00,1.60145211e+00
3.19999993e-01,2.19389648e+01,2.83513546e+01,2.06856918e+00,1.69361711e+00
3.60000014e-01,2.20116730e+01,2.86645527e+01,2.31807470e+00,1.79641879e+00
4.00000006e-01,2.33776970e+01,3.06707535e+01,2.70343351e+00,1.90942705e+00
4.39999998e-01,2.38665180e+01,3.14630795e+01,2.96755004e+00,2.03782058e+00
4.79999989e-01,2.64675522e+01,3.50397186e+01,3.70272684e+00,2.16078115e+00
5.19999981e-01,2.79485054e+01,3.71591225e+01,4.70785618e+00,2.28080893e+00
5.60000002e-01,4.58488235e+01,6.19290504e+01,1.31468983e+01,2.39133525e+00
6.00000024e-01,5.30579262e+01,7.18059921e+01,1.52655611e+01,2.50949812e+00
6.41029537e-01,9.38235168e+01,1.27120193e+02,2.52514381e+01,2.62892818e+00
6.83115125e-01,8.63057556e+01,1.16768944e+02,2.26454601e+01,2.75468874e+00
7.26283848e-01,8.85854111e+01,1.19721268e+02,2.28959217e+01,2.91703820e+00
7.70563781e-01,8.22075500e+01,1.11331818e+02,2.31232300e+01,3.09401059e+00
8.15983355e-01,9.69918213e+01,1.31946167e+02,3.05404053e+01,3.29355192e+00
8.62571895e-01,9.79727783e+01,1.33310593e+02,3.03874321e+01,3.50416517e+00
9.10359621e-01,1.12438431e+02,1.53109680e+02,3.57613678e+01,3.71974087e+00
9.59377348e-01,1.02917282e+02,1.40091782e+02,3.27596817e+01,4.07211494e+00
1.00965667e+00,1.02013931e+02,1.39002853e+02,3.45596352e+01,4.32398510e+00
1.06123006e+00,1.98404083e+02,2.73041809e+02,7.57359009e+01,5.08455276e+00
1.11413085e+00,3.07327881e+03,4.26502734e+03,1.52211523e+03,6.41275787e+00
1.16839325e+00,7.46907910e+03,1.03786660e+04,3.84476953e+03,8.97239113e+00
1.22405231e+00,8.73106836e+03,1.21573457e+04,5.27374219e+03,1.08880835e+01
1.28114390e+00,3.05736094e+04,4.26243516e+04,1.97989414e+04,2.95235081e+01
1.33970511e+00,7.69238594e+04,1.07346453e+05,5.37554805e+04,1.30309692e+02
1.39977336e+00,2.15551938e+05,3.01442219e+05,1.83154344e+05,1.00414453e+04
1.46138775e+00,4.88979312e+05,6.83994875e+05,4.24797062e+05,1.57393145e+04
1.52458799e+00,7.56732375e+05,1.05875400e+06,6.71075500e+05,4.06217422e+04
1.58941495e+00,7.44689625e+05,1.04106581e+06,6.13336000e+05,3.38727031e+04
1.65591037e+00,7.10215000e+05,9.92525812e+05,5.68928625e+05,3.63075078e+04
1.72411728e+00,6.69626250e+05,9.35624125e+05,5.28882500e+05,3.63160273e+04
1.79407966e+00,6.24919750e+05,8.73089625e+05,4.91154188e+05,3.45679141e+04
1.86584306e+00,5.76068250e+05,8.04703125e+05,4.46273312e+05,2.86116270e+04
1.93945324e+00,5.24656375e+05,7.32657812e+05,3.94777938e+05,2.04816758e+04
2.01495814e+00,4.74974562e+05,6.63089938e+05,3.48394594e+05,1.54335693e+04
2.09240627e+00,4.36601219e+05,6.09507875e+05,3.20118250e+05,1.19134932e+04
2.17184782e+00,4.09919688e+05,5.72235000e+05,2.99235719e+05,8.80022949e+03
2.25333428e+00,3.91282625e+05,5.46141625e+05,2.81442250e+05,5.69319336e+03
2.33691788e+00,3.73001500e+05,5.20446844e+05,2.59193234e+05,2.21398022e+03
2.42265272e+00,3.42877562e+05,4.78116625e+05,2.23708938e+05,5.27144714e+02
2.51059437e+00,3.04808594e+05,4.24850812e+05,1.91303328e+05,4.77430542e+02
2.60079956e+00,2.77163844e+05,3.86359750e+05,1.76471000e+05,3.79670074e+02
2.69332647e+00,2.55554219e+05,3.56166438e+05,1.60566688e+05,3.04207397e+02
2.78823495e+00,2.29941938e+05,3.20427312e+05,1.43372516e+05,2.59767456e+02
2.88558602e+00,2.03981609e+05,2.84259375e+05,1.27485047e+05,2.37845703e+02
2.98544264e+00,1.85801203e+05,2.58944000e+05,1.16743461e+05,2.31141037e+02
3.08786964e+00,1.75753531e+05,2.44951797e+05,1.10814562e+05,2.29534149e+02
3.19293284e+00,1.67868125e+05,2.33959375e+05,1.05821461e+05,2.25206863e+02
3.30070019e+00,1.54905312e+05,2.15889875e+05,9.75693906e+04,2.13425690e+02
3.41124129e+00,1.39150438e+05,1.93937719e+05,8.77892891e+04,2.04289413e+02
3.52462745e+00,1.26934500e+05,1.76920328e+05,8.03362969e+04,2.01745361e+02
3.64093208e+00,1.19113188e+05,1.66025016e+05,7.55983438e+04,2.04954147e+02
3.76023054e+00,1.13827812e+05,1.58661672e+05,7.23970391e+04,2.11219360e+02
3.88259912e+00,1.09506305e+05,1.52638984e+05,6.97251406e+04,2.18133606e+02
4.00811720e+00,1.04557375e+05,1.45737516e+05,6.65285078e+04,2.24217514e+02
4.13686609e+00,9.84333828e+04,1.37198344e+05,6.25977188e+04,2.31041855e+02
4.26892853e+00,9.28507812e+04,1.29415484e+05,5.90851016e+04,2.42153214e+02
4.40439081e+00,8.78525938e+04,1.22447258e+05,5.59678555e+04,2.55116821e+02
4.54333878e+00,8.51077500e+04,1.18624422e+05,5.44197734e+04,2.73043427e+02
4.68586397e+00,8.65520312e+04,1.20644719e+05,5.56319766e+04,2.98150513e+02
4.83205652e+00,9.27419844e+04,1.29279531e+05,5.98727695e+04,3.27641815e+02
4.98201227e+00,9.94971094e+04,1.38698875e+05,6.43988633e+04,3.50195740e+02
5.13582754e+00,1.06894633e+05,1.49016922e+05,6.93257656e+04,3.72837921e+02
5.29360199e+00,1.19763680e+05,1.66953406e+05,7.74444531e+04,4.01338348e+02
5.45543718e+00,1.28111141e+05,1.78577406e+05,8.24205312e+04,4.29404816e+02
5.62143755e+00,1.29865031e+05,1.81007938e+05,8.31192109e+04,4.48147125e+02
5.79171038e+00,1.21696547e+05,1.69604406e+05,7.74732422e+04,4.50936584e+02
5.96636629e+00,1.14709539e+05,1.59864625e+05,7.30943906e+04,4.54306641e+02
6.14551687e+00,1.22020914e+05,1.70046906e+05,7.75960625e+04,4.63911102e+02
6.32927942e+00,1.23867023e+05,1.72598438e+05,7.82101250e+04,4.44325958e+02
6.51777077e+00,1.08070141e+05,1.50573000e+05,6.78716875e+04,4.11942078e+02
6.71111441e+00,9.09048984e+04,1.26658633e+05,5.72280430e+04,3.93930115e+02
