Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.55058860e-05,6.65690313e-05,4.78181809e-01,3.82556953e+01
7.99999982e-02,2.81196681e-05,1.13866736e-04,6.04208410e-01,3.91033669e+01
1.19999997e-01,4.70709238e-05,1.74490619e-04,6.88954771e-01,3.91860847e+01
1.59999996e-01,7.65525692e-05,2.61165173e-04,7.60034084e-01,3.97980118e+01
2.00000003e-01,1.47484272e-04,4.26145678e-04,7.92770624e-01,4.00022850e+01
2.39999995e-01,2.62916059e-04,6.86932588e-04,8.22533548e-01,4.08062477e+01
2.80000001e-01,4.07093583e-04,9.87004722e-04,8.40909362e-01,4.11378059e+01
3.19999993e-01,6.24737935e-04,1.40969874e-03,8.45264673e-01,4.18192978e+01
3.60000014e-01,9.16032819e-04,1.96861615e-03,8.52867186e-01,4.28011436e+01
4.00000006e-01,1.33214577e-03,2.71058711e-03,8.49080920e-01,4.23064880e+01
4.39999998e-01,1.75998628e-03,3.47442529e-03,8.44591856e-01,4.54443054e+01
4.79999989e-01,2.35412084e-03,4.49019857e-03,8.44803631e-01,4.29480438e+01
5.19999981e-01,3.16534168e-03,5.87550690e-03,8.34050059e-01,4.57250328e+01
5.60000002e-01,4.24881978e-03,7.67910900e-03,8.38383734e-01,4.53366508e+01
6.00000024e-01,5.89756109e-03,1.04144812e-02,8.29343081e-01,4.71710396e+01
6.41029537e-01,7.76262209e-03,1.35976952e-02,8.28964949e-01,4.64331703e+01
6.83115125e-01,1.03853215e-02,1.80835295e-02,8.21992338e-01,4.85831757e+01
7.26283848e-01,1.43859759e-02,2.49702968e-02,8.21438551e-01,4.77780991e+01
7.70563781e-01,1.92874037e-02,3.34599577e-02,8.21886301e-01,4.89180527e+01
8.15983355e-01,2.68496703e-02,4.64279763e-02,8.21114540e-01,5.10309830e+01
8.62571895e-01,3.75764519e-02,6.41584024e-02,8.25854242e-01,5.06656418e+01
9.10359621e-01,5.40181771e-02,8.93478468e-02,8.31992805e-01,5.17115173e+01
9.59377348e-01,7.42103904e-02,1.17239259e-01,8.43729317e-01,5.30242844e+01
