Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,3.41719669e-06,6.44478678e-06,3.14925541e-03,4.31644171e-01
7.99999982e-02,6.29902843e-06,1.17887130e-05,3.34033300e-03,4.97988045e-01
1.19999997e-01,9.98138967e-06,1.85273639e-05,3.48534575e-03,5.18449545e-01
1.59999996e-01,1.51710201e-05,2.77790277e-05,3.76797118e-03,5.69446325e-01
2.00000003e-01,2.57809879e-05,4.55605150e-05,4.02302761e-03,5.81959248e-01
2.39999995e-01,4.49428626e-05,7.69765393e-05,4.21647076e-03,6.30654454e-01
2.80000001e-01,6.87317515e-05,1.15073213e-04,4.30941628e-03,6.46749258e-01
3.19999993e-01,1.07151944e-04,1.74585977e-04,4.43534786e-03,6.84198260e-01
3.60000014e-01,1.56379043e-04,2.50911049e-04,4.61620977e-03,7.15975165e-01
4.00000006e-01,2.28990946e-04,3.60207952e-04,4.87461127e-03,7.47493625e-01
4.39999998e-01,2.87579576e-04,4.49634885e-04,5.24539500e-03,7.77351677e-01
4.79999989e-01,3.81925754e-04,5.90896932e-04,5.68046840e-03,8.06109846e-01
5.19999981e-01,5.24826464e-04,8.02850875e-04,6.40676264e-03,8.36529613e-01
5.60000002e-01,7.15393748e-04,1.08320545e-03,7.23257056e-03,8.68405581e-01
6.00000024e-01,1.00534514e-03,1.51016167e-03,8.30290280e-03,9.02233899e-01
6.41029537e-01,1.34282187e-03,2.01071636e-03,9.70575493e-03,9.40409601e-01
6.83115125e-01,1.83611782e-03,2.74108839e-03,1.13165230e-02,9.82178092e-01
7.26283848e-01,2.61870166e-03,3.89986089e-03,1.34966830e-02,1.03190792e+00
7.70563781e-01,3.57681676e-03,5.32862172e-03,1.58292614e-02,1.07708681e+00
8.15983355e-01,5.12332749e-03,7.62623083e-03,1.84590295e-02,1.13202190e+00
8.62571895e-01,7.33123347e-03,1.08644031e-02,2.07046885e-02,1.19346690e+00
9.10359621e-01,1.08757401e-02,1.59776006e-02,2.23486256e-02,1.26466656e+00
9.59377348e-01,1.50132263e-02,2.17810925e-02,2.24929415e-02,1.34511936e+00
1.00965667e+00,1.99367367e-02,2.85074990e-02,2.10355036e-02,1.48026955e+00
1.06123006e+00,2.47830879e-02,3.50636393e-02,1.82740651e-02,1.51937652e+00
1.11413085e+00,2.92615145e-02,4.10862342e-02,1.51585191e-02,1.69297862e+00
1.16839325e+00,3.36130187e-02,4.68312018e-02,1.28912833e-02,2.26254511e+00
1.22405231e+00,3.64014246e-02,5.01993224e-02,1.13458093e-02,2.42884517e+00
1.28114390e+00,3.71343382e-02,5.06493077e-02,1.06756678e-02,2.82974315e+00
1.33970511e+00,3.48280668e-02,4.70790863e-02,1.10173449e-02,3.06940579e+00
1.39977336e+00,1.98767109e+04,2.78415781e+04,1.95952070e+04,1.54663379e+03
1.46138775e+00,2.17886016e+04,3.05031855e+04,2.04460352e+04,1.32147607e+03
1.52458799e+00,1.19781934e+04,1.67667148e+04,1.11946113e+04,7.77354370e+02
1.58941495e+00,1.02921758e+04,1.44103496e+04,9.81628125e+03,8.19384766e+02
1.65591037e+00,1.01265439e+04,1.41811270e+04,9.80181445e+03,9.27708923e+02
1.72411728e+00,1.07598672e+04,1.50702012e+04,1.05337051e+04,1.08878027e+03
1.79407966e+00,1.16839336e+04,1.63659111e+04,1.15210566e+04,1.25337744e+03
1.86584306e+00,1.23843535e+04,1.73475859e+04,1.22465215e+04,1.35341626e+03
1.93945324e+00,1.25479951e+04,1.75767285e+04,1.24045068e+04,1.36429956e+03
2.01495814e+00,1.21248291e+04,1.69835664e+04,1.19622812e+04,1.29918347e+03
2.09240627e+00,1.13248096e+04,1.58625176e+04,1.11452285e+04,1.19447046e+03
2.17184782e+00,1.04423262e+04,1.46261328e+04,1.02558848e+04,1.09059351e+03
2.25333428e+00,9.65078320e+03,1.35173418e+04,9.46689453e+03,1.00672388e+03
2.33691788e+00,9.02002148e+03,1.26339238e+04,8.84615430e+03,9.48730225e+02
2.42265272e+00,8.61140820e+03,1.20618652e+04,8.45518164e+03,9.23391602e+02
2.51059437e+00,8.49041797e+03,1.18928203e+04,8.35573535e+03,9.36813110e+02
2.60079956e+00,8.59304492e+03,1.20370215e+04,8.47967090e+03,9.75739136e+02
2.69332647e+00,8.80659375e+03,1.23365576e+04,8.71347559e+03,1.02932385e+03
2.78823495e+00,9.09231445e+03,1.27371416e+04,9.01843066e+03,1.08960486e+03
2.88558602e+00,9.36598438e+03,1.31208037e+04,9.31082715e+03,1.14754053e+03
2.98544264e+00,9.55501758e+03,1.33858711e+04,9.51766602e+03,1.19496545e+03
3.08786964e+00,9.66725293e+03,1.35433496e+04,9.64727441e+03,1.23229810e+03
3.19293284e+00,9.75882031e+03,1.36718711e+04,9.75572070e+03,1.26477612e+03
3.30070019e+00,9.85536523e+03,1.38073418e+04,9.86733984e+03,1.29650098e+03
3.41124129e+00,9.98808105e+03,1.39934727e+04,1.00135391e+04,1.33146973e+03
3.52462745e+00,1.01783311e+04,1.42601904e+04,1.02154473e+04,1.37019043e+03
3.64093208e+00,1.04199658e+04,1.45988682e+04,1.04665762e+04,1.41393152e+03
3.76023054e+00,1.07366191e+04,1.50426318e+04,1.07920244e+04,1.46663965e+03
3.88259912e+00,1.11622686e+04,1.56390645e+04,1.12249512e+04,1.53108081e+03
4.00811720e+00,1.15501758e+04,1.61825234e+04,1.16148271e+04,1.58538953e+03
4.13686609e+00,1.18126221e+04,1.65501074e+04,1.18728936e+04,1.61729810e+03
4.26892853e+00,1.19939824e+04,1.68040000e+04,1.20440215e+04,1.63553210e+03
4.40439081e+00,1.20077207e+04,1.68229883e+04,1.20425332e+04,1.62594666e+03
4.54333878e+00,1.18586533e+04,1.66138457e+04,1.18750195e+04,1.59357324e+03
4.68586397e+00,1.15571963e+04,1.61912197e+04,1.15545039e+04,1.54302087e+03
4.83205652e+00,1.11772529e+04,1.56586904e+04,1.11579189e+04,1.48554956e+03
4.98201227e+00,1.08701738e+04,1.52283027e+04,1.08375684e+04,1.43912183e+03
5.13582754e+00,1.06018838e+04,1.48523281e+04,1.05602031e+04,1.40363501e+03
5.29360199e+00,1.04023643e+04,1.45727402e+04,1.03546240e+04,1.37976184e+03
5.45543718e+00,1.03586582e+04,1.45114727e+04,1.03076523e+04,1.37700647e+03
5.62143755e+00,1.03482197e+04,1.44968242e+04,1.02959883e+04,1.38021228e+03
5.79171038e+00,1.02501406e+04,1.43594023e+04,1.01981113e+04,1.37227380e+03
5.96636629e+00,9.98919922e+03,1.39939199e+04,9.94334375e+03,1.35035864e+03
6.14551687e+00,9.65847656e+03,1.35307100e+04,9.62077441e+03,1.32050195e+03
6.32927942e+00,9.26718457e+03,1.29828535e+04,9.24742188e+03,1.29148718e+03
6.51777077e+00,9.10785840e+03,1.27599434e+04,9.10429590e+03,1.29143811e+03
6.71111441e+00,9.09291602e+03,1.27392480e+04,9.10365723e+03,1.30531921e+03
6.90943432e+00,9.50244336e+03,1.33135156e+04,9.54152051e+03,1.38912048e+03
7.11285782e+00,1.05070938e+04,1.47212656e+04,1.05635830e+04,1.53388660e+03
7.32151794e+00,1.11793564e+04,1.56630273e+04,1.12387090e+04,1.62999707e+03
7.53554821e+00,1.12496387e+04,1.57613652e+04,1.13075957e+04,1.63944873e+03
7.75508738e+00,1.14924375e+04,1.61014795e+04,1.15536885e+04,1.67948145e+03
7.98027754e+00,1.19433545e+04,1.67332227e+04,1.20104648e+04,1.73984485e+03
8.21126270e+00,1.25153486e+04,1.75342852e+04,1.25709697e+04,1.80268884e+03
8.44819450e+00,1.25794561e+04,1.76234199e+04,1.26012090e+04,1.78182227e+03
8.69122219e+00,1.14450107e+04,1.60335283e+04,1.14338242e+04,1.61621826e+03
8.94050789e+00,9.62809668e+03,1.34881943e+04,9.61303418e+03,1.39185681e+03
9.19620800e+00,7.92954932e+03,1.11094756e+04,7.94800684e+03,1.21472351e+03
9.45849037e+00,8.06701025e+03,1.13030459e+04,8.12692725e+03,1.27105310e+03
9.72752285e+00,9.67681543e+03,1.35586094e+04,9.75020020e+03,1.49033264e+03
1.00034800e+01,1.08693135e+04,1.52290059e+04,1.09412129e+04,1.63904626e+03
1.02865391e+01,1.13647334e+04,1.59234082e+04,1.14612900e+04,1.71920886e+03
1.05768833e+01,1.17357402e+04,1.64439590e+04,1.18714775e+04,1.79331006e+03
1.08747025e+01,1.23235820e+04,1.72675293e+04,1.24693623e+04,1.86741931e+03
1.11801853e+01,1.15037578e+04,1.61180635e+04,1.16195098e+04,1.73382007e+03
1.14935322e+01,1.07988379e+04,1.51314609e+04,1.09779785e+04,1.68867200e+03
1.18149433e+01,1.32109883e+04,1.85111914e+04,1.34389082e+04,2.00368433e+03
1.21446266e+01,1.41361523e+04,1.98069434e+04,1.43745811e+04,2.08158057e+03
1.24827967e+01,1.62627139e+04,2.27859824e+04,1.65028242e+04,2.29019678e+03
1.28296700e+01,1.79325957e+04,2.51199727e+04,1.79618477e+04,2.27098999e+03
1.31854706e+01,1.04381416e+04,1.46208848e+04,1.05509082e+04,1.30653882e+03
1.35504293e+01,4.27064404e+03,5.98745410e+03,4.78689062e+03,6.87435730e+02
1.39247818e+01,3.01101514e+03,4.22849023e+03,3.89790381e+03,5.99971863e+02
1.43087692e+01,2.98283862e+03,4.19508105e+03,4.19831152e+03,5.78547485e+02
1.47026405e+01,3.43071265e+03,4.82958301e+03,4.87777930e+03,6.08853455e+02
1.51066484e+01,5.56194092e+03,7.82271875e+03,7.17652148e+03,9.01432983e+02
1.55210552e+01,8.26794727e+03,1.16176514e+04,9.78613770e+03,1.09481555e+03
1.59461288e+01,8.21249023e+03,1.15387539e+04,9.45082520e+03,1.05904272e+03
1.63821430e+01,1.01843965e+04,1.42938506e+04,1.12634160e+04,1.34635168e+03
1.68293781e+01,1.21595107e+04,1.70534414e+04,1.30759062e+04,1.39413062e+03
1.72881241e+01,1.15003887e+04,1.61267207e+04,1.21980801e+04,1.08916736e+03
1.77586803e+01,9.35287988e+03,1.31152422e+04,9.86184668e+03,7.17883911e+02
1.82413464e+01,7.59258887e+03,1.06463477e+04,7.87366455e+03,4.61838104e+02
1.87364349e+01,7.62963916e+03,1.06915469e+04,7.38315479e+03,4.05054291e+02
1.92442665e+01,8.28052344e+03,1.15922256e+04,7.51309473e+03,4.75004944e+02
1.97651691e+01,8.94883984e+03,1.25209219e+04,7.86424414e+03,5.44721436e+02
2.02994785e+01,9.01285352e+03,1.26048164e+04,7.51410791e+03,4.79321442e+02
2.08475418e+01,8.28594531e+03,1.15754160e+04,6.26856885e+03,3.89777374e+02
2.14097099e+01,7.96574609e+03,1.11175742e+04,5.74283984e+03,4.00521210e+02
2.19863453e+01,8.80741113e+03,1.22921553e+04,6.54469043e+03,5.31861023e+02
2.25778236e+01,9.15495703e+03,1.27762676e+04,6.93424268e+03,5.97266418e+02
2.31845264e+01,8.05014062e+03,1.12290830e+04,6.09200732e+03,5.11545807e+02
2.38068466e+01,6.62631445e+03,9.24141406e+03,5.11435254e+03,4.30814453e+02
2.44451809e+01,5.13789795e+03,7.16456836e+03,4.02367896e+03,3.30323395e+02
2.50999470e+01,3.16872998e+03,4.41593750e+03,2.43637524e+03,1.74131149e+02
2.57715645e+01,1.32678394e+03,1.84420667e+03,8.99893005e+02,4.80871429e+01
2.64604683e+01,4.62492157e+02,6.38893555e+02,2.14013977e+02,5.43008041e+00
