Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.26870221e-39,3.28324230e-39,5.36276922e-39,1.04817125e-39
7.99999982e-02,5.58273362e-36,8.05408996e-36,1.20697943e-35,1.81074380e-36
1.19999997e-01,2.48533687e-33,3.59129614e-33,5.66681545e-33,1.04671545e-33
1.59999996e-01,8.66557696e-31,1.25560138e-30,2.15341105e-30,5.12778472e-31
2.00000003e-01,6.10898912e-28,8.85059373e-28,1.51622793e-27,3.57761228e-28
2.39999995e-01,4.80991990e-27,7.00003505e-27,1.36456897e-26,5.49488035e-27
2.80000001e-01,5.37245535e-25,7.78972978e-25,1.37220205e-24,3.75179880e-25
3.19999993e-01,4.08738891e-24,5.95860918e-24,1.22132810e-23,5.99401168e-24
3.60000014e-01,2.51781379e-22,3.64861396e-22,6.33423954e-22,1.72767796e-22
4.00000006e-01,1.57955601e-21,2.30344032e-21,4.75159645e-21,2.37066571e-21
4.39999998e-01,4.38007450e-20,6.33863204e-20,1.06095239e-19,2.72917677e-20
4.79999989e-01,2.39042608e-19,3.48292565e-19,6.97350169e-19,3.00474702e-19
5.19999981e-01,2.43597970e-18,3.52919545e-18,6.13928239e-18,2.07556180e-18
5.60000002e-01,2.13448862e-17,3.09803955e-17,5.54230300e-17,1.80556207e-17
6.00000024e-01,1.22334997e-16,1.78069791e-16,3.55977031e-16,1.72611458e-16
6.41029537e-01,1.85341778e-15,2.67752451e-15,4.46453406e-15,1.36874722e-15
6.83115125e-01,1.01122469e-14,1.47433640e-14,3.12446602e-14,1.77773632e-14
7.26283848e-01,3.52287372e-13,5.08305475e-13,8.33267916e-13,2.57391412e-13
7.70563781e-01,1.26505436e-12,1.84581755e-12,4.09955620e-12,2.97297712e-12
8.15983355e-01,1.26031382e-11,1.81302404e-11,3.09085917e-11,1.90670153e-11
8.62571895e-01,5.20984922e-11,7.55210547e-11,1.71927139e-10,2.52660420e-10
9.10359621e-01,9.57691926e-10,1.36511680e-09,3.06622772e-09,5.21158183e-09
9.59377348e-01,1.00488666e-08,1.44200829e-08,4.43112498e-08,9.11255853e-08
1.00965667e+00,2.64973409e-07,3.84558689e-07,1.30786907e-06,6.74742978e-07
1.06123006e+00,2.80612330e-05,4.12389054e-05,1.15390198e-04,9.83837617e-06
1.11413085e+00,2.59709451e-03,3.75018432e-03,5.61892288e-03,1.41498560e-04
1.16839325e+00,1.23006396e-01,1.74754173e-01,1.61846846e-01,6.91517664e-04
1.22405231e+00,1.87690568e+00,2.63850522e+00,1.77117467e+00,1.59058243e-03
1.28114390e+00,1.01517582e+01,1.41378441e+01,7.07043028e+00,1.78600918e-03
1.33970511e+00,1.80065365e+01,2.48388386e+01,9.33254814e+00,1.86506612e-03
1.39977336e+00,2.33246484e+04,3.26422500e+04,2.34284375e+04,4.00134766e+03
1.46138775e+00,1.87693109e+05,2.62241531e+05,1.49223844e+05,6.31439453e+03
1.52458799e+00,5.34900750e+05,7.46365062e+05,4.02599875e+05,9.80669336e+03
1.58941495e+00,5.28644188e+05,7.34637625e+05,2.76924000e+05,3.24223730e+03
1.65591037e+00,4.64698031e+05,6.45564062e+05,2.44879250e+05,8.03171997e+02
1.72411728e+00,3.90125250e+05,5.41730250e+05,1.92173219e+05,9.41609650e+01
1.79407966e+00,3.10557375e+05,4.31243375e+05,1.54914938e+05,1.21718590e+02
1.86584306e+00,2.43795625e+05,3.38610375e+05,1.24248617e+05,7.10205841e+01
1.93945324e+00,1.92288094e+05,2.67101875e+05,9.92768359e+04,5.92785492e+01
2.01495814e+00,1.55322359e+05,2.15770031e+05,8.09521875e+04,4.82685013e+01
2.09240627e+00,1.28788328e+05,1.78916484e+05,6.75712969e+04,4.05124588e+01
2.17184782e+00,1.08582359e+05,1.50849547e+05,5.72390312e+04,3.48086891e+01
2.25333428e+00,9.35398281e+04,1.29956844e+05,4.95059258e+04,3.06416836e+01
2.33691788e+00,8.27829375e+04,1.15017000e+05,4.39635703e+04,2.76559238e+01
2.42265272e+00,7.49785000e+04,1.04177203e+05,3.99363047e+04,2.55673923e+01
2.51059437e+00,6.87257969e+04,9.54926484e+04,3.67127109e+04,2.39901772e+01
2.60079956e+00,6.36667344e+04,8.84664219e+04,3.41126094e+04,2.27843704e+01
2.69332647e+00,5.95959766e+04,8.28134062e+04,3.20373535e+04,2.19210739e+01
2.78823495e+00,5.65433906e+04,7.85743125e+04,3.04858418e+04,2.13845692e+01
2.88558602e+00,5.40454883e+04,7.51054609e+04,2.92268203e+04,2.10074692e+01
2.98544264e+00,5.19732070e+04,7.22313125e+04,2.82691836e+04,2.09629841e+01
3.08786964e+00,5.12828281e+04,7.12777344e+04,2.80356953e+04,2.12305222e+01
3.19293284e+00,5.10703516e+04,7.09819688e+04,2.79090039e+04,2.12242184e+01
3.30070019e+00,4.89597070e+04,6.80491250e+04,2.68016836e+04,2.09404411e+01
3.41124129e+00,4.71515508e+04,6.55416719e+04,2.59627305e+04,2.09699631e+01
3.52462745e+00,4.65311680e+04,6.46806797e+04,2.56454082e+04,2.06366100e+01
3.64093208e+00,4.24286094e+04,5.89779180e+04,2.34038398e+04,1.89368610e+01
3.76023054e+00,3.82515547e+04,5.31754922e+04,2.12134707e+04,1.76746578e+01
3.88259912e+00,3.84388906e+04,5.34367422e+04,2.13398164e+04,1.77076187e+01
4.00811720e+00,3.59605156e+04,4.99912031e+04,2.00119746e+04,1.67939644e+01
4.13686609e+00,3.43920938e+04,4.78140547e+04,1.92769688e+04,1.68284092e+01
4.26892853e+00,3.97386367e+04,5.52492109e+04,2.23110605e+04,1.93006248e+01
4.40439081e+00,4.22099062e+04,5.86890977e+04,2.38227500e+04,2.08050060e+01
4.54333878e+00,4.85566797e+04,6.75142656e+04,2.73884766e+04,2.42006607e+01
4.68586397e+00,5.68058359e+04,7.89851953e+04,3.20236328e+04,2.91198730e+01
4.83205652e+00,5.92914414e+04,8.24435312e+04,3.34947617e+04,3.15592556e+01
4.98201227e+00,5.88249141e+04,8.17872734e+04,3.30956367e+04,3.12418613e+01
5.13582754e+00,5.26776406e+04,7.32396250e+04,2.97235840e+04,2.85672321e+01
5.29360199e+00,4.42795078e+04,6.15708203e+04,2.52637363e+04,2.55090580e+01
5.45543718e+00,4.13779766e+04,5.75457578e+04,2.39103633e+04,2.54533939e+01
5.62143755e+00,4.50733711e+04,6.26763984e+04,2.57917910e+04,2.60079346e+01
5.79171038e+00,4.45462227e+04,6.19318203e+04,2.51821387e+04,2.42977257e+01
5.96636629e+00,4.20392969e+04,5.84408750e+04,2.36459160e+04,2.28521156e+01
6.14551687e+00,3.63637539e+04,5.05438047e+04,2.03328438e+04,1.96518288e+01
6.32927942e+00,2.61052168e+04,3.62823125e+04,1.45933730e+04,1.44318438e+01
6.51777077e+00,1.68074570e+04,2.33624414e+04,9.49614648e+03,1.02064476e+01
6.71111441e+00,1.26118662e+04,1.75375176e+04,7.30343066e+03,9.07333851e+00
6.90943432e+00,1.28085625e+04,1.78158184e+04,7.53277051e+03,1.00892210e+01
7.11285782e+00,1.45496201e+04,2.02386211e+04,8.59083398e+03,1.18159161e+01
7.32151794e+00,1.78557344e+04,2.48392422e+04,1.05829531e+04,1.48306780e+01
7.53554821e+00,2.31615840e+04,3.22207617e+04,1.37307637e+04,1.90308189e+01
7.75508738e+00,2.80559551e+04,3.90271836e+04,1.65800215e+04,2.24872055e+01
7.98027754e+00,3.07569492e+04,4.27878281e+04,1.82513594e+04,2.53016739e+01
8.21126270e+00,3.45569766e+04,4.80777891e+04,2.06030527e+04,2.88517227e+01
8.44819450e+00,3.83173789e+04,5.33090195e+04,2.28729004e+04,3.27560501e+01
8.69122219e+00,3.95917695e+04,5.50850391e+04,2.37274727e+04,3.47561569e+01
8.94050789e+00,3.59968438e+04,5.00793398e+04,2.15118984e+04,3.12375374e+01
9.19620800e+00,2.94484648e+04,4.09680234e+04,1.76090840e+04,2.70564651e+01
9.45849037e+00,2.65740957e+04,3.69764219e+04,1.60939102e+04,2.72649918e+01
9.72752285e+00,2.75746426e+04,3.83713281e+04,1.67766992e+04,2.79732952e+01
1.00034800e+01,2.66646328e+04,3.71054297e+04,1.62286230e+04,2.64869728e+01
1.02865391e+01,2.62010977e+04,3.64645469e+04,1.60454541e+04,2.66625519e+01
1.05768833e+01,2.77191445e+04,3.85793906e+04,1.70250352e+04,2.80644264e+01
1.08747025e+01,2.92297012e+04,4.06797656e+04,1.79156523e+04,2.86119270e+01
1.11801853e+01,2.92519492e+04,4.07059844e+04,1.78333477e+04,2.76922455e+01
1.14935322e+01,2.66911758e+04,3.71393125e+04,1.62078623e+04,2.54588699e+01
1.18149433e+01,2.70494746e+04,3.76396406e+04,1.65068984e+04,2.69679203e+01
1.21446266e+01,2.96660039e+04,4.12754609e+04,1.80100273e+04,2.94758377e+01
1.24827967e+01,2.65991699e+04,3.70035859e+04,1.60353574e+04,2.69832764e+01
1.28296700e+01,2.88702129e+04,4.01653984e+04,1.75145859e+04,3.14649448e+01
1.31854706e+01,3.50682422e+04,4.87833398e+04,2.12013281e+04,3.88185349e+01
1.35504293e+01,2.70711074e+04,3.76474414e+04,1.61026016e+04,3.09617214e+01
1.39247818e+01,2.33872695e+04,3.25174258e+04,1.37803750e+04,3.05236015e+01
1.43087692e+01,3.36205430e+04,4.67490547e+04,1.99862773e+04,4.93592911e+01
1.47026405e+01,4.05650781e+04,5.64015234e+04,2.40832539e+04,6.73357391e+01
1.51066484e+01,4.18422227e+04,5.81784023e+04,2.48832441e+04,7.09179840e+01
1.55210552e+01,4.11190078e+04,5.71778750e+04,2.45542930e+04,6.66676407e+01
1.59461288e+01,4.10681953e+04,5.71076211e+04,2.44859531e+04,6.19216385e+01
1.63821430e+01,4.12629922e+04,5.73736836e+04,2.44150859e+04,5.40076904e+01
1.68293781e+01,2.99589238e+04,4.16474219e+04,1.74572129e+04,3.31704712e+01
1.72881241e+01,1.16674688e+04,1.62144189e+04,6.65528027e+03,1.09308548e+01
1.77586803e+01,2.38509326e+03,3.31310352e+03,1.32098047e+03,1.81934893e+00
1.82413464e+01,2.66109253e+02,3.69410553e+02,1.41197540e+02,1.50439933e-01
1.87364349e+01,1.71395893e+01,2.37714462e+01,8.54563332e+00,6.12965506e-03
1.92442665e+01,6.81192994e-01,9.43606436e-01,3.11099023e-01,1.22077021e-04
1.97651691e+01,1.76682640e-02,2.44348738e-02,7.15159159e-03,1.94035374e-06
2.02994785e+01,3.12058692e-04,4.30671702e-04,1.07520595e-04,3.70962390e-08
2.08475418e+01,3.87879390e-06,5.34121818e-06,1.20009042e-06,4.80667062e-10
2.14097099e+01,3.48208786e-08,4.79480669e-08,1.09887734e-08,4.40483153e-12
2.19863453e+01,2.29956762e-10,3.16674797e-10,7.33607480e-11,2.95461423e-14
2.25778236e+01,1.13498056e-12,1.56316203e-12,3.63989275e-13,1.48300884e-16
2.31845264e+01,4.24023677e-15,5.84048953e-15,1.36497655e-15,5.64477769e-19
2.38068466e+01,1.20746540e-17,1.66326218e-17,3.90356044e-18,1.63849697e-21
2.44451809e+01,2.62435425e-20,3.61512534e-20,8.52694853e-21,3.62606187e-24
2.50999470e+01,4.34550309e-23,5.98624826e-23,1.41944097e-23,6.10308364e-27
2.57715645e+01,5.45837204e-26,7.51956143e-26,1.79229167e-26,7.78099922e-30
2.64604683e+01,5.16808916e-29,7.11992888e-29,1.70538283e-29,7.46990881e-33
2.71671047e+01,3.67891969e-32,5.06854532e-32,1.21959647e-32,5.38802192e-36
2.78919277e+01,1.97524033e-35,2.72144879e-35,6.57639225e-36,2.83762939e-39
2.86354065e+01,7.79262076e-39,1.07199333e-38,2.55877100e-39,0.00000000e+00
2.93980217e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.01802654e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.09826431e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.18056717e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.26498833e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.35158234e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.44040565e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.53151436e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.62496834e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.72082787e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.81915474e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.92001228e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.02346535e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.12958107e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.23842850e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.35007744e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.46459999e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.58207016e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.70256386e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.82615852e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.95293465e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.08297386e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.21635971e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.35317917e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.49351997e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.63747253e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.78513031e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.93278885e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.08044662e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.22810478e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.37576256e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.52341995e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.67107849e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.81873703e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.96639481e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.11405258e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.26171036e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.40936813e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.55702591e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.70468445e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.85234222e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.00000000e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
