Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,3.17125741e-05,5.93050681e-05,4.75863833e-03,2.08674765e+00
7.99999982e-02,9.71295594e-05,1.77295980e-04,7.12218974e-03,2.54674602e+00
1.19999997e-01,2.90841679e-04,5.06651646e-04,9.46306344e-03,2.94951129e+00
1.59999996e-01,6.51829818e-04,1.10027415e-03,1.21343033e-02,3.06725693e+00
2.00000003e-01,1.40500558e-03,2.30938243e-03,1.47917634e-02,3.46409011e+00
2.39999995e-01,2.28152215e-03,3.69870849e-03,1.74838044e-02,3.58101463e+00
2.80000001e-01,3.79103445e-03,5.99256717e-03,2.00249646e-02,3.95297861e+00
3.19999993e-01,5.31679718e-03,8.27724952e-03,2.34672744e-02,4.13073444e+00
3.60000014e-01,7.37635745e-03,1.13161951e-02,2.77107134e-02,4.42980099e+00
4.00000006e-01,9.45264101e-03,1.43409437e-02,3.30776051e-02,4.65798092e+00
4.39999998e-01,1.16135571e-02,1.74780376e-02,4.01745364e-02,4.89599943e+00
4.79999989e-01,1.33779841e-02,1.99851152e-02,4.69201505e-02,5.07888842e+00
5.19999981e-01,1.54993460e-02,2.31010336e-02,5.96278422e-02,5.25028896e+00
5.60000002e-01,1.84591413e-02,2.73691230e-02,7.02527985e-02,5.41340876e+00
6.00000024e-01,2.18171570e-02,3.23108993e-02,8.68691057e-02,5.59065771e+00
6.41029537e-01,2.57770084e-02,3.83043028e-02,1.06793351e-01,5.78891134e+00
6.83115125e-01,3.20269987e-02,4.79857288e-02,1.26243919e-01,5.95782232e+00
7.26283848e-01,4.32893857e-02,6.53076321e-02,1.55335695e-01,6.15870905e+00
7.70563781e-01,5.80889583e-02,8.79200473e-02,1.78535447e-01,6.37190485e+00
8.15983355e-01,8.02576840e-02,1.21721208e-01,2.18859926e-01,6.56826639e+00
8.62571895e-01,1.15003526e-01,1.73803493e-01,2.58742571e-01,6.79503775e+00
9.10359621e-01,1.63835630e-01,2.47338176e-01,3.11736792e-01,7.04840755e+00
9.59377348e-01,2.27546558e-01,3.41973662e-01,3.47469926e-01,7.33873415e+00
1.00965667e+00,3.02839756e-01,4.53110665e-01,3.58242244e-01,7.72574806e+00
1.06123006e+00,3.86584759e-01,5.74741244e-01,3.37768346e-01,8.26724243e+00
1.11413085e+00,4.74387348e-01,6.97196186e-01,3.00119191e-01,9.08827305e+00
1.16839325e+00,5.50559282e-01,7.94369221e-01,2.74138629e-01,1.02113037e+01
1.22405231e+00,5.81081271e-01,8.22474837e-01,2.66008735e-01,1.11386890e+01
1.28114390e+00,5.72617710e-01,7.98727930e-01,2.74527699e-01,1.29250536e+01
1.33970511e+00,5.48010468e-01,7.57535338e-01,2.93986589e-01,1.51580658e+01
1.39977336e+00,2.03335898e+04,2.84859609e+04,2.02706406e+04,2.62174121e+03
1.46138775e+00,2.91487891e+04,4.08148047e+04,2.78149590e+04,3.05159985e+03
1.52458799e+00,2.21716875e+04,3.10463281e+04,2.13360469e+04,2.58118970e+03
1.58941495e+00,2.34186094e+04,3.28060625e+04,2.31696016e+04,3.27285938e+03
1.65591037e+00,2.48190508e+04,3.47707695e+04,2.46845234e+04,3.48351831e+03
1.72411728e+00,2.46732988e+04,3.45628945e+04,2.43808301e+04,3.30136157e+03
1.79407966e+00,2.20017207e+04,3.08171172e+04,2.16056211e+04,2.88585962e+03
1.86584306e+00,1.93872773e+04,2.71566074e+04,1.91065234e+04,2.74877295e+03
1.93945324e+00,1.99022188e+04,2.78857500e+04,1.99790820e+04,3.28946802e+03
2.01495814e+00,2.41293477e+04,3.38218828e+04,2.48217109e+04,4.73919824e+03
2.09240627e+00,3.29654805e+04,4.62211250e+04,3.46653516e+04,7.69766064e+03
2.17184782e+00,4.57595859e+04,6.41759922e+04,4.92135742e+04,1.09571396e+04
2.25333428e+00,5.51535000e+04,7.73355547e+04,5.85107734e+04,1.06270371e+04
2.33691788e+00,5.26055234e+04,7.37288281e+04,5.39441484e+04,7.85858691e+03
2.42265272e+00,4.19707188e+04,5.87991094e+04,4.17839297e+04,5.27632959e+03
2.51059437e+00,3.19318613e+04,4.47214414e+04,3.11175820e+04,3.66583423e+03
2.60079956e+00,2.50299980e+04,3.50528789e+04,2.43041836e+04,3.04840869e+03
2.69332647e+00,2.22610312e+04,3.11851543e+04,2.20677266e+04,3.15793140e+03
2.78823495e+00,2.28835879e+04,3.20633027e+04,2.28632363e+04,3.69729053e+03
2.88558602e+00,2.50370020e+04,3.50870312e+04,2.53693477e+04,4.94745459e+03
2.98544264e+00,3.27655195e+04,4.59358242e+04,3.42667461e+04,7.22486572e+03
3.08786964e+00,4.47101875e+04,6.26861016e+04,4.68988125e+04,8.93992383e+03
3.19293284e+00,5.22510000e+04,7.32437812e+04,5.40072734e+04,9.15680469e+03
3.30070019e+00,5.34522969e+04,7.49129219e+04,5.45825547e+04,8.52231152e+03
3.41124129e+00,4.87808750e+04,6.83551406e+04,4.94064297e+04,7.40578320e+03
3.52462745e+00,4.08774180e+04,5.72740352e+04,4.11918906e+04,6.09970117e+03
3.64093208e+00,3.38631914e+04,4.74433984e+04,3.40276758e+04,5.07049512e+03
3.76023054e+00,2.92214453e+04,4.09392734e+04,2.93374844e+04,4.44490479e+03
3.88259912e+00,2.57556836e+04,3.60843867e+04,2.58998984e+04,4.08007739e+03
4.00811720e+00,2.31315781e+04,3.24105078e+04,2.33682734e+04,3.90693164e+03
4.13686609e+00,2.27241562e+04,3.18434648e+04,2.30786660e+04,4.04670801e+03
4.26892853e+00,2.38118984e+04,3.33715234e+04,2.43174922e+04,4.41895947e+03
4.40439081e+00,2.70271445e+04,3.78801797e+04,2.77046367e+04,5.05836768e+03
4.54333878e+00,3.31798164e+04,4.65004844e+04,3.38232031e+04,5.78414746e+03
4.68586397e+00,3.72526875e+04,5.22016055e+04,3.76227773e+04,5.97799805e+03
4.83205652e+00,3.79060391e+04,5.31107500e+04,3.79849336e+04,5.65963770e+03
4.98201227e+00,3.60254961e+04,5.04690391e+04,3.58043047e+04,5.00944189e+03
5.13582754e+00,3.21504023e+04,4.50348516e+04,3.17326016e+04,4.28235400e+03
5.29360199e+00,2.83859727e+04,3.97599648e+04,2.79526309e+04,3.76622900e+03
5.45543718e+00,2.60904062e+04,3.65446562e+04,2.57110723e+04,3.51807520e+03
5.62143755e+00,2.49489160e+04,3.49453594e+04,2.45907812e+04,3.41588623e+03
5.79171038e+00,2.35219238e+04,3.29462930e+04,2.31869961e+04,3.34310107e+03
5.96636629e+00,2.19859863e+04,3.07979316e+04,2.18124648e+04,3.34890991e+03
6.14551687e+00,2.26553340e+04,3.17389707e+04,2.26402422e+04,3.58241968e+03
6.32927942e+00,2.44802891e+04,3.42944258e+04,2.44178613e+04,3.81517822e+03
6.51777077e+00,2.38331172e+04,3.33883125e+04,2.38156113e+04,3.88393286e+03
6.71111441e+00,2.23889141e+04,3.13684102e+04,2.25419883e+04,3.89725000e+03
6.90943432e+00,2.19666777e+04,3.07782578e+04,2.21852637e+04,3.84586987e+03
7.11285782e+00,2.25617988e+04,3.16124043e+04,2.27840488e+04,3.81806982e+03
7.32151794e+00,2.24104844e+04,3.13987754e+04,2.25461602e+04,3.61566675e+03
7.53554821e+00,2.12146191e+04,2.97241445e+04,2.13926504e+04,3.45886646e+03
7.75508738e+00,2.29879688e+04,3.22114648e+04,2.32771504e+04,3.75388184e+03
7.98027754e+00,2.78791797e+04,3.90618906e+04,2.80257812e+04,4.19608545e+03
8.21126270e+00,3.00086016e+04,4.20378047e+04,2.98372461e+04,4.21807373e+03
8.44819450e+00,2.88473945e+04,4.04093984e+04,2.86155449e+04,4.07969092e+03
8.69122219e+00,2.66152832e+04,3.72814062e+04,2.63366367e+04,3.77746045e+03
8.94050789e+00,2.54459082e+04,3.56466445e+04,2.52907891e+04,3.69871753e+03
9.19620800e+00,2.68096484e+04,3.75594258e+04,2.67459238e+04,3.97954077e+03
9.45849037e+00,2.87270977e+04,4.02524414e+04,2.89616953e+04,4.47629541e+03
9.72752285e+00,3.15815312e+04,4.42512617e+04,3.18130449e+04,4.83194482e+03
1.00034800e+01,3.29660195e+04,4.61872578e+04,3.30792031e+04,4.99333203e+03
1.02865391e+01,3.81578164e+04,5.34550273e+04,3.80532070e+04,5.51172949e+03
1.05768833e+01,4.10023789e+04,5.74175781e+04,4.00492461e+04,5.18989307e+03
1.08747025e+01,2.57230117e+04,3.60105078e+04,2.48732773e+04,3.10761572e+03
1.11801853e+01,1.01233877e+04,1.41769277e+04,1.02338076e+04,1.59705884e+03
1.14935322e+01,5.75028027e+03,8.06240088e+03,6.49544043e+03,1.31277075e+03
1.18149433e+01,6.27624365e+03,8.80324512e+03,7.38690186e+03,1.44540564e+03
1.21446266e+01,7.40518506e+03,1.03872480e+04,8.83336719e+03,1.59722119e+03
1.24827967e+01,7.34342676e+03,1.03066650e+04,9.20951953e+03,1.59337329e+03
1.28296700e+01,7.68442822e+03,1.07924834e+04,1.00779258e+04,1.60851025e+03
1.31854706e+01,7.96229395e+03,1.11976406e+04,1.10924824e+04,1.59414209e+03
1.35504293e+01,8.61352344e+03,1.21309883e+04,1.23393672e+04,1.59154590e+03
1.39247818e+01,9.90080762e+03,1.39616025e+04,1.37419746e+04,1.66993884e+03
1.43087692e+01,1.25013643e+04,1.76240352e+04,1.56519160e+04,1.81492346e+03
1.47026405e+01,1.43889004e+04,2.02490391e+04,1.64643984e+04,1.77269763e+03
1.51066484e+01,1.53800527e+04,2.16082520e+04,1.67057070e+04,1.69624255e+03
1.55210552e+01,1.91011836e+04,2.67902461e+04,1.96029570e+04,1.85823071e+03
1.59461288e+01,2.27263203e+04,3.18326562e+04,2.24368613e+04,2.03582043e+03
1.63821430e+01,2.45356621e+04,3.43564609e+04,2.41243438e+04,2.20193481e+03
1.68293781e+01,2.40179316e+04,3.36324883e+04,2.36511172e+04,2.02405664e+03
1.72881241e+01,2.15641309e+04,3.01958438e+04,2.07484082e+04,1.54237292e+03
1.77586803e+01,2.13737891e+04,2.99143555e+04,1.93491016e+04,1.38456299e+03
1.82413464e+01,2.11727227e+04,2.96131523e+04,1.80735625e+04,1.35197449e+03
1.87364349e+01,1.99479102e+04,2.78713984e+04,1.58903477e+04,1.23322205e+03
1.92442665e+01,1.83606602e+04,2.56281504e+04,1.39813145e+04,1.11082983e+03
1.97651691e+01,1.65045410e+04,2.30171172e+04,1.20858340e+04,9.45696777e+02
