Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.24150411e-05,3.40182669e-05,1.16239153e-01,3.23559380e+01
7.99999982e-02,2.26997417e-05,6.05587520e-05,1.50414050e-01,3.37444725e+01
1.19999997e-01,3.87791188e-05,9.81745543e-05,1.61315665e-01,3.43992844e+01
1.59999996e-01,6.41847291e-05,1.55079411e-04,1.71101063e-01,3.57674522e+01
2.00000003e-01,1.28571002e-04,2.79346015e-04,1.75409079e-01,3.66712189e+01
2.39999995e-01,2.36859574e-04,4.85381403e-04,1.82184935e-01,3.80534554e+01
2.80000001e-01,3.75755510e-04,7.36111833e-04,1.84984073e-01,3.92022285e+01
3.19999993e-01,5.90830692e-04,1.10610004e-03,1.87237963e-01,4.05889626e+01
3.60000014e-01,8.85012676e-04,1.60498032e-03,1.86137825e-01,4.18215446e+01
4.00000006e-01,1.29992387e-03,2.27666786e-03,1.83751136e-01,4.41582184e+01
4.39999998e-01,1.73114636e-03,2.96704099e-03,1.77610442e-01,4.54109268e+01
4.79999989e-01,2.29707337e-03,3.85952694e-03,1.70709863e-01,4.65933609e+01
5.19999981e-01,3.09188804e-03,5.10642445e-03,1.60376146e-01,4.86163940e+01
5.60000002e-01,4.14479850e-03,6.72693504e-03,1.50008798e-01,4.94282646e+01
6.00000024e-01,5.74708870e-03,9.19239782e-03,1.38201952e-01,5.07962646e+01
6.41029537e-01,7.54348608e-03,1.19860442e-02,1.27996922e-01,5.11463814e+01
6.83115125e-01,1.00392187e-02,1.59093514e-02,1.17116973e-01,5.19280243e+01
7.26283848e-01,1.38199553e-02,2.19012108e-02,1.08365044e-01,5.26668053e+01
7.70563781e-01,1.84005909e-02,2.92073283e-02,1.00880913e-01,5.41181984e+01
8.15983355e-01,2.54508369e-02,4.04493660e-02,9.55900550e-02,5.59259262e+01
8.62571895e-01,3.53735462e-02,5.61139248e-02,9.13755521e-02,5.69055290e+01
9.10359621e-01,5.08709289e-02,7.97253475e-02,8.95884410e-02,5.90328484e+01
9.59377348e-01,7.06273839e-02,1.07988469e-01,8.90154615e-02,6.03286819e+01
1.00965667e+00,9.43321586e-02,1.40647784e-01,8.98251086e-02,6.43944016e+01
1.06123006e+00,1.20957240e-01,1.76598623e-01,9.18996185e-02,6.41650848e+01
1.11413085e+00,1.45303607e-01,2.09176496e-01,9.42094550e-02,6.78548508e+01
1.16839325e+00,1.67646900e-01,2.38127947e-01,9.74816531e-02,7.18387146e+01
1.22405231e+00,1.84499130e-01,2.57141411e-01,1.01696402e-01,7.44319382e+01
1.28114390e+00,1.93693042e-01,2.63661444e-01,1.10114589e-01,8.00700150e+01
1.33970511e+00,1.90524876e-01,2.53518820e-01,1.25572920e-01,8.41719437e+01
1.39977336e+00,2.06875352e+04,2.89635586e+04,1.94152305e+04,1.26705786e+03
1.46138775e+00,2.57208145e+04,3.59659453e+04,2.15977148e+04,1.35277417e+03
1.52458799e+00,1.51108809e+04,2.11253008e+04,1.28160176e+04,9.64565125e+02
1.58941495e+00,1.37028564e+04,1.91703223e+04,1.22508652e+04,1.19712292e+03
1.65591037e+00,1.40057852e+04,1.96043438e+04,1.30064473e+04,1.46713684e+03
1.72411728e+00,1.56865820e+04,2.19662773e+04,1.50216445e+04,1.84559729e+03
1.79407966e+00,1.81237832e+04,2.53850645e+04,1.76439785e+04,2.16961133e+03
1.86584306e+00,1.99770723e+04,2.79796250e+04,1.93626797e+04,2.22215723e+03
1.93945324e+00,2.00055039e+04,2.80130781e+04,1.90409961e+04,2.00369165e+03
2.01495814e+00,1.83779492e+04,2.57278633e+04,1.71525195e+04,1.67788940e+03
2.09240627e+00,1.61592012e+04,2.26171172e+04,1.48185801e+04,1.40248425e+03
2.17184782e+00,1.40074883e+04,1.96023750e+04,1.26670410e+04,1.18219250e+03
2.25333428e+00,1.21867900e+04,1.70533125e+04,1.09525918e+04,1.07000269e+03
2.33691788e+00,1.09149727e+04,1.52746270e+04,9.85116406e+03,1.02116602e+03
2.42265272e+00,1.03364746e+04,1.44677998e+04,9.45112012e+03,1.08279736e+03
2.51059437e+00,1.04408701e+04,1.46173496e+04,9.70285938e+03,1.18496594e+03
2.60079956e+00,1.09784863e+04,1.53732051e+04,1.03620195e+04,1.35979956e+03
2.69332647e+00,1.17761914e+04,1.64935078e+04,1.12933896e+04,1.55900623e+03
2.78823495e+00,1.31471973e+04,1.84168887e+04,1.28000215e+04,1.87475842e+03
2.88558602e+00,1.48185850e+04,2.07606172e+04,1.46016631e+04,2.19850342e+03
2.98544264e+00,1.64158984e+04,2.30004336e+04,1.63435615e+04,2.55738599e+03
3.08786964e+00,1.79986680e+04,2.52197773e+04,1.80736309e+04,2.84798096e+03
3.19293284e+00,1.93524219e+04,2.71170938e+04,1.95106211e+04,3.06401636e+03
3.30070019e+00,2.03305703e+04,2.84866426e+04,2.04783340e+04,3.09371167e+03
3.41124129e+00,2.09187324e+04,2.93085742e+04,2.09656875e+04,3.02907715e+03
3.52462745e+00,2.08969180e+04,2.92749414e+04,2.07660430e+04,2.82815332e+03
3.64093208e+00,2.04120293e+04,2.85922578e+04,2.00751992e+04,2.58421289e+03
