Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.03713019e-05,1.97761910e-05,7.88416993e-03,1.37493098e+00
7.99999982e-02,1.90330502e-05,3.59855403e-05,9.03957989e-03,1.63324857e+00
1.19999997e-01,3.30141702e-05,6.10793068e-05,9.69313271e-03,1.72510493e+00
1.59999996e-01,5.56608065e-05,1.00713711e-04,1.07958186e-02,1.93495715e+00
2.00000003e-01,1.15134855e-04,1.97982547e-04,1.19394539e-02,2.01806641e+00
2.39999995e-01,2.15232474e-04,3.60678736e-04,1.31251356e-02,2.19677186e+00
2.80000001e-01,3.46408517e-04,5.68268413e-04,1.39074279e-02,2.24990892e+00
3.19999993e-01,5.50525787e-04,8.83946428e-04,1.49360243e-02,2.38191032e+00
3.60000014e-01,8.31369427e-04,1.31405925e-03,1.58746000e-02,2.49262524e+00
4.00000006e-01,1.22505997e-03,1.90387224e-03,1.72435436e-02,2.61141849e+00
4.39999998e-01,1.63631188e-03,2.51458096e-03,1.87764447e-02,2.73545790e+00
4.79999989e-01,2.17422098e-03,3.30875744e-03,2.06391942e-02,2.85841084e+00
5.19999981e-01,2.92021083e-03,4.40690108e-03,2.33949069e-02,2.99650311e+00
5.60000002e-01,3.91008426e-03,5.84973209e-03,2.66320426e-02,3.13549399e+00
6.00000024e-01,5.41437510e-03,8.04274809e-03,3.11197098e-02,3.27357101e+00
6.41029537e-01,7.07125803e-03,1.04628187e-02,3.64869162e-02,3.43039417e+00
6.83115125e-01,9.36285406e-03,1.38359908e-02,4.27787453e-02,3.60876894e+00
7.26283848e-01,1.27854412e-02,1.88946519e-02,5.13555855e-02,3.78599119e+00
7.70563781e-01,1.69137157e-02,2.50315499e-02,6.01603836e-02,3.99332142e+00
8.15983355e-01,2.31180564e-02,3.42927650e-02,7.11162314e-02,4.19077158e+00
8.62571895e-01,3.19579504e-02,4.74720784e-02,8.11130330e-02,4.39276648e+00
9.10359621e-01,4.58960123e-02,6.79714829e-02,9.06624198e-02,4.63090277e+00
9.59377348e-01,6.39381558e-02,9.37239528e-02,9.54740271e-02,4.91591549e+00
1.00965667e+00,8.54124278e-02,1.23793446e-01,9.65592414e-02,5.12247038e+00
1.06123006e+00,1.09822616e-01,1.57632425e-01,9.47604924e-02,5.44876909e+00
1.11413085e+00,1.33047208e-01,1.89701110e-01,9.16514322e-02,6.33472395e+00
1.16839325e+00,1.54611096e-01,2.19067171e-01,8.95306170e-02,6.78654528e+00
1.22405231e+00,1.71094358e-01,2.40404457e-01,8.84213969e-02,7.71701670e+00
1.28114390e+00,1.81977972e-01,2.52934963e-01,8.93616080e-02,1.04656801e+01
1.33970511e+00,1.82825550e-01,2.51409292e-01,9.34178308e-02,8.75707245e+00
1.39977336e+00,2.01650566e+04,2.82475312e+04,1.99895547e+04,2.07380566e+03
1.46138775e+00,2.54637344e+04,3.56492188e+04,2.39247578e+04,1.98112158e+03
1.52458799e+00,1.48312002e+04,2.07622676e+04,1.40066035e+04,1.30724426e+03
1.58941495e+00,1.45412314e+04,2.03645078e+04,1.41355801e+04,1.59436853e+03
1.65591037e+00,1.57942334e+04,2.21238945e+04,1.55848867e+04,1.90110156e+03
1.72411728e+00,1.73299238e+04,2.42766738e+04,1.71847305e+04,2.11403491e+03
1.79407966e+00,1.77604375e+04,2.48782305e+04,1.75336602e+04,2.07000195e+03
1.86584306e+00,1.64938418e+04,2.31014785e+04,1.61487051e+04,1.81183728e+03
1.93945324e+00,1.43775059e+04,2.01354512e+04,1.39721895e+04,1.51742041e+03
2.01495814e+00,1.22605684e+04,1.71699219e+04,1.18650010e+04,1.28466650e+03
2.09240627e+00,1.06726514e+04,1.49466230e+04,1.03423330e+04,1.15986438e+03
2.17184782e+00,9.91547656e+03,1.38875859e+04,9.66706055e+03,1.14685913e+03
2.25333428e+00,9.92158984e+03,1.38978184e+04,9.75162109e+03,1.23652490e+03
2.33691788e+00,1.04904717e+04,1.46966699e+04,1.04102979e+04,1.41254199e+03
