Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.12114826e-02,4.21358533e-02,4.04025376e-01,4.43356895e+01
7.99999982e-02,6.76056370e-02,1.23756491e-01,4.96138245e-01,5.52408028e+01
1.19999997e-01,1.26076996e-01,2.13935822e-01,4.77365494e-01,6.36474686e+01
1.59999996e-01,1.65018007e-01,2.62460649e-01,4.73755211e-01,7.09312210e+01
2.00000003e-01,1.57507449e-01,2.38176793e-01,4.72224146e-01,7.31593933e+01
2.39999995e-01,1.41757667e-01,2.03718528e-01,5.01872182e-01,7.75448837e+01
2.80000001e-01,1.12791508e-01,1.56730860e-01,5.18573821e-01,7.90396347e+01
3.19999993e-01,9.00271833e-02,1.22943163e-01,5.22762001e-01,8.07416916e+01
3.60000014e-01,7.32912272e-02,1.00291751e-01,5.40887535e-01,8.14121857e+01
4.00000006e-01,6.38413057e-02,8.79356340e-02,5.45811951e-01,8.21238785e+01
4.39999998e-01,5.44740856e-02,7.75226951e-02,5.54972053e-01,8.24880219e+01
4.79999989e-01,5.06603569e-02,7.28647262e-02,5.66053450e-01,8.32388687e+01
5.19999981e-01,4.67542447e-02,6.80254698e-02,5.77040792e-01,8.36446915e+01
5.60000002e-01,4.52194139e-02,6.53942227e-02,5.98909378e-01,8.46430969e+01
6.00000024e-01,4.21426073e-02,6.14068061e-02,6.05354488e-01,8.51476212e+01
6.41029537e-01,4.13139649e-02,6.03402779e-02,6.17460668e-01,8.63678360e+01
6.83115125e-01,3.91468965e-02,5.79295792e-02,6.27041757e-01,8.69569397e+01
7.26283848e-01,3.86320092e-02,5.73224798e-02,6.40763640e-01,8.79558563e+01
7.70563781e-01,3.81388515e-02,5.67333177e-02,6.61170065e-01,8.87166061e+01
8.15983355e-01,3.77885997e-02,5.63980825e-02,6.86270475e-01,8.96465912e+01
8.62571895e-01,3.76125798e-02,5.62835149e-02,7.02577591e-01,9.03594666e+01
9.10359621e-01,3.80332395e-02,5.70385680e-02,7.22198486e-01,9.11776428e+01
9.59377348e-01,3.88191417e-02,5.83574697e-02,7.40499020e-01,9.19810104e+01
1.00965667e+00,4.06570509e-02,6.11566976e-02,7.62933016e-01,9.29004059e+01
1.06123006e+00,4.32663783e-02,6.48848861e-02,7.89714217e-01,9.39970703e+01
1.11413085e+00,4.51692306e-02,6.75382614e-02,8.16471219e-01,9.50885620e+01
1.16839325e+00,4.61211503e-02,6.86881691e-02,8.42258096e-01,9.61672897e+01
1.22405231e+00,4.58820462e-02,6.81473240e-02,8.72006655e-01,9.74152985e+01
1.28114390e+00,4.62470464e-02,6.87023848e-02,9.14669693e-01,9.89007187e+01
1.33970511e+00,4.78074476e-02,7.11247772e-02,9.44074869e-01,1.00624298e+02
1.39977336e+00,2.07146719e+04,2.90030859e+04,1.95467969e+04,1.39666846e+03
1.46138775e+00,2.67237891e+04,3.73717500e+04,2.25979805e+04,1.47553455e+03
1.52458799e+00,1.63150273e+04,2.28108633e+04,1.39789023e+04,1.08867285e+03
1.58941495e+00,1.53920098e+04,2.15348164e+04,1.38198564e+04,1.32183032e+03
1.65591037e+00,1.52443379e+04,2.13347168e+04,1.39832178e+04,1.44681409e+03
1.72411728e+00,1.52652461e+04,2.13678926e+04,1.41829844e+04,1.54042212e+03
1.79407966e+00,1.53355596e+04,2.14689570e+04,1.43708906e+04,1.61568799e+03
1.86584306e+00,1.54093008e+04,2.15740957e+04,1.45299746e+04,1.67722925e+03
1.93945324e+00,1.54901162e+04,2.16887148e+04,1.46760732e+04,1.73052271e+03
2.01495814e+00,1.55777109e+04,2.18125039e+04,1.48141396e+04,1.77804736e+03
2.09240627e+00,1.56564971e+04,2.19237363e+04,1.49330303e+04,1.81940430e+03
2.17184782e+00,1.57313789e+04,2.20293203e+04,1.50398887e+04,1.85681348e+03
2.25333428e+00,1.58079297e+04,2.21371094e+04,1.51426445e+04,1.89226196e+03
2.33691788e+00,1.58845752e+04,2.22449590e+04,1.52415078e+04,1.92647815e+03
2.42265272e+00,1.59809121e+04,2.23803301e+04,1.53563008e+04,1.96284338e+03
2.51059437e+00,1.60956689e+04,2.25413906e+04,1.54843887e+04,1.99996106e+03
2.60079956e+00,1.62050684e+04,2.26948438e+04,1.56025215e+04,2.03382129e+03
2.69332647e+00,1.62927881e+04,2.28178516e+04,1.56957051e+04,2.06232666e+03
2.78823495e+00,1.63425791e+04,2.28876406e+04,1.57472725e+04,2.08659619e+03
2.88558602e+00,1.63389727e+04,2.28825586e+04,1.57428994e+04,2.10327026e+03
2.98544264e+00,1.62831719e+04,2.28043555e+04,1.56864336e+04,2.11426099e+03
3.08786964e+00,1.61995791e+04,2.26872422e+04,1.56030566e+04,2.12223657e+03
3.19293284e+00,1.61300723e+04,2.25898887e+04,1.55341758e+04,2.12873560e+03
3.30070019e+00,1.61049551e+04,2.25547539e+04,1.55110605e+04,2.14521777e+03
3.41124129e+00,1.61423916e+04,2.26072422e+04,1.55494355e+04,2.16368945e+03
3.52462745e+00,1.62094766e+04,2.27012148e+04,1.56159551e+04,2.18832520e+03
3.64093208e+00,1.62792891e+04,2.27989902e+04,1.56846699e+04,2.20402368e+03
3.76023054e+00,1.63431982e+04,2.28884609e+04,1.57459570e+04,2.22201270e+03
3.88259912e+00,1.63492598e+04,2.28968828e+04,1.57508301e+04,2.22526953e+03
4.00811720e+00,1.62761455e+04,2.27944219e+04,1.56792930e+04,2.22411938e+03
4.13686609e+00,1.61381748e+04,2.26011660e+04,1.55460391e+04,2.20887646e+03
4.26892853e+00,1.59779688e+04,2.23768750e+04,1.53961729e+04,2.20153320e+03
4.40439081e+00,1.58905410e+04,2.22546270e+04,1.53208232e+04,2.18571997e+03
4.54333878e+00,1.58500947e+04,2.21981445e+04,1.52886562e+04,2.19008203e+03
4.68586397e+00,1.58913857e+04,2.22561855e+04,1.53394258e+04,2.18489697e+03
4.83205652e+00,1.61679307e+04,2.26438320e+04,1.56239971e+04,2.23224121e+03
4.98201227e+00,1.65031465e+04,2.31133242e+04,1.59500195e+04,2.25408203e+03
5.13582754e+00,1.67569707e+04,2.34686172e+04,1.61912070e+04,2.29558691e+03
5.29360199e+00,1.71084160e+04,2.39607188e+04,1.65287754e+04,2.31613379e+03
5.45543718e+00,1.73282832e+04,2.42681152e+04,1.67180781e+04,2.34384766e+03
5.62143755e+00,1.71780000e+04,2.40570898e+04,1.65507070e+04,2.29545386e+03
5.79171038e+00,1.68877812e+04,2.36506719e+04,1.62706035e+04,2.26858105e+03
5.96636629e+00,1.65073887e+04,2.31175273e+04,1.58794629e+04,2.19578564e+03
6.14551687e+00,1.58787832e+04,2.22370664e+04,1.52639277e+04,2.12446045e+03
6.32927942e+00,1.58728496e+04,2.22296719e+04,1.52927109e+04,2.13171240e+03
6.51777077e+00,1.63486484e+04,2.28956055e+04,1.57319629e+04,2.18096777e+03
6.71111441e+00,1.66335781e+04,2.32957578e+04,1.60631367e+04,2.24899023e+03
6.90943432e+00,1.77457266e+04,2.48538359e+04,1.71528965e+04,2.38072266e+03
7.11285782e+00,1.82552109e+04,2.55653711e+04,1.75592266e+04,2.40491699e+03
7.32151794e+00,1.82250215e+04,2.55232441e+04,1.75530000e+04,2.43566602e+03
7.53554821e+00,1.87506016e+04,2.62592305e+04,1.80591875e+04,2.51641699e+03
7.75508738e+00,1.86904844e+04,2.61740527e+04,1.79512266e+04,2.51563232e+03
7.98027754e+00,1.76620059e+04,2.47357500e+04,1.70371211e+04,2.46128223e+03
8.21126270e+00,1.77802324e+04,2.49002070e+04,1.70917734e+04,2.45287915e+03
8.44819450e+00,1.70684922e+04,2.39004609e+04,1.63055840e+04,2.35774194e+03
8.69122219e+00,1.65391367e+04,2.31610742e+04,1.59024502e+04,2.39190869e+03
8.94050789e+00,1.73332422e+04,2.42769844e+04,1.68331562e+04,2.58488574e+03
9.19620800e+00,2.03281289e+04,2.84715625e+04,1.97232910e+04,2.89466211e+03
9.45849037e+00,2.17609648e+04,3.04716172e+04,2.08379609e+04,2.93181934e+03
9.72752285e+00,1.99374141e+04,2.79186309e+04,1.91643125e+04,2.82757617e+03
1.00034800e+01,2.00844102e+04,2.81280156e+04,1.94684707e+04,2.93327271e+03
1.02865391e+01,2.16418223e+04,3.03065039e+04,2.08417656e+04,3.02647510e+03
1.05768833e+01,2.01976133e+04,2.82780352e+04,1.92141250e+04,2.74668311e+03
1.08747025e+01,1.57886396e+04,2.21060273e+04,1.51085918e+04,2.30910938e+03
1.11801853e+01,1.41791328e+04,1.98532891e+04,1.36849375e+04,2.19594043e+03
1.14935322e+01,1.45259619e+04,2.03403984e+04,1.42110703e+04,2.35713354e+03
1.18149433e+01,1.58061699e+04,2.21379062e+04,1.58264385e+04,2.63395801e+03
1.21446266e+01,1.78775469e+04,2.50377656e+04,1.80700273e+04,2.83880127e+03
1.24827967e+01,1.86601719e+04,2.61262148e+04,1.89395820e+04,2.78736133e+03
1.28296700e+01,1.62283545e+04,2.27178281e+04,1.70708301e+04,2.54011523e+03
1.31854706e+01,1.36129697e+04,1.90603477e+04,1.54651191e+04,2.44446680e+03
1.35504293e+01,1.22817832e+04,1.72017109e+04,1.50954688e+04,2.49118091e+03
1.39247818e+01,1.24571572e+04,1.74545020e+04,1.60760283e+04,2.71149463e+03
1.43087692e+01,1.35725645e+04,1.90237969e+04,1.78776719e+04,2.98491943e+03
1.47026405e+01,1.35030244e+04,1.89337656e+04,1.86300195e+04,3.10605566e+03
1.51066484e+01,1.36416387e+04,1.91337910e+04,1.99102559e+04,3.26174658e+03
1.55210552e+01,1.50888672e+04,2.11644727e+04,2.26177422e+04,3.52384766e+03
1.59461288e+01,1.53508691e+04,2.15383984e+04,2.40961562e+04,3.53944800e+03
1.63821430e+01,1.26785898e+04,1.78145820e+04,2.28428281e+04,3.19681519e+03
1.68293781e+01,1.38408164e+04,1.94822480e+04,2.57094219e+04,3.24643994e+03
1.72881241e+01,1.81915508e+04,2.56283281e+04,3.01794336e+04,3.50020410e+03
1.77586803e+01,1.77153652e+04,2.50349727e+04,2.97169727e+04,3.27198315e+03
1.82413464e+01,1.95211445e+04,2.76509609e+04,3.22534375e+04,3.48364746e+03
1.87364349e+01,3.16893848e+04,4.47159180e+04,4.19485078e+04,4.31744678e+03
