Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.45398633e-04,2.32514401e-04,2.43742950e-02,8.79814446e-01
7.99999982e-02,3.69940710e-04,5.87020011e-04,3.81862186e-02,9.46446776e-01
1.19999997e-01,6.96118455e-04,1.11692958e-03,5.25158234e-02,9.70821440e-01
1.59999996e-01,1.64975342e-03,2.68338807e-03,7.01013580e-02,1.02161694e+00
2.00000003e-01,3.73089220e-03,5.86429192e-03,7.85749108e-02,1.05650914e+00
2.39999995e-01,6.21971441e-03,9.49381292e-03,1.00393288e-01,1.10827601e+00
2.80000001e-01,8.34101066e-03,1.25745460e-02,1.13388434e-01,1.14903128e+00
3.19999993e-01,1.04121026e-02,1.55356005e-02,1.31988168e-01,1.19425094e+00
3.60000014e-01,1.28128137e-02,1.90842040e-02,1.47947803e-01,1.23954129e+00
4.00000006e-01,1.53344693e-02,2.28211693e-02,1.72779039e-01,1.28616548e+00
4.39999998e-01,1.87976807e-02,2.79024094e-02,1.78469658e-01,1.33020294e+00
4.79999989e-01,2.30266415e-02,3.42352092e-02,1.93695337e-01,1.37549150e+00
5.19999981e-01,2.93842461e-02,4.36855555e-02,1.88959792e-01,1.42140245e+00
5.60000002e-01,3.79038341e-02,5.64884692e-02,1.90038577e-01,1.46991563e+00
6.00000024e-01,4.83445823e-02,7.21418709e-02,1.82201952e-01,1.52180028e+00
6.41029537e-01,6.21111952e-02,9.29699242e-02,1.93115413e-01,1.57884276e+00
6.83115125e-01,7.75719061e-02,1.16078295e-01,1.82751060e-01,1.63977337e+00
7.26283848e-01,9.59870517e-02,1.43265978e-01,1.86003894e-01,1.71165216e+00
7.70563781e-01,1.16022065e-01,1.71735898e-01,1.89044073e-01,1.78685892e+00
8.15983355e-01,1.36552721e-01,2.00345844e-01,2.02847347e-01,1.86688280e+00
8.62571895e-01,1.54934868e-01,2.25425094e-01,2.09727734e-01,1.93963230e+00
9.10359621e-01,1.68558836e-01,2.43721813e-01,2.29609251e-01,2.03168344e+00
9.59377348e-01,1.80443197e-01,2.59213924e-01,2.40237296e-01,2.12394762e+00
1.00965667e+00,1.90808609e-01,2.72900403e-01,2.58480549e-01,2.30759645e+00
1.06123006e+00,1.98130831e-01,2.82463253e-01,2.74531454e-01,2.53570509e+00
1.11413085e+00,2.02358961e-01,2.87707120e-01,2.90418744e-01,2.78887582e+00
1.16839325e+00,2.04133227e-01,2.89715350e-01,3.10157061e-01,2.96042776e+00
1.22405231e+00,2.04585090e-01,2.90128469e-01,3.29622865e-01,3.11561608e+00
1.28114390e+00,2.05024838e-01,2.90995538e-01,3.54356706e-01,3.22673917e+00
1.33970511e+00,2.08532810e-01,2.96931326e-01,3.93857181e-01,3.31910586e+00
1.39977336e+00,1.49559248e+04,2.09222988e+04,1.46713398e+04,1.52016479e+03
1.46138775e+00,1.22499316e+04,1.71318105e+04,1.17346934e+04,1.11857715e+03
1.52458799e+00,7.32185547e+03,1.02398711e+04,7.03332812e+03,6.95726807e+02
1.58941495e+00,6.29588086e+03,8.80613672e+03,6.10262793e+03,6.54892517e+02
1.65591037e+00,5.89557715e+03,8.24693555e+03,5.74921094e+03,6.51243469e+02
1.72411728e+00,5.70822266e+03,7.98537354e+03,5.59252344e+03,6.58956665e+02
1.79407966e+00,5.61781152e+03,7.85930078e+03,5.52459570e+03,6.72894531e+02
1.86584306e+00,5.57786133e+03,7.80373682e+03,5.50189697e+03,6.85205261e+02
1.93945324e+00,5.56750146e+03,7.78950098e+03,5.50545703e+03,7.01075562e+02
2.01495814e+00,5.57379297e+03,7.79852051e+03,5.52322949e+03,7.13533691e+02
2.09240627e+00,5.58817480e+03,7.81882471e+03,5.54724072e+03,7.26619751e+02
2.17184782e+00,5.60411816e+03,7.84128564e+03,5.57134229e+03,7.38384399e+02
2.25333428e+00,5.62051758e+03,7.86435547e+03,5.59468359e+03,7.49117920e+02
2.33691788e+00,5.63810742e+03,7.88908398e+03,5.61847656e+03,7.59196899e+02
2.42265272e+00,5.65527539e+03,7.91320996e+03,5.64125488e+03,7.68544556e+02
2.51059437e+00,5.67579590e+03,7.94201270e+03,5.66670605e+03,7.77487183e+02
2.60079956e+00,5.69858838e+03,7.97398438e+03,5.69386719e+03,7.86260986e+02
2.69332647e+00,5.72698340e+03,8.01379004e+03,5.72628027e+03,7.95458374e+02
2.78823495e+00,5.76059180e+03,8.06088232e+03,5.76355615e+03,8.04916321e+02
2.88558602e+00,5.79572070e+03,8.11009082e+03,5.80187842e+03,8.14016724e+02
2.98544264e+00,5.82637305e+03,8.15302490e+03,5.83525732e+03,8.22144409e+02
3.08786964e+00,5.85062646e+03,8.18699756e+03,5.86190674e+03,8.28931580e+02
3.19293284e+00,5.86659277e+03,8.20937598e+03,5.88010742e+03,8.34211792e+02
3.30070019e+00,5.88137109e+03,8.23009277e+03,5.89713330e+03,8.39490967e+02
3.41124129e+00,5.89707422e+03,8.25210059e+03,5.91491309e+03,8.44676270e+02
3.52462745e+00,5.91691797e+03,8.27990234e+03,5.93678711e+03,8.50274475e+02
3.64093208e+00,5.94665039e+03,8.32154102e+03,5.96849902e+03,8.57250122e+02
3.76023054e+00,5.98314844e+03,8.37263574e+03,6.00663965e+03,8.64801697e+02
3.88259912e+00,6.02465332e+03,8.43073047e+03,6.04956787e+03,8.72903931e+02
4.00811720e+00,6.06763672e+03,8.49088770e+03,6.09371143e+03,8.80892700e+02
4.13686609e+00,6.11116748e+03,8.55180469e+03,6.13808105e+03,8.88566589e+02
4.26892853e+00,6.14880762e+03,8.60446875e+03,6.17619824e+03,8.95160889e+02
4.40439081e+00,6.17398535e+03,8.63969238e+03,6.20170996e+03,8.99839722e+02
4.54333878e+00,6.18420508e+03,8.65398633e+03,6.21218652e+03,9.02337158e+02
4.68586397e+00,6.18599268e+03,8.65648535e+03,6.21435303e+03,9.03728149e+02
