Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,9.87294316e-03,1.53572848e-02,1.97515011e-01,4.03255463e+00
7.99999982e-02,2.07871273e-02,3.20698060e-02,3.09411496e-01,4.32925081e+00
1.19999997e-01,3.29447389e-02,5.05109318e-02,3.53178173e-01,4.41362476e+00
1.59999996e-01,4.57239002e-02,6.94922656e-02,3.75836879e-01,4.56503868e+00
2.00000003e-01,5.79365343e-02,8.72746259e-02,3.91464949e-01,4.64585876e+00
2.39999995e-01,7.09765181e-02,1.06068641e-01,4.02468652e-01,4.74926138e+00
2.80000001e-01,8.47472474e-02,1.25733227e-01,4.09739554e-01,4.83758307e+00
3.19999993e-01,9.77946743e-02,1.44156933e-01,4.16354656e-01,4.92728615e+00
3.60000014e-01,1.09834239e-01,1.60972580e-01,4.23552066e-01,4.99962378e+00
4.00000006e-01,1.20336309e-01,1.75568670e-01,4.30623502e-01,5.06075525e+00
4.39999998e-01,1.29437342e-01,1.88170910e-01,4.36635315e-01,5.12433290e+00
4.79999989e-01,1.37171045e-01,1.98885560e-01,4.42147434e-01,5.19087029e+00
5.19999981e-01,1.43763110e-01,2.08058193e-01,4.46237981e-01,5.26073647e+00
5.60000002e-01,1.49344549e-01,2.15891644e-01,4.49255377e-01,5.32997751e+00
6.00000024e-01,1.54302657e-01,2.22990006e-01,4.51044261e-01,5.41407442e+00
6.41029537e-01,1.58961535e-01,2.29757831e-01,4.51326966e-01,5.49753046e+00
6.83115125e-01,1.63845688e-01,2.36928895e-01,4.51104820e-01,5.58402681e+00
7.26283848e-01,1.68981642e-01,2.44544908e-01,4.50802654e-01,5.67600679e+00
7.70563781e-01,1.74416959e-01,2.52330959e-01,4.50405121e-01,5.77746820e+00
8.15983355e-01,1.79611832e-01,2.59615272e-01,4.49636906e-01,5.88480854e+00
8.62571895e-01,1.84377298e-01,2.66095608e-01,4.49067146e-01,6.01249838e+00
9.10359621e-01,1.88040972e-01,2.70756602e-01,4.47804093e-01,6.16496515e+00
9.59377348e-01,1.90287054e-01,2.73325413e-01,4.47462201e-01,6.33988047e+00
1.00965667e+00,1.91033095e-01,2.73777902e-01,4.46296006e-01,6.55211544e+00
1.06123006e+00,1.90688193e-01,2.72758573e-01,4.45662409e-01,6.80796194e+00
1.11413085e+00,1.89399064e-01,2.70595789e-01,4.44494814e-01,7.04208088e+00
1.16839325e+00,1.87718406e-01,2.68085212e-01,4.43870276e-01,7.29687691e+00
1.22405231e+00,1.86433211e-01,2.66358584e-01,4.43320155e-01,7.62606287e+00
1.28114390e+00,1.86453059e-01,2.66575754e-01,4.44196463e-01,8.23857498e+00
1.33970511e+00,1.87864184e-01,2.68726587e-01,4.45736378e-01,8.61238384e+00
1.39977336e+00,4.47411719e+04,6.27022031e+04,4.62220859e+04,8.21127344e+03
1.46138775e+00,4.41541484e+04,6.18775273e+04,4.55043203e+04,8.87821582e+03
1.52458799e+00,4.48989492e+04,6.29324023e+04,4.69493945e+04,1.31459043e+04
1.58941495e+00,5.34819922e+04,7.49830469e+04,5.71743086e+04,1.81125137e+04
1.65591037e+00,5.77198750e+04,8.09378906e+04,6.25493672e+04,2.34462383e+04
1.72411728e+00,6.75050625e+04,9.46545000e+04,7.27983438e+04,1.63199375e+04
1.79407966e+00,7.36944922e+04,1.03309312e+05,7.78997812e+04,1.41243594e+04
1.86584306e+00,7.80471094e+04,1.09401836e+05,8.19632500e+04,1.65898770e+04
1.93945324e+00,8.33475938e+04,1.16845328e+05,8.84119297e+04,1.91547891e+04
2.01495814e+00,8.91848125e+04,1.25028516e+05,9.45932109e+04,2.03226250e+04
2.09240627e+00,9.43210234e+04,1.32228188e+05,9.99988594e+04,2.15057148e+04
2.17184782e+00,9.89140938e+04,1.38666484e+05,1.04829422e+05,2.25391016e+04
2.25333428e+00,1.03245758e+05,1.44738531e+05,1.09394594e+05,2.35256445e+04
2.33691788e+00,1.07585703e+05,1.50822188e+05,1.13968594e+05,2.45118320e+04
2.42265272e+00,1.12005875e+05,1.57018188e+05,1.18621156e+05,2.54917891e+04
2.51059437e+00,1.16413023e+05,1.63195750e+05,1.23249203e+05,2.64461484e+04
2.60079956e+00,1.20619078e+05,1.69090938e+05,1.27633703e+05,2.72726289e+04
2.69332647e+00,1.24026281e+05,1.73865344e+05,1.31120828e+05,2.78826523e+04
2.78823495e+00,1.26697125e+05,1.77607234e+05,1.33818828e+05,2.83566055e+04
2.88558602e+00,1.28921406e+05,1.80723375e+05,1.36062969e+05,2.88844531e+04
2.98544264e+00,1.31521922e+05,1.84368969e+05,1.38831172e+05,2.97881406e+04
3.08786964e+00,1.36159156e+05,1.90872141e+05,1.43908953e+05,3.15221992e+04
3.19293284e+00,1.44284078e+05,2.02267719e+05,1.52886125e+05,3.44140156e+04
3.30070019e+00,1.56974156e+05,2.20065625e+05,1.66841969e+05,3.82896602e+04
3.41124129e+00,1.74425219e+05,2.44533750e+05,1.85559516e+05,4.27854141e+04
3.52462745e+00,1.94721969e+05,2.72985000e+05,2.06940109e+05,4.76945859e+04
3.64093208e+00,2.12444125e+05,2.97820344e+05,2.25242469e+05,5.16942969e+04
3.76023054e+00,2.24872984e+05,3.15248000e+05,2.38791906e+05,5.51045391e+04
3.88259912e+00,2.32098844e+05,3.25391875e+05,2.47315625e+05,5.56062812e+04
4.00811720e+00,2.37730688e+05,3.33313156e+05,2.54829266e+05,5.46504609e+04
4.13686609e+00,2.55123188e+05,3.57696531e+05,2.73141438e+05,5.00876250e+04
4.26892853e+00,2.80787375e+05,3.93638375e+05,2.97528844e+05,4.20521875e+04
4.40439081e+00,3.10035500e+05,4.34494656e+05,3.18601000e+05,3.64397852e+04
4.54333878e+00,3.29714594e+05,4.61885000e+05,3.27737375e+05,4.09230195e+04
4.68586397e+00,3.29655750e+05,4.61776688e+05,3.28182625e+05,5.49719336e+04
4.83205652e+00,3.26429219e+05,4.57461312e+05,3.37845562e+05,5.83789570e+04
4.98201227e+00,3.22595781e+05,4.52144594e+05,3.35628844e+05,5.37498711e+04
5.13582754e+00,3.01230625e+05,4.22161188e+05,3.11129125e+05,5.28196562e+04
5.29360199e+00,2.75919812e+05,3.86714844e+05,2.86888500e+05,4.96245469e+04
5.45543718e+00,2.55171812e+05,3.57638406e+05,2.65318094e+05,4.55686992e+04
5.62143755e+00,2.37828734e+05,3.33323156e+05,2.46752891e+05,4.29698789e+04
5.79171038e+00,2.23448703e+05,3.13159500e+05,2.31223812e+05,4.02736836e+04
5.96636629e+00,2.12675688e+05,2.98053188e+05,2.19577062e+05,3.81516484e+04
6.14551687e+00,2.05279875e+05,2.87683156e+05,2.11665422e+05,3.66886875e+04
6.32927942e+00,2.05152438e+05,2.87504000e+05,2.11516438e+05,3.66931953e+04
