Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,9.18168589e-05,3.00276675e-04,6.81064487e-01,1.93498917e+01
7.99999982e-02,2.84237060e-04,7.96761480e-04,7.44138718e-01,1.97372913e+01
1.19999997e-01,5.33728162e-04,1.37740781e-03,7.56835163e-01,1.98311939e+01
1.59999996e-01,1.08979130e-03,2.79933214e-03,7.99397767e-01,2.01688709e+01
2.00000003e-01,2.74507841e-03,6.42609689e-03,8.30710292e-01,2.03202953e+01
2.39999995e-01,5.04138973e-03,1.06743984e-02,8.67832661e-01,2.06101437e+01
2.80000001e-01,7.45480321e-03,1.49602778e-02,9.06208992e-01,2.07479935e+01
3.19999993e-01,1.01488177e-02,1.93892699e-02,9.43750739e-01,2.09294891e+01
3.60000014e-01,1.36974975e-02,2.51558628e-02,9.81342793e-01,2.10610600e+01
4.00000006e-01,1.79909170e-02,3.17874439e-02,1.01565921e+00,2.12945061e+01
4.39999998e-01,2.28004064e-02,3.91736329e-02,1.04952657e+00,2.14423637e+01
4.79999989e-01,2.83652954e-02,4.81630042e-02,1.08315361e+00,2.16890488e+01
5.19999981e-01,3.52389514e-02,5.93814030e-02,1.11642563e+00,2.18627090e+01
5.60000002e-01,4.31216508e-02,7.25023150e-02,1.15670896e+00,2.20878220e+01
6.00000024e-01,5.36197126e-02,8.93215314e-02,1.19857323e+00,2.23074265e+01
6.41029537e-01,6.62221462e-02,1.08828053e-01,1.25848627e+00,2.25187111e+01
6.83115125e-01,8.05382729e-02,1.29300565e-01,1.29969609e+00,2.27366390e+01
7.26283848e-01,9.59786028e-02,1.49265170e-01,1.34589684e+00,2.29821663e+01
7.70563781e-01,1.11453563e-01,1.66414618e-01,1.39511776e+00,2.31767616e+01
8.15983355e-01,1.23387672e-01,1.77266911e-01,1.48040617e+00,2.35074711e+01
8.62571895e-01,1.28008187e-01,1.79629624e-01,1.54516518e+00,2.36592846e+01
9.10359621e-01,1.28084511e-01,1.80058539e-01,1.67404950e+00,2.42239208e+01
9.59377348e-01,1.27598748e-01,1.80134088e-01,1.75801635e+00,2.44518719e+01
1.00965667e+00,1.26871526e-01,1.80844709e-01,1.85077071e+00,2.51419353e+01
1.06123006e+00,1.25606179e-01,1.80699125e-01,2.02196932e+00,2.58072472e+01
1.11413085e+00,1.24920696e-01,1.82786196e-01,2.19778442e+00,2.67776985e+01
1.16839325e+00,1.27199531e-01,1.89629525e-01,2.28561783e+00,2.71797466e+01
1.22405231e+00,1.33137822e-01,2.02395216e-01,2.36282396e+00,2.79181118e+01
1.28114390e+00,1.43608645e-01,2.19736427e-01,2.58994865e+00,2.93110943e+01
1.33970511e+00,1.56807825e-01,2.39980996e-01,2.73090744e+00,3.02785149e+01
1.39977336e+00,2.12776777e+04,2.97711309e+04,1.86528320e+04,5.39585693e+02
1.46138775e+00,2.68802363e+04,3.75369062e+04,1.98203164e+04,7.86532349e+02
1.52458799e+00,1.59840762e+04,2.23120312e+04,1.21159824e+04,6.86021484e+02
1.58941495e+00,1.48552793e+04,2.07588008e+04,1.21296992e+04,9.10552002e+02
1.65591037e+00,1.46058135e+04,2.04205859e+04,1.23530674e+04,1.01944397e+03
1.72411728e+00,1.46047363e+04,2.04256406e+04,1.26238594e+04,1.11061841e+03
1.79407966e+00,1.47064785e+04,2.05724824e+04,1.29024307e+04,1.18126770e+03
1.86584306e+00,1.48692559e+04,2.08036250e+04,1.31892109e+04,1.24879736e+03
1.93945324e+00,1.50997832e+04,2.11288047e+04,1.35033252e+04,1.30494653e+03
2.01495814e+00,1.53591914e+04,2.14936445e+04,1.38115527e+04,1.35887793e+03
