Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,4.77677968e-05,8.07684410e-05,1.09665301e-02,5.21373034e-01
7.99999982e-02,1.52870372e-04,2.50251265e-04,1.35893822e-02,5.53189278e-01
1.19999997e-01,2.70680204e-04,4.36505361e-04,1.62916332e-02,5.64797878e-01
1.59999996e-01,4.49452724e-04,7.26725091e-04,1.85425002e-02,5.87517560e-01
2.00000003e-01,7.84894044e-04,1.27434253e-03,2.03136597e-02,5.99540055e-01
2.39999995e-01,1.46155013e-03,2.31333729e-03,2.41053030e-02,6.19690955e-01
2.80000001e-01,2.09512142e-03,3.26497643e-03,2.71279253e-02,6.35300934e-01
3.19999993e-01,2.91948183e-03,4.50283429e-03,3.06072347e-02,6.52765751e-01
3.60000014e-01,4.25363891e-03,6.51431642e-03,3.49591635e-02,6.70250535e-01
4.00000006e-01,6.54547196e-03,9.90201253e-03,3.98520529e-02,6.89204454e-01
4.39999998e-01,9.25958995e-03,1.38492808e-02,4.46820892e-02,7.07579017e-01
4.79999989e-01,1.26058497e-02,1.86750703e-02,4.99916188e-02,7.27242291e-01
5.19999981e-01,1.63050052e-02,2.39408370e-02,5.46196513e-02,7.48672187e-01
5.60000002e-01,1.95250139e-02,2.84873806e-02,5.90651706e-02,7.71738589e-01
6.00000024e-01,2.23950595e-02,3.25278789e-02,6.11885153e-02,7.96021938e-01
6.41029537e-01,2.51489915e-02,3.64519060e-02,6.45890534e-02,8.24831009e-01
6.83115125e-01,2.84662638e-02,4.12296280e-02,6.58690780e-02,8.53296340e-01
7.26283848e-01,3.25166881e-02,4.70698625e-02,6.88538253e-02,8.88088107e-01
7.70563781e-01,3.66524048e-02,5.29582463e-02,7.21106380e-02,9.31289792e-01
8.15983355e-01,4.04156223e-02,5.82124740e-02,7.72017464e-02,9.99174654e-01
8.62571895e-01,4.33042906e-02,6.21198043e-02,7.95219913e-02,1.04262519e+00
9.10359621e-01,4.53865528e-02,6.48518354e-02,8.28181654e-02,1.13221574e+00
9.59377348e-01,4.69157062e-02,6.68515712e-02,8.53337795e-02,1.19930303e+00
1.00965667e+00,4.81026992e-02,6.84595108e-02,8.90941471e-02,1.27563798e+00
1.06123006e+00,4.93502393e-02,7.02706054e-02,9.57504660e-02,1.34154713e+00
1.11413085e+00,5.11372536e-02,7.29641393e-02,1.01235032e-01,1.40679371e+00
1.16839325e+00,5.41903004e-02,7.74960965e-02,1.11366533e-01,1.45413983e+00
1.22405231e+00,5.84625714e-02,8.37489963e-02,1.24139443e-01,1.52122808e+00
1.28114390e+00,6.34981096e-02,9.10203010e-02,1.36024207e-01,1.57495070e+00
1.33970511e+00,6.99675083e-02,1.00357071e-01,1.52224839e-01,1.63919759e+00
1.39977336e+00,1.99763008e+04,2.79811523e+04,1.97044336e+04,1.55940381e+03
1.46138775e+00,2.21484668e+04,3.10073828e+04,2.08110938e+04,1.35646460e+03
1.52458799e+00,1.22206914e+04,1.71065352e+04,1.14434268e+04,8.04208740e+02
1.58941495e+00,1.08240898e+04,1.51553174e+04,1.03329004e+04,8.52676636e+02
1.65591037e+00,1.03798545e+04,1.45352432e+04,1.00115918e+04,9.02929749e+02
1.72411728e+00,1.01935410e+04,1.42756016e+04,9.90028809e+03,9.47350464e+02
1.79407966e+00,1.01031055e+04,1.41498516e+04,9.86193750e+03,9.85875061e+02
1.86584306e+00,1.00724219e+04,1.41075762e+04,9.87010156e+03,1.01982751e+03
1.93945324e+00,1.00785879e+04,1.41167676e+04,9.90649121e+03,1.05201978e+03
2.01495814e+00,1.01023398e+04,1.41504883e+04,9.95451172e+03,1.08016650e+03
2.09240627e+00,1.01371934e+04,1.41996895e+04,1.00093555e+04,1.10654248e+03
2.17184782e+00,1.01844082e+04,1.42661406e+04,1.00732383e+04,1.13105322e+03
2.25333428e+00,1.02346621e+04,1.43367959e+04,1.01374121e+04,1.15379431e+03
2.33691788e+00,1.02732246e+04,1.43910234e+04,1.01873672e+04,1.17259680e+03
2.42265272e+00,1.02886660e+04,1.44128223e+04,1.02123438e+04,1.18694897e+03
2.51059437e+00,1.02769941e+04,1.43966201e+04,1.02087871e+04,1.19650757e+03
2.60079956e+00,1.02384453e+04,1.43427422e+04,1.01772246e+04,1.20161890e+03
2.69332647e+00,1.01948379e+04,1.42817715e+04,1.01401328e+04,1.20552002e+03
2.78823495e+00,1.01728633e+04,1.42511094e+04,1.01244844e+04,1.21180859e+03
2.88558602e+00,1.01917891e+04,1.42777461e+04,1.01495508e+04,1.22284705e+03
2.98544264e+00,1.02455391e+04,1.43531553e+04,1.02090000e+04,1.23757495e+03
3.08786964e+00,1.03140293e+04,1.44491953e+04,1.02823770e+04,1.25329602e+03
3.19293284e+00,1.03678281e+04,1.45246260e+04,1.03400342e+04,1.26611865e+03
3.30070019e+00,1.03945898e+04,1.45621680e+04,1.03699688e+04,1.27485156e+03
3.41124129e+00,1.03828652e+04,1.45457773e+04,1.03607344e+04,1.27811084e+03
3.52462745e+00,1.03232881e+04,1.44623516e+04,1.03035371e+04,1.27527124e+03
3.64093208e+00,1.02634736e+04,1.43786074e+04,1.02465889e+04,1.27272925e+03
3.76023054e+00,1.02071035e+04,1.42996895e+04,1.01929199e+04,1.27042065e+03
3.88259912e+00,1.01430059e+04,1.42099600e+04,1.01322256e+04,1.26781006e+03
4.00811720e+00,1.01612578e+04,1.42356113e+04,1.01545332e+04,1.27597559e+03
4.13686609e+00,1.02343652e+04,1.43381055e+04,1.02315820e+04,1.29092688e+03
4.26892853e+00,1.03362109e+04,1.44808525e+04,1.03370527e+04,1.30917212e+03
4.40439081e+00,1.04547080e+04,1.46469004e+04,1.04582910e+04,1.32869849e+03
4.54333878e+00,1.05512900e+04,1.47822129e+04,1.05561758e+04,1.34420605e+03
4.68586397e+00,1.05671484e+04,1.48044160e+04,1.05723535e+04,1.34881665e+03
4.83205652e+00,1.05386680e+04,1.47645146e+04,1.05443408e+04,1.34790186e+03
4.98201227e+00,1.04641270e+04,1.46600840e+04,1.04700137e+04,1.34093958e+03
5.13582754e+00,1.03368340e+04,1.44817656e+04,1.03434160e+04,1.32791895e+03
5.29360199e+00,1.02998164e+04,1.44299541e+04,1.03084668e+04,1.32749487e+03
5.45543718e+00,1.03475371e+04,1.44968564e+04,1.03584443e+04,1.33798389e+03
5.62143755e+00,1.04862324e+04,1.46912061e+04,1.04995938e+04,1.36048999e+03
5.79171038e+00,1.07493418e+04,1.50598398e+04,1.07648174e+04,1.39822192e+03
5.96636629e+00,1.10549561e+04,1.54879551e+04,1.10696699e+04,1.43934619e+03
6.14551687e+00,1.12891084e+04,1.58158906e+04,1.13002090e+04,1.46840637e+03
6.32927942e+00,1.13242656e+04,1.58649990e+04,1.13294434e+04,1.47073193e+03
6.51777077e+00,1.10462725e+04,1.54754414e+04,1.10467910e+04,1.43415308e+03
6.71111441e+00,1.05819531e+04,1.48249570e+04,1.05816738e+04,1.37774487e+03
6.90943432e+00,1.00451807e+04,1.40730508e+04,1.00473398e+04,1.31578918e+03
7.11285782e+00,9.70279785e+03,1.35935830e+04,9.71283691e+03,1.28437891e+03
7.32151794e+00,9.80394531e+03,1.37354512e+04,9.82123340e+03,1.31084973e+03
7.53554821e+00,1.01943369e+04,1.42825762e+04,1.02216602e+04,1.37705762e+03
7.75508738e+00,1.07790508e+04,1.51019443e+04,1.08166963e+04,1.46608228e+03
7.98027754e+00,1.11309512e+04,1.55945371e+04,1.11517734e+04,1.50171240e+03
8.21126270e+00,1.05403242e+04,1.47667891e+04,1.05503867e+04,1.43006946e+03
