Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,7.75038099e+00,9.39722061e+00,4.87092212e-02,7.59563548e-03
7.99999982e-02,1.15730734e+01,1.42839603e+01,1.26547992e-01,8.37520324e-03
1.19999997e-01,1.53904276e+01,1.91962128e+01,1.52874738e-01,8.43061972e-03
1.59999996e-01,1.85436363e+01,2.32379608e+01,1.75600231e-01,9.00749676e-03
2.00000003e-01,2.10116272e+01,2.63992062e+01,1.93338126e-01,9.26619116e-03
2.39999995e-01,2.48497658e+01,3.12945671e+01,2.51245379e-01,9.78498813e-03
2.80000001e-01,2.80711327e+01,3.53675461e+01,3.07858109e-01,1.01114074e-02
3.19999993e-01,3.20545235e+01,4.04266586e+01,3.83971274e-01,1.06165288e-02
3.60000014e-01,3.41437607e+01,4.30241356e+01,4.53952730e-01,1.09786801e-02
4.00000006e-01,3.88651886e+01,4.89122849e+01,5.57784259e-01,1.15618128e-02
4.39999998e-01,3.68438339e+01,4.62982979e+01,6.42857254e-01,1.20085906e-02
4.79999989e-01,3.79478683e+01,4.77501373e+01,8.34009826e-01,1.26910405e-02
5.19999981e-01,3.40900497e+01,4.30241966e+01,9.32504773e-01,1.32432915e-02
5.60000002e-01,3.58064957e+01,4.55031052e+01,1.14404714e+00,1.39984218e-02
6.00000024e-01,3.29530220e+01,4.21335602e+01,1.24752259e+00,1.46642122e-02
6.41029537e-01,3.52705841e+01,4.53176994e+01,1.43900347e+00,1.55358016e-02
6.83115125e-01,2.97390537e+01,3.82919388e+01,1.41011715e+00,1.64893959e-02
7.26283848e-01,2.96839027e+01,3.83938446e+01,1.67544425e+00,1.74583625e-02
7.70563781e-01,2.74921608e+01,3.56926041e+01,1.95472050e+00,1.85370930e-02
8.15983355e-01,2.93323059e+01,3.82822380e+01,2.38273263e+00,1.96374841e-02
8.62571895e-01,2.86573219e+01,3.76468697e+01,2.85090065e+00,2.08151937e-02
9.10359621e-01,2.96875801e+01,3.90337296e+01,2.98167896e+00,2.20624190e-02
9.59377348e-01,2.89548836e+01,3.83067474e+01,3.32202578e+00,2.34837849e-02
1.00965667e+00,2.79400139e+01,3.70777664e+01,3.46067071e+00,2.49089859e-02
1.06123006e+00,2.96957455e+01,3.96875420e+01,4.41463995e+00,2.62908246e-02
1.11413085e+00,4.99548187e+01,6.78578110e+01,1.08296089e+01,2.77539846e-02
1.16839325e+00,1.47864197e+02,2.02928345e+02,3.81043434e+01,2.93779150e-02
1.22405231e+00,6.75420349e+02,9.31837036e+02,1.75662888e+02,3.23355608e-02
1.28114390e+00,1.25071985e+03,1.72327698e+03,3.14439880e+02,4.48228121e-02
1.33970511e+00,1.54163262e+04,2.13268750e+04,5.08596045e+03,1.97868153e-01
1.39977336e+00,8.74522344e+04,1.21464500e+05,4.71393594e+04,4.00401660e+03
1.46138775e+00,3.40657250e+05,4.73822000e+05,1.94849188e+05,6.24274170e+03
1.52458799e+00,6.30163250e+05,8.77576625e+05,4.13322688e+05,9.77721094e+03
1.58941495e+00,5.95201688e+05,8.24788688e+05,2.48654469e+05,3.17721777e+03
1.65591037e+00,4.89004750e+05,6.76264000e+05,1.77747812e+05,5.32511902e+02
1.72411728e+00,3.63247938e+05,5.01803031e+05,1.19986570e+05,2.83993893e+01
1.79407966e+00,2.67322938e+05,3.69400812e+05,9.11823750e+04,2.54017658e+01
1.86584306e+00,2.01610906e+05,2.78676750e+05,7.09267266e+04,1.71754131e+01
1.93945324e+00,1.56593141e+05,2.16484641e+05,5.60182344e+04,1.34809799e+01
2.01495814e+00,1.27794906e+05,1.76693406e+05,4.62483438e+04,1.10640297e+01
2.09240627e+00,1.08791195e+05,1.50431094e+05,3.96938047e+04,9.45171070e+00
2.17184782e+00,9.54571562e+04,1.32004078e+05,3.50664453e+04,8.29749393e+00
2.25333428e+00,8.57292188e+04,1.18557938e+05,3.16362266e+04,7.35129261e+00
2.33691788e+00,7.73972812e+04,1.07033609e+05,2.85427812e+04,6.39582539e+00
2.42265272e+00,6.93276484e+04,9.58656875e+04,2.54068906e+04,5.44163513e+00
2.51059437e+00,6.20323438e+04,8.57679219e+04,2.25448867e+04,4.67030716e+00
2.60079956e+00,5.61294375e+04,7.76000000e+04,2.02788359e+04,4.15391731e+00
2.69332647e+00,5.20238281e+04,7.19210078e+04,1.87189980e+04,3.82722569e+00
2.78823495e+00,4.97969258e+04,6.88390938e+04,1.78156484e+04,3.62932563e+00
2.88558602e+00,4.87175430e+04,6.73432188e+04,1.73329434e+04,3.53567266e+00
2.98544264e+00,4.83288594e+04,6.68042266e+04,1.71300215e+04,3.49200892e+00
3.08786964e+00,4.86650625e+04,6.72688438e+04,1.71725938e+04,3.43923831e+00
3.19293284e+00,4.95621055e+04,6.85093125e+04,1.74167773e+04,3.48446274e+00
3.30070019e+00,5.05098828e+04,6.98238281e+04,1.78054922e+04,3.77596879e+00
3.41124129e+00,5.09064141e+04,7.03804297e+04,1.81065508e+04,4.00389194e+00
3.52462745e+00,4.95413008e+04,6.84924375e+04,1.75899004e+04,3.66828060e+00
3.64093208e+00,4.59907148e+04,6.35741523e+04,1.61471504e+04,3.06683922e+00
3.76023054e+00,4.27011484e+04,5.90209062e+04,1.48844180e+04,2.64619613e+00
3.88259912e+00,4.26872773e+04,5.89966562e+04,1.47494736e+04,2.42507195e+00
4.00811720e+00,4.38119297e+04,6.05387695e+04,1.49048809e+04,2.31033206e+00
4.13686609e+00,4.41726367e+04,6.10315000e+04,1.49642529e+04,2.33228636e+00
4.26892853e+00,4.75291406e+04,6.56778906e+04,1.62253594e+04,2.48284698e+00
4.40439081e+00,5.35711641e+04,7.40338438e+04,1.83107695e+04,2.69022751e+00
4.54333878e+00,5.83973125e+04,8.07025547e+04,1.99339180e+04,2.99557233e+00
4.68586397e+00,6.18466250e+04,8.54760000e+04,2.12979961e+04,3.34817743e+00
4.83205652e+00,6.64896484e+04,9.19025625e+04,2.30617891e+04,3.53379369e+00
4.98201227e+00,6.88161875e+04,9.51145625e+04,2.37517402e+04,3.35798311e+00
5.13582754e+00,6.50396367e+04,8.98775781e+04,2.21034219e+04,2.89419436e+00
5.29360199e+00,5.66370234e+04,7.82456875e+04,1.88901602e+04,2.42778969e+00
5.45543718e+00,4.68678672e+04,6.47350859e+04,1.53983174e+04,2.08342457e+00
5.62143755e+00,3.95941289e+04,5.46796523e+04,1.28511631e+04,1.83700156e+00
5.79171038e+00,3.36651719e+04,4.64838477e+04,1.07913174e+04,1.62420833e+00
5.96636629e+00,2.97711328e+04,4.11005352e+04,9.44935547e+03,1.49021113e+00
6.14551687e+00,2.90248086e+04,4.00720625e+04,9.22783984e+03,1.48921108e+00
6.32927942e+00,2.99615234e+04,4.13759375e+04,9.65280078e+03,1.65946233e+00
6.51777077e+00,3.18083203e+04,4.39307695e+04,1.03810645e+04,2.07271504e+00
6.71111441e+00,3.32407969e+04,4.59130625e+04,1.10103525e+04,2.55661845e+00
6.90943432e+00,3.80276094e+04,5.25323203e+04,1.26753867e+04,2.61820769e+00
7.11285782e+00,3.91306367e+04,5.40599570e+04,1.29915957e+04,2.53542495e+00
7.32151794e+00,3.26495352e+04,4.51035547e+04,1.07598086e+04,2.27444386e+00
7.53554821e+00,2.75117227e+04,3.79983750e+04,8.98749805e+03,2.25839901e+00
7.75508738e+00,2.53598594e+04,3.50204492e+04,8.22873633e+03,2.33917189e+00
7.98027754e+00,2.33582344e+04,3.22576211e+04,7.57849170e+03,2.30211282e+00
8.21126270e+00,2.13040098e+04,2.94269609e+04,6.97137988e+03,2.16903424e+00
8.44819450e+00,1.90232910e+04,2.62827949e+04,6.30374316e+03,2.00975037e+00
8.69122219e+00,1.89078984e+04,2.61306523e+04,6.39599170e+03,2.07326436e+00
8.94050789e+00,2.18209824e+04,3.01640312e+04,7.58142285e+03,2.50298572e+00
9.19620800e+00,2.55466172e+04,3.53157656e+04,8.99018164e+03,2.88786197e+00
9.45849037e+00,2.81560371e+04,3.89192109e+04,9.88640625e+03,3.06881976e+00
9.72752285e+00,2.91445879e+04,4.02828984e+04,1.02094258e+04,3.17547035e+00
1.00034800e+01,2.98703457e+04,4.12828125e+04,1.04550156e+04,3.25232005e+00
1.02865391e+01,3.03396914e+04,4.19269141e+04,1.05936348e+04,3.18920159e+00
1.05768833e+01,3.16589277e+04,4.37493242e+04,1.10180039e+04,3.18029690e+00
1.08747025e+01,3.48261484e+04,4.81305781e+04,1.20957783e+04,3.40657949e+00
1.11801853e+01,3.72622695e+04,5.15097734e+04,1.31357383e+04,3.75667071e+00
1.14935322e+01,4.29117266e+04,5.93214609e+04,1.52051484e+04,4.07967234e+00
1.18149433e+01,4.89662500e+04,6.76636484e+04,1.70008008e+04,4.00133514e+00
1.21446266e+01,4.09949688e+04,5.66306445e+04,1.42824834e+04,3.29214859e+00
1.24827967e+01,2.41756523e+04,3.34106406e+04,9.21258789e+03,2.50724316e+00
1.28296700e+01,1.35504180e+04,1.87680957e+04,6.42185645e+03,2.21643519e+00
1.31854706e+01,1.03333516e+04,1.43696572e+04,5.99962012e+03,2.29711151e+00
1.35504293e+01,1.15110928e+04,1.60351016e+04,6.83455859e+03,2.51246881e+00
1.39247818e+01,1.46494922e+04,2.03798516e+04,8.62442188e+03,2.74407578e+00
1.43087692e+01,1.86861133e+04,2.59845977e+04,1.07861855e+04,2.91538620e+00
1.47026405e+01,2.52502285e+04,3.50976328e+04,1.30972871e+04,3.00461102e+00
1.51066484e+01,3.35222578e+04,4.65279570e+04,1.53904736e+04,2.94183302e+00
1.55210552e+01,3.83522812e+04,5.31769844e+04,1.64711914e+04,2.83053255e+00
1.59461288e+01,4.15499961e+04,5.75973906e+04,1.70943867e+04,2.80828905e+00
1.63821430e+01,4.84326328e+04,6.71034531e+04,1.87342148e+04,2.82788754e+00
1.68293781e+01,5.59059844e+04,7.73861328e+04,2.02494414e+04,2.79124475e+00
1.72881241e+01,5.93050000e+04,8.20219844e+04,2.04682930e+04,2.80318809e+00
1.77586803e+01,6.34840508e+04,8.77515781e+04,2.10428555e+04,2.99941969e+00
1.82413464e+01,6.68092969e+04,9.22888281e+04,2.17559707e+04,3.09964395e+00
1.87364349e+01,6.44326055e+04,8.89527188e+04,2.07727227e+04,2.88672876e+00
1.92442665e+01,6.51905352e+04,8.99678438e+04,2.06621211e+04,2.70090008e+00
1.97651691e+01,6.93833281e+04,9.57362969e+04,2.18258555e+04,2.55342340e+00
2.02994785e+01,6.94454297e+04,9.58134219e+04,2.14456562e+04,2.35795164e+00
2.08475418e+01,6.50235820e+04,8.97080391e+04,1.99135742e+04,2.34342766e+00
2.14097099e+01,6.80547500e+04,9.38980703e+04,2.10697305e+04,2.70427036e+00
2.19863453e+01,7.63053281e+04,1.05279664e+05,2.37888164e+04,2.94490194e+00
2.25778236e+01,7.29259766e+04,1.00619328e+05,2.26965898e+04,2.47810459e+00
2.31845264e+01,5.28117891e+04,7.28640938e+04,1.61328047e+04,1.55203509e+00
2.38068466e+01,3.80965312e+04,5.25377266e+04,1.11186113e+04,1.08580256e+00
2.44451809e+01,3.12894219e+04,4.31573125e+04,9.33192773e+03,1.09502423e+00
2.50999470e+01,3.12468848e+04,4.31166172e+04,9.55213281e+03,1.02916813e+00
2.57715645e+01,2.63502305e+04,3.63540859e+04,7.94147900e+03,6.86361134e-01
2.64604683e+01,1.54297275e+04,2.12453809e+04,3.92407642e+03,7.20777512e-02
2.71671047e+01,1.17164709e+03,1.60639465e+03,2.26459534e+02,3.56139545e-03
2.78919277e+01,7.08646851e+02,9.70401489e+02,1.26385117e+02,1.24276499e-03
2.86354065e+01,4.78324585e+02,6.54387756e+02,8.00038910e+01,2.07098288e-04
2.93980217e+01,4.63289246e+02,6.33630188e+02,7.10111084e+01,6.74395415e-05
3.01802654e+01,3.08108215e+02,4.20233978e+02,3.63479462e+01,4.66891652e-05
3.09826431e+01,1.59034332e+02,2.16140671e+02,1.40359936e+01,3.59219630e-05
3.18056717e+01,6.84430923e+01,9.27265167e+01,5.55781078e+00,2.95182981e-05
3.26498833e+01,3.56311913e+01,4.81898880e+01,2.45200658e+00,2.03056188e-05
