Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.61437943e-04,2.60878238e-04,9.49827489e-03,3.62082434e+00
7.99999982e-02,4.58662049e-04,7.37010501e-04,1.48540121e-02,3.82198787e+00
1.19999997e-01,1.05555111e-03,1.69896858e-03,2.12858208e-02,3.87330079e+00
1.59999996e-01,2.38400139e-03,3.79810249e-03,2.91872919e-02,4.01487637e+00
2.00000003e-01,4.84095700e-03,7.59450858e-03,3.57503667e-02,4.08397436e+00
2.39999995e-01,8.08887929e-03,1.25229657e-02,4.16124314e-02,4.20899534e+00
2.80000001e-01,1.25119714e-02,1.91015825e-02,4.74432185e-02,4.30479145e+00
3.19999993e-01,1.69783141e-02,2.55728792e-02,5.32692969e-02,4.41718245e+00
3.60000014e-01,2.11700182e-02,3.14645842e-02,5.79761751e-02,4.53615665e+00
4.00000006e-01,2.40701810e-02,3.54459099e-02,6.20755851e-02,4.67066717e+00
4.39999998e-01,2.67910268e-02,3.91986147e-02,6.67209402e-02,4.79338694e+00
4.79999989e-01,2.92294715e-02,4.26071659e-02,7.41201937e-02,5.02268553e+00
5.19999981e-01,3.20525877e-02,4.65617515e-02,8.27921107e-02,5.16838503e+00
5.60000002e-01,3.46650742e-02,5.02305776e-02,9.57279727e-02,5.57170725e+00
6.00000024e-01,3.79346982e-02,5.49623147e-02,1.10330537e-01,5.72621489e+00
6.41029537e-01,4.17602845e-02,6.05256185e-02,1.28443480e-01,6.23482275e+00
6.83115125e-01,4.79921065e-02,6.95576593e-02,1.47394449e-01,6.40341711e+00
7.26283848e-01,5.76909184e-02,8.34415555e-02,1.68948859e-01,6.61919403e+00
7.70563781e-01,7.09107518e-02,1.02130204e-01,1.92647234e-01,7.02554083e+00
8.15983355e-01,8.67231116e-02,1.24255747e-01,2.19386056e-01,7.42958879e+00
8.62571895e-01,1.03154257e-01,1.47329077e-01,2.51147896e-01,7.61887169e+00
9.10359621e-01,1.19463086e-01,1.70503318e-01,2.87482589e-01,8.04593086e+00
9.59377348e-01,1.37398839e-01,1.96294531e-01,3.32015038e-01,8.38053894e+00
1.00965667e+00,1.58398509e-01,2.26524800e-01,3.80243719e-01,8.81894112e+00
1.06123006e+00,1.82214066e-01,2.60499001e-01,4.31689471e-01,9.36154556e+00
1.11413085e+00,2.08377182e-01,2.97574431e-01,4.82412934e-01,9.93046761e+00
1.16839325e+00,2.36007795e-01,3.36612463e-01,5.43333828e-01,1.01777649e+01
1.22405231e+00,2.62067080e-01,3.73544067e-01,6.09585881e-01,1.04460707e+01
1.28114390e+00,2.85946190e-01,4.07783568e-01,6.79776907e-01,1.05740681e+01
1.33970511e+00,3.09985161e-01,4.42758441e-01,7.56207943e-01,1.11110973e+01
1.39977336e+00,2.03472539e+04,2.85053008e+04,2.02955801e+04,2.64103052e+03
1.46138775e+00,2.93078906e+04,4.10376641e+04,2.79711777e+04,3.07817480e+03
1.52458799e+00,2.23560117e+04,3.13040156e+04,2.15040039e+04,2.60470850e+03
1.58941495e+00,2.30183594e+04,3.22446230e+04,2.27636699e+04,3.25917261e+03
1.65591037e+00,2.40183984e+04,3.36505469e+04,2.39965293e+04,3.57362402e+03
1.72411728e+00,2.49530508e+04,3.49625938e+04,2.50597227e+04,3.80184814e+03
1.79407966e+00,2.56318398e+04,3.59143828e+04,2.57822891e+04,3.92046143e+03
1.86584306e+00,2.56334141e+04,3.59159219e+04,2.57661055e+04,3.90455371e+03
1.93945324e+00,2.50278242e+04,3.50674141e+04,2.51625469e+04,3.86730078e+03
2.01495814e+00,2.52950020e+04,3.54447227e+04,2.55791113e+04,4.15037744e+03
2.09240627e+00,2.74870781e+04,3.85228984e+04,2.81177109e+04,4.84364600e+03
2.17184782e+00,3.17650957e+04,4.45238750e+04,3.27355020e+04,5.94524316e+03
2.25333428e+00,3.78117031e+04,5.30058086e+04,3.93768086e+04,7.49309619e+03
2.33691788e+00,4.38381016e+04,6.14556250e+04,4.57683984e+04,8.26966016e+03
2.42265272e+00,4.51222188e+04,6.32434531e+04,4.64143828e+04,7.50472656e+03
2.51059437e+00,4.09535312e+04,5.73857461e+04,4.13821797e+04,6.06176562e+03
2.60079956e+00,3.42839375e+04,4.80317539e+04,3.42811484e+04,4.73806689e+03
2.69332647e+00,2.85185469e+04,3.99521055e+04,2.83732695e+04,3.91121558e+03
2.78823495e+00,2.60033301e+04,3.64305664e+04,2.59242734e+04,3.89797070e+03
2.88558602e+00,2.77591211e+04,3.88993594e+04,2.81584023e+04,4.60188037e+03
2.98544264e+00,3.44731016e+04,4.83178867e+04,3.54443633e+04,5.89744824e+03
3.08786964e+00,4.33977812e+04,6.08333125e+04,4.48301211e+04,7.62687109e+03
3.19293284e+00,5.21217188e+04,7.30594688e+04,5.36384375e+04,8.92277734e+03
3.30070019e+00,5.51279648e+04,7.72631094e+04,5.62945781e+04,8.99218945e+03
3.41124129e+00,5.17629844e+04,7.25384375e+04,5.25488594e+04,8.19979492e+03
3.52462745e+00,4.53300742e+04,6.35173867e+04,4.58027031e+04,7.02479199e+03
3.64093208e+00,3.81795938e+04,5.34933672e+04,3.84256250e+04,5.80522266e+03
3.76023054e+00,3.16366738e+04,4.43234766e+04,3.17752109e+04,4.80903613e+03
3.88259912e+00,2.62207441e+04,3.67363438e+04,2.63930430e+04,4.15072363e+03
4.00811720e+00,2.41961680e+04,3.39056055e+04,2.45855156e+04,4.12247363e+03
4.13686609e+00,2.67298555e+04,3.74641875e+04,2.74488945e+04,4.75459473e+03
4.26892853e+00,3.16155547e+04,4.43154648e+04,3.25909609e+04,5.55819434e+03
4.40439081e+00,3.68248125e+04,5.16124258e+04,3.77483750e+04,6.05326709e+03
