Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,7.45754078e-05,1.71800901e-04,6.66308776e-02,1.18370371e+01
7.99999982e-02,2.38493900e-04,5.05873933e-04,6.54939190e-02,1.21790171e+01
1.19999997e-01,4.60676820e-04,9.33449366e-04,6.40756562e-02,1.22572384e+01
1.59999996e-01,9.56085161e-04,1.94116216e-03,6.16754554e-02,1.25432615e+01
2.00000003e-01,2.49928492e-03,4.82553616e-03,5.96667901e-02,1.26421394e+01
2.39999995e-01,4.63046320e-03,8.40342231e-03,5.83750717e-02,1.28530149e+01
2.80000001e-01,6.85131829e-03,1.20186480e-02,5.77224679e-02,1.29487057e+01
3.19999993e-01,9.37809329e-03,1.59631222e-02,5.77062592e-02,1.30935011e+01
3.60000014e-01,1.27746556e-02,2.11636089e-02,5.90333715e-02,1.31944933e+01
4.00000006e-01,1.70016512e-02,2.74075605e-02,6.07906431e-02,1.33125772e+01
4.39999998e-01,2.17797700e-02,3.43741626e-02,6.40520900e-02,1.34009399e+01
4.79999989e-01,2.71960944e-02,4.23880778e-02,6.82785287e-02,1.34764261e+01
5.19999981e-01,3.33928950e-02,5.18081822e-02,7.40458965e-02,1.35323915e+01
5.60000002e-01,4.02364545e-02,6.24614581e-02,8.26250091e-02,1.35947628e+01
6.00000024e-01,4.87505831e-02,7.55988583e-02,9.32700336e-02,1.36618786e+01
6.41029537e-01,5.90072758e-02,9.11569670e-02,1.11946464e-01,1.37539625e+01
6.83115125e-01,7.05165789e-02,1.08094007e-01,1.22813001e-01,1.38597755e+01
7.26283848e-01,8.37855786e-02,1.26431704e-01,1.34241670e-01,1.39734440e+01
7.70563781e-01,9.78520215e-02,1.44262597e-01,1.49709776e-01,1.40863152e+01
8.15983355e-01,1.10265695e-01,1.58130854e-01,1.72191143e-01,1.42654266e+01
8.62571895e-01,1.16193645e-01,1.63085908e-01,1.99136466e-01,1.43320475e+01
9.10359621e-01,1.16332464e-01,1.62360236e-01,2.35300809e-01,1.45920506e+01
9.59377348e-01,1.15485206e-01,1.61888123e-01,2.65095383e-01,1.47910194e+01
1.00965667e+00,1.14829965e-01,1.62391409e-01,2.98385561e-01,1.50769863e+01
1.06123006e+00,1.14091553e-01,1.62446946e-01,3.40292215e-01,1.53431902e+01
1.11413085e+00,1.14210621e-01,1.64470479e-01,3.82815868e-01,1.55935888e+01
1.16839325e+00,1.16722919e-01,1.69907093e-01,4.22944099e-01,1.62921925e+01
1.22405231e+00,1.22238219e-01,1.80196226e-01,5.00322342e-01,1.63757935e+01
1.28114390e+00,1.31338403e-01,1.94637805e-01,5.53073049e-01,1.75208263e+01
1.33970511e+00,1.43465623e-01,2.12715060e-01,6.49249434e-01,1.67303162e+01
1.39977336e+00,2.07158574e+04,2.90042188e+04,1.95128008e+04,1.28700146e+03
1.46138775e+00,2.63886250e+04,3.69025391e+04,2.22669277e+04,1.34469116e+03
1.52458799e+00,1.58547900e+04,2.21664102e+04,1.35416660e+04,9.51394043e+02
1.58941495e+00,1.48521104e+04,2.07783867e+04,1.32836729e+04,1.15858289e+03
1.65591037e+00,1.46515820e+04,2.05041113e+04,1.33889590e+04,1.27343713e+03
1.72411728e+00,1.46473350e+04,2.05020430e+04,1.35638008e+04,1.36326001e+03
1.79407966e+00,1.47227070e+04,2.06101992e+04,1.37566406e+04,1.43144678e+03
1.86584306e+00,1.48500078e+04,2.07904375e+04,1.39699531e+04,1.50362915e+03
1.93945324e+00,1.50413320e+04,2.10598828e+04,1.42239551e+04,1.55866931e+03
2.01495814e+00,1.52554072e+04,2.13607266e+04,1.44792383e+04,1.61619434e+03
2.09240627e+00,1.54141797e+04,2.15836699e+04,1.46595977e+04,1.64621106e+03
2.17184782e+00,1.54236484e+04,2.15971172e+04,1.46772754e+04,1.65801660e+03
2.25333428e+00,1.52466914e+04,2.13493242e+04,1.45075938e+04,1.64207715e+03
2.33691788e+00,1.49229502e+04,2.08959844e+04,1.41952852e+04,1.61045850e+03
2.42265272e+00,1.45304062e+04,2.03464199e+04,1.38205898e+04,1.57509668e+03
2.51059437e+00,1.42335615e+04,1.99312461e+04,1.35558203e+04,1.56418750e+03
2.60079956e+00,1.42006992e+04,1.98861543e+04,1.35662783e+04,1.59392908e+03
