Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,6.44008178e-05,1.13512877e-04,3.82411964e-02,9.06570613e-01
7.99999982e-02,2.11968450e-04,3.61383019e-04,4.45906594e-02,9.72189963e-01
1.19999997e-01,4.29278298e-04,7.18239986e-04,5.30404858e-02,1.01724577e+00
1.59999996e-01,9.62916994e-04,1.60826091e-03,6.06162250e-02,1.06931579e+00
2.00000003e-01,2.57439609e-03,4.18939535e-03,6.45599067e-02,1.11996412e+00
2.39999995e-01,4.70564701e-03,7.44236168e-03,7.29375258e-02,1.17910326e+00
2.80000001e-01,6.85647083e-03,1.06837507e-02,7.94979781e-02,1.22378623e+00
3.19999993e-01,9.30281822e-03,1.42942406e-02,8.87691081e-02,1.27246439e+00
3.60000014e-01,1.25495978e-02,1.90536454e-02,9.70297754e-02,1.32128537e+00
4.00000006e-01,1.65958796e-02,2.49167886e-02,1.07924603e-01,1.37094223e+00
4.39999998e-01,2.14706101e-02,3.19034159e-02,1.17549084e-01,1.41841269e+00
4.79999989e-01,2.70988774e-02,3.99795547e-02,1.30342424e-01,1.47090781e+00
5.19999981e-01,3.35050300e-02,4.92661186e-02,1.36990160e-01,1.52667272e+00
5.60000002e-01,4.04389091e-02,5.93926273e-02,1.45396858e-01,1.58779073e+00
6.00000024e-01,4.85412702e-02,7.12773651e-02,1.49147376e-01,1.64753985e+00
6.41029537e-01,5.80208823e-02,8.51158649e-02,1.57827467e-01,1.71392632e+00
6.83115125e-01,6.86824322e-02,1.00475505e-01,1.59338191e-01,1.77168906e+00
7.26283848e-01,8.10756236e-02,1.17793053e-01,1.63173020e-01,1.84969556e+00
7.70563781e-01,9.44918394e-02,1.35827422e-01,1.67135984e-01,1.91159010e+00
8.15983355e-01,1.06261201e-01,1.50771201e-01,1.73308834e-01,2.04165602e+00
8.62571895e-01,1.12025477e-01,1.57279551e-01,1.76141128e-01,2.09673834e+00
9.10359621e-01,1.12397350e-01,1.57524809e-01,1.81727767e-01,2.24113297e+00
9.59377348e-01,1.12189598e-01,1.57450184e-01,1.83093607e-01,2.30053067e+00
1.00965667e+00,1.12109683e-01,1.57929718e-01,1.86778620e-01,2.43551517e+00
