Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.14370747e+01
7.99999982e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.34975128e+01
1.19999997e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.39222488e+01
1.59999996e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.59142323e+01
2.00000003e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.72635479e+01
2.39999995e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.87037735e+01
2.80000001e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.05033913e+01
3.19999993e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.14745674e+01
3.60000014e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.39088821e+01
4.00000006e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.64528198e+01
4.39999998e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.04579391e+01
4.79999989e-01,0.00000000e+00,0.00000000e+00,2.80259693e-42,4.11175995e+01
5.19999981e-01,4.20389539e-42,5.60519386e-42,7.52497275e-40,4.52746811e+01
5.60000002e-01,1.12103877e-40,1.44333742e-40,5.69252367e-36,4.75945969e+01
6.00000024e-01,1.08208267e-38,1.35085172e-38,6.48577263e-34,4.80485306e+01
6.41029537e-01,2.25757568e-37,2.82008469e-37,2.22961750e-30,5.33609238e+01
6.83115125e-01,4.31590528e-36,5.58355512e-36,1.57276687e-28,5.28424835e+01
7.26283848e-01,2.28790988e-34,2.79323034e-34,1.71574375e-25,5.78266945e+01
7.70563781e-01,3.70509207e-33,4.89493774e-33,8.55800881e-24,5.95011902e+01
8.15983355e-01,1.46275520e-31,1.79263899e-31,5.62883442e-21,6.45024719e+01
8.62571895e-01,2.62122996e-30,3.38796506e-30,1.84043874e-19,6.92215195e+01
9.10359621e-01,5.19644186e-29,6.65949741e-29,4.95925350e-17,7.06887665e+01
9.59377348e-01,9.18759487e-28,1.14458296e-27,1.48454721e-15,7.55445709e+01
1.00965667e+00,7.41574010e-27,9.93055625e-27,1.61198935e-13,8.09890289e+01
1.06123006e+00,1.01475196e-25,1.36106622e-25,2.46431885e-11,8.35207062e+01
1.11413085e+00,1.14460946e-24,1.58662687e-24,2.74854117e-09,8.83119354e+01
1.16839325e+00,1.13217577e-23,1.59119429e-23,2.96521904e-07,9.25933151e+01
1.22405231e+00,1.18041385e-22,1.66069723e-22,2.57384563e-05,9.85213089e+01
1.28114390e+00,1.63986567e-21,2.25686658e-21,2.17885114e-04,1.00734482e+02
1.33970511e+00,2.11750062e-20,2.79829741e-20,1.42104574e-03,1.07523064e+02
1.39977336e+00,2.07218262e+04,2.90113906e+04,1.94384180e+04,1.25827649e+03
1.46138775e+00,2.60812617e+04,3.64732539e+04,2.20276055e+04,1.39866052e+03
1.52458799e+00,1.61367637e+04,2.25613594e+04,1.37636055e+04,1.02162512e+03
1.58941495e+00,1.55296992e+04,2.17233242e+04,1.36849561e+04,1.15966797e+03
1.65591037e+00,1.43579414e+04,2.00854531e+04,1.26964922e+04,1.11263879e+03
1.72411728e+00,1.27382178e+04,1.78200352e+04,1.12859531e+04,1.05129236e+03
1.79407966e+00,1.13869609e+04,1.59315840e+04,1.01782168e+04,1.03310010e+03
1.86584306e+00,1.05594678e+04,1.47766885e+04,9.57442871e+03,1.07157544e+03
1.93945324e+00,1.02657744e+04,1.43695215e+04,9.49096094e+03,1.17280273e+03
2.01495814e+00,1.06828340e+04,1.49584980e+04,1.01312188e+04,1.38176160e+03
2.09240627e+00,1.21262598e+04,1.69857578e+04,1.18171035e+04,1.74697510e+03
2.17184782e+00,1.44789902e+04,2.02867070e+04,1.44196074e+04,2.22462134e+03
2.25333428e+00,1.73405020e+04,2.42998770e+04,1.75248516e+04,2.75243579e+03
2.33691788e+00,2.03760859e+04,2.85557832e+04,2.07539336e+04,3.21212524e+03
2.42265272e+00,2.31776562e+04,3.24810195e+04,2.35871523e+04,3.47730151e+03
2.51059437e+00,2.50048770e+04,3.50366406e+04,2.51712617e+04,3.39995508e+03
2.60079956e+00,2.52272109e+04,3.53401094e+04,2.49238906e+04,3.03895825e+03
2.69332647e+00,2.40381074e+04,3.36651797e+04,2.32081914e+04,2.54607837e+03
2.78823495e+00,2.19399414e+04,3.07182812e+04,2.06888789e+04,2.10061450e+03
2.88558602e+00,1.94817773e+04,2.72699023e+04,1.79869160e+04,1.72791187e+03
2.98544264e+00,1.70601562e+04,2.38755586e+04,1.54899746e+04,1.46953760e+03
3.08786964e+00,1.48911475e+04,2.08373984e+04,1.33728418e+04,1.29184460e+03
3.19293284e+00,1.30593232e+04,1.82731641e+04,1.16731299e+04,1.17040796e+03
3.30070019e+00,1.15988711e+04,1.62300186e+04,1.03825352e+04,1.12306946e+03
3.41124129e+00,1.04785840e+04,1.46638398e+04,9.44450391e+03,1.07003174e+03
3.52462745e+00,9.69931055e+03,1.35755215e+04,8.84501758e+03,1.10463818e+03
3.64093208e+00,9.29241797e+03,1.30086680e+04,8.60077441e+03,1.11761182e+03
3.76023054e+00,9.23479883e+03,1.29308535e+04,8.68687891e+03,1.22844409e+03
3.88259912e+00,9.48528516e+03,1.32844238e+04,9.06692773e+03,1.31620337e+03
4.00811720e+00,1.00396768e+04,1.40635986e+04,9.74248047e+03,1.50538062e+03
4.13686609e+00,1.09578818e+04,1.53524258e+04,1.07809775e+04,1.68584546e+03
4.26892853e+00,1.22685879e+04,1.71910254e+04,1.22080107e+04,1.97043860e+03
4.40439081e+00,1.39368525e+04,1.95303672e+04,1.39875801e+04,2.23983276e+03
4.54333878e+00,1.60652930e+04,2.25142617e+04,1.62368633e+04,2.65203149e+03
4.68586397e+00,1.86711504e+04,2.61667539e+04,1.89827441e+04,3.10198413e+03
4.83205652e+00,2.14092617e+04,3.00035430e+04,2.18394141e+04,3.53639062e+03
4.98201227e+00,2.38204414e+04,3.33803203e+04,2.42640000e+04,3.78094702e+03
5.13582754e+00,2.53679746e+04,3.55443359e+04,2.56314512e+04,3.71159961e+03
5.29360199e+00,2.55345391e+04,3.57709609e+04,2.54120430e+04,3.35241577e+03
5.45543718e+00,2.43081699e+04,3.40453438e+04,2.37165898e+04,2.82812305e+03
5.62143755e+00,2.22756133e+04,3.11915020e+04,2.12803125e+04,2.35255322e+03
5.79171038e+00,2.00521445e+04,2.80725859e+04,1.88032539e+04,1.97233679e+03
5.96636629e+00,1.79522617e+04,2.51293320e+04,1.66109336e+04,1.73126453e+03
6.14551687e+00,1.62296797e+04,2.27164805e+04,1.49068320e+04,1.58209595e+03
6.32927942e+00,1.49393125e+04,2.09100625e+04,1.36927578e+04,1.51645593e+03
6.51777077e+00,1.39171445e+04,1.94801328e+04,1.27946836e+04,1.48197632e+03
6.71111441e+00,1.31849805e+04,1.84569805e+04,1.22113301e+04,1.50340137e+03
6.90943432e+00,1.28422822e+04,1.79790898e+04,1.19951094e+04,1.53294189e+03
7.11285782e+00,1.25798359e+04,1.76135547e+04,1.18621191e+04,1.58065356e+03
7.32151794e+00,1.25531562e+04,1.75786328e+04,1.19760430e+04,1.65641687e+03
7.53554821e+00,1.29181172e+04,1.80912617e+04,1.24208965e+04,1.75010962e+03
7.75508738e+00,1.30329902e+04,1.82535918e+04,1.26303047e+04,1.82695581e+03
7.98027754e+00,1.35543711e+04,1.89859629e+04,1.32642715e+04,1.95404797e+03
8.21126270e+00,1.45981328e+04,2.04490078e+04,1.43558857e+04,2.12320483e+03
8.44819450e+00,1.52883418e+04,2.14165000e+04,1.50860898e+04,2.24932373e+03
8.69122219e+00,1.61078066e+04,2.25652305e+04,1.59543799e+04,2.40721948e+03
