Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.77538147e-30,4.17292783e-30,2.46742764e-26,2.28273773e+00
7.99999982e-02,1.10074667e-27,1.81313362e-27,1.39105823e-23,2.55686355e+00
1.19999997e-01,1.50028365e-25,2.48612127e-25,1.54120631e-21,2.63790751e+00
1.59999996e-01,3.48197327e-24,5.83055299e-24,5.57037642e-20,2.95999312e+00
2.00000003e-01,4.72205070e-22,7.79948771e-22,4.53184299e-18,2.97651148e+00
2.39999995e-01,8.43341411e-21,1.40205078e-20,7.35858946e-17,3.32115531e+00
2.80000001e-01,1.22525973e-19,2.01660236e-19,9.19523509e-16,3.80161762e+00
3.19999993e-01,1.19655884e-18,1.97606355e-18,8.09571221e-15,3.83652020e+00
3.60000014e-01,1.05762842e-17,1.73417787e-17,6.48858679e-14,4.46669054e+00
4.00000006e-01,8.79240449e-17,1.44079285e-16,4.43703098e-13,4.67376804e+00
4.39999998e-01,5.44471084e-16,8.92432643e-16,2.56385690e-12,5.71563530e+00
4.79999989e-01,3.22169638e-15,5.26307479e-15,1.37284836e-11,5.63844156e+00
5.19999981e-01,1.95036485e-14,3.18503802e-14,6.75990375e-11,6.87669325e+00
5.60000002e-01,1.27981799e-13,2.07496211e-13,3.22250227e-10,6.71884346e+00
6.00000024e-01,5.74357890e-13,9.40254818e-13,1.46298440e-09,8.20309162e+00
6.41029537e-01,4.66886382e-12,7.52624005e-12,5.95155036e-09,7.70254278e+00
6.83115125e-01,1.62380717e-11,2.66526697e-11,2.30733388e-08,1.00817966e+01
7.26283848e-01,7.67902061e-11,1.23891175e-10,7.50140714e-08,9.07827568e+00
7.70563781e-01,2.88162078e-10,4.68553751e-10,1.31435468e-06,1.16691818e+01
8.15983355e-01,1.58245417e-09,2.54337418e-09,1.23657719e-05,1.02797451e+01
8.62571895e-01,4.07048928e-09,6.67306832e-09,1.51733664e-04,1.36995230e+01
9.10359621e-01,1.68481620e-08,2.70051039e-08,1.02770224e-03,1.12078552e+01
9.59377348e-01,4.28009415e-08,6.98234004e-08,2.15674005e-03,1.49062071e+01
1.00965667e+00,1.36646506e-07,2.20619086e-07,7.61185680e-03,1.28190422e+01
1.06123006e+00,4.18318450e-07,6.80536459e-07,1.61242951e-02,1.72357845e+01
1.11413085e+00,1.29633827e-06,2.17694515e-06,2.27365848e-02,1.46862736e+01
