Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,8.23251963e-01,1.16068041e+00,9.28394198e-02,8.14141083e+00
7.99999982e-02,1.89774275e+00,2.63868046e+00,1.30796447e-01,9.30733204e+00
1.19999997e-01,3.30600166e+00,4.49090672e+00,1.22400589e-01,9.73564148e+00
1.59999996e-01,4.67350769e+00,6.14989328e+00,1.02150038e-01,1.08511124e+01
2.00000003e-01,5.02954435e+00,6.43730974e+00,9.29418728e-02,1.16972752e+01
2.39999995e-01,5.16882181e+00,6.45315695e+00,9.41607952e-02,1.28096828e+01
2.80000001e-01,4.62579441e+00,5.66535139e+00,9.37290713e-02,1.44364367e+01
3.19999993e-01,4.06074476e+00,4.90988970e+00,1.01681605e-01,1.52437963e+01
3.60000014e-01,3.39678335e+00,4.08932161e+00,1.29902929e-01,1.83270836e+01
4.00000006e-01,3.00605917e+00,3.64237547e+00,1.92235574e-01,1.81574574e+01
4.39999998e-01,2.78637743e+00,3.43782401e+00,2.57046044e-01,2.25763664e+01
4.79999989e-01,3.10582924e+00,3.92066908e+00,3.39364976e-01,2.13488979e+01
5.19999981e-01,3.25812864e+00,4.15807295e+00,3.50393444e-01,2.67008228e+01
5.60000002e-01,3.74073696e+00,4.79768991e+00,3.41129452e-01,2.47851162e+01
6.00000024e-01,3.70155144e+00,4.74710083e+00,3.07036072e-01,3.02155781e+01
6.41029537e-01,3.80121851e+00,4.86659861e+00,2.83210546e-01,2.91217499e+01
6.83115125e-01,3.40783644e+00,4.35670471e+00,2.36318767e-01,3.39112625e+01
7.26283848e-01,3.29865980e+00,4.22189808e+00,2.14281112e-01,3.23105087e+01
7.70563781e-01,3.02299690e+00,3.86454320e+00,1.84789538e-01,4.18439713e+01
8.15983355e-01,2.89679432e+00,3.70004654e+00,1.66347668e-01,3.81027489e+01
8.62571895e-01,2.54932976e+00,3.25255823e+00,1.54016405e-01,4.76031723e+01
9.10359621e-01,2.46062946e+00,3.14024997e+00,1.69039309e-01,5.02932587e+01
9.59377348e-01,2.45314074e+00,3.15044188e+00,2.37434909e-01,5.44176979e+01
1.00965667e+00,2.76143885e+00,3.56957078e+00,3.84857655e-01,6.21953926e+01
1.06123006e+00,3.67893553e+00,4.84948921e+00,1.18488669e+00,6.18533897e+01
1.11413085e+00,6.37431622e+00,8.58861637e+00,3.34670281e+00,7.10295944e+01
1.16839325e+00,1.06594505e+01,1.45351992e+01,6.84112644e+00,7.22300644e+01
1.22405231e+00,1.66619110e+01,2.28664589e+01,1.15601406e+01,8.51464844e+01
1.28114390e+00,3.57383423e+01,4.93894196e+01,2.79972858e+01,8.74079285e+01
1.33970511e+00,4.37799187e+01,6.03718758e+01,3.33690033e+01,1.02608307e+02
1.39977336e+00,4.50718203e+04,6.31658516e+04,4.66219062e+04,8.39242578e+03
1.46138775e+00,6.37141328e+04,8.93252188e+04,6.78592891e+04,1.29131621e+04
1.52458799e+00,7.22041406e+04,1.01242422e+05,7.77234375e+04,1.91280176e+04
1.58941495e+00,8.47971406e+04,1.18920984e+05,9.25500703e+04,2.73644512e+04
1.65591037e+00,9.18000469e+04,1.28759812e+05,1.01327734e+05,3.49029258e+04
1.72411728e+00,1.07632734e+05,1.50957188e+05,1.18128109e+05,2.56256113e+04
1.79407966e+00,1.21793500e+05,1.70794531e+05,1.32173078e+05,2.73246035e+04
1.86584306e+00,1.37322125e+05,1.92573719e+05,1.49369031e+05,3.55929727e+04
1.93945324e+00,1.54918891e+05,2.17257266e+05,1.69087594e+05,4.16718906e+04
2.01495814e+00,1.72271500e+05,2.41591922e+05,1.88166562e+05,4.80136719e+04
2.09240627e+00,1.87827062e+05,2.63407844e+05,2.05257750e+05,5.33444688e+04
2.17184782e+00,2.02180703e+05,2.83528250e+05,2.20287188e+05,5.45722969e+04
2.25333428e+00,2.14454719e+05,3.00717375e+05,2.32082656e+05,5.34621250e+04
2.33691788e+00,2.23821859e+05,3.13824875e+05,2.40438250e+05,5.22577695e+04
2.42265272e+00,2.30345719e+05,3.22945844e+05,2.45791875e+05,5.08154648e+04
2.51059437e+00,2.34515125e+05,3.28768125e+05,2.48780156e+05,4.90297930e+04
2.60079956e+00,2.36986438e+05,3.32213125e+05,2.50170016e+05,4.71724414e+04
2.69332647e+00,2.38825703e+05,3.34774750e+05,2.51042125e+05,4.53673984e+04
2.78823495e+00,2.41132672e+05,3.37993312e+05,2.52457844e+05,4.36208359e+04
2.88558602e+00,2.43990312e+05,3.41979625e+05,2.54155250e+05,4.17335078e+04
2.98544264e+00,2.46741844e+05,3.45810312e+05,2.55296328e+05,4.02284453e+04
3.08786964e+00,2.48561219e+05,3.48327938e+05,2.55067969e+05,3.99200039e+04
3.19293284e+00,2.48035375e+05,3.47559906e+05,2.52656062e+05,4.13636875e+04
3.30070019e+00,2.44632625e+05,3.42774938e+05,2.48464203e+05,4.37261367e+04
3.41124129e+00,2.39663125e+05,3.35827719e+05,2.44781312e+05,4.57538359e+04
3.52462745e+00,2.34744594e+05,3.28977531e+05,2.42438688e+05,4.57998984e+04
3.64093208e+00,2.30197438e+05,3.22637125e+05,2.39526781e+05,4.47283438e+04
3.76023054e+00,2.25027062e+05,3.15398750e+05,2.34449766e+05,4.42928281e+04
3.88259912e+00,2.17843766e+05,3.05340812e+05,2.27533953e+05,4.43952383e+04
4.00811720e+00,2.08725312e+05,2.92576062e+05,2.18976500e+05,4.39246211e+04
4.13686609e+00,1.98550109e+05,2.78327406e+05,2.09124047e+05,4.28864375e+04
4.26892853e+00,1.88530078e+05,2.64290406e+05,1.99116406e+05,4.14222500e+04
4.40439081e+00,1.79244922e+05,2.51273156e+05,1.89251406e+05,3.91863945e+04
4.54333878e+00,1.70303000e+05,2.38729625e+05,1.79299688e+05,3.69510547e+04
4.68586397e+00,1.61581250e+05,2.26500062e+05,1.69993969e+05,3.53016172e+04
4.83205652e+00,1.56599188e+05,2.19522469e+05,1.65135250e+05,3.43231797e+04
4.98201227e+00,1.59938875e+05,2.24195906e+05,1.68013625e+05,3.39614141e+04
5.13582754e+00,1.64631000e+05,2.30761906e+05,1.72319453e+05,3.48256133e+04
5.29360199e+00,1.69610172e+05,2.37761344e+05,1.78874109e+05,3.80750117e+04
5.45543718e+00,1.91658125e+05,2.68684281e+05,2.02778938e+05,4.24408398e+04
5.62143755e+00,2.19846125e+05,3.08158438e+05,2.29959234e+05,4.51224531e+04
5.79171038e+00,2.35141531e+05,3.29565188e+05,2.43919047e+05,4.58731172e+04
5.96636629e+00,2.36424000e+05,3.31360469e+05,2.44577703e+05,4.44383477e+04
6.14551687e+00,2.31282422e+05,3.24142969e+05,2.38686656e+05,4.16508750e+04
6.32927942e+00,2.14411328e+05,3.00467531e+05,2.19884547e+05,3.60064023e+04
6.51777077e+00,1.75207500e+05,2.45503594e+05,1.78479859e+05,2.77515586e+04
6.71111441e+00,1.38135953e+05,1.93553188e+05,1.40576562e+05,2.19608242e+04
6.90943432e+00,1.34876406e+05,1.88971766e+05,1.36298312e+05,2.11432480e+04
7.11285782e+00,1.39826469e+05,1.95856641e+05,1.38344938e+05,1.97425586e+04
7.32151794e+00,1.04789898e+05,1.46744125e+05,1.01967125e+05,1.37706865e+04
7.53554821e+00,5.65875664e+04,7.92397344e+04,5.50759375e+04,7.92072119e+03
7.75508738e+00,3.24039727e+04,4.53838750e+04,3.19934980e+04,5.40637842e+03
7.98027754e+00,2.38281699e+04,3.33805781e+04,2.39009609e+04,4.68603418e+03
8.21126270e+00,2.13780625e+04,2.99522285e+04,2.16420762e+04,4.61894434e+03
8.44819450e+00,2.06708125e+04,2.89636133e+04,2.10632109e+04,4.76658594e+03
