Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,6.32657605e-30,1.77806472e-29,8.27266052e-02,4.89176216e+01
7.99999982e-02,3.80724765e-27,1.04311062e-26,1.15879335e-01,4.88140678e+01
1.19999997e-01,3.61926672e-25,1.05143977e-24,1.17669508e-01,4.88473129e+01
1.59999996e-01,1.18921476e-23,3.46679503e-23,1.38756499e-01,4.91885986e+01
2.00000003e-01,9.07684007e-22,2.73034730e-21,1.59994856e-01,4.94549484e+01
2.39999995e-01,1.61029496e-20,4.98466630e-20,1.90632716e-01,4.98896141e+01
2.80000001e-01,1.82490079e-19,5.74277637e-19,2.37536073e-01,5.04930191e+01
3.19999993e-01,1.67578045e-18,5.26440655e-18,2.50762075e-01,5.13509254e+01
3.60000014e-01,1.19495603e-17,3.81201586e-17,3.15582633e-01,5.26545982e+01
4.00000006e-01,9.42355190e-17,3.00634492e-16,4.85158056e-01,5.47755203e+01
4.39999998e-01,4.97353818e-16,1.62685319e-15,8.13707054e-01,5.78124352e+01
4.79999989e-01,2.61478393e-15,8.71534222e-15,5.36630392e-01,5.93366623e+01
5.19999981e-01,1.53119162e-14,5.10167267e-14,1.29462433e+00,6.11349640e+01
5.60000002e-01,8.32359220e-14,2.85483253e-13,5.04521191e-01,6.26279335e+01
6.00000024e-01,3.71175204e-13,1.31175626e-12,1.63218439e+00,6.42381744e+01
6.41029537e-01,2.61638302e-12,9.01653231e-12,6.60614073e-01,6.46241302e+01
6.83115125e-01,8.98397849e-12,3.35659972e-11,1.76143980e+00,6.67455826e+01
7.26283848e-01,4.25116747e-11,1.46394841e-10,9.80960071e-01,6.71155243e+01
7.70563781e-01,1.47041546e-10,5.33809885e-10,2.19657612e+00,6.89645920e+01
8.15983355e-01,7.31405714e-10,2.53582799e-09,1.54646909e+00,7.17910309e+01
8.62571895e-01,1.91963134e-09,7.28723304e-09,2.29435301e+00,7.23256912e+01
9.10359621e-01,7.68601449e-09,2.67885554e-08,1.86377835e+00,7.56511459e+01
9.59377348e-01,2.02309618e-08,7.76251667e-08,2.16294026e+00,7.63473587e+01
1.00965667e+00,7.82348479e-08,3.08944664e-07,2.04792690e+00,8.01050873e+01
1.06123006e+00,3.24333257e-07,1.62150889e-06,2.18068099e+00,8.28978958e+01
1.11413085e+00,1.70957389e-06,1.64290395e-05,2.54000425e+00,8.94412003e+01
1.16839325e+00,1.00977641e-05,7.10163586e-05,2.17865419e+00,9.03131409e+01
1.22405231e+00,3.03736451e-05,1.51343105e-04,2.89949036e+00,9.73836594e+01
1.28114390e+00,5.32858103e-05,1.81849638e-04,2.55534768e+00,1.01010307e+02
1.33970511e+00,6.89372609e-05,2.23424053e-04,3.06249309e+00,1.04186325e+02
1.39977336e+00,2.12725957e+04,2.97632109e+04,1.85987012e+04,6.01003723e+02
1.46138775e+00,2.62944297e+04,3.67171758e+04,1.93016719e+04,8.49962280e+02
1.52458799e+00,1.57140117e+04,2.19314746e+04,1.17359697e+04,7.15511719e+02
1.58941495e+00,1.37608467e+04,1.92238633e+04,1.09886133e+04,8.81663513e+02
1.65591037e+00,1.29459062e+04,1.80963398e+04,1.08218379e+04,1.01493890e+03
1.72411728e+00,1.30443066e+04,1.82445117e+04,1.13890918e+04,1.21085059e+03
1.79407966e+00,1.40078779e+04,1.96028867e+04,1.27342090e+04,1.45997852e+03
1.86584306e+00,1.56769609e+04,2.19478672e+04,1.46870859e+04,1.72564124e+03
1.93945324e+00,1.76687266e+04,2.47418203e+04,1.67884648e+04,1.91935498e+03
2.01495814e+00,1.93944336e+04,2.71585059e+04,1.83782246e+04,1.98241577e+03
2.09240627e+00,2.03807539e+04,2.85347812e+04,1.89953828e+04,1.89323645e+03
2.17184782e+00,2.03630605e+04,2.85017188e+04,1.84971426e+04,1.70283948e+03
2.25333428e+00,1.93939375e+04,2.71359414e+04,1.71056250e+04,1.48933655e+03
2.33691788e+00,1.77836445e+04,2.48744277e+04,1.52469316e+04,1.27741211e+03
2.42265272e+00,1.58780684e+04,2.22027773e+04,1.33009355e+04,1.13463062e+03
2.51059437e+00,1.39739229e+04,1.95364766e+04,1.15327539e+04,1.00510620e+03
2.60079956e+00,1.22803701e+04,1.71676289e+04,1.00858770e+04,9.75615723e+02
2.69332647e+00,1.09091504e+04,1.52516523e+04,9.00523438e+03,8.98286865e+02
2.78823495e+00,9.90060840e+03,1.38440664e+04,8.27926562e+03,9.22569397e+02
2.88558602e+00,9.24103906e+03,1.29250693e+04,7.87267529e+03,9.24621338e+02
2.98544264e+00,8.91801953e+03,1.24773203e+04,7.78177246e+03,9.95740051e+02
3.08786964e+00,8.97559180e+03,1.25626953e+04,8.05878809e+03,1.06824927e+03
3.19293284e+00,9.49431445e+03,1.32939531e+04,8.78380957e+03,1.24829749e+03
3.30070019e+00,1.05426914e+04,1.47669863e+04,1.00265928e+04,1.44645996e+03
3.41124129e+00,1.21735879e+04,1.70558789e+04,1.18491885e+04,1.78529163e+03
3.52462745e+00,1.44158389e+04,2.02008535e+04,1.42810410e+04,2.14101685e+03
3.64093208e+00,1.72170508e+04,2.41280430e+04,1.72616191e+04,2.63232959e+03
3.76023054e+00,2.03501523e+04,2.85185508e+04,2.05338359e+04,3.03180518e+03
3.88259912e+00,2.32862852e+04,3.26303047e+04,2.34789688e+04,3.33526587e+03
4.00811720e+00,2.53028770e+04,3.54497734e+04,2.52390352e+04,3.22728491e+03
4.13686609e+00,2.58924902e+04,3.62661641e+04,2.52700723e+04,2.90391772e+03
4.26892853e+00,2.50686680e+04,3.51003906e+04,2.37268203e+04,2.35318799e+03
4.40439081e+00,2.32546836e+04,3.25486602e+04,2.12753945e+04,1.92169873e+03
4.54333878e+00,2.10268301e+04,2.94205078e+04,1.86390332e+04,1.52862219e+03
4.68586397e+00,1.87667969e+04,2.62508828e+04,1.62112051e+04,1.31040918e+03
4.83205652e+00,1.66944297e+04,2.33475977e+04,1.41816465e+04,1.13006848e+03
4.98201227e+00,1.50413867e+04,2.10336484e+04,1.26784600e+04,1.06128418e+03
5.13582754e+00,1.37283047e+04,1.91972246e+04,1.15852061e+04,1.01148450e+03
5.29360199e+00,1.27987910e+04,1.78988984e+04,1.09033975e+04,1.03263184e+03
5.45543718e+00,1.21938477e+04,1.70550586e+04,1.05335791e+04,1.04220996e+03
5.62143755e+00,1.18552305e+04,1.65846914e+04,1.04365420e+04,1.11375439e+03
5.79171038e+00,1.17877637e+04,1.64930332e+04,1.05570664e+04,1.17171387e+03
5.96636629e+00,1.15884941e+04,1.62173066e+04,1.05836885e+04,1.24125208e+03
6.14551687e+00,1.16590039e+04,1.63192275e+04,1.08410283e+04,1.30443555e+03
6.32927942e+00,1.14707930e+04,1.60581895e+04,1.08490107e+04,1.36576111e+03
6.51777077e+00,1.13640000e+04,1.59144307e+04,1.10527090e+04,1.43549219e+03
6.71111441e+00,1.21525576e+04,1.70195039e+04,1.18755479e+04,1.52479431e+03
6.90943432e+00,1.25839873e+04,1.76257285e+04,1.24800098e+04,1.65572925e+03
7.11285782e+00,1.43574443e+04,2.01165254e+04,1.45986035e+04,1.98534216e+03
7.32151794e+00,1.85198418e+04,2.59490039e+04,1.88514492e+04,2.44604956e+03
7.53554821e+00,2.16535000e+04,3.03328398e+04,2.17675391e+04,2.60869482e+03
7.75508738e+00,2.18129922e+04,3.05482852e+04,2.16355410e+04,2.34983032e+03
7.98027754e+00,2.11459180e+04,2.96031953e+04,2.05442383e+04,2.00272400e+03
8.21126270e+00,2.00586719e+04,2.80718203e+04,1.91663652e+04,1.72772974e+03
8.44819450e+00,1.93547930e+04,2.70847930e+04,1.84585938e+04,1.65306726e+03
8.69122219e+00,2.25113145e+04,3.14965918e+04,2.10231094e+04,1.85909753e+03
8.94050789e+00,1.97551953e+04,2.76424121e+04,1.88087383e+04,1.71750940e+03
9.19620800e+00,1.55729062e+04,2.18025645e+04,1.57617637e+04,1.49826941e+03
9.45849037e+00,1.48432686e+04,2.07846426e+04,1.53822871e+04,1.45051855e+03
9.72752285e+00,1.63947012e+04,2.29681855e+04,1.73780762e+04,1.71876123e+03
1.00034800e+01,1.91178574e+04,2.67777695e+04,1.99467891e+04,1.94506750e+03
1.02865391e+01,1.85899551e+04,2.60211855e+04,1.90231934e+04,1.70414490e+03
1.05768833e+01,1.49543838e+04,2.09191895e+04,1.53544707e+04,1.26139136e+03
1.08747025e+01,1.20878027e+04,1.69038320e+04,1.26051504e+04,9.91653931e+02
1.11801853e+01,8.69991211e+03,1.21684561e+04,9.63747266e+03,7.52133118e+02
