Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.81076742e-30,2.85153940e-30,1.39100675e-26,7.53371000e-01
7.99999982e-02,8.91377771e-28,1.37641851e-27,5.44502720e-24,8.58645439e-01
1.19999997e-01,7.97686225e-26,1.28531523e-25,5.10545729e-22,8.99397552e-01
1.59999996e-01,2.06832387e-24,3.27328386e-24,1.83665083e-20,9.81167972e-01
2.00000003e-01,1.87496359e-22,3.08174382e-22,1.46728378e-18,1.06319785e+00
2.39999995e-01,3.12035206e-21,5.18338473e-21,2.35112639e-17,1.19868851e+00
2.80000001e-01,4.27326351e-20,7.23751306e-20,2.78749305e-16,1.25241959e+00
3.19999993e-01,3.46609279e-19,5.92500012e-19,2.28060148e-15,1.35857916e+00
3.60000014e-01,2.94770340e-18,5.06308030e-18,1.79272795e-14,1.65598559e+00
4.00000006e-01,2.19155002e-17,3.80281000e-17,1.20901783e-13,1.79870009e+00
4.39999998e-01,1.09088195e-16,1.89744353e-16,6.62680035e-13,2.34152126e+00
4.79999989e-01,6.34298081e-16,1.10667946e-15,3.58260708e-12,2.36504579e+00
5.19999981e-01,3.49655052e-15,6.14542817e-15,1.89404083e-11,3.08152246e+00
5.60000002e-01,2.19866578e-14,3.84924534e-14,9.16767148e-11,3.05587435e+00
6.00000024e-01,9.28396493e-14,1.65046904e-13,4.72584916e-10,3.83882380e+00
6.41029537e-01,6.94121464e-13,1.21071230e-12,2.10239781e-09,3.86145949e+00
6.83115125e-01,2.27901855e-12,4.08446844e-12,1.05098215e-08,4.56674719e+00
7.26283848e-01,9.88146197e-12,1.72701436e-11,4.49677913e-08,4.10146856e+00
7.70563781e-01,3.37998587e-11,5.97665459e-11,4.72738776e-07,5.05651569e+00
8.15983355e-01,1.69467190e-10,2.93371882e-10,1.09727143e-05,4.67810345e+00
8.62571895e-01,4.10201539e-10,7.31530170e-10,1.19150965e-04,5.18366861e+00
9.10359621e-01,1.53366098e-09,2.63634847e-09,3.43179941e-04,5.67287779e+00
9.59377348e-01,3.76249343e-09,6.59301547e-09,1.63600524e-03,5.99256849e+00
1.00965667e+00,1.29618183e-08,2.22631762e-08,5.65781724e-03,6.90344715e+00
1.06123006e+00,4.97999615e-08,8.48393853e-08,1.39616551e-02,7.11512947e+00
1.11413085e+00,2.61518437e-07,4.48780128e-07,2.42695361e-02,7.97863388e+00
1.16839325e+00,1.98810994e-06,4.73201499e-06,4.73393761e-02,8.66716099e+00
1.22405231e+00,7.30349393e-06,1.58709827e-05,3.95630077e-02,9.39714336e+00
1.28114390e+00,9.55584346e-06,1.83342909e-05,5.41944392e-02,1.06479321e+01
1.33970511e+00,1.28948550e-05,2.27843884e-05,3.71871628e-02,1.11836147e+01
1.39977336e+00,1.99236016e+04,2.79073145e+04,1.96531562e+04,1.59128345e+03
1.46138775e+00,2.16424922e+04,3.02998535e+04,2.03950430e+04,1.36218677e+03
1.52458799e+00,1.21687441e+04,1.70343418e+04,1.14155117e+04,8.18356140e+02
1.58941495e+00,1.07475391e+04,1.50482246e+04,1.02624961e+04,8.54918823e+02
1.65591037e+00,1.02699756e+04,1.43813438e+04,9.90225781e+03,9.01550476e+02
1.72411728e+00,1.00679102e+04,1.40995684e+04,9.77207422e+03,9.40532227e+02
1.79407966e+00,9.95357227e+03,1.39402852e+04,9.70783301e+03,9.79936890e+02
1.86584306e+00,9.88425977e+03,1.38438672e+04,9.67628906e+03,1.00623389e+03
1.93945324e+00,9.83467285e+03,1.37749365e+04,9.65654492e+03,1.03722546e+03
2.01495814e+00,9.80273730e+03,1.37306445e+04,9.64918848e+03,1.05726440e+03
2.09240627e+00,9.79521680e+03,1.37204902e+04,9.66259570e+03,1.08451257e+03
2.17184782e+00,9.80483398e+03,1.37342832e+04,9.68986719e+03,1.10399658e+03
2.25333428e+00,9.83937305e+03,1.37829570e+04,9.74003906e+03,1.12923938e+03
2.33691788e+00,9.89852539e+03,1.38660635e+04,9.81250391e+03,1.15274500e+03
2.42265272e+00,9.96983398e+03,1.39661631e+04,9.89491797e+03,1.17754761e+03
2.51059437e+00,1.00442637e+04,1.40706016e+04,9.97848730e+03,1.19876929e+03
2.60079956e+00,1.00985488e+04,1.41467676e+04,1.00396514e+04,1.21878381e+03
2.69332647e+00,1.01138604e+04,1.41683008e+04,1.00599443e+04,1.22791199e+03
2.78823495e+00,1.00858438e+04,1.41291143e+04,1.00356797e+04,1.23579419e+03
2.88558602e+00,1.00222520e+04,1.40400820e+04,9.97518848e+03,1.23338843e+03
2.98544264e+00,9.93276758e+03,1.39147695e+04,9.88847461e+03,1.23539502e+03
3.08786964e+00,9.83714551e+03,1.37808730e+04,9.79597949e+03,1.23088611e+03
3.19293284e+00,9.75128613e+03,1.36606621e+04,9.71365430e+03,1.23169446e+03
3.30070019e+00,9.68699316e+03,1.35706719e+04,9.65334766e+03,1.23212427e+03
3.41124129e+00,9.65845801e+03,1.35307881e+04,9.62950391e+03,1.24088184e+03
3.52462745e+00,9.67464648e+03,1.35535664e+04,9.65081055e+03,1.25138684e+03
3.64093208e+00,9.72248828e+03,1.36206758e+04,9.70363770e+03,1.26869910e+03
3.76023054e+00,9.78483105e+03,1.37080977e+04,9.77077734e+03,1.28669165e+03
3.88259912e+00,9.85450977e+03,1.38057832e+04,9.84495215e+03,1.30410669e+03
4.00811720e+00,9.91987207e+03,1.38974131e+04,9.91438672e+03,1.32267603e+03
4.13686609e+00,9.97636328e+03,1.39766074e+04,9.97448535e+03,1.33983435e+03
4.26892853e+00,1.00222402e+04,1.40409199e+04,1.00233125e+04,1.35335083e+03
4.40439081e+00,1.00612148e+04,1.40955547e+04,1.00647510e+04,1.36760107e+03
4.54333878e+00,1.01007002e+04,1.41509004e+04,1.01062920e+04,1.38077686e+03
4.68586397e+00,1.01402891e+04,1.42063818e+04,1.01473652e+04,1.39381982e+03
4.83205652e+00,1.01919688e+04,1.42787988e+04,1.02002285e+04,1.40590076e+03
4.98201227e+00,1.02615684e+04,1.43763047e+04,1.02703633e+04,1.42017358e+03
5.13582754e+00,1.03259531e+04,1.44665020e+04,1.03347168e+04,1.43105481e+03
5.29360199e+00,1.03930586e+04,1.45604932e+04,1.04011514e+04,1.44248694e+03
5.45543718e+00,1.04369736e+04,1.46219902e+04,1.04440840e+04,1.44803796e+03
5.62143755e+00,1.04294707e+04,1.46114414e+04,1.04350254e+04,1.44819739e+03
5.79171038e+00,1.03082354e+04,1.44415781e+04,1.03129746e+04,1.43161426e+03
5.96636629e+00,1.01856748e+04,1.42698965e+04,1.01909746e+04,1.41743457e+03
6.14551687e+00,9.98749316e+03,1.39922529e+04,9.99251758e+03,1.39164722e+03
6.32927942e+00,9.83697363e+03,1.37815049e+04,9.84755371e+03,1.37692358e+03
6.51777077e+00,9.98072461e+03,1.39829346e+04,9.99418262e+03,1.39600000e+03
6.71111441e+00,1.01265420e+04,1.41873154e+04,1.01469033e+04,1.42003381e+03
6.90943432e+00,1.06513008e+04,1.49225078e+04,1.06746182e+04,1.48942212e+03
7.11285782e+00,1.10567520e+04,1.54904121e+04,1.10773242e+04,1.53945667e+03
7.32151794e+00,1.15952471e+04,1.62448467e+04,1.16199619e+04,1.61397327e+03
7.53554821e+00,1.13244092e+04,1.58656641e+04,1.13584570e+04,1.58898572e+03
7.75508738e+00,1.14406367e+04,1.60291084e+04,1.14960000e+04,1.62068579e+03
7.98027754e+00,1.08448447e+04,1.51941963e+04,1.08874141e+04,1.53469263e+03
8.21126270e+00,1.00262754e+04,1.40488887e+04,1.01357344e+04,1.48728320e+03
8.44819450e+00,1.26584082e+04,1.77371895e+04,1.28015166e+04,1.84151672e+03
8.69122219e+00,1.44899639e+04,2.03018496e+04,1.45759248e+04,2.01701062e+03
8.94050789e+00,1.27761484e+04,1.78998418e+04,1.28211182e+04,1.76758643e+03
9.19620800e+00,1.13690645e+04,1.59288730e+04,1.14244385e+04,1.59486377e+03
9.45849037e+00,1.04656924e+04,1.46633008e+04,1.05216934e+04,1.47653540e+03
9.72752285e+00,9.88699805e+03,1.38524746e+04,9.94477441e+03,1.39643347e+03
1.00034800e+01,9.61463965e+03,1.34709199e+04,9.68475586e+03,1.36441479e+03
1.02865391e+01,9.41924414e+03,1.31978643e+04,9.53585059e+03,1.36277856e+03
1.05768833e+01,9.52543359e+03,1.33471104e+04,9.67745605e+03,1.38085413e+03
1.08747025e+01,9.37411426e+03,1.31348545e+04,9.52036719e+03,1.33656787e+03
1.11801853e+01,9.40876465e+03,1.31833174e+04,9.54970410e+03,1.32287024e+03
1.14935322e+01,9.67291211e+03,1.35531035e+04,9.81065820e+03,1.33191455e+03
1.18149433e+01,9.32766699e+03,1.30693506e+04,9.51310156e+03,1.27250220e+03
1.21446266e+01,9.16468652e+03,1.28417178e+04,9.46250977e+03,1.24761230e+03
1.24827967e+01,8.30520117e+03,1.16392559e+04,8.75642383e+03,1.14130908e+03
1.28296700e+01,6.47647656e+03,9.08064355e+03,7.12861377e+03,9.21612000e+02
1.31854706e+01,5.36678613e+03,7.52987793e+03,6.19743506e+03,7.74942932e+02
1.35504293e+01,4.54247266e+03,6.37909961e+03,5.50868506e+03,6.55974731e+02
1.39247818e+01,4.01067554e+03,5.63838770e+03,5.09972705e+03,5.64336060e+02
1.43087692e+01,4.24427051e+03,5.96544531e+03,5.49434082e+03,5.52184753e+02
1.47026405e+01,4.43137207e+03,6.22610205e+03,6.13895996e+03,5.49170227e+02
1.51066484e+01,4.59023145e+03,6.46336426e+03,6.63813477e+03,5.28262329e+02
1.55210552e+01,5.07160352e+03,7.15179980e+03,6.88369385e+03,5.30385986e+02
1.59461288e+01,6.00323877e+03,8.46095117e+03,7.59330762e+03,5.74276245e+02
1.63821430e+01,8.31407031e+03,1.16965625e+04,9.31386523e+03,7.35105530e+02
1.68293781e+01,1.08782217e+04,1.52744541e+04,1.11225840e+04,9.20589905e+02
1.72881241e+01,1.22268232e+04,1.71421738e+04,1.17280986e+04,9.64914124e+02
1.77586803e+01,1.34775391e+04,1.88745879e+04,1.23252998e+04,9.63664673e+02
1.82413464e+01,1.44059473e+04,2.01547949e+04,1.25113203e+04,9.04400024e+02
1.87364349e+01,1.38470449e+04,1.93587227e+04,1.13801904e+04,8.01824341e+02
1.92442665e+01,1.19213574e+04,1.66492734e+04,9.12257715e+03,6.68576050e+02
1.97651691e+01,9.82482812e+03,1.36995938e+04,6.99314355e+03,5.50401550e+02
2.02994785e+01,8.17203711e+03,1.13824746e+04,5.66336670e+03,4.77601410e+02
2.08475418e+01,7.28349316e+03,1.01423301e+04,5.04477246e+03,4.59137085e+02
2.14097099e+01,7.07547119e+03,9.85641406e+03,5.11639502e+03,4.65413483e+02
2.19863453e+01,6.73296240e+03,9.38188086e+03,5.01561328e+03,4.50296509e+02
2.25778236e+01,5.84184814e+03,8.14193018e+03,4.47777441e+03,3.97503876e+02
2.31845264e+01,4.85680127e+03,6.77151807e+03,3.89522388e+03,3.41988983e+02
2.38068466e+01,4.09506567e+03,5.71257422e+03,3.32118628e+03,2.62201385e+02
2.44451809e+01,3.20606396e+03,4.47235693e+03,2.57181689e+03,1.90929916e+02
2.50999470e+01,2.40840552e+03,3.35997290e+03,1.92237793e+03,9.84801559e+01
2.57715645e+01,1.44935303e+03,2.02013892e+03,1.04456433e+03,2.78994656e+01
2.64604683e+01,5.06250458e+02,7.02718262e+02,2.65367279e+02,1.39272833e+00
2.71671047e+01,1.53456772e+02,2.11734863e+02,4.50487976e+01,6.08703941e-02
2.78919277e+01,9.03336105e+01,1.24351280e+02,2.37268810e+01,2.07579024e-02
2.86354065e+01,6.51350555e+01,8.95987778e+01,1.74636898e+01,7.96066877e-03
2.93980217e+01,4.38093109e+01,6.01715508e+01,1.06403093e+01,3.17128212e-03
3.01802654e+01,2.32890530e+01,3.19226360e+01,5.34430504e+00,9.69596382e-04
3.09826431e+01,8.69989395e+00,1.18830271e+01,1.83208406e+00,1.35655515e-04
3.18056717e+01,3.22548628e+00,4.39909649e+00,6.77271783e-01,1.38646956e-05
3.26498833e+01,9.54671204e-01,1.29133022e+00,1.01975001e-01,2.96512530e-06
3.35158234e+01,2.08590701e-01,2.79018700e-01,1.08980397e-02,8.59493241e-07
3.44040565e+01,5.58324717e-02,7.46629834e-02,2.77129374e-03,1.92770372e-07
3.53151436e+01,1.33135887e-02,1.77905485e-02,4.32908069e-04,3.69430424e-08
3.62496834e+01,2.68469658e-03,3.56794754e-03,8.03619769e-05,6.22034335e-09
3.72082787e+01,4.46509919e-04,5.88615483e-04,5.38043014e-06,1.51731316e-09
3.81915474e+01,5.22601258e-05,6.80524463e-05,1.03665582e-06,3.98924171e-10
3.92001228e+01,7.58547230e-06,9.86024861e-06,1.96539773e-07,8.73900188e-11
4.02346535e+01,6.87257568e-07,8.95148048e-07,2.96358120e-08,1.31899032e-11
4.12958107e+01,1.77992252e-08,2.31659953e-08,2.72112777e-09,9.04879470e-13
4.23842850e+01,2.43779941e-10,3.17941146e-10,1.41683915e-10,2.83212344e-14
4.35007744e+01,3.86266331e-11,4.97625274e-11,9.49356479e-12,2.17524287e-15
4.46459999e+01,2.64958910e-12,3.43926992e-12,6.43413925e-13,1.24993939e-16
4.58207016e+01,2.11469094e-14,2.82700024e-14,3.36704982e-14,6.01011152e-18
4.70256386e+01,6.08705034e-16,8.42723297e-16,1.12363960e-15,1.84312475e-19
4.82615852e+01,1.47929159e-17,1.79662272e-17,2.38451223e-17,3.68790519e-21
4.95293465e+01,8.08728540e-19,1.12897560e-18,3.19192455e-19,6.34800914e-23
5.08297386e+01,9.95267106e-21,1.29486635e-20,1.19952611e-20,1.74201531e-24
5.21635971e+01,3.02680224e-22,3.99647259e-22,2.10226774e-22,1.59757014e-26
5.35317917e+01,3.48959179e-25,4.82763005e-25,7.93191702e-25,3.28554199e-29
5.49351997e+01,6.63429618e-26,8.59377182e-26,9.08427952e-27,6.39260535e-31
5.63747253e+01,1.29398599e-28,1.76282715e-28,7.16782303e-28,1.23967473e-32
5.78513031e+01,3.58789103e-29,4.56322197e-29,1.17597388e-29,1.01350636e-33
5.93278885e+01,5.76727504e-32,1.61124270e-31,1.18914513e-30,9.12310321e-36
6.08044662e+01,2.97276967e-32,3.86642368e-32,3.45169898e-32,6.38742691e-37
6.22810478e+01,2.55878189e-34,3.48361723e-34,1.23594837e-33,3.40011059e-38
6.37576256e+01,3.00213996e-35,4.19772419e-35,6.00636345e-35,7.67911558e-40
6.52341995e+01,5.78668959e-37,9.52616776e-37,1.03869713e-36,5.60519386e-42
6.67107849e+01,4.54104780e-38,6.85164884e-38,8.56039219e-38,0.00000000e+00
6.81873703e+01,1.29900368e-39,2.14538795e-39,1.66193998e-39,0.00000000e+00
6.96639481e+01,3.92363570e-41,7.28675201e-41,9.24856986e-41,0.00000000e+00
7.11405258e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.26171036e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.40936813e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.55702591e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.70468445e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.85234222e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.00000000e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
