Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.41199417e-08,2.03373318e-08,1.09209868e-08,2.25027723e-16
7.99999982e-02,8.19789493e-05,1.18894386e-04,6.74761031e-05,1.11033459e-12
1.19999997e-01,1.59006175e-02,2.19604727e-02,3.61489528e-03,2.33114389e-10
1.59999996e-01,3.52814645e-01,4.71548647e-01,3.26736569e-02,5.83968784e-09
2.00000003e-01,1.25837195e+00,1.66605890e+00,9.12960246e-02,3.18132720e-08
2.39999995e-01,2.57644796e+00,3.39947176e+00,1.75234646e-01,1.14265632e-07
2.80000001e-01,4.08644485e+00,5.37881947e+00,2.60316461e-01,7.96899258e-06
3.19999993e-01,6.05492163e+00,7.95949554e+00,3.68745416e-01,7.65044679e-05
3.60000014e-01,8.41182232e+00,1.10585699e+01,5.24552047e-01,1.11013520e-04
4.00000006e-01,1.08202085e+01,1.42229195e+01,6.33604348e-01,2.80652224e-04
4.39999998e-01,1.40567598e+01,1.84666386e+01,7.65964925e-01,6.20030507e-04
4.79999989e-01,1.74071770e+01,2.28488388e+01,9.03291225e-01,7.81482027e-04
5.19999981e-01,2.06727734e+01,2.70359898e+01,9.58195865e-01,1.06081599e-03
5.60000002e-01,2.53608990e+01,3.30432968e+01,1.07120061e+00,1.36430305e-03
6.00000024e-01,2.73188801e+01,3.54024048e+01,1.07020831e+00,1.92317518e-03
6.41029537e-01,3.11826725e+01,4.01706467e+01,1.09367013e+00,2.26235786e-03
6.83115125e-01,2.87224388e+01,3.68681526e+01,1.04424202e+00,2.64193607e-03
7.26283848e-01,2.89291592e+01,3.70666542e+01,1.09890771e+00,2.77191843e-03
7.70563781e-01,2.61129894e+01,3.34188728e+01,1.05810452e+00,3.71076842e-03
8.15983355e-01,2.53592510e+01,3.24832153e+01,1.08556247e+00,3.47936992e-03
8.62571895e-01,2.31519985e+01,2.97687664e+01,1.14266384e+00,4.31028288e-03
9.10359621e-01,2.65622787e+01,3.44723358e+01,2.14541674e+00,4.84754518e-03
9.59377348e-01,3.20543137e+01,4.20682411e+01,3.17399859e+00,4.98361327e-03
1.00965667e+00,5.14736328e+01,6.83529282e+01,6.15800953e+00,6.95645204e-03
1.06123006e+00,7.23851166e+01,9.59558945e+01,7.28557396e+00,6.16416568e-03
1.11413085e+00,6.95476685e+01,9.17171555e+01,6.42519712e+00,1.02179376e-02
1.16839325e+00,6.17509689e+01,8.15194244e+01,6.56972790e+00,8.64898507e-03
1.22405231e+00,5.73575478e+01,7.64353409e+01,8.56072521e+00,1.36463931e-02
1.28114390e+00,8.17578049e+01,1.10232498e+02,1.66750641e+01,1.28383664e-02
1.33970511e+00,8.65851318e+02,1.19612793e+03,2.39539398e+02,2.20988989e-02
1.39977336e+00,6.25922461e+04,8.70020078e+04,3.73985430e+04,3.99670508e+03
1.46138775e+00,2.75056500e+05,3.82991000e+05,1.71634094e+05,6.25182227e+03
