Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.90529840e-32,2.71520299e-32,1.07086680e-30,2.74846864e+00
7.99999982e-02,1.25366657e-29,1.80269977e-29,5.78672278e-28,3.16444731e+00
1.19999997e-01,1.36786160e-27,1.98763289e-27,6.00517899e-26,3.35996890e+00
1.59999996e-01,5.87150343e-26,8.53069191e-26,3.84682696e-24,3.70247817e+00
2.00000003e-01,6.04919802e-24,8.81265784e-24,3.03589775e-22,3.92426610e+00
2.39999995e-01,1.03237514e-22,1.50872135e-22,5.46280739e-21,4.21159029e+00
2.80000001e-01,1.67825445e-21,2.44897261e-21,1.03341742e-19,4.80922985e+00
3.19999993e-01,1.77091663e-20,2.58866560e-20,1.12678574e-18,5.23014212e+00
3.60000014e-01,1.72254314e-19,2.51642120e-19,1.23602100e-17,6.04934311e+00
4.00000006e-01,1.72265677e-18,2.51194982e-18,1.26593786e-16,6.59160233e+00
4.39999998e-01,1.26803206e-17,1.85281178e-17,9.85445648e-16,7.39717245e+00
4.79999989e-01,9.70220721e-17,1.41267559e-16,8.45614252e-15,8.60800838e+00
5.19999981e-01,6.46531725e-16,9.43640443e-16,5.84298235e-14,9.09834957e+00
5.60000002e-01,5.32318914e-15,7.71210285e-15,4.40044594e-13,1.12090406e+01
6.00000024e-01,2.53783404e-14,3.71002193e-14,2.55520171e-12,1.08598623e+01
6.41029537e-01,2.40781299e-13,3.47156575e-13,1.67156983e-11,1.39643221e+01
6.83115125e-01,8.84249650e-13,1.29271658e-12,8.78762549e-11,1.44521513e+01
7.26283848e-01,5.07181536e-12,7.30913680e-12,7.47531814e-10,1.81318378e+01
7.70563781e-01,1.93791025e-11,2.80975035e-11,3.51385765e-08,2.01043758e+01
8.15983355e-01,1.18817678e-10,1.70348610e-10,2.27264513e-06,2.37955608e+01
8.62571895e-01,3.18027271e-10,4.61994554e-10,5.05189382e-05,2.54188137e+01
9.10359621e-01,1.54922497e-09,2.20976437e-09,3.44308530e-04,3.13866768e+01
9.59377348e-01,3.84956422e-09,5.54514390e-09,7.78994290e-04,3.25450821e+01
1.00965667e+00,1.48761963e-08,2.11189697e-08,2.99207377e-03,3.81178894e+01
1.06123006e+00,5.32636335e-08,7.53031486e-08,7.56285945e-03,4.20186310e+01
1.11413085e+00,1.89125061e-07,2.65756142e-07,1.48418741e-02,4.43155212e+01
1.16839325e+00,5.80575829e-07,8.10376150e-07,2.94567700e-02,5.12404060e+01
1.22405231e+00,1.42438080e-06,1.98995463e-06,3.20633911e-02,5.55859833e+01
1.28114390e+00,2.96482972e-06,4.28682733e-06,5.68958595e-02,6.22030029e+01
1.33970511e+00,7.04213380e-06,1.06536718e-05,4.87516746e-02,6.77844009e+01
1.39977336e+00,2.03371367e+04,2.84908555e+04,2.02659961e+04,2.68602197e+03
1.46138775e+00,2.88990977e+04,4.04631953e+04,2.74723770e+04,3.02727979e+03
1.52458799e+00,2.09861562e+04,2.93842422e+04,2.01205527e+04,2.46490601e+03
1.58941495e+00,2.09961367e+04,2.94099492e+04,2.06924297e+04,3.02753296e+03
1.65591037e+00,2.20199141e+04,3.08516289e+04,2.20744648e+04,3.54430444e+03
1.72411728e+00,2.45763008e+04,3.44410547e+04,2.50095664e+04,4.29516748e+03
1.79407966e+00,2.83820449e+04,3.97800078e+04,2.91502891e+04,5.09293457e+03
1.86584306e+00,3.19746465e+04,4.48155664e+04,3.28441758e+04,5.52365527e+03
1.93945324e+00,3.37378945e+04,4.72810156e+04,3.43712734e+04,5.36202783e+03
2.01495814e+00,3.26445625e+04,4.57403906e+04,3.28597734e+04,4.69611230e+03
2.09240627e+00,2.93659902e+04,4.11376289e+04,2.91079453e+04,3.80347632e+03
2.17184782e+00,2.51808477e+04,3.52660195e+04,2.45325527e+04,2.99630518e+03
2.25333428e+00,2.05452129e+04,2.87690469e+04,1.97988164e+04,2.37116528e+03
2.33691788e+00,1.66740605e+04,2.33491719e+04,1.60749453e+04,2.17447827e+03
2.42265272e+00,1.55919629e+04,2.18415273e+04,1.53966904e+04,2.41678955e+03
2.51059437e+00,1.75390859e+04,2.45793613e+04,1.77024648e+04,3.18998462e+03
2.60079956e+00,2.49324961e+04,3.49561172e+04,2.59806582e+04,6.17157959e+03
2.69332647e+00,4.36916133e+04,6.12806016e+04,4.72209844e+04,1.15454316e+04
2.78823495e+00,6.44255195e+04,9.03553125e+04,6.93222969e+04,1.45084756e+04
2.88558602e+00,6.93956641e+04,9.72953750e+04,7.29176562e+04,1.29312207e+04
2.98544264e+00,5.97852422e+04,8.37923750e+04,6.13605938e+04,9.43038184e+03
3.08786964e+00,4.62721641e+04,6.48316172e+04,4.64936172e+04,6.30937305e+03
3.19293284e+00,3.48722891e+04,4.88443867e+04,3.43888594e+04,4.30376611e+03
3.30070019e+00,2.59438047e+04,3.63328047e+04,2.53492676e+04,3.19216699e+03
3.41124129e+00,2.14644941e+04,3.00648301e+04,2.11375430e+04,2.97542676e+03
3.52462745e+00,2.28445391e+04,3.20050625e+04,2.27257090e+04,3.44291138e+03
3.64093208e+00,2.40539648e+04,3.37015977e+04,2.40507383e+04,4.01731738e+03
3.76023054e+00,1.95043516e+04,2.73317773e+04,1.97631836e+04,3.96806812e+03
3.88259912e+00,1.72902441e+04,2.42361445e+04,1.78172070e+04,4.02399365e+03
4.00811720e+00,2.49137891e+04,3.49217031e+04,2.55604336e+04,5.03340625e+03
4.13686609e+00,4.14482891e+04,5.80901406e+04,4.21196328e+04,7.09663574e+03
4.26892853e+00,5.52036758e+04,7.73638281e+04,5.59914219e+04,8.96471094e+03
4.40439081e+00,5.78116406e+04,8.10155156e+04,5.86602500e+04,9.28212012e+03
4.54333878e+00,5.14952734e+04,7.21613594e+04,5.22770000e+04,8.13661719e+03
4.68586397e+00,4.30387383e+04,6.03074219e+04,4.36049102e+04,6.60185303e+03
4.83205652e+00,3.56630859e+04,4.99665469e+04,3.59045430e+04,5.25968604e+03
4.98201227e+00,2.96904766e+04,4.15951875e+04,2.97676113e+04,4.37527734e+03
5.13582754e+00,2.59001484e+04,3.62833633e+04,2.58942617e+04,3.85937573e+03
5.29360199e+00,2.25464727e+04,3.15817793e+04,2.23878906e+04,3.42695264e+03
5.45543718e+00,1.88271895e+04,2.63749766e+04,1.88518672e+04,3.24272168e+03
5.62143755e+00,1.92493809e+04,2.69773477e+04,1.97516445e+04,3.72398901e+03
5.79171038e+00,2.36170879e+04,3.31002422e+04,2.42683203e+04,4.43025977e+03
5.96636629e+00,2.51305605e+04,3.52185156e+04,2.57025430e+04,4.63341064e+03
6.14551687e+00,2.41585352e+04,3.38574766e+04,2.47293770e+04,4.45847461e+03
6.32927942e+00,2.50878008e+04,3.51589766e+04,2.55713594e+04,4.41326367e+03
6.51777077e+00,2.84756816e+04,3.98955195e+04,2.84716836e+04,4.28354492e+03
6.71111441e+00,2.32266523e+04,3.25444453e+04,2.33375566e+04,3.62234692e+03
6.90943432e+00,2.64405000e+04,3.70455039e+04,2.64587402e+04,3.94354053e+03
7.11285782e+00,3.43280938e+04,4.80868203e+04,3.38947578e+04,4.62288721e+03
7.32151794e+00,3.83478008e+04,5.37094961e+04,3.75237930e+04,4.95570264e+03
7.53554821e+00,3.40036680e+04,4.76259219e+04,3.34081055e+04,4.81658398e+03
7.75508738e+00,3.33470273e+04,4.67142578e+04,3.31669609e+04,5.24515381e+03
7.98027754e+00,3.35246328e+04,4.69677109e+04,3.35601523e+04,5.34240137e+03
8.21126270e+00,2.94914883e+04,4.13190547e+04,2.96213457e+04,4.59641748e+03
8.44819450e+00,2.92632422e+04,4.09950781e+04,2.92377559e+04,4.24756982e+03
8.69122219e+00,3.05171406e+04,4.27473633e+04,3.02912578e+04,4.19507812e+03
8.94050789e+00,2.88262129e+04,4.03752266e+04,2.84448516e+04,3.84730811e+03
9.19620800e+00,2.39732598e+04,3.35729297e+04,2.34821055e+04,3.12605396e+03
9.45849037e+00,1.62562773e+04,2.27655293e+04,1.59891289e+04,2.23546680e+03
9.72752285e+00,9.64366309e+03,1.35086475e+04,9.73198828e+03,1.57826697e+03
1.00034800e+01,6.76006250e+03,9.47560352e+03,7.19480566e+03,1.38179077e+03
1.02865391e+01,8.44213672e+03,1.18373555e+04,9.17075195e+03,1.71251746e+03
1.05768833e+01,1.33569219e+04,1.87233672e+04,1.42596064e+04,2.30024731e+03
1.08747025e+01,1.54446436e+04,2.16506719e+04,1.67159258e+04,2.52600586e+03
1.11801853e+01,1.63260752e+04,2.28955527e+04,1.83274961e+04,2.71097095e+03
1.14935322e+01,1.86531113e+04,2.61673301e+04,2.13819746e+04,2.96404639e+03
1.18149433e+01,1.67226738e+04,2.34772324e+04,2.00405820e+04,2.54759546e+03
1.21446266e+01,1.09765479e+04,1.54474004e+04,1.50221826e+04,1.71697253e+03
1.24827967e+01,9.99205957e+03,1.40957861e+04,1.46353359e+04,1.45985498e+03
1.28296700e+01,1.31498926e+04,1.85456016e+04,1.75550410e+04,1.56333545e+03
1.31854706e+01,1.67925527e+04,2.36584160e+04,2.00501211e+04,1.68838733e+03
1.35504293e+01,2.01356973e+04,2.83124102e+04,2.17485684e+04,1.85379138e+03
1.39247818e+01,2.16006094e+04,3.03278965e+04,2.16299863e+04,1.76623828e+03
1.43087692e+01,1.94688281e+04,2.73061875e+04,1.75956426e+04,1.26697986e+03
1.47026405e+01,1.72500527e+04,2.41508691e+04,1.39158848e+04,9.20337341e+02
1.51066484e+01,1.75876816e+04,2.45828262e+04,1.31166855e+04,8.17033875e+02
1.55210552e+01,1.79900312e+04,2.50933203e+04,1.24825537e+04,7.71391052e+02
1.59461288e+01,1.69958711e+04,2.36668691e+04,1.12061455e+04,7.73116882e+02
1.63821430e+01,1.58166855e+04,2.19895430e+04,1.00216514e+04,7.99891357e+02
