Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,5.00838195e-30,9.49213456e-30,1.21839800e-12,4.18472404e+01
7.99999982e-02,3.04838811e-27,5.70498236e-27,9.80693855e-08,4.32489128e+01
1.19999997e-01,2.78269772e-25,5.40390921e-25,4.29925385e-05,4.38013878e+01
1.59999996e-01,9.15579735e-24,1.78073012e-23,1.66985017e-04,4.49894905e+01
2.00000003e-01,6.65890087e-22,1.32541547e-21,3.42131476e-04,4.48312073e+01
2.39999995e-01,1.15015708e-20,2.33402985e-20,7.77713780e-04,4.55800247e+01
2.80000001e-01,1.26907536e-19,2.61204586e-19,2.56857253e-03,4.56923599e+01
3.19999993e-01,1.14806837e-18,2.37081834e-18,5.46455663e-03,4.67088509e+01
3.60000014e-01,8.05539831e-18,1.67932587e-17,1.17227659e-02,4.71669426e+01
4.00000006e-01,6.24258782e-17,1.30468578e-16,1.97989140e-02,4.89796715e+01
4.39999998e-01,3.23606714e-16,6.85268077e-16,2.89513599e-02,5.20618973e+01
4.79999989e-01,1.66751956e-15,3.56064572e-15,3.88913974e-02,5.28903770e+01
5.19999981e-01,9.68311972e-15,2.06340326e-14,4.88983393e-02,5.80800209e+01
5.60000002e-01,5.11243608e-14,1.10029106e-13,6.89479113e-02,5.69792709e+01
6.00000024e-01,2.26522251e-13,4.95315757e-13,6.98778331e-02,6.19452171e+01
6.41029537e-01,1.56938134e-12,3.35297371e-12,9.51737836e-02,6.06161308e+01
6.83115125e-01,5.29935687e-12,1.18725255e-11,8.66802037e-02,6.61191330e+01
7.26283848e-01,2.56142520e-11,5.43109134e-11,1.09255612e-01,6.44628830e+01
7.70563781e-01,8.69747468e-11,1.90203964e-10,1.11049481e-01,7.00874481e+01
8.15983355e-01,4.34972836e-10,9.17532050e-10,1.39868245e-01,6.87117233e+01
8.62571895e-01,1.12425891e-09,2.49937715e-09,1.47724435e-01,7.74261856e+01
9.10359621e-01,4.59670391e-09,9.59682289e-09,1.59661621e-01,7.71716309e+01
9.59377348e-01,1.18657502e-08,2.60433488e-08,1.85461551e-01,8.55986633e+01
1.00965667e+00,4.58766536e-08,9.94859590e-08,2.47763261e-01,8.78126068e+01
1.06123006e+00,1.81698908e-07,4.19839068e-07,2.36688927e-01,9.49496460e+01
1.11413085e+00,8.78632932e-07,2.93792891e-06,3.79849732e-01,9.97309341e+01
1.16839325e+00,5.16878526e-06,2.12977338e-05,3.10498595e-01,1.06718575e+02
1.22405231e+00,1.71684078e-05,5.73096186e-05,4.56298321e-01,1.07943733e+02
1.28114390e+00,3.04831628e-05,7.89947881e-05,4.24425334e-01,1.17691826e+02
1.33970511e+00,3.89250272e-05,9.31695977e-05,4.86111671e-01,1.17505066e+02
1.39977336e+00,2.07191875e+04,2.90083086e+04,1.94656270e+04,1.27922473e+03
1.46138775e+00,2.61849414e+04,3.66164805e+04,2.20007344e+04,1.40218054e+03
1.52458799e+00,1.51199043e+04,2.11388594e+04,1.29202002e+04,1.03086536e+03
1.58941495e+00,1.47722041e+04,2.06693047e+04,1.33446094e+04,1.31722571e+03
1.65591037e+00,1.55895879e+04,2.18205117e+04,1.44144766e+04,1.51331909e+03
1.72411728e+00,1.62780391e+04,2.27863496e+04,1.51337988e+04,1.57052112e+03
1.79407966e+00,1.62680918e+04,2.27712656e+04,1.50470508e+04,1.53936096e+03
1.86584306e+00,1.54470996e+04,2.16196055e+04,1.41554453e+04,1.40239966e+03
1.93945324e+00,1.40796621e+04,1.97035742e+04,1.27901709e+04,1.28662256e+03
2.01495814e+00,1.25538906e+04,1.75673242e+04,1.13497266e+04,1.15836072e+03
2.09240627e+00,1.11807637e+04,1.56461543e+04,1.01170176e+04,1.10893274e+03
2.17184782e+00,1.01451582e+04,1.41983584e+04,9.23902930e+03,1.07171204e+03
