Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,3.35996534e-30,5.14283518e-30,1.38661717e-26,2.61033106e+00
7.99999982e-02,2.17015173e-27,3.30853695e-27,6.12958413e-24,2.95492649e+00
1.19999997e-01,1.92662131e-25,2.97215894e-25,5.08103365e-22,3.00144863e+00
1.59999996e-01,6.52109501e-24,1.00719189e-23,2.46823328e-20,3.34968519e+00
2.00000003e-01,4.56095394e-22,7.09967545e-22,2.00517038e-18,3.56087279e+00
2.39999995e-01,7.67540244e-21,1.20413183e-20,3.15691661e-17,3.91572857e+00
2.80000001e-01,8.12170451e-20,1.28083955e-19,3.37207284e-16,4.11010790e+00
3.19999993e-01,7.37966754e-19,1.16723808e-18,2.83909266e-15,4.51876497e+00
3.60000014e-01,4.99754567e-18,7.92706372e-18,2.05995380e-14,4.83397818e+00
4.00000006e-01,3.89030156e-17,6.17901932e-17,1.40242066e-13,5.45478249e+00
4.39999998e-01,2.01707291e-16,3.21854865e-16,7.93430154e-13,5.84021330e+00
4.79999989e-01,1.02727161e-15,1.64355552e-15,4.27674866e-12,6.63078594e+00
5.19999981e-01,6.05476811e-15,9.66660512e-15,2.31829694e-11,7.05675220e+00
5.60000002e-01,3.13473578e-14,5.01088666e-14,1.13316440e-10,7.57493258e+00
6.00000024e-01,1.40048617e-13,2.25282358e-13,6.01809935e-10,8.17984200e+00
6.41029537e-01,9.68546098e-13,1.53462236e-12,3.20598925e-09,8.53426266e+00
6.83115125e-01,3.27844240e-12,5.30321056e-12,2.00601704e-08,9.78254223e+00
7.26283848e-01,1.64163769e-11,2.58689181e-11,2.42063976e-07,9.56309128e+00
7.70563781e-01,5.55890334e-11,8.87112467e-11,5.24746247e-06,1.09976969e+01
8.15983355e-01,2.82496637e-10,4.42081594e-10,3.44470245e-05,1.15195589e+01
8.62571895e-01,7.34874606e-10,1.17701671e-09,3.38302401e-04,1.32211084e+01
9.10359621e-01,3.09211057e-09,4.80306550e-09,2.10394897e-03,1.33705664e+01
9.59377348e-01,8.01001576e-09,1.27185364e-08,4.81553003e-03,1.55687532e+01
1.00965667e+00,3.16395941e-08,4.99808692e-08,1.28217991e-02,1.51072226e+01
1.06123006e+00,1.29056303e-07,2.10784222e-07,2.59547643e-02,1.70563011e+01
1.11413085e+00,6.41062456e-07,1.18179832e-06,3.68041955e-02,1.82616997e+01
1.16839325e+00,3.47063474e-06,7.87340468e-06,4.48796973e-02,1.98634949e+01
1.22405231e+00,1.04374049e-05,2.19156209e-05,6.56840354e-02,2.25130882e+01
1.28114390e+00,1.86897760e-05,3.46232773e-05,9.44979563e-02,2.34190273e+01
1.33970511e+00,2.43083796e-05,4.26892948e-05,1.09148316e-01,2.62466106e+01
1.39977336e+00,2.01645840e+04,2.82466406e+04,1.99709258e+04,2.07267407e+03
1.46138775e+00,2.50016875e+04,3.50029062e+04,2.34960781e+04,1.93411426e+03
1.52458799e+00,1.49420498e+04,2.09158887e+04,1.40255938e+04,1.25166309e+03
1.58941495e+00,1.31935664e+04,1.84733398e+04,1.26291523e+04,1.29179053e+03
1.65591037e+00,1.22814707e+04,1.71991016e+04,1.19035801e+04,1.33673584e+03
1.72411728e+00,1.21518535e+04,1.70202852e+04,1.19170518e+04,1.46143457e+03
1.79407966e+00,1.28423662e+04,1.79903398e+04,1.27449863e+04,1.69014685e+03
1.86584306e+00,1.43445859e+04,2.00976055e+04,1.43897773e+04,2.02961292e+03
1.93945324e+00,1.64327285e+04,2.30253359e+04,1.66053594e+04,2.41516772e+03
2.01495814e+00,1.85236504e+04,2.59558398e+04,1.87667324e+04,2.72858179e+03
2.09240627e+00,1.99858164e+04,2.80038711e+04,2.02117344e+04,2.86393140e+03
2.17184782e+00,2.05091250e+04,2.87351016e+04,2.06333867e+04,2.80188818e+03
2.25333428e+00,2.00137871e+04,2.80383320e+04,1.99825977e+04,2.58050439e+03
2.33691788e+00,1.86206719e+04,2.60838398e+04,1.84350625e+04,2.26604736e+03
2.42265272e+00,1.67839199e+04,2.35086895e+04,1.64904336e+04,1.96462659e+03
2.51059437e+00,1.48880508e+04,2.08517480e+04,1.45436797e+04,1.70061096e+03
2.60079956e+00,1.31251055e+04,1.83819023e+04,1.27774414e+04,1.50334021e+03
2.69332647e+00,1.16072705e+04,1.62560430e+04,1.12877969e+04,1.34786780e+03
2.78823495e+00,1.03816084e+04,1.45398457e+04,1.01069121e+04,1.25134961e+03
2.88558602e+00,9.46266992e+03,1.32535186e+04,9.24011133e+03,1.18431396e+03
2.98544264e+00,8.87867969e+03,1.24365361e+04,8.71200586e+03,1.17911194e+03
3.08786964e+00,8.64886328e+03,1.21158037e+04,8.54126172e+03,1.20977454e+03
3.19293284e+00,8.77687500e+03,1.22964766e+04,8.73405859e+03,1.30396838e+03
3.30070019e+00,9.32288477e+03,1.30628613e+04,9.35192188e+03,1.45325623e+03
3.41124129e+00,1.03700400e+04,1.45314434e+04,1.04793125e+04,1.68696472e+03
3.52462745e+00,1.19548262e+04,1.67533516e+04,1.21554570e+04,1.99906177e+03
3.64093208e+00,1.40762949e+04,1.97272344e+04,1.43819141e+04,2.40061597e+03
3.76023054e+00,1.67373320e+04,2.34570684e+04,1.71619922e+04,2.88942847e+03
