Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.44383624e-10,6.33348818e-10,4.54799980e-02,1.90356064e+01
7.99999982e-02,3.77709330e-09,8.78275408e-09,5.47708012e-02,1.94940605e+01
1.19999997e-01,2.70574496e-08,7.07589152e-08,5.71519732e-02,1.95182590e+01
1.59999996e-01,4.54482532e-08,1.22902861e-07,6.12391531e-02,1.96017189e+01
2.00000003e-01,1.08886908e-07,3.71726998e-07,6.56313822e-02,1.95567551e+01
2.39999995e-01,1.83143712e-07,6.71236307e-07,7.38030076e-02,1.97228718e+01
2.80000001e-01,5.30012244e-07,2.16551143e-06,8.03869516e-02,1.99193344e+01
3.19999993e-01,1.65481049e-06,6.55243048e-06,7.67188817e-02,2.01757393e+01
3.60000014e-01,5.53492782e-06,2.09137634e-05,8.52136314e-02,2.03589287e+01
4.00000006e-01,1.22754445e-05,4.56490998e-05,8.98014084e-02,2.08724937e+01
4.39999998e-01,2.07654775e-05,7.64879660e-05,8.69487450e-02,2.14811897e+01
4.79999989e-01,3.81283680e-05,1.38857620e-04,9.85499173e-02,2.17399864e+01
5.19999981e-01,6.23277083e-05,2.25389318e-04,9.88857970e-02,2.20676441e+01
5.60000002e-01,1.01551464e-04,3.66268621e-04,1.12156630e-01,2.25566158e+01
6.00000024e-01,1.95224202e-04,6.87570777e-04,1.15297228e-01,2.32353649e+01
6.41029537e-01,3.32975789e-04,1.15484535e-03,1.25927478e-01,2.32284966e+01
6.83115125e-01,5.75795304e-04,1.94577838e-03,1.31428450e-01,2.45051670e+01
7.26283848e-01,1.10880146e-03,3.70867853e-03,1.60691231e-01,2.37161522e+01
7.70563781e-01,2.32547754e-03,7.30843842e-03,1.76565245e-01,2.68383598e+01
8.15983355e-01,5.62570477e-03,1.55921020e-02,2.05407441e-01,2.68154411e+01
8.62571895e-01,1.22869061e-02,2.93497089e-02,2.29920730e-01,2.90111980e+01
9.10359621e-01,3.63091603e-02,7.14567229e-02,2.92799950e-01,2.81321316e+01
9.59377348e-01,7.13790357e-02,1.26880765e-01,3.56732219e-01,2.90961971e+01
1.00965667e+00,1.27639711e-01,2.07475230e-01,4.47861761e-01,3.09740486e+01
1.06123006e+00,1.97834447e-01,3.06226790e-01,4.72932279e-01,3.00642967e+01
1.11413085e+00,2.46895432e-01,3.71133983e-01,4.82389987e-01,3.77539101e+01
1.16839325e+00,2.68085152e-01,3.95559818e-01,4.82038498e-01,3.34838371e+01
1.22405231e+00,2.66535342e-01,3.87973696e-01,5.00870049e-01,3.84483337e+01
1.28114390e+00,2.59954005e-01,3.74968052e-01,5.33117056e-01,4.12319260e+01
1.33970511e+00,2.55408585e-01,3.66839319e-01,5.91423988e-01,3.91165848e+01
1.39977336e+00,1.95148848e+04,2.73195000e+04,1.81865215e+04,1.01350262e+03
1.46138775e+00,2.14112012e+04,2.99466055e+04,1.84174219e+04,1.12591968e+03
1.52458799e+00,1.42075322e+04,1.98672578e+04,1.21452119e+04,8.29756165e+02
1.58941495e+00,1.32322188e+04,1.85125391e+04,1.17523672e+04,9.79258179e+02
1.65591037e+00,1.33538770e+04,1.86877383e+04,1.21085703e+04,1.11226733e+03
1.72411728e+00,1.37650498e+04,1.92660312e+04,1.26206719e+04,1.20686035e+03
1.79407966e+00,1.40234785e+04,1.96286270e+04,1.29017422e+04,1.25502124e+03
1.86584306e+00,1.38478408e+04,1.93823809e+04,1.27169980e+04,1.23510339e+03
1.93945324e+00,1.29957822e+04,1.81891484e+04,1.19001406e+04,1.16817786e+03
2.01495814e+00,1.18181328e+04,1.65407930e+04,1.08059785e+04,1.07845435e+03
2.09240627e+00,1.06322295e+04,1.48818779e+04,9.75101562e+03,1.02340216e+03
2.17184782e+00,1.00492383e+04,1.40684395e+04,9.31399805e+03,1.04158960e+03
2.25333428e+00,1.04360938e+04,1.46127695e+04,9.78433008e+03,1.15484937e+03
2.33691788e+00,1.12707930e+04,1.57840332e+04,1.06848018e+04,1.30742285e+03
2.42265272e+00,1.25451211e+04,1.75703047e+04,1.19837529e+04,1.49920667e+03
2.51059437e+00,1.39684102e+04,1.95635898e+04,1.33917314e+04,1.69734180e+03
2.60079956e+00,1.56904473e+04,2.19762578e+04,1.51541260e+04,1.96527954e+03
2.69332647e+00,1.80936973e+04,2.53412617e+04,1.74656758e+04,2.23889917e+03
2.78823495e+00,1.85018301e+04,2.59105430e+04,1.77696445e+04,2.22863354e+03
2.88558602e+00,1.58123682e+04,2.21445078e+04,1.51957803e+04,1.90212939e+03
2.98544264e+00,1.36036152e+04,1.90533516e+04,1.31151953e+04,1.65660596e+03
3.08786964e+00,1.25172227e+04,1.75336016e+04,1.20928057e+04,1.53332520e+03
3.19293284e+00,1.30722354e+04,1.83144980e+04,1.27425273e+04,1.65656653e+03
3.30070019e+00,1.58351680e+04,2.21849316e+04,1.54172461e+04,1.95005554e+03
3.41124129e+00,1.85326289e+04,2.59588906e+04,1.78396426e+04,2.15591895e+03
3.52462745e+00,1.95499180e+04,2.73771191e+04,1.85689141e+04,2.17149438e+03
3.64093208e+00,1.78366641e+04,2.49723691e+04,1.67684883e+04,1.97616406e+03
3.76023054e+00,1.42831387e+04,1.99958125e+04,1.34097432e+04,1.65501086e+03
3.88259912e+00,1.14058232e+04,1.59691260e+04,1.07728213e+04,1.40351562e+03
4.00811720e+00,9.80292090e+03,1.37264121e+04,9.31606152e+03,1.24946924e+03
4.13686609e+00,9.22979785e+03,1.29250791e+04,8.81686621e+03,1.19913098e+03
4.26892853e+00,9.25706738e+03,1.29644590e+04,8.88757520e+03,1.20694495e+03
4.40439081e+00,9.45563574e+03,1.32441367e+04,9.13414551e+03,1.25103381e+03
4.54333878e+00,9.61566211e+03,1.34698506e+04,9.34172070e+03,1.28794678e+03
4.68586397e+00,9.77272266e+03,1.36906816e+04,9.52218555e+03,1.32385583e+03
4.83205652e+00,9.98996484e+03,1.39949951e+04,9.73669336e+03,1.35441101e+03
4.98201227e+00,1.05157119e+04,1.47306777e+04,1.02311211e+04,1.42126562e+03
5.13582754e+00,1.13661084e+04,1.59203652e+04,1.10219453e+04,1.51700488e+03
5.29360199e+00,1.27049736e+04,1.77945488e+04,1.22935869e+04,1.67462781e+03
5.45543718e+00,1.46692773e+04,2.05447617e+04,1.41604258e+04,1.88773901e+03
5.62143755e+00,1.61709785e+04,2.26464453e+04,1.55563975e+04,2.03589307e+03
5.79171038e+00,1.73000410e+04,2.42260156e+04,1.65830273e+04,2.13696509e+03
5.96636629e+00,1.85131074e+04,2.59203633e+04,1.75813984e+04,2.18859644e+03
6.14551687e+00,1.67606875e+04,2.34599980e+04,1.57002246e+04,1.89198926e+03
6.32927942e+00,1.17027949e+04,1.63784453e+04,1.09500820e+04,1.36148352e+03
6.51777077e+00,7.61209766e+03,1.06553477e+04,7.25095557e+03,9.87247803e+02
6.71111441e+00,5.60823389e+03,7.85216016e+03,5.46892676e+03,8.09179077e+02
6.90943432e+00,4.82570215e+03,6.75758447e+03,4.81320410e+03,7.49752136e+02
7.11285782e+00,4.73437158e+03,6.63068164e+03,4.82184424e+03,7.58214294e+02
7.32151794e+00,4.84385742e+03,6.78480127e+03,5.03247705e+03,7.81708008e+02
7.53554821e+00,4.62650195e+03,6.48179590e+03,4.97564697e+03,7.83148438e+02
7.75508738e+00,4.67348291e+03,6.55122266e+03,5.30796143e+03,8.56338928e+02
7.98027754e+00,6.27710400e+03,8.80130664e+03,7.22992920e+03,1.09562927e+03
8.21126270e+00,9.04230371e+03,1.26731914e+04,1.01743398e+04,1.39795923e+03
8.44819450e+00,1.08559902e+04,1.52140273e+04,1.22678213e+04,1.59632690e+03
8.69122219e+00,1.19496357e+04,1.67477461e+04,1.36524658e+04,1.67986206e+03
8.94050789e+00,1.20503418e+04,1.68858301e+04,1.38704209e+04,1.58831360e+03
9.19620800e+00,1.05415146e+04,1.47726523e+04,1.26826230e+04,1.37692078e+03
9.45849037e+00,8.74879883e+03,1.22718428e+04,1.14288154e+04,1.19323279e+03
