Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.68731974e-02,3.72515097e-02,3.14066447e-02,1.04299343e+00
7.99999982e-02,4.02946398e-02,5.54765239e-02,4.08642963e-02,1.22065282e+00
1.19999997e-01,5.52340932e-02,7.56486803e-02,5.15672639e-02,1.32656157e+00
1.59999996e-01,7.17663988e-02,9.80545133e-02,6.55559450e-02,1.42623150e+00
2.00000003e-01,8.37122649e-02,1.14482939e-01,8.13289061e-02,1.51548362e+00
2.39999995e-01,9.95207950e-02,1.35615438e-01,9.22718197e-02,1.58857405e+00
2.80000001e-01,1.11010224e-01,1.51454091e-01,1.15005255e-01,1.71584129e+00
3.19999993e-01,1.25211567e-01,1.70502931e-01,1.28720954e-01,1.77655745e+00
3.60000014e-01,1.34889305e-01,1.83997154e-01,1.53369427e-01,1.91060948e+00
4.00000006e-01,1.45868510e-01,1.98947579e-01,1.70273915e-01,1.98564422e+00
4.39999998e-01,1.53340906e-01,2.09789157e-01,1.96787953e-01,2.08981705e+00
4.79999989e-01,1.62961692e-01,2.23345190e-01,2.22272500e-01,2.22699022e+00
5.19999981e-01,1.69664115e-01,2.33523935e-01,2.53166437e-01,2.31737232e+00
5.60000002e-01,1.84154615e-01,2.54341960e-01,2.92945862e-01,2.49585032e+00
6.00000024e-01,1.91751808e-01,2.65833050e-01,3.23357165e-01,2.58719301e+00
6.41029537e-01,2.15338960e-01,2.99589813e-01,3.77212346e-01,2.79644370e+00
6.83115125e-01,2.20778868e-01,3.07924569e-01,4.05110359e-01,2.89912724e+00
7.26283848e-01,2.40514278e-01,3.36493194e-01,4.63417023e-01,3.12224674e+00
7.70563781e-01,2.52326787e-01,3.53754550e-01,5.05719185e-01,3.22427058e+00
8.15983355e-01,2.85162568e-01,4.00728703e-01,5.87018788e-01,3.50447559e+00
8.62571895e-01,2.94295102e-01,4.14445341e-01,6.31954312e-01,3.62973404e+00
9.10359621e-01,3.33680868e-01,4.71039474e-01,7.22108901e-01,3.95562220e+00
9.59377348e-01,3.53413641e-01,5.00266492e-01,7.78876424e-01,4.16902304e+00
1.00965667e+00,3.82035255e-01,5.41463375e-01,8.28249574e-01,4.48419285e+00
1.06123006e+00,4.22016382e-01,5.98661005e-01,8.90412569e-01,4.83032322e+00
1.11413085e+00,4.64838892e-01,6.59682274e-01,9.48517680e-01,5.22480154e+00
1.16839325e+00,5.10789394e-01,7.24969149e-01,1.00820220e+00,5.67684793e+00
1.22405231e+00,5.58797657e-01,7.92961538e-01,1.06923699e+00,6.14650345e+00
1.28114390e+00,6.55740917e-01,9.29902554e-01,1.20465362e+00,6.77186346e+00
1.33970511e+00,7.71357894e-01,1.09238505e+00,1.34643567e+00,7.45591402e+00
1.39977336e+00,1.98305801e+04,2.77781484e+04,1.96113105e+04,2.03627673e+03
1.46138775e+00,2.38218984e+04,3.33529453e+04,2.25919961e+04,1.97411023e+03
1.52458799e+00,1.81081816e+04,2.53530762e+04,1.72207500e+04,1.62695569e+03
1.58941495e+00,1.72075898e+04,2.40980039e+04,1.66635469e+04,1.79261536e+03
1.65591037e+00,1.71843828e+04,2.40685645e+04,1.67994785e+04,1.92372766e+03
