Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.84155372e-03,2.98160827e-03,4.80465114e-01,1.65230804e+02
7.99999982e-02,2.81084049e-03,4.58132522e-03,6.32594526e-01,1.68783035e+02
1.19999997e-01,5.08013647e-03,8.22952203e-03,7.88999677e-01,1.70253250e+02
1.59999996e-01,1.03366002e-02,1.66425779e-02,1.02905929e+00,1.73807922e+02
2.00000003e-01,2.25309208e-02,3.59232314e-02,1.35880959e+00,1.76503113e+02
2.39999995e-01,4.51014750e-02,7.10160583e-02,1.74989355e+00,1.80431152e+02
2.80000001e-01,7.89061263e-02,1.22881532e-01,2.18903875e+00,1.84089493e+02
3.19999993e-01,1.24440461e-01,1.92096859e-01,2.69042015e+00,1.87758820e+02
3.60000014e-01,1.81428134e-01,2.78224081e-01,3.26050854e+00,1.91111267e+02
4.00000006e-01,2.46037081e-01,3.75551403e-01,3.93137479e+00,2.11449936e+02
4.39999998e-01,3.16397309e-01,4.81777221e-01,4.76111698e+00,1.98341736e+02
4.79999989e-01,3.97866219e-01,6.05512559e-01,5.68141460e+00,2.13089417e+02
5.19999981e-01,4.93649423e-01,7.51207113e-01,6.62197304e+00,2.47186035e+02
5.60000002e-01,6.06120169e-01,9.21660244e-01,7.48233128e+00,2.50000717e+02
6.00000024e-01,7.34445870e-01,1.11480916e+00,8.42261314e+00,2.61769196e+02
6.41029537e-01,8.78084183e-01,1.32966244e+00,9.27690411e+00,2.30140045e+02
6.83115125e-01,1.03605878e+00,1.56464410e+00,1.01725216e+01,2.73063812e+02
7.26283848e-01,1.20341623e+00,1.81197870e+00,1.09706964e+01,2.51978928e+02
7.70563781e-01,1.37730730e+00,2.06734347e+00,1.18128109e+01,2.64735779e+02
8.15983355e-01,1.56300807e+00,2.33775139e+00,1.26069059e+01,2.45253601e+02
8.62571895e-01,1.74125969e+00,2.59314060e+00,1.34580517e+01,2.46489685e+02
9.10359621e-01,1.87680471e+00,2.78469276e+00,1.44238558e+01,2.54322174e+02
9.59377348e-01,1.97609019e+00,2.92647815e+00,1.55731087e+01,2.23380508e+02
1.00965667e+00,2.07054710e+00,3.06652856e+00,1.69471779e+01,3.05830933e+02
1.06123006e+00,2.19027758e+00,3.24805355e+00,1.84924278e+01,2.49750427e+02
1.11413085e+00,2.35041213e+00,3.48815584e+00,2.01664467e+01,2.70018341e+02
1.16839325e+00,2.54403710e+00,3.77524710e+00,2.20068054e+01,2.28027451e+02
1.22405231e+00,2.77337289e+00,4.11378241e+00,2.40118446e+01,2.61969360e+02
1.28114390e+00,3.06360936e+00,4.54091692e+00,2.61673222e+01,2.41252090e+02
1.33970511e+00,3.38872838e+00,5.01815462e+00,2.80519390e+01,2.55375519e+02
1.39977336e+00,1.78919199e+04,2.50444512e+04,1.65504004e+04,1.13237952e+03
1.46138775e+00,1.75667754e+04,2.45770137e+04,1.56575303e+04,1.25770752e+03
1.52458799e+00,1.80352969e+04,2.52353711e+04,1.61814688e+04,1.43267883e+03
1.58941495e+00,1.72306953e+04,2.41144824e+04,1.57032764e+04,1.54177356e+03
