Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.57960743e-01,2.18336269e-01,1.94978893e-01,1.14193503e-02
7.99999982e-02,1.87154591e-01,2.58267522e-01,2.25243241e-01,2.19394937e-02
1.19999997e-01,2.14560583e-01,2.95807302e-01,2.59437352e-01,4.05693986e-02
1.59999996e-01,2.40399510e-01,3.30780447e-01,2.88582146e-01,7.05163628e-02
2.00000003e-01,2.45585203e-01,3.37302387e-01,2.82455027e-01,7.96754807e-02
2.39999995e-01,2.56450474e-01,3.51158649e-01,2.84155190e-01,1.26897916e-01
2.80000001e-01,2.61530310e-01,3.57725739e-01,2.86583811e-01,1.68413386e-01
3.19999993e-01,2.60586172e-01,3.56144905e-01,2.79126942e-01,2.09033817e-01
3.60000014e-01,2.63842583e-01,3.61357510e-01,2.90393800e-01,2.61049300e-01
4.00000006e-01,2.65884936e-01,3.65225017e-01,2.96707362e-01,3.31750512e-01
4.39999998e-01,2.63708174e-01,3.63507390e-01,3.05150241e-01,3.65884542e-01
4.79999989e-01,2.71006793e-01,3.74831498e-01,3.26173365e-01,4.81341332e-01
5.19999981e-01,2.65599787e-01,3.68409723e-01,3.35447878e-01,5.12278378e-01
5.60000002e-01,2.80403465e-01,3.90092701e-01,3.77141148e-01,6.37745202e-01
6.00000024e-01,2.74655461e-01,3.82839561e-01,3.92664254e-01,6.84465051e-01
6.41029537e-01,2.98069477e-01,4.16586637e-01,4.57235456e-01,8.11394751e-01
6.83115125e-01,2.89723217e-01,4.05461133e-01,4.73463833e-01,8.30509782e-01
7.26283848e-01,3.04399997e-01,4.27109033e-01,5.35660386e-01,9.40492451e-01
7.70563781e-01,3.06082964e-01,4.30062085e-01,5.58859587e-01,9.67212200e-01
8.15983355e-01,3.21032435e-01,4.51845288e-01,6.06682956e-01,1.08706427e+00
8.62571895e-01,3.20437729e-01,4.51795340e-01,6.18058980e-01,1.09533060e+00
9.10359621e-01,3.49410951e-01,4.93424654e-01,6.68285728e-01,1.23040152e+00
9.59377348e-01,3.62230569e-01,5.12925684e-01,7.04023361e-01,1.26586449e+00
1.00965667e+00,3.94241929e-01,5.59897542e-01,7.75227845e-01,1.40646029e+00
1.06123006e+00,4.41312015e-01,6.28915787e-01,8.75569224e-01,1.56619608e+00
1.11413085e+00,4.91112590e-01,7.02391982e-01,9.47960854e-01,1.72969961e+00
1.16839325e+00,5.55006981e-01,7.96795607e-01,1.01644182e+00,1.89097357e+00
1.22405231e+00,6.31245971e-01,9.09473777e-01,1.08856392e+00,2.08937740e+00
1.28114390e+00,7.54124761e-01,1.08710694e+00,1.22340524e+00,2.44570565e+00
1.33970511e+00,8.92480671e-01,1.28459632e+00,1.36736727e+00,2.75947595e+00
1.39977336e+00,2.00752051e+04,2.81210156e+04,1.98590742e+04,2.05030542e+03
1.46138775e+00,2.47006836e+04,3.45819922e+04,2.33359531e+04,1.99963928e+03
1.52458799e+00,1.74000059e+04,2.43607852e+04,1.65111660e+04,1.53852026e+03
1.58941495e+00,1.63859766e+04,2.29468711e+04,1.58438633e+04,1.68858960e+03
1.65591037e+00,1.61934746e+04,2.26803555e+04,1.58181279e+04,1.80588843e+03
1.72411728e+00,1.63851699e+04,2.29510293e+04,1.61165840e+04,1.92892163e+03
1.79407966e+00,1.68280566e+04,2.35730469e+04,1.66366230e+04,2.06170288e+03
1.86584306e+00,1.73839062e+04,2.43529219e+04,1.72494219e+04,2.19166040e+03
1.93945324e+00,1.79347188e+04,2.51253750e+04,1.78392168e+04,2.30335498e+03
2.01495814e+00,1.83629961e+04,2.57257852e+04,1.82886992e+04,2.38236304e+03
2.09240627e+00,1.86519844e+04,2.61308262e+04,1.85868320e+04,2.43187891e+03
2.17184782e+00,1.88348262e+04,2.63869824e+04,1.87697773e+04,2.45777710e+03
2.25333428e+00,1.88863828e+04,2.64591055e+04,1.88159160e+04,2.46274658e+03
2.33691788e+00,1.88756406e+04,2.64438906e+04,1.87966582e+04,2.45532837e+03
2.42265272e+00,1.87890801e+04,2.63223906e+04,1.86977617e+04,2.43550684e+03
2.51059437e+00,1.85587090e+04,2.59993633e+04,1.84535117e+04,2.39488013e+03
2.60079956e+00,1.82026328e+04,2.55001660e+04,1.80799785e+04,2.33541357e+03
2.69332647e+00,1.75118164e+04,2.45320430e+04,1.73740332e+04,2.23553223e+03
2.78823495e+00,1.64937734e+04,2.31059609e+04,1.63618525e+04,2.11177612e+03
2.88558602e+00,1.54364258e+04,2.16250605e+04,1.53202480e+04,1.98921558e+03
2.98544264e+00,1.46490586e+04,2.05225918e+04,1.45563652e+04,1.91678467e+03
3.08786964e+00,1.49567285e+04,2.09544551e+04,1.48950107e+04,1.99185449e+03
3.19293284e+00,1.60956387e+04,2.25500332e+04,1.60280400e+04,2.14378394e+03
3.30070019e+00,1.69384121e+04,2.37298379e+04,1.68407012e+04,2.24646240e+03
3.41124129e+00,1.78128613e+04,2.49545762e+04,1.77137422e+04,2.37498828e+03
3.52462745e+00,1.88706367e+04,2.64358418e+04,1.87465527e+04,2.50877148e+03
3.64093208e+00,1.85523945e+04,2.59893184e+04,1.84043066e+04,2.44973242e+03
3.76023054e+00,1.62404404e+04,2.27499062e+04,1.60874521e+04,2.12655688e+03
3.88259912e+00,1.27539316e+04,1.78658047e+04,1.26334883e+04,1.68861072e+03
4.00811720e+00,1.04721445e+04,1.46709707e+04,1.04284072e+04,1.44585571e+03
4.13686609e+00,1.07021074e+04,1.49942666e+04,1.06874844e+04,1.49772070e+03
4.26892853e+00,1.22593125e+04,1.71752188e+04,1.22051523e+04,1.67393604e+03
4.40439081e+00,1.27361562e+04,1.78427500e+04,1.26625537e+04,1.74086792e+03
4.54333878e+00,1.29105146e+04,1.80868457e+04,1.28320420e+04,1.77741736e+03
4.68586397e+00,1.28490342e+04,1.80002578e+04,1.27587822e+04,1.77705151e+03
4.83205652e+00,1.29494883e+04,1.81404844e+04,1.28436953e+04,1.78180505e+03
4.98201227e+00,1.32093125e+04,1.85037012e+04,1.30733018e+04,1.80153247e+03
5.13582754e+00,1.28521797e+04,1.80030938e+04,1.27088066e+04,1.75857629e+03
5.29360199e+00,1.23134512e+04,1.72489199e+04,1.21917471e+04,1.72176294e+03
5.45543718e+00,1.19838057e+04,1.67878477e+04,1.18856885e+04,1.70889246e+03
5.62143755e+00,1.23496855e+04,1.72999121e+04,1.22255596e+04,1.75339062e+03
5.79171038e+00,1.34063213e+04,1.87783652e+04,1.32071025e+04,1.85220337e+03
5.96636629e+00,1.44808750e+04,2.02821152e+04,1.42137793e+04,1.95107227e+03
6.14551687e+00,1.51295537e+04,2.11909355e+04,1.48570713e+04,2.03980347e+03
6.32927942e+00,1.51569131e+04,2.12308496e+04,1.49420645e+04,2.09549585e+03
6.51777077e+00,1.41368477e+04,1.98034531e+04,1.39932539e+04,2.01480139e+03
6.71111441e+00,1.23785762e+04,1.73408828e+04,1.22786426e+04,1.81450452e+03
6.90943432e+00,1.09351523e+04,1.53192207e+04,1.08723857e+04,1.66802112e+03
7.11285782e+00,1.01171816e+04,1.41741406e+04,1.00983262e+04,1.60740637e+03
7.32151794e+00,9.24994043e+03,1.29594404e+04,9.24926953e+03,1.52218933e+03
7.53554821e+00,8.12075146e+03,1.13769971e+04,8.10805664e+03,1.36357300e+03
7.75508738e+00,7.64569189e+03,1.07110879e+04,7.61980762e+03,1.30186511e+03
7.98027754e+00,8.14682422e+03,1.14128213e+04,8.10501904e+03,1.35952539e+03
8.21126270e+00,8.88421582e+03,1.24454043e+04,8.82358203e+03,1.44679321e+03
8.44819450e+00,9.12982812e+03,1.27892920e+04,9.06379297e+03,1.47383154e+03
8.69122219e+00,9.19344043e+03,1.28784512e+04,9.13068359e+03,1.48350049e+03
8.94050789e+00,9.21755762e+03,1.29125293e+04,9.16875195e+03,1.49212231e+03
9.19620800e+00,8.83732617e+03,1.23807275e+04,8.82428125e+03,1.46040601e+03
9.45849037e+00,8.35188770e+03,1.17018125e+04,8.38445605e+03,1.42925305e+03
9.72752285e+00,8.52346191e+03,1.19424795e+04,8.56901855e+03,1.45711157e+03
1.00034800e+01,8.85064746e+03,1.24001514e+04,8.87299902e+03,1.48587891e+03
1.02865391e+01,8.99641602e+03,1.26042422e+04,9.01937988e+03,1.50947876e+03
1.05768833e+01,9.24181445e+03,1.29484678e+04,9.28698828e+03,1.55357068e+03
