Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,4.75952058e-30,3.63218501e-30,2.09712585e-08,1.50592661e+01
7.99999982e-02,6.99167359e-26,8.04025339e-26,3.74034644e-05,2.06680202e+01
1.19999997e-01,3.37419199e-24,3.38418488e-24,2.07819714e-04,2.46859455e+01
1.59999996e-01,3.64346769e-23,4.40325591e-23,6.74602226e-04,3.14358292e+01
2.00000003e-01,2.81283792e-22,5.28122661e-22,1.38969114e-03,3.34462891e+01
2.39999995e-01,2.71750056e-21,6.18577052e-21,2.14780238e-03,4.25420837e+01
2.80000001e-01,3.19936303e-20,7.58272267e-20,2.90607987e-03,4.51500053e+01
3.19999993e-01,3.34639846e-19,8.04450723e-19,3.46778776e-03,5.18294411e+01
3.60000014e-01,3.04372625e-18,7.35108214e-18,3.89403151e-03,5.32866974e+01
4.00000006e-01,2.06653143e-17,5.07779311e-17,4.15871805e-03,6.24313164e+01
4.39999998e-01,1.17563329e-16,2.91646652e-16,4.84161125e-03,6.49934235e+01
4.79999989e-01,7.14435180e-16,1.79225734e-15,4.59278794e-03,6.97762299e+01
5.19999981e-01,2.82950784e-15,7.26817627e-15,6.14919979e-03,7.20437469e+01
5.60000002e-01,9.13040192e-15,2.34076640e-14,5.61348442e-03,7.94898682e+01
6.00000024e-01,3.82758875e-14,9.49828933e-14,7.70220999e-03,7.41649170e+01
6.41029537e-01,1.40710116e-13,3.49139771e-13,7.61702843e-03,8.44291077e+01
6.83115125e-01,3.85528984e-13,9.69578801e-13,9.09554586e-03,8.16968231e+01
7.26283848e-01,1.15856782e-12,2.97677312e-12,9.22525674e-03,8.96962891e+01
7.70563781e-01,4.92745428e-12,1.26963752e-11,1.03684571e-02,9.39019775e+01
8.15983355e-01,2.44626350e-11,6.82096116e-11,1.10317729e-02,1.02858673e+02
8.62571895e-01,1.10777443e-10,3.30452610e-10,1.25106648e-02,1.01106827e+02
9.10359621e-01,9.24720300e-10,2.62144573e-09,1.37000997e-02,1.05584198e+02
9.59377348e-01,5.41595790e-09,1.51509933e-08,1.61739793e-02,1.21302834e+02
1.00965667e+00,1.50712154e-08,4.52640947e-08,1.58156212e-02,1.16383453e+02
1.06123006e+00,5.08998248e-08,1.72986091e-07,1.93380713e-02,1.16086128e+02
1.11413085e+00,2.08992475e-07,7.00620262e-07,2.23039370e-02,1.07549385e+02
1.16839325e+00,8.06337312e-07,2.37930044e-06,2.69143619e-02,1.01222382e+02
1.22405231e+00,5.95466054e-06,1.80879579e-05,3.14791463e-02,1.13764282e+02
1.28114390e+00,3.02388635e-05,6.43784297e-05,3.41195762e-02,1.14178146e+02
1.33970511e+00,1.03854749e-04,1.81949930e-04,4.64855358e-02,1.30160080e+02
1.39977336e+00,2.06128438e+04,2.88563984e+04,1.91746914e+04,1.12495789e+03
1.46138775e+00,2.38985078e+04,3.34164219e+04,1.99461289e+04,1.18342944e+03
1.52458799e+00,1.27569375e+04,1.78332188e+04,1.07375977e+04,7.74437256e+02
1.58941495e+00,1.19839141e+04,1.67652578e+04,1.06637930e+04,9.92558289e+02
1.65591037e+00,1.29573154e+04,1.81351113e+04,1.19131523e+04,1.20741333e+03
1.72411728e+00,1.44135840e+04,2.01774805e+04,1.34480088e+04,1.38949243e+03
1.79407966e+00,1.51673711e+04,2.12318516e+04,1.40945684e+04,1.38537402e+03
1.86584306e+00,1.45574131e+04,2.03751211e+04,1.33736562e+04,1.26135718e+03
1.93945324e+00,1.31515273e+04,1.84048320e+04,1.19430215e+04,1.08847217e+03
2.01495814e+00,1.15469414e+04,1.61574170e+04,1.03772705e+04,9.46454651e+02
2.09240627e+00,1.00668096e+04,1.40854346e+04,8.99165430e+03,8.28555359e+02
2.17184782e+00,9.00351758e+03,1.25980352e+04,8.05001562e+03,7.88245483e+02
2.25333428e+00,8.40446680e+03,1.17613564e+04,7.58247266e+03,7.89084412e+02
2.33691788e+00,8.27825977e+03,1.15868350e+04,7.56243945e+03,8.42800171e+02
2.42265272e+00,8.42925879e+03,1.18001250e+04,7.79098535e+03,9.18532471e+02
