Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.29508805e-02,1.86410751e-02,7.06313401e-02,1.77598417e+00
7.99999982e-02,3.10578905e-02,4.43764888e-02,1.01463854e-01,2.05343485e+00
1.19999997e-01,5.41331321e-02,7.71196038e-02,1.39119834e-01,2.25224733e+00
1.59999996e-01,7.94252083e-02,1.12857252e-01,1.76770836e-01,2.45430732e+00
2.00000003e-01,9.11116004e-02,1.29388884e-01,1.92344025e-01,2.54633117e+00
2.39999995e-01,1.15907989e-01,1.64384663e-01,2.27552816e-01,2.72388172e+00
2.80000001e-01,1.33752674e-01,1.89695925e-01,2.55394220e-01,2.88882494e+00
3.19999993e-01,1.52628630e-01,2.16270253e-01,2.72664934e-01,3.00265098e+00
3.60000014e-01,1.70449406e-01,2.41553292e-01,2.96143770e-01,3.15608001e+00
4.00000006e-01,1.93746805e-01,2.74466604e-01,3.23823690e-01,3.31294632e+00
4.39999998e-01,2.04669625e-01,2.89842159e-01,3.31403762e-01,3.42133164e+00
4.79999989e-01,2.35995561e-01,3.34375501e-01,3.77930492e-01,3.65469551e+00
5.19999981e-01,2.43556112e-01,3.45076472e-01,3.77377033e-01,3.76333213e+00
5.60000002e-01,2.77911961e-01,3.93921256e-01,4.32047784e-01,3.99677634e+00
6.00000024e-01,2.81736851e-01,3.99110585e-01,4.29365009e-01,4.11244631e+00
6.41029537e-01,3.16228777e-01,4.47793424e-01,4.90439028e-01,4.33896589e+00
6.83115125e-01,3.13539147e-01,4.43496972e-01,4.89413291e-01,4.40948486e+00
7.26283848e-01,3.31750154e-01,4.68932271e-01,5.36382675e-01,4.63290405e+00
7.70563781e-01,3.40902418e-01,4.81540173e-01,5.72658598e-01,4.73225546e+00
8.15983355e-01,3.69071394e-01,5.21290362e-01,6.48819327e-01,4.98968029e+00
8.62571895e-01,3.57345760e-01,5.04390180e-01,6.56070650e-01,5.04833889e+00
9.10359621e-01,3.85294557e-01,5.43884873e-01,7.31994510e-01,5.30427408e+00
9.59377348e-01,3.75842035e-01,5.30305386e-01,7.39329875e-01,5.41405153e+00
1.00965667e+00,3.93770099e-01,5.55756986e-01,7.91365981e-01,5.67292643e+00
1.06123006e+00,4.14869040e-01,5.85581601e-01,8.39557767e-01,5.93787003e+00
1.11413085e+00,4.35702771e-01,6.14762306e-01,8.86075020e-01,6.24497843e+00
1.16839325e+00,4.50441450e-01,6.34946287e-01,9.30029750e-01,8.34560776e+00
1.22405231e+00,4.66534853e-01,6.56855166e-01,9.93514597e-01,7.32607841e+00
1.28114390e+00,5.04486501e-01,7.10776031e-01,1.11121655e+00,1.01356783e+01
1.33970511e+00,5.49706936e-01,7.77581394e-01,1.25574124e+00,8.41361237e+00
1.39977336e+00,1.90528320e+04,2.66879336e+04,1.87999980e+04,1.95370898e+03
1.46138775e+00,2.10862891e+04,2.95262891e+04,2.02418145e+04,1.89423657e+03
1.52458799e+00,2.10948398e+04,2.95396445e+04,2.03232520e+04,2.05379932e+03
1.58941495e+00,2.01661562e+04,2.82433457e+04,1.96468633e+04,2.16883447e+03
1.65591037e+00,1.99468145e+04,2.79382676e+04,1.95442344e+04,2.24702661e+03
1.72411728e+00,1.99625430e+04,2.79616055e+04,1.96286758e+04,2.31731592e+03
1.79407966e+00,2.01869785e+04,2.82766074e+04,1.98837246e+04,2.37885083e+03
1.86584306e+00,2.02852930e+04,2.84142559e+04,1.99771719e+04,2.39370801e+03
1.93945324e+00,2.00609668e+04,2.80996582e+04,1.97366133e+04,2.35981396e+03
