Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.16792780e-03,3.91936116e-03,2.97548771e-01,4.17079069e-02
7.99999982e-02,5.24700247e-03,9.36562754e-03,4.63144124e-01,1.66854769e-01
1.19999997e-01,8.69184826e-03,1.53638106e-02,5.72448611e-01,4.54546183e-01
1.59999996e-01,1.29910819e-02,2.25858912e-02,6.64321065e-01,1.05519867e+00
2.00000003e-01,1.71571746e-02,2.96199322e-02,7.16722608e-01,1.26686788e+00
2.39999995e-01,2.36496944e-02,4.04420272e-02,7.67529547e-01,2.34578180e+00
2.80000001e-01,3.21502015e-02,5.44404313e-02,8.00896406e-01,2.74372578e+00
3.19999993e-01,4.40937206e-02,7.39344805e-02,8.21393728e-01,4.26105642e+00
3.60000014e-01,5.85723221e-02,9.75105539e-02,8.52196693e-01,4.49883032e+00
4.00000006e-01,7.98060149e-02,1.31446287e-01,8.81824732e-01,6.31466150e+00
4.39999998e-01,1.17153935e-01,1.88591629e-01,9.26674306e-01,6.31964207e+00
4.79999989e-01,1.68803751e-01,2.65836298e-01,1.03082991e+00,7.41449928e+00
5.19999981e-01,2.42664903e-01,3.73520494e-01,1.08651352e+00,7.31869125e+00
5.60000002e-01,3.30597699e-01,5.00334024e-01,1.25904000e+00,7.40222645e+00
6.00000024e-01,4.24008280e-01,6.35724366e-01,1.31507206e+00,7.30781555e+00
6.41029537e-01,6.19969130e-01,9.15070772e-01,1.43576646e+00,7.21140242e+00
6.83115125e-01,7.78567314e-01,1.13886786e+00,1.44096112e+00,7.10130930e+00
7.26283848e-01,1.01261199e+00,1.46553743e+00,1.53963602e+00,7.08896160e+00
7.70563781e-01,1.20552385e+00,1.73129809e+00,1.57334721e+00,7.05393505e+00
8.15983355e-01,1.47920310e+00,2.10991526e+00,1.75040543e+00,7.17231941e+00
8.62571895e-01,1.54440033e+00,2.19597387e+00,1.71089721e+00,7.28871298e+00
9.10359621e-01,1.70366704e+00,2.41572571e+00,1.80445039e+00,7.35522699e+00
9.59377348e-01,1.74407899e+00,2.46849132e+00,1.77048707e+00,7.68762255e+00
1.00965667e+00,1.85161138e+00,2.61522508e+00,1.80237448e+00,7.84515095e+00
1.06123006e+00,1.88191819e+00,2.65671682e+00,1.83332169e+00,8.78973007e+00
1.11413085e+00,1.87376797e+00,2.64192224e+00,1.85058939e+00,8.90402699e+00
1.16839325e+00,1.81096458e+00,2.54991531e+00,1.87890458e+00,9.57619953e+00
