Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.31607616e-01,3.36103737e-01,8.58905125e+00,1.60075439e+02
7.99999982e-02,2.84759909e-01,4.10122961e-01,9.69551468e+00,1.61008636e+02
1.19999997e-01,3.18847448e-01,4.53379929e-01,1.05610332e+01,1.61392502e+02
1.59999996e-01,3.39554399e-01,4.78856266e-01,1.18440895e+01,1.62230103e+02
2.00000003e-01,3.51792842e-01,4.95147765e-01,1.33302593e+01,1.62678864e+02
2.39999995e-01,3.67036581e-01,5.18328369e-01,1.50278273e+01,1.63182007e+02
2.80000001e-01,3.83063972e-01,5.44096947e-01,1.69649487e+01,1.63315155e+02
3.19999993e-01,4.13482726e-01,5.90064228e-01,1.91929817e+01,1.63304672e+02
3.60000014e-01,4.46999133e-01,6.42022491e-01,2.16771698e+01,1.62977875e+02
4.00000006e-01,4.95440543e-01,7.16149211e-01,2.44000053e+01,1.62524170e+02
4.39999998e-01,5.50584316e-01,8.00867736e-01,2.73431396e+01,1.61859467e+02
4.79999989e-01,6.26542866e-01,9.15369093e-01,3.05796738e+01,1.61145660e+02
5.19999981e-01,7.09288955e-01,1.03977311e+00,3.40993118e+01,1.60245575e+02
5.60000002e-01,8.13266873e-01,1.19396651e+00,3.79557953e+01,1.59483185e+02
6.00000024e-01,9.13976848e-01,1.34361315e+00,4.20069046e+01,1.58534790e+02
6.41029537e-01,1.03419209e+00,1.52126420e+00,4.64315109e+01,1.57634705e+02
6.83115125e-01,1.14640522e+00,1.68897915e+00,5.14736290e+01,1.56757019e+02
7.26283848e-01,1.28132796e+00,1.88866699e+00,5.73970985e+01,1.55955475e+02
7.70563781e-01,1.41542900e+00,2.08808589e+00,6.44787292e+01,1.55133072e+02
8.15983355e-01,1.57047272e+00,2.31486106e+00,7.29695969e+01,1.54387451e+02
8.62571895e-01,1.71341372e+00,2.52369046e+00,8.26395874e+01,1.53695389e+02
9.10359621e-01,1.88431442e+00,2.77329111e+00,9.34696655e+01,1.52798645e+02
9.59377348e-01,2.05930042e+00,3.03132987e+00,1.04752441e+02,1.51988556e+02
1.00965667e+00,2.27285552e+00,3.35040379e+00,1.17148506e+02,1.51197876e+02
1.06123006e+00,2.53453016e+00,3.73749042e+00,1.30220581e+02,1.50100250e+02
1.11413085e+00,2.81578445e+00,4.15262461e+00,1.44053406e+02,1.48928253e+02
1.16839325e+00,3.13203454e+00,4.61850119e+00,1.58675003e+02,1.48087921e+02
1.22405231e+00,3.48169994e+00,5.14222193e+00,1.74201233e+02,1.46916183e+02
1.28114390e+00,3.88770247e+00,5.74616718e+00,1.90646301e+02,1.47018768e+02
1.33970511e+00,4.36705399e+00,6.46119356e+00,2.07767395e+02,1.44638672e+02
1.39977336e+00,1.68452285e+04,2.35750938e+04,1.55301650e+04,8.23754517e+02
1.46138775e+00,1.52444062e+04,2.13251855e+04,1.36572920e+04,9.62620605e+02
1.52458799e+00,2.07570859e+04,2.90523164e+04,1.93111445e+04,1.71949182e+03
1.58941495e+00,2.04591133e+04,2.86374121e+04,1.91113496e+04,1.72515723e+03
1.65591037e+00,1.96935664e+04,2.75622188e+04,1.82039316e+04,1.60330798e+03
1.72411728e+00,1.80989355e+04,2.53264844e+04,1.65526914e+04,1.44834692e+03
1.79407966e+00,1.62018311e+04,2.26697324e+04,1.47593174e+04,1.31789941e+03
1.86584306e+00,1.44557480e+04,2.02264434e+04,1.31955674e+04,1.21492249e+03
