Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,8.66526850e-09,1.25670621e-08,2.08381987e-08,2.45955944e-01
7.99999982e-02,4.72149644e-08,6.98267399e-08,2.60649045e-07,5.56242526e-01
1.19999997e-01,2.30614447e-07,3.44839322e-07,3.38932341e-06,9.30740178e-01
1.59999996e-01,1.01328669e-06,1.55203907e-06,2.46458039e-05,1.22726560e+00
2.00000003e-01,2.19468211e-06,3.48652907e-06,3.89107918e-05,1.46371949e+00
2.39999995e-01,6.36456480e-06,1.02828208e-05,1.34319722e-04,1.76028097e+00
2.80000001e-01,1.63359528e-05,2.67665073e-05,4.00312856e-04,2.12882066e+00
3.19999993e-01,4.84218872e-05,7.89144251e-05,1.00237783e-03,2.65613222e+00
3.60000014e-01,1.64631798e-04,2.64727307e-04,2.62689777e-03,3.27725744e+00
4.00000006e-01,7.72987783e-04,1.20534399e-03,6.53381273e-03,4.78351974e+00
4.39999998e-01,2.17139022e-03,3.30159185e-03,1.12583246e-02,5.58207273e+00
4.79999989e-01,6.69678533e-03,9.98854451e-03,2.36964971e-02,7.44429541e+00
5.19999981e-01,1.09974518e-02,1.61591433e-02,3.09247635e-02,8.94065189e+00
5.60000002e-01,2.19135657e-02,3.19985300e-02,5.47149368e-02,1.09762554e+01
6.00000024e-01,2.78861672e-02,4.03994620e-02,6.18725829e-02,1.40823851e+01
6.41029537e-01,4.42707539e-02,6.40280843e-02,9.23098475e-02,1.59794722e+01
6.83115125e-01,5.01077510e-02,7.21077174e-02,9.71098542e-02,1.83330879e+01
7.26283848e-01,6.42168745e-02,9.22250375e-02,1.15438074e-01,2.57044830e+01
7.70563781e-01,8.34732950e-02,1.19416118e-01,1.37589395e-01,2.19836464e+01
8.15983355e-01,1.11099489e-01,1.57912165e-01,1.59430102e-01,3.89161720e+01
8.62571895e-01,1.11589372e-01,1.57915458e-01,1.45953000e-01,2.67786274e+01
9.10359621e-01,1.35294810e-01,1.90692514e-01,1.67910933e-01,4.72555122e+01
9.59377348e-01,1.41066045e-01,1.98532656e-01,1.72876224e-01,3.51361427e+01
1.00965667e+00,1.66179687e-01,2.33262733e-01,2.05820337e-01,5.58911858e+01
1.06123006e+00,1.97641909e-01,2.77419746e-01,2.57350445e-01,4.40836716e+01
1.11413085e+00,2.38407403e-01,3.35813105e-01,3.36624891e-01,6.47377625e+01
1.16839325e+00,3.02374601e-01,4.28207815e-01,4.49157447e-01,4.75233917e+01
1.22405231e+00,4.05654281e-01,5.76970279e-01,5.90763450e-01,6.77153473e+01
1.28114390e+00,5.77803314e-01,8.22873354e-01,7.96748459e-01,4.51063423e+01
1.33970511e+00,7.70086527e-01,1.09448588e+00,9.84347761e-01,4.88782005e+01
1.39977336e+00,2.01465352e+04,2.82218750e+04,1.99925742e+04,2.18086328e+03
1.46138775e+00,2.51860605e+04,3.52625859e+04,2.38300039e+04,2.10303955e+03
1.52458799e+00,1.60758652e+04,2.25064141e+04,1.52441328e+04,1.46301477e+03
1.58941495e+00,1.51754326e+04,2.12516641e+04,1.46881934e+04,1.61316541e+03
1.65591037e+00,1.49900459e+04,2.09946914e+04,1.46474746e+04,1.70631323e+03
1.72411728e+00,1.49264434e+04,2.09072734e+04,1.46722949e+04,1.78239343e+03
1.79407966e+00,1.49297832e+04,2.09132891e+04,1.47449541e+04,1.85136450e+03
1.86584306e+00,1.50921172e+04,2.11420234e+04,1.49717979e+04,1.94066675e+03
1.93945324e+00,1.56310215e+04,2.18983398e+04,1.55750605e+04,2.07710498e+03
2.01495814e+00,1.65446211e+04,2.31793984e+04,1.65465234e+04,2.25651245e+03
2.09240627e+00,1.75239375e+04,2.45520195e+04,1.75632207e+04,2.41889697e+03
2.17184782e+00,1.80583438e+04,2.53005410e+04,1.80954434e+04,2.48283154e+03
2.25333428e+00,1.78429043e+04,2.49981250e+04,1.78524316e+04,2.42904810e+03
2.33691788e+00,1.71310586e+04,2.40004727e+04,1.71190859e+04,2.31609424e+03
