Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.61327800e-04,2.99669453e-04,3.04064900e-02,1.47879419e+01
7.99999982e-02,5.93087869e-04,1.03786576e-03,3.88601050e-02,1.52538214e+01
1.19999997e-01,1.30748679e-03,2.26607430e-03,5.36194928e-02,1.54962463e+01
1.59999996e-01,2.57594744e-03,4.48674615e-03,9.12801474e-02,1.59742966e+01
2.00000003e-01,4.15952317e-03,7.10920617e-03,1.20033041e-01,1.61829395e+01
2.39999995e-01,6.69431733e-03,1.12336027e-02,1.67153046e-01,1.66111355e+01
2.80000001e-01,1.03252418e-02,1.67046860e-02,1.92728892e-01,1.68635235e+01
3.19999993e-01,1.46847200e-02,2.31365114e-02,2.14260295e-01,1.71627121e+01
3.60000014e-01,1.93456449e-02,2.97546461e-02,2.43033558e-01,1.76506138e+01
4.00000006e-01,2.42093243e-02,3.67821455e-02,2.66807258e-01,1.76166096e+01
4.39999998e-01,2.83830985e-02,4.27976996e-02,2.87538052e-01,1.79172668e+01
4.79999989e-01,3.35735716e-02,5.05739152e-02,3.01157296e-01,1.79758244e+01
5.19999981e-01,3.94559652e-02,5.94799183e-02,3.13283265e-01,1.86303062e+01
5.60000002e-01,4.86578047e-02,7.31724426e-02,3.18098605e-01,1.81439571e+01
6.00000024e-01,5.84049076e-02,8.75983760e-02,3.46063375e-01,1.86126633e+01
6.41029537e-01,7.37529695e-02,1.09463185e-01,3.45952630e-01,1.87259007e+01
6.83115125e-01,8.64476115e-02,1.28201753e-01,3.70271444e-01,1.89827061e+01
7.26283848e-01,1.05835952e-01,1.56319857e-01,3.83623242e-01,1.98415833e+01
7.70563781e-01,1.28720447e-01,1.88982025e-01,4.25575495e-01,1.96968536e+01
8.15983355e-01,1.52587175e-01,2.22128242e-01,4.41514730e-01,2.08968601e+01
8.62571895e-01,1.67534992e-01,2.42600620e-01,4.88801241e-01,2.06041718e+01
9.10359621e-01,1.86098427e-01,2.67956942e-01,5.24280429e-01,2.22079792e+01
