Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.77734931e-12,4.84978420e-12,5.83134670e-06,1.51504302e+00
7.99999982e-02,2.79034643e-11,4.86996277e-11,4.49582840e-05,1.66969228e+00
1.19999997e-01,2.20501783e-10,3.81164406e-10,1.52053253e-04,1.73483837e+00
1.59999996e-01,1.68472170e-09,2.85046298e-09,3.71939444e-04,1.78178906e+00
2.00000003e-01,4.58162308e-09,7.61083552e-09,4.23349673e-04,1.81173038e+00
2.39999995e-01,1.76163546e-08,2.86848412e-08,6.99254684e-04,1.83806562e+00
2.80000001e-01,4.33783036e-08,6.99479017e-08,8.41830799e-04,1.86512661e+00
3.19999993e-01,1.00529277e-07,1.60805570e-07,9.95151466e-04,1.90683460e+00
3.60000014e-01,1.95554520e-07,3.11341580e-07,1.17215014e-03,1.92651904e+00
4.00000006e-01,3.63304991e-07,5.73868419e-07,1.26402872e-03,1.98896599e+00
4.39999998e-01,5.73712612e-07,9.04123681e-07,1.45453832e-03,2.01222754e+00
4.79999989e-01,8.92832418e-07,1.38546670e-06,1.49034383e-03,2.05655146e+00
5.19999981e-01,1.28197473e-06,1.98535463e-06,1.75898627e-03,2.10863423e+00
5.60000002e-01,1.92559651e-06,2.90208027e-06,1.74743100e-03,2.12644267e+00
6.00000024e-01,2.60705247e-06,3.98397606e-06,1.88499643e-03,2.19333267e+00
6.41029537e-01,4.21374216e-06,6.38485653e-06,1.87436072e-03,2.23753309e+00
6.83115125e-01,5.46409638e-06,8.31389480e-06,1.83004385e-03,2.30161452e+00
7.26283848e-01,9.13943040e-06,1.34344045e-05,1.77701004e-03,2.30820799e+00
7.70563781e-01,1.04282126e-05,1.51716486e-05,1.75481848e-03,2.44361615e+00
8.15983355e-01,1.89064776e-05,2.77250238e-05,1.68497732e-03,2.40417719e+00
8.62571895e-01,2.28221379e-05,3.32735763e-05,1.65343564e-03,2.64672995e+00
9.10359621e-01,5.89139527e-05,8.28203410e-05,1.62471074e-03,2.57251596e+00
9.59377348e-01,7.43751225e-05,1.02872618e-04,1.60852890e-03,2.91874909e+00
1.00965667e+00,9.35777207e-05,1.26673971e-04,1.66557205e-03,2.73934889e+00
1.06123006e+00,1.02205093e-04,1.35630544e-04,1.80354551e-03,3.05471945e+00
1.11413085e+00,1.02564642e-04,1.33110836e-04,2.08442705e-03,2.93081093e+00
1.16839325e+00,9.14524717e-05,1.15733463e-04,2.57141748e-03,3.33172679e+00
1.22405231e+00,7.32640474e-05,9.04481421e-05,3.15071130e-03,3.23857403e+00
1.28114390e+00,5.50183868e-05,6.64803374e-05,3.95956822e-03,3.74517870e+00
1.33970511e+00,3.92423135e-05,4.69190127e-05,4.94783046e-03,3.56138134e+00
1.39977336e+00,2.02113789e+04,2.83126406e+04,2.00521660e+04,2.10754346e+03
1.46138775e+00,2.58095840e+04,3.61336172e+04,2.42551289e+04,2.00659949e+03
1.52458799e+00,1.56967842e+04,2.19728438e+04,1.47586289e+04,1.31969141e+03
1.58941495e+00,1.38704883e+04,1.94217539e+04,1.33160625e+04,1.37782434e+03
1.65591037e+00,1.29528828e+04,1.81402793e+04,1.26125840e+04,1.45075220e+03
1.72411728e+00,1.32334102e+04,1.85370332e+04,1.30831758e+04,1.68284424e+03
1.79407966e+00,1.48825254e+04,2.08516133e+04,1.49506514e+04,2.12931689e+03
1.86584306e+00,1.78378906e+04,2.49965234e+04,1.81524805e+04,2.75264429e+03
1.93945324e+00,2.12508730e+04,2.97809688e+04,2.17383281e+04,3.29536621e+03
2.01495814e+00,2.36720312e+04,3.31720391e+04,2.41162227e+04,3.46701416e+03
2.09240627e+00,2.41317031e+04,3.38121445e+04,2.43675176e+04,3.26575342e+03
2.17184782e+00,2.29560977e+04,3.21606523e+04,2.29426523e+04,2.85694043e+03
2.25333428e+00,2.06905215e+04,2.89825781e+04,2.04476367e+04,2.36442212e+03
2.33691788e+00,1.79548945e+04,2.51474023e+04,1.75600879e+04,1.91371265e+03
2.42265272e+00,1.54006865e+04,2.15679883e+04,1.49430615e+04,1.57201099e+03
2.51059437e+00,1.32815762e+04,1.85993008e+04,1.28257783e+04,1.34194934e+03
2.60079956e+00,1.16374004e+04,1.62969180e+04,1.12355723e+04,1.20717236e+03
2.69332647e+00,1.05442598e+04,1.47672676e+04,1.02322148e+04,1.16194690e+03
2.78823495e+00,1.00879463e+04,1.41299170e+04,9.86615234e+03,1.19198315e+03
2.88558602e+00,1.01893496e+04,1.42735879e+04,1.00406367e+04,1.28649731e+03
2.98544264e+00,1.04252666e+04,1.46055527e+04,1.03498018e+04,1.40176685e+03
3.08786964e+00,1.07995254e+04,1.51315977e+04,1.08130371e+04,1.55188135e+03
3.19293284e+00,1.16550098e+04,1.63320156e+04,1.17712793e+04,1.78369165e+03
3.30070019e+00,1.30657031e+04,1.83104883e+04,1.33020684e+04,2.11477930e+03
3.41124129e+00,1.49716455e+04,2.09829316e+04,1.53431719e+04,2.53047485e+03
3.52462745e+00,1.74293320e+04,2.44283516e+04,1.79468105e+04,3.02475879e+03
3.64093208e+00,2.04822910e+04,2.87075156e+04,2.11510723e+04,3.59724414e+03
3.76023054e+00,2.36205020e+04,3.31056016e+04,2.44316797e+04,4.14194531e+03
3.88259912e+00,2.61918457e+04,3.67081406e+04,2.70663984e+04,4.46156934e+03
4.00811720e+00,2.76211094e+04,3.87084531e+04,2.84047812e+04,4.42014795e+03
4.13686609e+00,2.77086191e+04,3.88269414e+04,2.82471211e+04,4.06399927e+03
4.26892853e+00,2.63759707e+04,3.69547812e+04,2.65927422e+04,3.51781055e+03
4.40439081e+00,2.41211328e+04,3.37912266e+04,2.40504023e+04,2.95710059e+03
4.54333878e+00,2.16459062e+04,3.03203262e+04,2.13730234e+04,2.48837231e+03
4.68586397e+00,1.91757715e+04,2.68580566e+04,1.87907207e+04,2.11707788e+03
4.83205652e+00,1.69119336e+04,2.36861133e+04,1.64919922e+04,1.83948718e+03
4.98201227e+00,1.50361963e+04,2.10586992e+04,1.46309121e+04,1.64824707e+03
5.13582754e+00,1.35902705e+04,1.90340293e+04,1.32352734e+04,1.53303394e+03
5.29360199e+00,1.26764082e+04,1.77550039e+04,1.23858594e+04,1.49011414e+03
5.45543718e+00,1.22757832e+04,1.71950508e+04,1.20550391e+04,1.51588220e+03
5.62143755e+00,1.23787432e+04,1.73407676e+04,1.22376113e+04,1.61242578e+03
5.79171038e+00,1.30187207e+04,1.82384062e+04,1.29355850e+04,1.76155579e+03
5.96636629e+00,1.37693105e+04,1.92907109e+04,1.37331309e+04,1.92263782e+03
6.14551687e+00,1.44795117e+04,2.02865488e+04,1.45004189e+04,2.08137427e+03
6.32927942e+00,1.50332920e+04,2.10630391e+04,1.51012012e+04,2.21187012e+03
6.51777077e+00,1.52902754e+04,2.14235938e+04,1.53957520e+04,2.29741431e+03
6.71111441e+00,1.53768701e+04,2.15454023e+04,1.55187158e+04,2.36603857e+03
6.90943432e+00,1.54389131e+04,2.16331016e+04,1.56337754e+04,2.44682202e+03
7.11285782e+00,1.57498760e+04,2.20698457e+04,1.60159482e+04,2.56210791e+03
7.32151794e+00,1.67600840e+04,2.34858750e+04,1.70816445e+04,2.73977588e+03
7.53554821e+00,1.79201602e+04,2.51112598e+04,1.82660820e+04,2.89426465e+03
7.75508738e+00,1.92273086e+04,2.69426621e+04,1.95889102e+04,3.03502588e+03
7.98027754e+00,2.09700625e+04,2.93837812e+04,2.13057246e+04,3.17034180e+03
8.21126270e+00,2.21360059e+04,3.10149805e+04,2.23349883e+04,3.13791943e+03
8.44819450e+00,2.16544980e+04,3.03370977e+04,2.16589551e+04,2.88204541e+03
8.69122219e+00,2.03038242e+04,2.84423574e+04,2.01582422e+04,2.59214355e+03
8.94050789e+00,1.89417969e+04,2.65320254e+04,1.86636797e+04,2.33715234e+03
9.19620800e+00,1.67135918e+04,2.34097344e+04,1.63910977e+04,2.05972144e+03
9.45849037e+00,1.55836982e+04,2.18276133e+04,1.53016143e+04,1.99373291e+03
9.72752285e+00,1.55492139e+04,2.17790742e+04,1.52614258e+04,2.02257190e+03
1.00034800e+01,1.45042715e+04,2.03160449e+04,1.42737295e+04,1.96597571e+03
1.02865391e+01,1.51913457e+04,2.12807891e+04,1.50817930e+04,2.17593555e+03
1.05768833e+01,1.71113613e+04,2.39701914e+04,1.69942598e+04,2.43810059e+03
1.08747025e+01,1.65913008e+04,2.32413809e+04,1.64837715e+04,2.38951050e+03
1.11801853e+01,1.71292461e+04,2.39967539e+04,1.71239160e+04,2.57705029e+03
1.14935322e+01,1.64557773e+04,2.30550820e+04,1.65462480e+04,2.59368799e+03
1.18149433e+01,1.55983584e+04,2.18558691e+04,1.57862363e+04,2.55353320e+03
1.21446266e+01,1.60670449e+04,2.25107695e+04,1.61773760e+04,2.51997021e+03
1.24827967e+01,1.29569053e+04,1.81512461e+04,1.29516064e+04,1.98611023e+03
1.28296700e+01,1.05594980e+04,1.47939121e+04,1.06086172e+04,1.71386853e+03
1.31854706e+01,1.12887979e+04,1.58170410e+04,1.14072129e+04,1.88678027e+03
1.35504293e+01,1.31748730e+04,1.84586914e+04,1.32732754e+04,2.13359106e+03
1.39247818e+01,1.33823359e+04,1.87483047e+04,1.34595791e+04,2.15265918e+03
1.43087692e+01,1.35799551e+04,1.90277500e+04,1.38322920e+04,2.30975610e+03
1.47026405e+01,1.50632139e+04,2.11051523e+04,1.53443604e+04,2.49593823e+03
1.51066484e+01,1.51508057e+04,2.12284219e+04,1.55254668e+04,2.58004419e+03
1.55210552e+01,1.71859004e+04,2.40830703e+04,1.78509414e+04,3.07893799e+03
1.59461288e+01,1.60001777e+04,2.24261719e+04,1.70798379e+04,3.08266919e+03
1.63821430e+01,1.60411650e+04,2.24901191e+04,1.76895645e+04,3.07160986e+03
1.68293781e+01,1.58691113e+04,2.22572305e+04,1.80601953e+04,2.96885010e+03
1.72881241e+01,1.89080820e+04,2.65273262e+04,2.17072070e+04,3.37517627e+03
1.77586803e+01,2.61035977e+04,3.66168086e+04,2.88648906e+04,3.98394824e+03
1.82413464e+01,2.81835684e+04,3.95340195e+04,3.01426504e+04,3.72277661e+03
1.87364349e+01,2.32023828e+04,3.25487480e+04,2.50897109e+04,2.89718848e+03
1.92442665e+01,2.27366328e+04,3.19055898e+04,2.47378691e+04,2.80309131e+03
1.97651691e+01,2.59796914e+04,3.64486719e+04,2.71107930e+04,3.14614160e+03
2.02994785e+01,2.86615293e+04,4.01692305e+04,2.81234648e+04,3.25181592e+03
2.08475418e+01,2.59228320e+04,3.63048633e+04,2.52052773e+04,3.19529688e+03
2.14097099e+01,2.42566289e+04,3.39820391e+04,2.37901270e+04,3.28583740e+03
2.19863453e+01,2.56705156e+04,3.59501680e+04,2.44043945e+04,3.28818140e+03
2.25778236e+01,2.75148965e+04,3.85028047e+04,2.56934141e+04,3.38528369e+03
2.31845264e+01,2.80852012e+04,3.92792461e+04,2.58630898e+04,3.22762988e+03
2.38068466e+01,2.77291797e+04,3.87764961e+04,2.51963398e+04,2.63033472e+03
2.44451809e+01,2.70441133e+04,3.78076250e+04,2.35291426e+04,1.93896326e+03
2.50999470e+01,2.65382129e+04,3.71061289e+04,2.33599805e+04,2.21811743e+03
2.57715645e+01,3.23820312e+04,4.52963008e+04,2.94537520e+04,3.03181201e+03
2.64604683e+01,3.19190117e+04,4.46588711e+04,2.95033945e+04,3.21624927e+03
2.71671047e+01,2.62412480e+04,3.67144180e+04,2.42405430e+04,2.60779004e+03
2.78919277e+01,2.00102500e+04,2.79938438e+04,1.83563926e+04,1.85220532e+03
2.86354065e+01,8.90674512e+03,1.24529766e+04,7.88134131e+03,6.73641113e+02
2.93980217e+01,1.93829919e+03,2.70269360e+03,1.47049341e+03,8.51858139e+01
3.01802654e+01,3.60888428e+02,4.99205475e+02,1.55511963e+02,2.01208115e+00
3.09826431e+01,1.48858337e+02,2.05327362e+02,4.36123314e+01,1.00077717e-02
3.18056717e+01,1.12982040e+02,1.55979477e+02,3.24418755e+01,6.15484081e-03
3.26498833e+01,8.06544571e+01,1.10917992e+02,1.72903233e+01,2.43382202e-03
3.35158234e+01,3.28127975e+01,4.48170662e+01,4.66661739e+00,3.87587701e-04
3.44040565e+01,1.54502306e+01,2.10742626e+01,2.36713505e+00,9.00917148e-05
3.53151436e+01,9.10186672e+00,1.23933601e+01,1.13494933e+00,7.35106642e-06
3.62496834e+01,4.03662634e+00,5.46720219e+00,2.83606082e-01,6.11695941e-06
3.72082787e+01,1.72742522e+00,2.34145117e+00,1.38127446e-01,3.45577359e-06
3.81915474e+01,6.78906083e-01,9.16074216e-01,2.46586446e-02,1.57411853e-06
3.92001228e+01,2.41696402e-01,3.22895497e-01,5.02661848e-03,5.61796583e-07
4.02346535e+01,8.40353742e-02,1.11427374e-01,3.92045081e-03,2.36217417e-07
4.12958107e+01,1.31741697e-02,1.73483863e-02,1.14969327e-03,1.04509411e-07
4.23842850e+01,1.69669336e-03,2.25102575e-03,1.80114293e-04,2.92894544e-08
4.35007744e+01,4.91242914e-04,6.60306599e-04,4.23501806e-05,8.69172645e-09
4.46459999e+01,1.03314342e-04,1.38352043e-04,6.44194415e-06,1.49785062e-09
4.58207016e+01,6.28280941e-06,8.35324499e-06,3.10566463e-07,6.72149003e-11
4.70256386e+01,4.20607797e-08,5.52470318e-08,3.00123904e-09,2.96510294e-13
4.82615852e+01,2.62593336e-10,3.37964240e-10,7.44004771e-12,3.96301040e-16
4.95293465e+01,1.02533416e-11,1.31598994e-11,2.50962743e-13,1.88265993e-17
5.08297386e+01,3.93375789e-13,5.05779012e-13,8.79510393e-15,7.28159338e-19
5.21635971e+01,9.49935931e-15,1.22361338e-14,1.84697731e-16,1.60921768e-20
5.35317917e+01,1.08054094e-16,1.40949657e-16,4.52330566e-18,2.94583836e-22
5.49351997e+01,2.99537816e-18,3.31265011e-18,1.24668151e-19,2.07872895e-24
5.63747253e+01,2.05140727e-19,2.91095068e-19,4.75420441e-22,3.20503277e-26
5.78513031e+01,3.42667268e-22,3.55928032e-22,3.32781509e-23,1.39383270e-28
5.93278885e+01,5.35643623e-23,7.30990448e-23,6.52398261e-26,2.56991638e-29
6.08044662e+01,5.58980859e-26,5.82080617e-26,5.28859207e-27,1.88527594e-31
6.22810478e+01,9.93056472e-27,1.31312708e-26,7.67772273e-29,9.71959488e-33
6.37576256e+01,8.72048891e-30,1.03705369e-29,5.93803087e-31,4.83134492e-35
6.52341995e+01,1.32147937e-30,1.64526007e-30,3.48423725e-32,2.66314509e-36
6.67107849e+01,4.14565119e-33,5.79146671e-33,6.89760742e-35,1.49784793e-38
6.81873703e+01,3.22885156e-34,3.96833531e-34,8.84422176e-36,7.90332334e-40
6.96639481e+01,2.17396316e-35,2.76943284e-35,6.69316199e-37,3.36311631e-41
7.11405258e+01,1.08860290e-36,1.37848542e-36,3.19832361e-38,0.00000000e+00
7.26171036e+01,7.65263104e-38,9.63196512e-38,2.20564378e-39,0.00000000e+00
7.40936813e+01,5.00824071e-39,6.33106646e-39,1.16307773e-40,0.00000000e+00
7.55702591e+01,2.56437619e-40,3.47522019e-40,0.00000000e+00,0.00000000e+00
7.70468445e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.85234222e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.00000000e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
