Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,3.11254691e-02,4.21581492e-02,6.19515657e-01,7.77109909e+01
7.99999982e-02,3.79334986e-02,5.15210032e-02,7.76662767e-01,7.90324707e+01
1.19999997e-01,4.44836281e-02,6.08954839e-02,9.47732210e-01,7.96179810e+01
1.59999996e-01,5.22191338e-02,7.25490749e-02,1.15067756e+00,8.06578369e+01
2.00000003e-01,6.51827082e-02,9.19767544e-02,1.40273082e+00,8.08827667e+01
2.39999995e-01,7.99482241e-02,1.14126235e-01,1.71933484e+00,8.14686890e+01
2.80000001e-01,1.00084491e-01,1.44072413e-01,2.11716866e+00,8.17346649e+01
3.19999993e-01,1.19917579e-01,1.73246965e-01,2.60172510e+00,8.20350952e+01
3.60000014e-01,1.41224667e-01,2.04440951e-01,3.21959376e+00,8.22434540e+01
4.00000006e-01,1.62310183e-01,2.35490754e-01,3.95490932e+00,8.24404602e+01
4.39999998e-01,1.88322216e-01,2.73974329e-01,4.81649828e+00,8.24392700e+01
4.79999989e-01,2.16481403e-01,3.15683037e-01,5.79535389e+00,8.24524994e+01
5.19999981e-01,2.47391790e-01,3.61008406e-01,6.89157772e+00,8.24517059e+01
5.60000002e-01,2.80310035e-01,4.09377933e-01,8.08339500e+00,8.23467865e+01
6.00000024e-01,3.09959888e-01,4.52618718e-01,9.18053722e+00,8.25112610e+01
6.41029537e-01,3.36196810e-01,4.91102576e-01,1.01208410e+01,8.33508911e+01
6.83115125e-01,3.58116657e-01,5.23680031e-01,1.09051609e+01,8.55757446e+01
7.26283848e-01,3.80520731e-01,5.57182908e-01,1.16745701e+01,8.59181213e+01
7.70563781e-01,4.03171301e-01,5.91082394e-01,1.25937700e+01,8.82701569e+01
8.15983355e-01,4.31190193e-01,6.32451773e-01,1.34556637e+01,8.60369720e+01
8.62571895e-01,4.57538843e-01,6.71202719e-01,1.44911976e+01,9.13815613e+01
9.10359621e-01,4.84495372e-01,7.10884213e-01,1.59020224e+01,8.99974670e+01
9.59377348e-01,5.12712061e-01,7.52683163e-01,1.66932564e+01,9.12552490e+01
1.00965667e+00,5.43724716e-01,7.98951089e-01,1.80322933e+01,9.64839172e+01
1.06123006e+00,5.81784427e-01,8.55898619e-01,1.89831886e+01,9.52147980e+01
1.11413085e+00,6.23050809e-01,9.17884886e-01,2.04775829e+01,9.98409119e+01
1.16839325e+00,6.64387584e-01,9.80556548e-01,2.23387680e+01,9.75506134e+01
1.22405231e+00,7.08589435e-01,1.04880762e+00,2.41545830e+01,1.08385590e+02
1.28114390e+00,7.60974348e-01,1.13036609e+00,2.49591599e+01,1.04858788e+02
1.33970511e+00,8.26119125e-01,1.23265564e+00,2.70940380e+01,1.22303833e+02
1.39977336e+00,1.75291719e+04,2.45342129e+04,1.60882002e+04,9.04659912e+02
1.46138775e+00,1.65726777e+04,2.31856250e+04,1.47713457e+04,1.09955603e+03
1.52458799e+00,1.89008301e+04,2.64513438e+04,1.72518789e+04,1.50291772e+03
1.58941495e+00,1.81255332e+04,2.53695527e+04,1.66913477e+04,1.54888745e+03
1.65591037e+00,1.74571582e+04,2.44344961e+04,1.60918184e+04,1.51148474e+03
1.72411728e+00,1.68755293e+04,2.36202227e+04,1.55420342e+04,1.49151013e+03
1.79407966e+00,1.63409238e+04,2.28710645e+04,1.50074980e+04,1.42952478e+03
1.86584306e+00,1.56199434e+04,2.18607051e+04,1.42955342e+04,1.38991272e+03
1.93945324e+00,1.46642998e+04,2.05222930e+04,1.33933086e+04,1.29742981e+03
2.01495814e+00,1.35822051e+04,1.90075020e+04,1.24081768e+04,1.25039087e+03
2.09240627e+00,1.25166133e+04,1.75163184e+04,1.14623926e+04,1.15166968e+03
2.17184782e+00,1.15310537e+04,1.61374248e+04,1.05995771e+04,1.11861157e+03
2.25333428e+00,1.06192080e+04,1.48618740e+04,9.80815723e+03,1.03950586e+03
2.33691788e+00,9.81291992e+03,1.37340479e+04,9.10952539e+03,1.01103284e+03
2.42265272e+00,9.06564453e+03,1.26888066e+04,8.46262793e+03,9.42981201e+02
2.51059437e+00,8.37644531e+03,1.17247344e+04,7.86295312e+03,9.14358276e+02
2.60079956e+00,7.77569092e+03,1.08843506e+04,7.33868359e+03,8.47658386e+02
2.69332647e+00,7.23703027e+03,1.01307588e+04,6.86787549e+03,8.17380554e+02
2.78823495e+00,6.74314111e+03,9.43981152e+03,6.43750195e+03,7.74075195e+02
2.88558602e+00,6.28958643e+03,8.80529785e+03,6.04516357e+03,7.39437439e+02
2.98544264e+00,5.84282324e+03,8.18036865e+03,5.66422119e+03,6.99809448e+02
3.08786964e+00,5.38824805e+03,7.54461328e+03,5.28110645e+03,6.67521545e+02
3.19293284e+00,4.95282031e+03,6.93571289e+03,4.91983105e+03,6.26330261e+02
3.30070019e+00,4.56842041e+03,6.39826611e+03,4.60766650e+03,5.99005554e+02
3.41124129e+00,4.24883350e+03,5.95146582e+03,4.35757617e+03,5.64066528e+02
3.52462745e+00,3.95813135e+03,5.54499902e+03,4.13926123e+03,5.42160156e+02
3.64093208e+00,3.66729639e+03,5.13864404e+03,3.92948779e+03,5.11020630e+02
3.76023054e+00,3.37594653e+03,4.73153809e+03,3.72834985e+03,4.88273224e+02
3.88259912e+00,3.14981860e+03,4.41571045e+03,3.59262476e+03,4.67708740e+02
4.00811720e+00,3.00009399e+03,4.20690137e+03,3.53052734e+03,4.57586700e+02
4.13686609e+00,2.84136011e+03,3.98556104e+03,3.47111499e+03,4.38789795e+02
4.26892853e+00,2.61239941e+03,3.66629224e+03,3.35844751e+03,4.16896545e+02
4.40439081e+00,2.40853613e+03,3.38221631e+03,3.27161108e+03,4.00298615e+02
4.54333878e+00,2.33648877e+03,3.28275513e+03,3.30928638e+03,3.80459442e+02
4.68586397e+00,2.29327417e+03,3.22384302e+03,3.37570337e+03,3.67943054e+02
4.83205652e+00,2.15308496e+03,3.02926587e+03,3.35483105e+03,3.48434967e+02
4.98201227e+00,1.96700391e+03,2.77185376e+03,3.31160156e+03,3.29988892e+02
5.13582754e+00,1.90811121e+03,2.69296558e+03,3.39683813e+03,3.19606415e+02
5.29360199e+00,1.98057690e+03,2.79802612e+03,3.61036816e+03,3.08295563e+02
5.45543718e+00,1.97605554e+03,2.79565308e+03,3.76367969e+03,2.94374725e+02
5.62143755e+00,1.89599927e+03,2.68963745e+03,3.85769165e+03,2.74613708e+02
5.79171038e+00,1.92790784e+03,2.74166040e+03,4.01602441e+03,2.61127716e+02
5.96636629e+00,2.13688232e+03,3.04101367e+03,4.21621582e+03,2.48717224e+02
6.14551687e+00,2.30373975e+03,3.28224292e+03,4.37879297e+03,2.35235703e+02
6.32927942e+00,2.31935645e+03,3.31399854e+03,4.47475879e+03,2.18719727e+02
6.51777077e+00,2.40363501e+03,3.44909668e+03,4.59883105e+03,2.05221008e+02
6.71111441e+00,2.59656982e+03,3.72721460e+03,4.73394727e+03,1.96332657e+02
6.90943432e+00,2.76829395e+03,3.97084033e+03,4.89548340e+03,1.88916718e+02
7.11285782e+00,2.99626221e+03,4.29340234e+03,5.08124805e+03,1.80025696e+02
7.32151794e+00,3.31726123e+03,4.73523682e+03,5.24271484e+03,1.66958542e+02
7.53554821e+00,3.73389795e+03,5.30240869e+03,5.32809668e+03,1.52339218e+02
7.75508738e+00,3.96814429e+03,5.61205908e+03,5.16470850e+03,1.36257080e+02
7.98027754e+00,3.93410571e+03,5.55823096e+03,4.78961914e+03,1.24188614e+02
8.21126270e+00,4.02059326e+03,5.68652344e+03,4.45538672e+03,1.14768738e+02
8.44819450e+00,4.30382373e+03,6.09105469e+03,4.23247461e+03,1.09223724e+02
8.69122219e+00,4.64362207e+03,6.57547900e+03,3.99675635e+03,1.02832405e+02
8.94050789e+00,5.05806738e+03,7.15745068e+03,3.72026416e+03,9.52724228e+01
9.19620800e+00,5.48617871e+03,7.74927002e+03,3.32794531e+03,8.81107483e+01
9.45849037e+00,5.92331445e+03,8.34988184e+03,2.80038892e+03,8.03677979e+01
9.72752285e+00,6.29991455e+03,8.84977051e+03,2.27658691e+03,7.25118942e+01
1.00034800e+01,6.51926367e+03,9.10269043e+03,1.82824792e+03,6.41132507e+01
1.02865391e+01,6.39726074e+03,8.85391309e+03,1.43737646e+03,5.53389282e+01
1.05768833e+01,5.84595605e+03,8.01532471e+03,1.11921265e+03,4.61291046e+01
1.08747025e+01,5.04400439e+03,6.86245361e+03,8.47816162e+02,3.70746193e+01
1.11801853e+01,4.14011719e+03,5.59005713e+03,6.25994507e+02,2.86284962e+01
1.14935322e+01,3.22134668e+03,4.31297754e+03,4.80548706e+02,2.09118290e+01
1.18149433e+01,2.34640674e+03,3.11703955e+03,3.68342468e+02,1.39058123e+01
1.21446266e+01,1.70322766e+03,2.25970605e+03,2.52630676e+02,7.72843170e+00
1.24827967e+01,1.22078101e+03,1.62046777e+03,1.54295547e+02,3.13129640e+00
1.28296700e+01,8.36380920e+02,1.10765454e+03,7.83237000e+01,6.61868572e-01
1.31854706e+01,5.66118103e+02,7.47968262e+02,2.76044750e+01,2.10926756e-02
1.35504293e+01,4.27976990e+02,5.69043701e+02,1.33032036e+01,1.80385337e-04
1.39247818e+01,4.18865479e+02,5.64418274e+02,8.53352547e+00,7.40176110e-05
1.43087692e+01,4.27096344e+02,5.76314392e+02,2.65276480e+00,1.32721863e-04
1.47026405e+01,3.68091949e+02,4.90530365e+02,1.37919903e+00,5.29121207e-05
1.51066484e+01,2.90729492e+02,3.80495300e+02,7.24493504e-01,1.10773188e-04
1.55210552e+01,2.08264938e+02,2.70445190e+02,4.61113572e-01,4.49283179e-05
1.59461288e+01,1.50666595e+02,1.94745941e+02,2.63030171e-01,2.91610704e-05
1.63821430e+01,9.80686646e+01,1.26055351e+02,2.19648093e-01,2.90428925e-05
1.68293781e+01,6.95493851e+01,8.93584442e+01,1.36651859e-01,3.79338017e-05
1.72881241e+01,4.92102089e+01,6.29375381e+01,5.80156147e-02,2.07573321e-05
1.77586803e+01,3.10546513e+01,3.93939743e+01,2.46592592e-02,1.81994874e-05
1.82413464e+01,1.72004547e+01,2.15467987e+01,7.55654275e-03,1.60069394e-05
1.87364349e+01,8.32059574e+00,1.02955208e+01,1.85233518e-03,6.82409200e-06
1.92442665e+01,4.38985777e+00,5.51022291e+00,1.39250117e-03,5.25479163e-06
1.97651691e+01,3.70572901e+00,4.84018850e+00,4.15564835e-04,3.26210034e-06
2.02994785e+01,2.68405390e+00,3.42428780e+00,5.24600982e-05,2.39936458e-06
2.08475418e+01,1.23559904e+00,1.50667655e+00,5.83263172e-05,1.25204122e-06
2.14097099e+01,6.00458443e-01,7.18059540e-01,4.95759450e-05,6.85478426e-07
2.19863453e+01,1.83670521e-01,2.11066544e-01,6.29047236e-06,2.22640779e-07
2.25778236e+01,3.44757475e-02,3.71418484e-02,3.54140366e-06,4.12358361e-08
2.31845264e+01,7.20892427e-03,7.61281094e-03,1.38492555e-06,8.31540259e-09
2.38068466e+01,9.11305950e-04,9.23513959e-04,2.80110498e-07,1.00765829e-09
2.44451809e+01,1.21811041e-04,1.20627519e-04,4.50155540e-08,1.36494926e-10
2.50999470e+01,1.14229906e-05,1.10242190e-05,5.13757659e-09,1.24083009e-11
2.57715645e+01,9.18809462e-07,9.62348963e-07,4.11095602e-10,9.60572550e-13
2.64604683e+01,6.46422791e-08,6.91219668e-08,4.66488376e-11,7.25806066e-14
2.71671047e+01,3.95885857e-09,4.39887149e-09,6.96082775e-12,5.80795288e-15
2.78919277e+01,2.16183030e-10,2.42607517e-10,5.09775111e-13,3.68043651e-16
